#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
96,,Morlaye Sylla,0.18,0.12,30.91,81.96,8.94,59.14
97,,Miguel Maga,0.13,0.08,31.83,79.84,7.54,41.82
98,,Odysseas Vlachodimos,0,0,19.62,80.36,0.38,47.86
99,,Diego Lainez,0.17,0.33,13.83,91.57,6.17,100
100,,Costinha,0.27,0.09,31.09,73.59,6.06,36.52
101,,João Carvalho,0.17,0.07,34,83.57,8.34,69.29
102,,Cristian Tassano,0,0,30.62,85.43,0.92,50
103,,Kiki Afonso,0.04,0,32.79,70.81,5.68,35.86
104,,Sebastián Pérez,0,0,54.86,87.81,7.21,63.78
105,,Raphael Guzzo,0.13,0.1,52.13,84.14,8.97,53.49
106,,André Silva,0.17,0.04,22.48,68.28,5.13,54.29
107,,Lucas Cunha,0.07,0,63.27,86.41,6,51.92
108,,Victor Gómez,0.23,0.15,39.08,81.79,9.54,55
109,,Marko Grujić,0,0,29.71,85.97,5.92,73.77
110,,Diogo Costa,0.03,0,33.85,76.72,1.3,49.09
111,,Toni Martínez,0.23,0.13,5.87,65.38,1.68,66.67
112,,Fabijan Buntić,0,0,21.3,65.01,0.7,37.01
113,,Alexandre Penetra,0.21,0.07,40.38,78.05,5.03,47.89
114,,Luquinha,0.18,0.06,28.24,81.25,9.94,58.82
115,,André Amaro,0,0.04,42.63,86.71,2.96,58.99
116,,Evanilson,0.22,0.22,13.96,76.95,4.22,72.22
117,,José Luis Rodríguez,0.14,0.43,13,72.53,4,40
118,,Petar Musa,0.13,0.07,6.27,70.21,2.4,37.5
119,,Yusupha Njie,0.11,0.07,15.22,78.59,3.89,70.59
120,,Rosier Loreintz,0,0.08,39.42,81.4,5.17,60
121,,Aziz,0.24,0.18,12.82,70.18,3.76,20
122,,Danilo Veiga,0.11,0,34,81.05,7.33,42.86
123,,Sebastián Coates,0.07,0,70.1,89.68,5.17,49.76
124,,Gilberto,0.25,0.05,30.5,84.75,9.1,39.13
125,,Bruno Costa,0.33,0.17,22.17,81.95,6.17,81.82
126,,Zaydou Youssouf,0,0,27.84,82.27,4.69,66.06
127,,Moises Mosquera,0,0.05,37.9,82.32,2.1,54.63
128,,Tomás Silva,0.14,0.09,20.82,70.52,5.23,31.75
129,,Allison Safira,0.05,0.05,9.59,63.51,2.36,100
130,,Nélson Monte,0.03,0,42.1,80.61,4.1,52.17
131,,Maurício,0,0,35.07,89.41,5.57,66.67
132,,Nino Galović,0,0.05,32.58,88.21,0.74,39.24
133,,Thiago da Silva,0,0,16,87.5,0,66.67
134,,Serdar Saatçı,0,0,47,84.4,1.33,30
135,,Luís Neto,0,0,43.83,91.63,3.33,75
136,,Hernán de la Fuente,0.29,0,33.43,75.21,6.14,35
137,,Helder Sá,0.3,0,33.3,80.78,7.8,52.63
138,,Cristián Borja,0.14,0,24.5,82.51,6.07,39.29
139,,Marafona,0,0,26.19,62.05,1.25,43.84
140,,Renê Santos,0.07,0.07,43.57,85.25,2.86,47.71
141,,Kennedy Boateng,0,0,40.69,80.25,1.92,51.52
142,,Carraça,0.12,0.08,40.88,85.04,8.08,51.2
143,,Zé Carlos,0,0.13,22.87,76.68,3.33,51.61
144,,Paulo Oliveira,0,0,45.55,81.89,2.7,36.42
145,,Sikou Niakaté,0,0,54.42,84.88,2.88,29.58
146,,Ousmane Diomande,0,0,67.69,90.68,9,56.52
147,,João Mário,0.44,0.22,29.28,81.02,5.89,46.15
148,,Rafa Silva,0.39,0.14,26.79,79.6,13.5,78.26
149,,Gabriel Silva,0.12,0.06,11.85,62.92,3.36,51.22
150,,João Nunes,0,0,30.19,77.83,2.77,33.05
151,,Afonso Taira,0.06,0.03,31.13,75.3,6.06,51.49
152,,Vitorino Antunes,0.23,0.06,40.68,73.28,7.23,39.84
153,,Francisco Geraldes,0.04,0.15,30.15,76.28,7.85,56.04
154,,Patrick William,0.19,0.04,48.23,83.09,5.31,50
155,,Tiago Gouveia,0.38,0.21,18.28,75.47,5.48,52.17
156,,Fahd Moufi,0.16,0.06,31.29,72.47,6.55,37.38
157,,Leonardo Lelo,0.22,0.22,33.89,75.52,6.07,38.64
158,,Tiago Santos,0.13,0.17,29.8,78.75,4.77,50.35
159,,Gabriel Pereira,0.14,0,38.29,83.58,2,53.66
160,,Fernando Varela,0,0,31.48,84.12,2.52,43.4
161,,Park Ji-soo,0.14,0.07,45.71,82.66,2.5,41.9
162,,Matheus Reis,0.03,0,65.91,91.54,12.33,52.55
163,,Mikel Villanueva,0.03,0.03,46.1,83.55,3.14,55.17
164,,Antonio Adán,0.03,0.03,28.32,82.35,0.45,41.9
165,,João Neves,0,0,28.59,87.24,5.82,65
166,,David Carmo,0,0,46.11,82.65,3.22,45.95
167,,Enea Mihaj,0,0,50,88.72,2.08,51.75
168,,Adrián Butzke,0.04,0.04,12.96,75.07,3.38,72.73
169,,Renato Pantalon,0,0,41.59,84.37,3.14,46.09
170,,Zainadine Júnior,0,0,49.5,85.19,2.96,49.71
171,,Rafa Mújica,0.07,0,9.15,72.06,2.33,75
172,,Michael Johnston,0.16,0.16,15.96,73.68,5.44,41.94
173,,Riccieli,0.03,0,43.23,88.74,1.27,54.86
174,,Lucas Alves,0,0,42.14,84.41,2,44.64
175,,Pedro Amaral,0.08,0.17,42.5,78.24,7.17,51.79
176,,Gonçalo Guedes,0.17,0.08,12.75,79.08,5.92,83.33
177,,Bruno Onyemaechi,0.21,0.03,38.21,74.91,6.45,33.56
178,,Duplexe Tchamba,0,0,41.6,82.21,3.8,46.43
179,,Tiago Esgaio,0.12,0.08,35.15,70.57,5.54,35.26
180,,Bernardo Vital,0,0,51.04,87.64,2.19,51.14
181,,Nuno Moreira,0.1,0.03,20.76,71.1,6,47.17
182,,Rúben Fernandes,0.04,0,52.69,84.96,2.46,52.41
183,,Mihai Alexandru Dobre,0.18,0.18,13.82,73.19,3.76,33.33
184,,Pedro Malheiro,0.19,0.19,44.44,79.47,7.06,41.22
185,,Salvador Agra,0.17,0.13,18.23,76.97,5.47,52.27
186,,Rafael Bracali,0,0,24.61,62.12,0.5,39.67
187,,Danny Namaso,0.18,0.09,6.73,81.08,2.32,66.67
188,,André Franco,0.06,0,19.41,88.18,6.65,88
189,,Marcelo Carné,0,0,27.29,68.32,0.57,33.33
190,,Anderson,0,0,34.67,79.71,1.13,32.9
191,,Nicolas Janvier,0.05,0,18.89,83.84,4.84,74
192,,Josafat Mendes,0,0,25.25,94.06,8.25,66.67
193,,Heriberto Tavares,0,0,20.25,77.78,5.75,42.86
194,,Jeremiah St. Juste,0.05,0.05,44.57,93.06,7.9,59.57
195,,Pedro Álvaro,0,0,50.8,85.76,2.8,50.76
196,,Álex Millán,0.15,0,12.23,75.47,3.46,57.14
197,,Alex Méndez,0.1,0.07,19.97,80.3,5.27,54.17
198,,Abel Ruíz,0.09,0.18,14.21,78.67,6.35,75
199,,Mihailo Ristić,0.29,0.14,14.57,87.25,3.71,16.67
200,,Julian Draxler,0.2,0,22.3,90.58,9.9,100
201,,Francisco Moura,0.14,0.07,32.54,80.13,4.71,41.67
202,,Josué Sá,0.06,0.06,45.61,85.99,5.06,47.41
203,,Pierre Sagna,0.21,0.04,25.42,74.43,3.71,44.58
204,,Igor Julião,0.05,0.05,27.3,75.82,5,41.54
205,,Rodrigo Abascal,0.07,0.07,52,80.91,4.41,47.39
206,,Pizzi,0.06,0.06,20.13,86.34,5.88,56.52
207,,Jerome Opoku,0.04,0.04,32.83,80.46,2.33,38.89
208,,Vitinho,0.22,0.22,8.22,70.27,3,28.57
209,,Otávio Ataíde da Silva,0,0,42.89,83.42,2.89,57.63
210,,Rúben Lameiras,0.11,0.11,18.05,76.97,7.16,50
211,,Nermin Zolotić,0.03,0,46.07,83.68,4.62,42.45
212,,Kanya Fujimoto,0.24,0.09,32.18,82.45,10.79,58
213,,Jhonder Cádiz,0.08,0.13,11.42,67.52,2.5,35.71
214,,Fran Navarro,0.06,0.09,11.59,74.87,2.74,60
215,,Kévin Zohi,0.08,0.12,10.12,73.12,3.04,71.43
216,,André Almeida,0.67,0.67,35,87.62,9.33,75
217,,Julien Lomboto,0,0,7,85.71,1,0
218,,Marco Pereira,0,0,30.88,70.04,1.88,44.96
219,,Flávio Ramos,0,0,38.56,85.01,0.89,54.84
220,,Antony Alves,0.06,0.03,18.91,75.64,5.33,50
221,,Gabriel Veron,0.18,0.12,8,75.74,3.35,50
222,,Nuno Lima,0,0,47.68,85.69,2.46,57.89
223,,Lucas Soares,0.3,0.07,28.93,75.8,4.93,34.29
224,,Jordan Holsgrove,0,0.08,39.38,84.76,8.13,59.57
225,,Uroš Račić,0,0,24.52,83.03,5.52,69.14
226,,Rui Pires,0.03,0,37.23,86.31,4.55,64.06
227,,Ricardo Esgaio,0.16,0.12,26.88,80.65,7.36,37.04
228,,Kenji Gorré,0.17,0.2,14.67,79.77,5.83,58.33
229,,Claudemir,0.09,0.05,37.36,86.13,5.36,43.06
230,,Daniel Silva,0.03,0,30.57,86.48,5.83,58.11
231,,Mohamed Diaby,0,0,21.84,82.97,2.88,61.82
232,,Adrián Marín,0.13,0,40.58,74.8,9.23,40.24
233,,Vincent Sasso,0,0,41.71,88.71,1.46,45.68
234,,Andreas Samaris,0.04,0.04,33.17,83.92,3.83,66.29
235,,Murilo Souza,0.07,0.04,26.04,81.48,8.46,67.44
236,,Jota Silva,0.13,0.07,13.23,65.24,3.17,57.14
237,,Gaius Makouta,0.09,0.19,39.91,81.44,6.5,63.27
238,,Róbert Boženík,0,0.04,7.39,76.47,1.83,80
239,,Bruno Lourenço,0.17,0.03,22.17,78.69,6.38,51.72
240,,João Mendes,0.16,0.03,31.77,81.73,9.71,75.47
241,,Saviour Godwin,0.23,0.03,14.77,70.65,4.9,37.04
242,,Léo Bolgado,0,0,17.18,83.6,1.09,54.17
243,,Paulo Bernardo,0,0.15,20.69,81.78,3.69,70.83
244,,Arthur Gomes,0.14,0.11,15.96,85.91,5.96,64
245,,Kiko Bondoso,0.15,0.09,27,75.38,8.68,60.42
246,,Neto,0.07,0.07,24.44,82.42,5.44,66.67
247,,Léo Natel,0,0,5.75,69.57,2,100
248,,Jordi,0,0,26.5,51.57,0.33,22.34
249,,Pedro Ortiz,0,0,30.56,87.64,2.44,68.18
250,,Brayan Riascos,0.13,0.13,11.06,69.49,3.44,66.67
251,,Joãozinho,0.07,0.13,37.87,81.07,6.53,50.38
252,,André André,0.1,0,35.7,87.68,7.55,55.36
253,,Mateus Quaresma,0.09,0.03,40.31,77.75,6.53,44.57
254,,Bruno Almeida,0.23,0.14,15.09,68.98,4.27,56.06
255,,Benji Michel,0.08,0.08,6.75,69.14,2.17,33.33
256,,Léo,0,0,40.25,80.95,2.33,50
257,,Rafael Brito,0.08,0,22.54,79.52,3.38,62.5
258,,Vitor Costa,0,0.04,36.5,77.1,7.57,49.3
259,,Leandro Sanca,0.29,0,8.5,72.27,2.43,33.33
260,,Ewerton,0,0.08,17.67,79.72,4.08,33.33
261,,Osama Rashid,0.11,0,10.5,83.07,1.83,52.94
262,,Matchoi Djaló,0.09,0,16.86,80.05,4.05,63.41
263,,Beni Mukendi,0.07,0.07,28,86.73,5.79,55.56
264,,José Marsà,0,0,58.5,94.87,1.5,42.86
265,,Dário Essugo,0,0,25.75,87.38,3.5,33.33
266,,Alemão,0,0,46.4,86.21,2.4,46.43
267,,Gabriel Batista,0,0,30.54,58.44,2.12,44.22
268,,Rodrigo Conceição,0.13,0,15.75,80.16,2.56,50
269,,Giorgi Aburjania,0.07,0.04,35.78,82.92,8.48,52.54
270,,Felippe Cardoso,0.18,0,8.73,76.04,2.73,60
271,,Adriano Firmino,0.06,0.03,31.32,81.46,4.19,50.7
272,,Zaidu Sanusi,0.11,0,26.33,80.38,5.06,31.25
273,,Helder Morim,0,0,3.57,64,0.71,66.67
274,,Rafael Martins,0,0.04,14.27,65.5,2.23,54.55
275,,James Léa Siliki,0.09,0,10,68.64,3.05,50
276,,Milutin Osmajić,0.1,0,11.55,62.29,2.84,20
277,,Carlinhos,0.11,0,44.22,84.42,10.78,61.54
278,,Juan Delgado,0.23,0.03,35.55,80.13,6.74,48.2
279,,Guima,0.07,0,30.83,84,5.52,59.18
280,,Emmanuel Boateng,0.07,0,9.57,72.76,2.96,41.67
