#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
109,,Marko Grujić,0.04,0,56.25,0.71,0.04,0
110,,Diogo Costa,0,0,100,0,0,0
111,,Toni Martínez,0.16,0.13,54.55,1.65,0.1,0
112,,Fabijan Buntić,0,0,0,0,0,0
113,,Alexandre Penetra,0.07,0.03,50,0.66,0.03,0
114,,Luquinha,0.12,0.06,50,1,0,0
115,,André Amaro,0.04,0.04,45.45,0.48,0.04,0
116,,Evanilson,0.3,0.48,43.33,1.48,0,0
117,,José Luis Rodríguez,0.14,0.29,57.89,2,0,0
118,,Petar Musa,0.23,0.23,63.64,1.27,0.07,0
119,,Yusupha Njie,0.48,0.67,58.14,2.74,0.19,0
120,,Rosier Loreintz,0,0.08,75,0.92,0,0
121,,Aziz,0.41,0.18,38.89,1.29,0,0
122,,Danilo Veiga,0,0,52.63,0.22,0,0
123,,Sebastián Coates,0.03,0.07,61.54,0.57,0,0
124,,Gilberto,0.1,0.05,51.35,0.3,0.05,0
125,,Bruno Costa,0,0.17,60,0.83,0,0
126,,Zaydou Youssouf,0.06,0,80.28,0.75,0,0
127,,Moises Mosquera,0,0.05,61.54,0.6,0,0
128,,Tomás Silva,0.05,0,52.94,0.27,0,0
129,,Allison Safira,0.23,0.05,45.45,1.09,0.09,0
130,,Nélson Monte,0,0.03,33.33,0.19,0,0
131,,Maurício,0.21,0,42.86,0.57,0,0
132,,Nino Galović,0,0,0,0.11,0,0
133,,Thiago da Silva,0,0,0,0,0,0
134,,Serdar Saatçı,0,0,0,0,0,0
135,,Luís Neto,0,0,100,0.17,0,0
136,,Hernán de la Fuente,0,0.14,42.86,0.86,0,0
137,,Helder Sá,0,0,59.09,0.4,0,0
138,,Cristián Borja,0,0,81.82,0.07,0,0
139,,Marafona,0,0,0,0,0,0
140,,Renê Santos,0.07,0,100,0.5,0.07,0
141,,Kennedy Boateng,0.12,0.08,60,0.73,0.12,0
142,,Carraça,0,0,52.63,0.73,0,0
143,,Zé Carlos,0,0,61.11,0.2,0,0
144,,Paulo Oliveira,0,0.05,0,0.2,0,0
145,,Sikou Niakaté,0.12,0,81.25,0.38,0.12,0
146,,Ousmane Diomande,0.08,0.08,75,0.85,0.08,0
147,,João Mário,0.06,0,50,0.61,0,0
148,,Rafa Silva,0.29,0.5,45.13,2.43,0.07,0
149,,Gabriel Silva,0.15,0.24,54.55,1.88,0,0
150,,João Nunes,0.04,0,85.71,0.31,0.04,0
151,,Afonso Taira,0,0,46.67,0.38,0,0
152,,Vitorino Antunes,0.03,0,60,0.87,0,0
153,,Francisco Geraldes,0.15,0.12,52.86,1.46,0,0
154,,Patrick William,0.08,0.04,46.67,0.73,0.04,0
155,,Tiago Gouveia,0.17,0.14,43.82,1.52,0,0
156,,Fahd Moufi,0.03,0,42.86,0.55,0.03,0
157,,Leonardo Lelo,0.04,0.04,40,0.56,0,0
158,,Tiago Santos,0,0.03,46.38,0.43,0,0
159,,Gabriel Pereira,0,0,33.33,0.29,0,0
160,,Fernando Varela,0.04,0.04,50,0.56,0,0
161,,Park Ji-soo,0,0,100,0.14,0,0
162,,Matheus Reis,0.03,0,61.29,0.36,0,0
163,,Mikel Villanueva,0.03,0.03,93.33,0.31,0.03,0
164,,Antonio Adán,0,0,0,0.03,0,0
165,,João Neves,0.06,0.18,53.33,0.76,0,0
166,,David Carmo,0,0.22,0,0.44,0,0
167,,Enea Mihaj,0,0,87.5,0.44,0,0
168,,Adrián Butzke,0.23,0.35,47.06,2.12,0.12,0
169,,Renato Pantalon,0.05,0.05,100,0.23,0,0
170,,Zainadine Júnior,0,0.04,100,0.63,0,0
171,,Rafa Mújica,0.3,0.3,37.04,2.11,0.04,0
172,,Michael Johnston,0.04,0.04,54.29,1.16,0,0
173,,Riccieli,0,0,100,0.4,0,0
174,,Lucas Alves,0,0,0,0.29,0,0
175,,Pedro Amaral,0.08,0,38.89,0.58,0,0
176,,Gonçalo Guedes,0.08,0,57.14,1.25,0,0
177,,Bruno Onyemaechi,0.03,0.03,56.1,0.76,0,0
178,,Duplexe Tchamba,0,0,100,1,0,0
179,,Tiago Esgaio,0,0.04,66.67,0.42,0,0
180,,Bernardo Vital,0,0,66.67,0.15,0,0
181,,Nuno Moreira,0.03,0.03,52.17,1.83,0,0
182,,Rúben Fernandes,0,0.04,66.67,0.42,0,0
183,,Mihai Alexandru Dobre,0.12,0.18,50,1.47,0.06,0
184,,Pedro Malheiro,0,0.03,57.58,0.5,0,0
185,,Salvador Agra,0.1,0,39.47,0.57,0,0
186,,Rafael Bracali,0,0,100,0,0,0
187,,Danny Namaso,0.14,0.09,45.45,0.68,0,0
188,,André Franco,0.12,0,33.33,0.65,0,0
189,,Marcelo Carné,0,0,0,0,0,0
190,,Anderson,0.1,0.13,66.67,0.47,0.03,0
191,,Nicolas Janvier,0.05,0,40,0.84,0,0
192,,Josafat Mendes,0.25,0,66.67,0.25,0,0
193,,Heriberto Tavares,0,0.25,22.22,1.25,0,0
194,,Jeremiah St. Juste,0.05,0,58.33,0.33,0.05,0
195,,Pedro Álvaro,0.03,0.03,55.56,0.37,0.03,0
196,,Álex Millán,0.15,0.15,46.67,0.85,0.08,0
197,,Alex Méndez,0.03,0.03,56.52,0.93,0.03,0
198,,Abel Ruíz,0.24,0.32,48.15,1.47,0,0
199,,Mihailo Ristić,0.14,0.14,50,0.57,0,0
200,,Julian Draxler,0.1,0.1,66.67,1.1,0,0
201,,Francisco Moura,0.07,0.04,40.74,0.43,0.04,0
202,,Josué Sá,0,0,100,0.06,0,0
203,,Pierre Sagna,0,0,47.62,0.29,0,0
204,,Igor Julião,0.05,0,52.63,0.35,0.05,0
205,,Rodrigo Abascal,0,0.04,42.86,0.3,0,0
206,,Pizzi,0.13,0.06,46.15,0.69,0,0
207,,Jerome Opoku,0,0,60,0.13,0,0
208,,Vitinho,0,0,20,0.67,0,0
209,,Otávio Ataíde da Silva,0,0,100,0.78,0,0
210,,Rúben Lameiras,0.05,0.05,44.12,1.74,0,0
211,,Nermin Zolotić,0,0,70,0.21,0,0
212,,Kanya Fujimoto,0,0.06,42.5,0.71,0,0
213,,Jhonder Cádiz,0.17,0.33,38.89,1.92,0.13,0
214,,Fran Navarro,0.5,0.76,58.33,2.79,0.03,0
215,,Kévin Zohi,0.08,0.16,57.14,1.04,0,0
216,,André Almeida,0,0,44.44,1.33,0,0
