#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
109,,Marko Grujić,0,0.04,0,0,0.33,0.08
110,,Diogo Costa,1.91,0.48,0.12,0,0.61,0.06
111,,Toni Martínez,0,0,0,0,0.29,0.06
112,,Fabijan Buntić,2.94,0.33,0.27,0.06,0.85,0.27
113,,Alexandre Penetra,0,0.24,0,0,1.21,0.17
114,,Luquinha,0,0,0,0,0.82,0.12
115,,André Amaro,0,0.41,0,0,0.93,0.19
116,,Evanilson,0,0.04,0,0,0.3,0
117,,José Luis Rodríguez,0,0.14,0,0,0.86,0.57
118,,Petar Musa,0,0,0,0,0.13,0.03
119,,Yusupha Njie,0,0.07,0,0,1.11,0.19
120,,Rosier Loreintz,0,0.25,0,0,1.17,0.25
121,,Aziz,0,0.24,0,0,0.76,0.18
122,,Danilo Veiga,0,0.11,0,0,1.11,0.11
123,,Sebastián Coates,0,0.23,0,0,0.87,0.1
124,,Gilberto,0,0,0,0,0.25,0.1
125,,Bruno Costa,0,0,0,0,0.67,0.17
126,,Zaydou Youssouf,0,0.13,0,0,0.72,0.06
127,,Moises Mosquera,0,0.15,0,0,1.5,0.2
128,,Tomás Silva,0,0.14,0,0,0.59,0.09
129,,Allison Safira,0,0.05,0,0,0.55,0.05
130,,Nélson Monte,0,0.26,0,0,0.84,0.19
131,,Maurício,0,0,0,0,1,0.07
132,,Nino Galović,0,0.37,0,0,0.42,0.05
133,,Thiago da Silva,4,0,0,0,1,0
134,,Serdar Saatçı,0,0.67,0,0,0.33,0
135,,Luís Neto,0,0,0,0,0.17,0
136,,Hernán de la Fuente,0,0.29,0,0,0.86,0
137,,Helder Sá,0,0.4,0,0,0.6,0.3
138,,Cristián Borja,0,0.14,0,0,0.5,0.07
139,,Marafona,3.81,0.13,0.06,0,1.19,0.19
140,,Renê Santos,0,0,0,0,1.29,0.21
141,,Kennedy Boateng,0,0.15,0,0,1.46,0.19
142,,Carraça,0,0.19,0,0,0.96,0
143,,Zé Carlos,0,0.2,0,0,0.67,0.13
144,,Paulo Oliveira,0,0.35,0,0,0.7,0.05
145,,Sikou Niakaté,0,0.38,0,0,0.73,0.04
146,,Ousmane Diomande,0,0.38,0,0,0.54,0.08
147,,João Mário,0,0.22,0,0,0.39,0.06
148,,Rafa Silva,0,0.29,0,0,0.54,0.04
149,,Gabriel Silva,0,0.03,0,0,1.15,0.18
150,,João Nunes,0,0.19,0,0,1,0.04
151,,Afonso Taira,0,0,0,0,0.91,0.06
152,,Vitorino Antunes,0,0.03,0,0,1.55,0.13
153,,Francisco Geraldes,0,0.04,0,0,1.15,0.15
154,,Patrick William,0,0.15,0,0,0.81,0.23
155,,Tiago Gouveia,0,0.1,0,0,1.1,0.1
156,,Fahd Moufi,0,0.26,0,0,1.19,0.13
157,,Leonardo Lelo,0,0.3,0,0,1.04,0.07
158,,Tiago Santos,0,0.13,0,0,1.17,0.13
159,,Gabriel Pereira,0,0.14,0,0,0.57,0
160,,Fernando Varela,0,0.11,0,0,0.89,0.11
161,,Park Ji-soo,0,0.07,0,0,1.43,0.14
162,,Matheus Reis,0,0.18,0,0,0.67,0.09
163,,Mikel Villanueva,0,0.31,0,0,0.9,0.24
164,,Antonio Adán,2.03,0.42,0.13,0,0.84,0.1
165,,João Neves,0,0.18,0,0,0.29,0
166,,David Carmo,0,0.33,0,0,0.56,0
167,,Enea Mihaj,0,0.36,0,0,0.96,0.2
168,,Adrián Butzke,0,0,0,0,0.77,0
169,,Renato Pantalon,0,0.18,0,0,0.95,0.18
170,,Zainadine Júnior,0,0.13,0,0,1.46,0.25
171,,Rafa Mújica,0,0,0,0,0.63,0.11
172,,Michael Johnston,0,0.12,0,0,0.6,0.2
173,,Riccieli,0,0.3,0,0,1.1,0.17
174,,Lucas Alves,0,0.14,0,0,0.71,0
175,,Pedro Amaral,0,0.08,0,0,1.17,0.17
176,,Gonçalo Guedes,0,0,0,0,0.08,0
177,,Bruno Onyemaechi,0,0.14,0,0,1.38,0.17
178,,Duplexe Tchamba,0,0,0,0,1.2,0
179,,Tiago Esgaio,0,0.42,0,0,0.62,0.08
180,,Bernardo Vital,0,0.31,0,0,1.08,0.15
181,,Nuno Moreira,0,0,0,0,0.52,0.17
182,,Rúben Fernandes,0,0.27,0,0,1.12,0.04
183,,Mihai Alexandru Dobre,0,0,0,0,0.59,0.06
184,,Pedro Malheiro,0,0.16,0,0,1.44,0.16
185,,Salvador Agra,0,0,0,0,0.83,0.13
186,,Rafael Bracali,2.96,0.18,0.21,0.04,1.36,0.21
187,,Danny Namaso,0,0,0,0,0.27,0
188,,André Franco,0,0,0,0,0.35,0
189,,Marcelo Carné,3.21,0.14,0.29,0,1.5,0.21
190,,Anderson,0,0.27,0,0,0.87,0.3
191,,Nicolas Janvier,0,0,0,0,0.37,0.26
192,,Josafat Mendes,0,0.25,0,0,0.25,0.25
193,,Heriberto Tavares,0,0,0,0,1.25,0
194,,Jeremiah St. Juste,0,0.19,0,0,0.29,0
195,,Pedro Álvaro,0,0.2,0,0,1.13,0.13
196,,Álex Millán,0,0,0,0,0.69,0.15
197,,Alex Méndez,0,0.03,0,0,0.43,0.2
198,,Abel Ruíz,0,0.06,0,0,0.56,0.03
199,,Mihailo Ristić,0,0,0,0,0.29,0.14
200,,Julian Draxler,0,0,0,0,0.1,0.1
201,,Francisco Moura,0,0.25,0,0,0.79,0.11
202,,Josué Sá,0,0.33,0,0,0.78,0.06
203,,Pierre Sagna,0,0.08,0,0,0.96,0.13
204,,Igor Julião,0,0.25,0,0,0.75,0.1
205,,Rodrigo Abascal,0,0.22,0,0,1.11,0.19
206,,Pizzi,0,0.06,0,0,0.38,0.06
207,,Jerome Opoku,0,0.33,0,0,0.96,0.08
208,,Vitinho,0,0,0,0,0.22,0.11
209,,Otávio Ataíde da Silva,0,0.11,0,0,1.67,0
210,,Rúben Lameiras,0,0.16,0,0,0.58,0.26
211,,Nermin Zolotić,0,0.28,0,0,0.86,0.1
212,,Kanya Fujimoto,0,0.03,0,0,1.03,0.03
213,,Jhonder Cádiz,0,0.13,0,0,0.63,0.04
214,,Fran Navarro,0,0.18,0,0,1.18,0.03
215,,Kévin Zohi,0,0,0,0,0.32,0.16
216,,André Almeida,0,0,0,0,0.67,0
217,,Julien Lomboto,0,0,0,0,0,0
218,,Marco Pereira,2.75,0.13,0.5,0.13,1,0.13
219,,Flávio Ramos,0,0,0,0,2,0
220,,Antony Alves,0,0.15,0,0,0.58,0.09
221,,Gabriel Veron,0,0,0,0,0.12,0
222,,Nuno Lima,0,0.11,0,0,1.71,0.14
223,,Lucas Soares,0,0.33,0,0,0.78,0.11
224,,Jordan Holsgrove,0,0.08,0,0,1.29,0.08
