#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
98,,Odysseas Vlachodimos,0.06,0,100,94.74,0.35,0
99,,Diego Lainez,0.5,0,100,53.85,1.17,0.5
100,,Costinha,0.15,0,46.67,50.44,1.58,1.48
101,,João Carvalho,0.21,0.03,40.91,50.68,1.07,1.1
102,,Cristian Tassano,0.31,0.08,50,54.44,0.69,1.38
103,,Kiki Afonso,0.36,0,56.25,56.96,1.32,1.46
104,,Sebastián Pérez,0.31,0.03,37.04,51,1.38,1.38
105,,Raphael Guzzo,0.27,0.03,45.45,51.72,1,1.27
106,,André Silva,0.17,0,34.48,39.84,1.43,1.57
107,,Lucas Cunha,0.33,0,61.29,55.26,0.8,1.2
108,,Victor Gómez,0.04,0,42.42,49.65,0.65,0.88
109,,Marko Grujić,0.21,0,70.93,56.81,0.38,1.67
110,,Diogo Costa,0.03,0,100,92.86,0.15,0
111,,Toni Martínez,0,0,57.45,53.55,0.55,0.9
112,,Fabijan Buntić,0.09,0,75,76.92,0.03,0
113,,Alexandre Penetra,0.17,0,52.38,57.87,0.52,0.48
114,,Luquinha,0.12,0,41.67,41.67,1,1.53
115,,André Amaro,0.33,0.04,57.45,59.13,1.11,0.96
116,,Evanilson,0.04,0,47.62,46.39,1.26,1.17
117,,José Luis Rodríguez,0.43,0,54.55,50.77,1.71,1.29
118,,Petar Musa,0.03,0,69.77,52.68,0.33,0.6
119,,Yusupha Njie,0.22,0,26.97,41.43,2,1.3
120,,Rosier Loreintz,0.08,0,75,58.26,0.75,1.75
121,,Aziz,0.12,0,27.27,34.62,1.12,1.18
122,,Danilo Veiga,0,0,66.67,66.33,2.11,1.33
123,,Sebastián Coates,0.23,0,65.59,62.07,0.47,0.63
124,,Gilberto,0.1,0,35,47.46,0.35,0.5
125,,Bruno Costa,0,0,50,44.83,0.17,0.67
126,,Zaydou Youssouf,0.22,0.03,51.72,58.68,1.41,1.44
127,,Moises Mosquera,0.3,0,72.37,72.73,0.45,0.8
128,,Tomás Silva,0.09,0.05,52.94,61.73,1.27,0.77
129,,Allison Safira,0.41,0,60.22,53.65,1.55,1.5
130,,Nélson Monte,0.23,0,51.58,46.63,0.35,1.06
131,,Maurício,0.14,0,68.75,52.85,2.07,1.64
132,,Nino Galović,0.16,0,50,55.56,0.21,0.53
133,,Thiago da Silva,0,0,100,100,0,0
134,,Serdar Saatçı,0,0,54.55,50,0.33,0.33
135,,Luís Neto,0.17,0,70,76.92,0.83,0.33
136,,Hernán de la Fuente,0.29,0.14,54.55,54.22,1.57,1.29
137,,Helder Sá,0.2,0,62.5,48.86,0.4,1.8
138,,Cristián Borja,0.07,0,35.29,62.67,0.86,0.71
139,,Marafona,0.31,0.06,50,60,0.13,0
140,,Renê Santos,0.21,0.14,68.57,67.35,1,1.14
141,,Kennedy Boateng,0.23,0.04,68.94,63.36,0.46,1
142,,Carraça,0.15,0,51.11,50.29,0.85,1.04
143,,Zé Carlos,0.2,0,26.67,61.02,2,0.6
144,,Paulo Oliveira,0.15,0.05,59.26,58.88,0.45,1
145,,Sikou Niakaté,0.15,0.08,67.09,57.98,0.81,1.19
146,,Ousmane Diomande,0.23,0,43.33,50,0.23,1.08
147,,João Mário,0.17,0.06,50,48.63,1,1.17
148,,Rafa Silva,0.21,0,31.03,47.47,2.32,0.64
149,,Gabriel Silva,0.15,0,37.25,51.26,1.97,0.94
150,,João Nunes,0.08,0,61.4,64.23,0.38,0.54
151,,Afonso Taira,0.28,0,54.55,52.62,0.97,1.66
152,,Vitorino Antunes,0.32,0.03,34.69,56.32,1.87,1.03
153,,Francisco Geraldes,0.27,0.04,33.33,52.17,1.73,0.77
154,,Patrick William,0.27,0,58.33,51.11,0.46,1.35
155,,Tiago Gouveia,0.24,0,26.67,47.98,2.14,1.34
156,,Fahd Moufi,0.13,0.03,60.58,57.5,1.68,0.97
157,,Leonardo Lelo,0.11,0,38.71,49.28,1.19,0.67
158,,Tiago Santos,0.17,0,32.26,61.99,2.73,1.2
159,,Gabriel Pereira,0.14,0,64.71,52,0.57,1.29
160,,Fernando Varela,0.11,0,53.62,59.7,0.56,0.52
161,,Park Ji-soo,0,0,62.22,72.45,1.07,0.21
162,,Matheus Reis,0.15,0,60.42,58.92,0.88,0.88
163,,Mikel Villanueva,0.03,0,49.06,52.6,0.31,0.79
164,,Antonio Adán,0.1,0.03,100,60,0.06,0.06
165,,João Neves,0.06,0,58.33,56.91,1.29,0.88
166,,David Carmo,0.11,0,69.57,53.49,0.22,1.33
167,,Enea Mihaj,0.08,0,58.57,51.02,0.16,1
168,,Adrián Butzke,0.04,0.04,52.34,47.44,0.69,0.73
169,,Renato Pantalon,0.32,0.05,68.29,53.85,0.18,1.32
170,,Zainadine Júnior,0.13,0,65.35,66.1,0.96,0.96
171,,Rafa Mújica,0.04,0,34.44,36.64,0.78,1.63
172,,Michael Johnston,0.08,0,27.27,44.69,1,0.64
173,,Riccieli,0.1,0.03,58.62,56.19,0.6,0.97
174,,Lucas Alves,0.14,0,72.73,68.57,0.29,0.57
175,,Pedro Amaral,0.42,0,22.22,43.21,0.75,1
176,,Gonçalo Guedes,0.08,0,20,52.08,0.75,0.75
177,,Bruno Onyemaechi,0.21,0,56,61.04,1.21,0.72
178,,Duplexe Tchamba,0,0,65.22,61.22,0.8,0.8
179,,Tiago Esgaio,0.35,0,60.53,54.59,0.23,1
180,,Bernardo Vital,0.19,0,56.82,54.97,0.77,1.08
181,,Nuno Moreira,0.14,0,40.74,48.47,1.28,0.9
182,,Rúben Fernandes,0.15,0,58.44,52.52,0.35,0.58
183,,Mihai Alexandru Dobre,0.06,0.06,29.03,46.96,0.59,0.59
184,,Pedro Malheiro,0.19,0,38.3,53.16,0.56,1.44
185,,Salvador Agra,0.2,0,31.25,47.73,1.23,1
186,,Rafael Bracali,0.07,0,81.82,85.71,0.25,0
187,,Danny Namaso,0.09,0,39.29,40,0.41,0.95
188,,André Franco,0.12,0,42.86,43.21,0.82,0.71
189,,Marcelo Carné,0.29,0,100,90.91,0.29,0
190,,Anderson,0.23,0.03,59.32,59.31,0.6,0.83
191,,Nicolas Janvier,0.16,0,50,46.67,0.05,0.53
192,,Josafat Mendes,0.25,0,20,35.29,0.5,1
193,,Heriberto Tavares,0,0,40,40,0.75,0
194,,Jeremiah St. Juste,0.14,0,60.53,57,0.57,0.81
195,,Pedro Álvaro,0.27,0,65.52,53.19,0.5,1.5
196,,Álex Millán,0.08,0,33.33,45.36,1.46,0.69
197,,Alex Méndez,0.3,0,52.17,52.9,0.57,0.8
198,,Abel Ruíz,0.12,0,29.31,31.52,0.26,0.56
199,,Mihailo Ristić,0,0,50,54.55,0.14,0.29
200,,Julian Draxler,0,0,66.67,41.67,0.1,0.1
201,,Francisco Moura,0.18,0,50.75,45.63,0.71,1.39
202,,Josué Sá,0.28,0,64.29,51.04,0.44,1.56
203,,Pierre Sagna,0.21,0.04,68.75,62.42,0.54,0.79
204,,Igor Julião,0.3,0,40.74,60,2.15,1.15
205,,Rodrigo Abascal,0.26,0.04,57.41,51.52,0.19,1.11
206,,Pizzi,0.06,0,100,47.27,0.38,0.19
207,,Jerome Opoku,0.25,0.08,58.62,59.48,1.04,1.17
208,,Vitinho,0.11,0,54.55,50,0.44,0.22
209,,Otávio Ataíde da Silva,0.33,0,50,55.71,0.89,1.11
210,,Rúben Lameiras,0.21,0,8.33,44.63,1.21,0.53
211,,Nermin Zolotić,0.1,0.03,44.62,56.11,1.17,0.55
212,,Kanya Fujimoto,0.03,0,28.57,50,0.94,0.62
213,,Jhonder Cádiz,0,0.04,60.33,55.3,1.46,0.58
214,,Fran Navarro,0.12,0,40.96,41.55,1.32,1.65
215,,Kévin Zohi,0.04,0,33.33,50,0.52,0.32
216,,André Almeida,0.33,0,66.67,43.59,2.33,1.67
217,,Julien Lomboto,0,0,0,100,0,0
218,,Marco Pereira,0.13,0,100,75,0.25,0
219,,Flávio Ramos,0.11,0,80,68.75,0.44,0.67
220,,Antony Alves,0.09,0,31.43,45.56,0.82,0.97
221,,Gabriel Veron,0.06,0,33.33,42.65,0.47,0.88
222,,Nuno Lima,0.18,0.04,57.53,53.06,0.32,0.89
223,,Lucas Soares,0.15,0.04,48.72,52.38,0.85,0.78
224,,Jordan Holsgrove,0.38,0.04,33.33,46.67,0.96,1.63
225,,Uroš Račić,0.12,0,57.5,56.3,1,0.68
226,,Rui Pires,0.32,0,45.45,48.51,0.61,1.94
227,,Ricardo Esgaio,0.24,0,66.67,53.49,0.16,0.84
228,,Kenji Gorré,0.13,0,10,41.36,0.9,1
229,,Claudemir,0.23,0,60.71,50.49,0.23,0.68
230,,Daniel Silva,0.1,0,62.75,55.88,0.67,0.83
231,,Mohamed Diaby,0.16,0,64.52,57.28,0.88,1.36
232,,Adrián Marín,0.13,0.03,55.26,54.15,0.35,1.13
233,,Vincent Sasso,0.25,0,65.63,62.68,0.54,0.88
234,,Andreas Samaris,0.25,0,82.35,55.56,1.33,1.13
235,,Murilo Souza,0.04,0,22.64,34.01,0.86,0.64
236,,Jota Silva,0.27,0,41.98,45,1.73,1.1
237,,Gaius Makouta,0.28,0,61.11,53.16,1.59,1.19
238,,Róbert Boženík,0.22,0,27.66,38.71,0.78,0.87
239,,Bruno Lourenço,0.31,0,37.93,44.26,1.24,1.38
240,,João Mendes,0.1,0.03,30.77,43.9,1.9,1.26
241,,Saviour Godwin,0.27,0,31.58,39.74,1.4,1.83
242,,Léo Bolgado,0.27,0,62.96,59.62,0.18,0.73
243,,Paulo Bernardo,0.15,0.08,40.91,56.44,1,1
244,,Arthur Gomes,0.04,0,35.71,53.96,0.61,0.32
245,,Kiko Bondoso,0.06,0,17.24,47.44,1.59,0.38
246,,Neto,0.3,0,60,40.88,0.63,1.52
247,,Léo Natel,0,0,25,50,0,0.25
248,,Jordi,0.17,0,83.33,85.71,0.33,0
249,,Pedro Ortiz,0.22,0,55.56,48.44,0.33,1.33
250,,Brayan Riascos,0.31,0,52.27,48.89,1.19,1.13
251,,Joãozinho,0.23,0.03,37.21,50.94,0.63,0.67
