#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
102,,Jesús Rivas,2.5,0.63,0,1.88,0,0.63
103,,Jonathan Rodríguez,0.76,0.06,0,0.41,0,0.35
104,,José Castillo,2.33,0.89,0,2.22,0,0.22
105,,Alejandro Andrade,1.5,0.33,0.17,0.5,0,0.5
106,,Brayan Angulo,1.72,1.11,0,1,0,0.94
107,,Nicolás Ibáñez,0.4,0.05,0,0.4,0,0.25
108,,Gilberto Sepúlveda,0.87,1.73,0,2.6,0,0.27
109,,Osvaldo Rodríguez,2,1.11,0,1.89,0,0.56
110,,Fernando Madrigal,0.93,0.33,0,0.4,0,0.8
111,,Igor Lichnovsky,0.56,1.44,0,3.56,0.06,0.13
112,,Ricardo Chávez,1.9,1.05,0.05,2.52,0,0.71
113,,Fidel Ambríz,1.43,0.29,0,0.36,0,1
114,,Lucas Rodríguez,2.07,0.6,0,0.13,0,0.73
115,,Fernando Gorriarán,1.32,0.32,0,0.68,0,0.77
116,,Gastón Silva,2.11,1.06,0.06,4.28,0,1
117,,Diego Barbosa,4.5,1,0,1.81,0,1.38
118,,Domingo Blanco,2.45,0.64,0,0,0,0.27
119,,Omar Govea,0.88,0.76,0.06,0.53,0,0.41
120,,Jean Meneses,1.13,0.4,0,0.07,0,0.47
121,,Rodrigo Dourado,3.1,1.29,0,1.67,0,1.19
122,,Maximiliano Araújo,1.24,0.59,0,0.47,0,0.76
123,,Edgar López,0.44,0.19,0,0.25,0,0.13
124,,Eduardo Salvio,0.8,0.4,0.1,0.25,0,0.9
125,,Kevin Velasco,1.29,0.35,0,0.18,0,0.47
126,,Raúl Zúñiga,0.42,0.17,0,0.25,0,0.33
127,,Carlos Rodríguez,1.15,1,0,0.23,0,1.23
128,,Sebastián Cáceres,1.2,1.33,0,3.33,0,0.33
129,,Ricardo Gutierrez,0,0,0,0,0,0
130,,Adonis Frías,1.7,1.3,0.05,2.5,0.05,0.75
131,,Andrés Gudiño,0,0,0.07,0.57,0.07,0.14
132,,Vitinho,0.71,0.19,0,0.05,0,0.57
133,,Miguel Layún,0.93,0.57,0,0.36,0,0.79
134,,Víctor López,0.8,0.2,0,0,0,0.4
135,,Fernando Arce Jr.,2.64,1.57,0,1.07,0,1.21
136,,Facundo Almada,1,0.89,0.06,3.5,0,0.28
137,,Kevin Álvarez,1.63,0.53,0,0.89,0,0.58
138,,José Rangel,0,0,0,0,0,0
139,,Néstor Vidrio,1.25,0.75,0,5.75,0,0.5
140,,Ezequiel Unsaín,0,0,0,0.25,0.13,0
141,,Lucas Di Yorio,1.07,0.2,0,0.6,0,0.53
142,,Sébastien Salles-Lamonge,1.31,0.38,0,0.15,0,0.85
143,,Hugo Nervo,1.29,1.41,0,3.65,0,0.24
144,,Victor Guzmán,1.8,1.33,0,2.47,0,0
145,,Fernando González,2.33,1.11,0,1.44,0,0.94
146,,Jesús Corona,0.82,0.27,0,0.27,0,0.55
147,,Nathan Silva,1.45,1,0,3.5,0,0.5
148,,Diego Reyes,1.15,1.69,0,2.62,0,0.54
149,,Tomás Belmonte,1.9,1,0,1.1,0,0.9
150,,Héctor Moreno,0.6,1,0,1.9,0,0.3
151,,Camilo Vargas,0.06,0.06,0.06,0.53,0.06,0
152,,Cristian Calderón,1.93,0.73,0.07,1,0,0.67
153,,Rogelio Funes Mori,0.24,0.06,0,0.53,0,0.24
154,,Jordy Caicedo,0.36,0.21,0,1,0,0.36
155,,Luis Fuentes,1.65,0.55,0,1.4,0,0.5
156,,José Caicedo,2.5,2,0,1.2,0,1.8
157,,Gustavo Cabral,1.06,1.31,0,3.69,0,0.56
158,,Pablo González,1.76,1.71,0.06,1.94,0,0.53
159,,Miguel Jiménez,0.06,0,0,0.5,0,0
160,,Pedro Aquino,2.27,0.87,0,1.73,0,0.87
161,,Aldo Rocha,1.36,0.43,0,1,0,0.79
162,,Willer Ditta,1.6,1.07,0.07,1.87,0,0.8
163,,Ricardo Marín,0.78,0.33,0,0.22,0,0.56
164,,José Alvarado,0.53,0.42,0,0.74,0,0.32
165,,Emanuel Gularte,1.65,0.94,0.06,4.35,0,0.29
166,,Bryan Colula,2.29,0.43,0,2.21,0,0.93
167,,Daniel Álvarez,0.53,0.2,0,0.33,0,0.67
168,,Lucas Romero,1.88,0.63,0,0.56,0,1.19
169,,Sergio Barreto,1.94,1.69,0.13,5.63,0,0.5
170,,Alan Mozo,3.71,1,0.06,1.06,0,0.82
171,,Sait Tlaxcalteco,2,0,0,0,0,0
172,,Julio Furch,0,0,0,1,0,0
173,,Haret Ortega,1.33,2.67,0.33,7.67,0.33,0
174,,Daniel Parra,0,2,0,2,0,2
175,,Ramón Pasquel,0,0,0,0,0,0
176,,Raúl Gudiño,0,0,0,0.6,0,0
177,,Luis Olivas,1.82,1,0,3.27,0,0.82
178,,José Abella,2.06,1.24,0,2.12,0,1.24
179,,Julio César Domínguez,0.85,0.55,0,3.2,0,0.25
180,,Miguel Rodriguez,2.24,1.24,0,1.88,0,0.53
181,,Carlos Acevedo,0,0,0,1.25,0,0
182,,Érick Gutiérrez,2.57,0.43,0,0.57,0,0.5
183,,Érick Aguirre,2.71,0.71,0.14,1.57,0,0.43
184,,Samir Caetano,1.63,1.26,0,2.05,0,0.47
185,,Yoel Bárcenas,1.09,0.55,0,0.27,0,1.18
186,,Jhon Murillo,0.71,0.38,0,0.33,0,0.76
187,,Lisandro Magallán,1.72,1.11,0,3.89,0,0.06
188,,Sebastian Olmedo,1.75,1.69,0.06,4.13,0,0.88
189,,Javier López,0.5,0,0,0.13,0,0.38
190,,Víctor Guzmán,1.43,0.07,0,0.5,0,0.86
191,,Isaac Brizuela,0.54,0.31,0,0.08,0,0.31
192,,Nicolás Benedetti,0.89,0.11,0,0,0,0.67
193,,Alexis Canelo,1.33,0.33,0,2,0,0.67
194,,Fabricio Formiliano,0,2.33,0,5.67,0,1
195,,Juan Vigón,0.78,0.39,0,0.26,0,0.78
196,,Rodrigo Huescas,1.06,0.63,0,0.69,0.06,0.5
197,,Luis Malagón,0,0,0,0.55,0.05,0
198,,Iván Moreno,1.63,0.68,0,0.74,0,1.11
199,,Bryan González,0.71,0.29,0,0.29,0,0.43
200,,Pedro Raul,0.07,0,0,0.43,0,0.29
201,,Jaziel Martínez,0.71,0.5,0,0.79,0,0.79
202,,Carlos Robles,1,1.43,0,1.57,0,0.14
203,,Borja Sánchez,1,0,0,0.3,0,0.8
204,,Carlos Salcedo,0.67,0.87,0,3.2,0.07,0.47
205,,Kevin Balanta,2.07,1.67,0,3.47,0,0.47
206,,Lucas Merolla,1.25,1.25,0,5.5,0,0.5
207,,Kevin Ortega,1,0,0,0,0,0.5
208,,Elias Montiel,1.55,0.73,0,0.45,0,1.55
209,,Diber Cambindo,0.25,0.06,0,0.56,0,0.19
210,,Jürgen Damm,0.65,0.12,0,0.35,0,0.41
211,,Alan Cervantes,1.42,0.58,0,1,0,0.89
212,,Ángel Zapata,0.5,0.08,0.08,0.33,0,0.08
213,,Juan Dinenno,0.15,0.05,0,0.15,0,0.4
214,,Aitor García,0.87,0.4,0,0.27,0,0.87
215,,Rodolfo Cota,0,0,0,1.1,0,0.1
216,,Erik Lira,1.85,0.85,0,0.77,0,1.62
217,,José Rodríguez,1.9,0.86,0,0.76,0,0.71
218,,Francisco Venegas,1.55,0.64,0,0.55,0,0.18
219,,Denzell Garcia,1.07,0.29,0,0.79,0,0.93
220,,Gustavo del Prete,0.94,0.11,0,0.39,0,0.61
221,,Byron Castillo,2.5,0.5,0,2.2,0,0.8
222,,Jefferson Intriago,1.72,0.5,0,0.78,0,0.78
223,,Claudio Baeza,1.93,0.47,0,0.73,0,1.27
224,,Antonio Briseño,0.46,1.23,0.08,4.38,0,0.15
225,,Arturo Ortiz,1.22,0.89,0,2.67,0,0.67
226,,Roberto de la Rosa,0.07,0.07,0,1.07,0,0.2
227,,Jesús Molina,1,0.46,0,1,0,0.15
