#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
107,,Nicolás Ibáñez,0.35,0.25,35,1.85,0.1,0
108,,Gilberto Sepúlveda,0,0,50,0.2,0,0
109,,Osvaldo Rodríguez,0.06,0.17,58.33,0.67,0,0
110,,Fernando Madrigal,0.33,0,50,1.73,0,0
111,,Igor Lichnovsky,0.13,0,100,0.38,0.06,0
112,,Ricardo Chávez,0.1,0.19,59.09,1,0.05,0
113,,Fidel Ambríz,0.14,0,64.71,2.07,0,0
114,,Lucas Rodríguez,0.07,0.2,58.7,1.13,0,0
115,,Fernando Gorriarán,0,0.18,42.31,1.45,0,0
116,,Gastón Silva,0.06,0.06,100,0.5,0,0
117,,Diego Barbosa,0,0.06,55,0.88,0,0
118,,Domingo Blanco,0.09,0,44.12,0.64,0,0
119,,Omar Govea,0,0,75,0.41,0,0
120,,Jean Meneses,0,0.07,67.74,1,0,0
121,,Rodrigo Dourado,0.05,0.05,53.85,0.38,0,0
122,,Maximiliano Araújo,0.12,0.29,48.39,1.29,0.06,0
123,,Edgar López,0.19,0.06,58.33,1,0,0
124,,Eduardo Salvio,0.05,0.25,43.59,2.55,0,0
125,,Kevin Velasco,0.06,0.06,55.81,1.41,0,0
126,,Raúl Zúñiga,0.5,0.17,38.89,1.83,0.17,0
127,,Carlos Rodríguez,0,0.08,50,1.08,0,0
128,,Sebastián Cáceres,0,0,66.67,0.33,0,0
129,,Ricardo Gutierrez,0,0,0,0,0,0
130,,Adonis Frías,0.05,0.25,71.43,1.15,0.05,0
131,,Andrés Gudiño,0,0,0,0.07,0,0
132,,Vitinho,0.33,0.05,50,1.86,0.1,0
133,,Miguel Layún,0,0.14,61.54,0.64,0,0
134,,Víctor López,0.2,0,37.5,0.9,0.1,0
135,,Fernando Arce Jr.,0.14,0,62.5,0.79,0,0
136,,Facundo Almada,0.11,0,100,0.72,0.06,0
137,,Kevin Álvarez,0.05,0.11,51.61,0.84,0,0
138,,José Rangel,0,0,0,0,0,0
139,,Néstor Vidrio,0,0,100,0,0,0
140,,Ezequiel Unsaín,0,0,0,0,0,0
141,,Lucas Di Yorio,0.13,0.27,33.33,2.73,0,0
142,,Sébastien Salles-Lamonge,0.08,0,57.14,0.92,0,0
143,,Hugo Nervo,0,0,0,0.35,0,0
144,,Victor Guzmán,0,0.13,62.5,0.33,0,0
145,,Fernando González,0,0,42.86,0.22,0,0
146,,Jesús Corona,0,0.09,50,0.82,0,0
147,,Nathan Silva,0.1,0.05,83.33,0.45,0.05,0
148,,Diego Reyes,0,0,66.67,0.38,0,0
149,,Tomás Belmonte,0.1,0,42.86,0.8,0,0
150,,Héctor Moreno,0,0,0,0,0,0
151,,Camilo Vargas,0,0,0,0,0,0
