#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
107,,Nicolás Ibáñez,0,0.1,0,0,0.45,0.1
108,,Gilberto Sepúlveda,0,0.33,0,0,0.87,0.2
109,,Osvaldo Rodríguez,0,0.11,0,0,0.78,0.06
110,,Fernando Madrigal,0,0,0,0,0.73,0.07
111,,Igor Lichnovsky,0,0.31,0,0,0.56,0.13
112,,Ricardo Chávez,0,0.19,0,0,1.19,0.24
113,,Fidel Ambríz,0,0,0,0,0.86,0.07
114,,Lucas Rodríguez,0,0.07,0,0,0.87,0.13
115,,Fernando Gorriarán,0,0.09,0,0,0.55,0.18
116,,Gastón Silva,0,0.11,0,0,1.5,0.17
117,,Diego Barbosa,0,0.13,0,0,1.25,0.19
118,,Domingo Blanco,0,0,0,0,1.09,0.18
119,,Omar Govea,0,0.06,0,0,0.53,0.06
120,,Jean Meneses,0,0.13,0,0,0.67,0.07
121,,Rodrigo Dourado,0,0.24,0,0,1.14,0.24
122,,Maximiliano Araújo,0,0.12,0,0,0.59,0.12
123,,Edgar López,0,0.13,0,0,0.5,0.19
124,,Eduardo Salvio,0,0,0,0,0.7,0.15
125,,Kevin Velasco,0,0,0,0,1.24,0.12
126,,Raúl Zúñiga,0,0,0,0,1.33,0
127,,Carlos Rodríguez,0,0.08,0,0,1,0.31
128,,Sebastián Cáceres,0,0.47,0,0,0.4,0.13
129,,Ricardo Gutierrez,3,0,0,0,1,0.33
130,,Adonis Frías,0,0.2,0,0,1.4,0.1
131,,Andrés Gudiño,3.43,0.14,0.29,0,1.21,0.36
132,,Vitinho,0,0.05,0,0,0.9,0.19
133,,Miguel Layún,0,0.21,0,0,0.36,0.07
134,,Víctor López,0,0,0,0,0.1,0
135,,Fernando Arce Jr.,0,0.21,0,0,1.21,0
136,,Facundo Almada,0,0.22,0,0,1.22,0.39
137,,Kevin Álvarez,0,0.26,0,0,0.53,0.16
138,,José Rangel,3,0,0,0,0.5,0
139,,Néstor Vidrio,0,0.25,0,0,0.75,0.25
140,,Ezequiel Unsaín,2.88,0.38,0.13,0,1.13,0.38
141,,Lucas Di Yorio,0,0.07,0,0,1.2,0
142,,Sébastien Salles-Lamonge,0,0,0,0,0.62,0.15
143,,Hugo Nervo,0,0.29,0,0,1,0.41
144,,Victor Guzmán,0,0.33,0,0,0.73,0.07
145,,Fernando González,0,0.17,0,0,0.83,0.17
146,,Jesús Corona,0,0.09,0,0,0.64,0
147,,Nathan Silva,0,0.25,0,0,0.8,0.15
148,,Diego Reyes,0,0.23,0,0,1,0.08
149,,Tomás Belmonte,0,0,0,0,0.8,0
150,,Héctor Moreno,0,0.4,0,0,0.6,0
151,,Camilo Vargas,2.88,0.29,0.24,0,1,0.41
152,,Cristian Calderón,0,0.27,0,0,1.07,0.27
153,,Rogelio Funes Mori,0,0.12,0,0,0.59,0
154,,Jordy Caicedo,0,0.07,0,0,1,0.43
155,,Luis Fuentes,0,0.3,0,0,0.45,0.15
156,,José Caicedo,0,0.2,0,0,1.2,0.1
157,,Gustavo Cabral,0,0.25,0,0,1.5,0.13
158,,Pablo González,0,0.12,0,0,1.18,0.18
159,,Miguel Jiménez,2.78,0.33,0.33,0.06,1.06,0.28
160,,Pedro Aquino,0,0.07,0,0,1.13,0.13
161,,Aldo Rocha,0,0.29,0,0,0.86,0.21
162,,Willer Ditta,0,0.13,0,0,1.2,0.47
163,,Ricardo Marín,0,0,0,0,0.89,0.22
164,,José Alvarado,0,0.05,0,0,1,0.11
165,,Emanuel Gularte,0,0.29,0,0,1.65,0.06
166,,Bryan Colula,0,0.21,0,0,0.93,0.21
167,,Daniel Álvarez,0,0,0,0,1,0.07
168,,Lucas Romero,0,0.19,0,0,1,0.06
169,,Sergio Barreto,0,0.19,0,0,1.5,0.13
170,,Alan Mozo,0,0.35,0,0,1,0.24
171,,Sait Tlaxcalteco,0,0,0,0,0,0
172,,Julio Furch,0,0,0,0,0.5,0
173,,Haret Ortega,0,0,0,0,0.67,0.67
174,,Daniel Parra,0,1,0,0,0,0
175,,Ramón Pasquel,1,0,1,0,1,0
