#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
98,,Christian Oliva,0.1,0,50,61.9,0.5,0.1
99,,Facundo Batista,0.2,0,32.67,34.19,0.53,1.33
100,,Carlos Rotondi,0.33,0,62.07,48.31,0.4,1.67
101,,Andrés Mosquera,0.13,0,56.52,56.07,0.69,1.25
102,,Jesús Rivas,0.25,0,42.86,58.18,0.25,1
103,,Jonathan Rodríguez,0.12,0,40.91,44.32,0.35,0.76
104,,José Castillo,0.11,0,55.81,54.64,0.67,1.22
105,,Alejandro Andrade,0.17,0,75,64.71,1.5,1.5
106,,Brayan Angulo,0.22,0,66.67,56.91,1.06,0.83
107,,Nicolás Ibáñez,0.1,0,40.91,42.37,0.4,0.45
108,,Gilberto Sepúlveda,0.27,0,55.29,58.21,1.13,0.67
109,,Osvaldo Rodríguez,0.17,0,51.43,56.8,0.56,1
110,,Fernando Madrigal,0.13,0,50,48.6,1.07,0.87
111,,Igor Lichnovsky,0.5,0,65.45,61.45,0.25,0.69
112,,Ricardo Chávez,0.33,0,57.97,53.21,1.1,1.38
113,,Fidel Ambríz,0,0.07,56.67,48.6,0.36,0.86
114,,Lucas Rodríguez,0.07,0,21.43,53.46,1.6,0.87
115,,Fernando Gorriarán,0.14,0,50,44.97,1.05,1.36
116,,Gastón Silva,0.17,0,41.38,52.34,0.22,0.39
117,,Diego Barbosa,0.25,0,68.18,59.62,1,1.13
118,,Domingo Blanco,0.09,0,16.67,51.67,1.73,1.36
119,,Omar Govea,0.29,0,55,43.82,0.59,1.47
120,,Jean Meneses,0,0.13,41.18,48.74,0.87,0.73
121,,Rodrigo Dourado,0.19,0.05,66.67,55.84,0.57,1.52
122,,Maximiliano Araújo,0.24,0.06,50,47.18,1.82,1.41
123,,Edgar López,0.13,0,33.33,42.86,0.75,0.31
124,,Eduardo Salvio,0.2,0,55.56,41.38,0.7,1
125,,Kevin Velasco,0.24,0,26.67,45.64,1.06,1.53
126,,Raúl Zúñiga,0.17,0.08,47.14,43.08,0.92,1.08
127,,Carlos Rodríguez,0.23,0.08,0,39.77,1,0.85
128,,Sebastián Cáceres,0.2,0,60.47,61.8,0.47,0.53
129,,Ricardo Gutierrez,0.33,0,100,100,0.67,0
130,,Adonis Frías,0.3,0,68.25,61.64,0.5,0.8
131,,Andrés Gudiño,0.21,0,100,57.14,0.14,0.07
132,,Vitinho,0.1,0,16.67,42.86,0.76,0.24
133,,Miguel Layún,0.14,0,100,60,0.36,0.14
134,,Víctor López,0.1,0,37.5,41.3,0.2,0.3
135,,Fernando Arce Jr.,0.36,0,68.75,56.76,0.71,1.21
136,,Facundo Almada,0.17,0,66.1,63.73,0.28,0.5
137,,Kevin Álvarez,0.16,0.05,54.17,47.02,0.58,1.58
138,,José Rangel,0.5,0,0,0,0,0
139,,Néstor Vidrio,0,0,63.64,69.57,0.5,0.25
140,,Ezequiel Unsaín,0,0,100,100,0,0
141,,Lucas Di Yorio,0.07,0,54.74,47.26,1.47,1.33
142,,Sébastien Salles-Lamonge,0,0,16.67,43.42,0.85,0.77
143,,Hugo Nervo,0.12,0,53.85,58.78,0.53,0.59
144,,Victor Guzmán,0,0,56.86,61.11,0.33,0.87
145,,Fernando González,0.06,0,50,58.09,0.89,0.83
146,,Jesús Corona,0.09,0,0,47.32,1.73,1
147,,Nathan Silva,0.35,0,46.99,50.33,0.2,0.75
148,,Diego Reyes,0.08,0,48.94,50,0.08,0.54
149,,Tomás Belmonte,0.1,0.1,30.43,45,0.7,1.4
150,,Héctor Moreno,0.3,0,47.37,52.63,0.5,0.4
151,,Camilo Vargas,0.18,0,100,83.33,0.12,0.06
152,,Cristian Calderón,0.2,0,40.54,51.3,0.53,0.8
153,,Rogelio Funes Mori,0.18,0,53.13,41.25,0.59,0.41
154,,Jordy Caicedo,0.21,0,50.68,39.61,0.71,1.64
155,,Luis Fuentes,0.05,0,55.88,57.26,0.9,0.8
156,,José Caicedo,0.4,0,51.85,51.43,1.4,1.3
157,,Gustavo Cabral,0.44,0,60.87,56.94,0.5,0.69
158,,Pablo González,0.06,0,44,50.53,0.29,1.18
159,,Miguel Jiménez,0,0,100,100,0.28,0
160,,Pedro Aquino,0.4,0.07,60,55.33,0.93,1.93
161,,Aldo Rocha,0.29,0.07,54.17,53.54,1,0.64
162,,Willer Ditta,0.27,0,36.73,48.8,0.47,1.07
163,,Ricardo Marín,0,0.06,49.48,43.5,0.61,0.78
164,,José Alvarado,0,0,42.42,46.76,0.79,0.53
165,,Emanuel Gularte,0.24,0,54.29,57.71,0.59,1.06
166,,Bryan Colula,0.29,0.07,44.83,53.85,0.57,0.71
167,,Daniel Álvarez,0,0,30,43.04,0.6,0.2
168,,Lucas Romero,0.25,0.06,63.16,51.28,0.75,1.19
169,,Sergio Barreto,0.31,0,71.11,67.11,0.44,0.94
170,,Alan Mozo,0.24,0,50,57.42,1,1.06
171,,Sait Tlaxcalteco,0,0,0,100,0,0
172,,Julio Furch,0,0,55.56,54.55,1,0
173,,Haret Ortega,0.33,0,70,70,1.33,1.33
174,,Daniel Parra,0,0,33.33,9.09,0,2
175,,Ramón Pasquel,1,0,0,0,0,0
176,,Raúl Gudiño,0.1,0,100,100,0.1,0
177,,Luis Olivas,0.18,0,57.14,53.16,0.45,1.18
178,,José Abella,0.18,0,36.36,48.12,0.82,0.88
179,,Julio César Domínguez,0.15,0,54.17,60.92,0.4,0.3
180,,Miguel Rodriguez,0.29,0,56.82,53.23,0.94,1.47
181,,Carlos Acevedo,0.13,0,75,75,0,0
182,,Érick Gutiérrez,0.14,0,55.17,60.66,1.29,1.21
183,,Érick Aguirre,0,0,36.36,65.79,0.29,0.57
184,,Samir Caetano,0.21,0,60.34,58.11,0.89,1.26
185,,Yoel Bárcenas,0.27,0,62.5,42.48,0.91,0.82
186,,Jhon Murillo,0.1,0,41.18,49.71,1.43,0.81
187,,Lisandro Magallán,0.22,0,65.43,60.27,0.22,1.61
188,,Sebastian Olmedo,0.25,0,63.27,57.25,0.38,1.19
189,,Javier López,0,0,50,46.15,0.38,0.25
190,,Víctor Guzmán,0.21,0,36.84,44.04,0.79,0.93
191,,Isaac Brizuela,0,0,47.06,50,1.15,0.62
192,,Nicolás Benedetti,0.22,0,22.22,32.95,1.11,1.11
193,,Alexis Canelo,0,0,63.16,45.65,1,1.67
194,,Fabricio Formiliano,0.33,0,58.33,47.37,0.67,0.67
195,,Juan Vigón,0.04,0,38.46,47.69,0.87,0.74
196,,Rodrigo Huescas,0.13,0,57.14,56.52,0.69,0.44
197,,Luis Malagón,0.1,0,100,90,0.25,0
198,,Iván Moreno,0.05,0,26.67,47.58,0.63,0.16
199,,Bryan González,0.14,0,72.73,51.22,0.57,0.57
200,,Pedro Raul,0.07,0,60,50,0.57,0.79
201,,Jaziel Martínez,0.07,0,50,40.63,0.29,0.5
202,,Carlos Robles,0.29,0,75,71.05,0.29,0.43
203,,Borja Sánchez,0.3,0,55.56,47.44,0.8,0.7
204,,Carlos Salcedo,0.27,0,72.88,67.78,0.4,0.4
205,,Kevin Balanta,0.2,0.07,45.45,56.14,0.4,1.07
206,,Lucas Merolla,0.75,0,68.18,63.41,1.5,1.5
207,,Kevin Ortega,0,0,0,71.43,1,0.5
208,,Elias Montiel,0.09,0,40.74,44.17,0.91,0.55
209,,Diber Cambindo,0.25,0,34.78,30.2,0.31,1.88
210,,Jürgen Damm,0.06,0,58.82,46.38,0.29,0.59
211,,Alan Cervantes,0.11,0,46.67,53.7,1,0.68
212,,Ángel Zapata,0.08,0,25,51.22,1,0.67
213,,Juan Dinenno,0.1,0,46.84,38.36,0.4,0.55
214,,Aitor García,0.13,0.07,50,50,0.67,0.73
215,,Rodolfo Cota,0.1,0,100,84.62,0.25,0
216,,Erik Lira,0,0,43.33,50.79,1.54,0.38
217,,José Rodríguez,0.05,0,43.48,53.03,0.48,1
218,,Francisco Venegas,0.18,0,60,63.16,0.45,0.55
219,,Denzell Garcia,0,0,45.45,52.63,0.86,0.86
220,,Gustavo del Prete,0.17,0,46.67,43.36,1,1.11
221,,Byron Castillo,0.2,0.1,33.33,53.47,2,1.5
222,,Jefferson Intriago,0.22,0,57.14,55.15,1.5,0.89
223,,Claudio Baeza,0.33,0,45.83,49.15,0.8,1.33
224,,Antonio Briseño,0.38,0,57.14,54.68,0.77,1.08
225,,Arturo Ortiz,0.33,0,58.62,56.36,0.22,0.56
226,,Roberto de la Rosa,0,0,29.73,33.33,0.27,0.33
227,,Jesús Molina,0.08,0,71.43,69.81,0.31,0.54
228,,Guido Pizarro,0.09,0,49.32,50.88,1.05,0.73
229,,Camilo Sanvezzo,0.23,0,53.33,43.48,0.46,1.08
230,,Ismael Govea,0.17,0,65.63,63.74,1.17,0.75
231,,Juan Escobar,0.5,0,67.24,60.29,1.21,1.29
