Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Ricardo Batista,0,0,100,0,0,0,0,0.03,0,1.35,0.03,0.03,0,0,28.94,61.09,0.81,34.72,3.23,0.35,0.19,0.06,0.9,0.1,0.16,0,84.62,89.29,0.42,0,31
António Silva,0.1,0.1,60,0.6,0.07,0,1.9,1.27,0.03,2.9,0.03,0.57,0,0,64.13,91.53,6.27,59.8,0,0.53,0,0,0.53,0.07,0.17,0,61.33,56.67,0.33,1.27,30
Matouš Trmal,0,0,0,0,0,0,0,0,0,0.67,0,0.17,0,0,25.83,71.61,0.5,34.33,3.5,0.33,0.17,0,0.83,0,0,0,100,66.67,0,0,6
Bruno Xadas,0.09,0.03,55.32,2.34,0,0,0.88,0.41,0,0.44,0,1,0.44,0.19,28.72,81.28,9.47,56.88,0,0.03,0,0,1.16,0.13,0.13,0,58.33,41.62,0.5,1.03,32
Iván Marcano,0.16,0.04,60,0.6,0.12,0,0.72,1.08,0,2.56,0,0.4,0.04,0,62.76,89.93,4.16,65.73,0,0.52,0,0,0.52,0.08,0.36,0.04,67.39,56.6,0.28,1.04,25
Yanis Hamache,0,0,100,1,0,0,1,0.5,0,3.5,0,1,0,0.5,38.5,75.32,7.5,0,0,0.5,0,0,0.5,0,0,0,33.33,37.5,1,1.5,2
Gonçalo Ramos,0.63,0.73,48.72,3.27,0.1,0,0.67,0.1,0,1.2,0,0.47,0.13,0.07,14.7,72.56,4.63,66.67,0,0.1,0,0,0.47,0.03,0.07,0.03,49.24,45.94,1.43,1.67,30
Stanislav Kritsyuk,0,0,0,0,0,0,0.09,0,0,1.27,0,0,0,0,28.64,80.32,0.73,54.89,3.64,0.09,0.09,0,1.36,0,0.18,0,80,87.5,0.18,0,11
Bruma,0.25,0.19,57.14,1.88,0,0,1.44,0.5,0,0.38,0,0.63,0.25,0.38,27.31,80.32,11.63,65,0,0,0,0,0.56,0,0.19,0,14.29,50.67,0.75,0.56,16
Marcus Edwards,0.21,0.18,51.11,1.58,0.03,0,0.42,0.15,0,0.06,0,0.73,0.45,0.15,25.91,81.99,12.03,83.33,0,0.06,0,0,0.58,0.06,0.12,0,11.76,45.89,1.48,0.45,33
Mateus Uribe,0.13,0.13,71.43,1,0,0,2.35,1.65,0.03,1.29,0,1.16,0.06,0,54.84,85.35,11.03,65.61,0,0.32,0,0,0.48,0.03,0.19,0.03,67.42,55.87,0.74,1.74,31
João Basso,0.09,0.03,65,0.44,0.03,0,1.72,1.59,0.03,4.72,0.03,0.66,0,0.03,49.53,87.07,3.38,48.21,0,0.44,0,0,0.94,0.16,0.13,0,61.9,64.78,0.91,0.59,32
Iván Jaime,0.38,0.17,56.47,3,0.04,0,0.83,0.46,0,0.17,0,0.71,0.13,0.13,23.75,80.18,7.71,70.59,0,0.04,0,0,0.92,0.08,0.13,0,37.5,54.35,2.92,0.71,24
Filipe Relvas,0,0.09,55.56,0.52,0,0,1.52,1.7,0,4,0,0.27,0.03,0.03,49.97,83.2,4.88,59.36,0,0.21,0,0,1.3,0.09,0.12,0,74.47,70.75,0.42,0.58,33
Santiago Colombatto,0.09,0.06,35,0.94,0,0.43,1.79,0.97,0,0.88,0,1.12,0.09,0.18,37.76,88.2,6.3,62.04,0,0.18,0,0,1,0.15,0.27,0,32.61,47.46,1.79,1.76,33
Tomás Araújo,0.05,0.05,57.89,0.59,0.05,0,1.95,1.32,0,3.77,0,0.68,0.14,0.09,59.23,85.88,5.59,52.38,0,0.18,0,0,1,0,0.23,0,60.56,57.38,0.36,1.05,22
Florentino Luís,0,0.03,72.22,0.36,0,0,2.45,1.91,0,0.82,0,0.61,0.06,0.09,55.85,90.07,13.73,65.18,0,0.24,0,0,0.3,0.06,0.15,0,61.02,59.57,0.21,1,33
Gonçalo Rodrigues,0.06,0,64.29,1.55,0,0,1.94,0.76,0,0.67,0.03,1.3,0.06,0.06,42.82,87.26,9.7,71.43,0,0.18,0,0,1.06,0.18,0.09,0.03,33.33,53.77,2.03,1.24,33
Chiquinho,0.04,0,57.14,0.52,0.04,0,1.84,0.64,0,0.16,0,0.52,0.12,0,41.92,91.6,11.84,73.4,0,0.2,0,0,0.28,0.04,0.08,0,48,58.68,1.12,1.04,25
