#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
104,,Jack Durán,0.16,0.04,54.55,1.6,0,0
105,,Matías Succar,0.21,0.14,50,2.5,0,0
106,,Andy Polo,0.04,0.04,54.9,1.7,0,0
107,,Frank Ysique,0,0,60,0.3,0,0
108,,Facundo Rodríguez,0.22,0,100,1.44,0,0
109,,Andy Vidal,0,0,100,0,0,0
110,,Alberto Quintero,0.13,0.06,50,1.03,0,0
111,,Miguel Vargas,0,0,0,0,0,0
112,,Alec Deneumostier,0,0.03,100,0.37,0,0
113,,Diego Saffadi,0.11,0.07,41.18,1.52,0,0
114,,Leandro Fleitas,0.03,0,80,0.41,0.03,0
115,,Jesús Castillo,0.07,0.03,66.67,0.38,0,0
116,,Sebastián Ramírez,0,0.1,100,1.2,0,0
117,,Gianfranco Chávez,0.07,0.07,100,0.32,0.04,0
118,,Leandro Sosa,0.14,0.09,61.76,1.26,0,0
119,,Jhon Marchán,0,0,60,0.95,0,0
120,,Hugo Ángeles,0.09,0.09,76.92,0.5,0,0
121,,Marcio Valverde,0.13,0.04,81.82,1.5,0,0
122,,Minzun Quina,0.13,0.07,75,0.67,0,0.95
123,,Lucas Rodríguez,0.08,0,81.82,1.31,0,0
124,,José Ataupillco,0,0,100,0,0,0
125,,Sergio Barboza,0,0,57.14,0.29,0,0
126,,Javier Núñez,0.29,0.1,47.5,1.24,0.05,0
127,,Brandon Palacios,0.38,0.19,50,1.19,0,0
128,,Victor Balta,0.13,0.03,0,0.6,0.07,0
129,,Luis Trujillo,0.1,0.03,50,0.84,0,0.54
130,,Joao Ortiz,0,0,44.44,0.63,0,0
131,,Diego Manicero,0.05,0.05,50,1.45,0,0
132,,Carlos Beltran,0.14,0,33.33,1.25,0.11,0
133,,Piero Guzman,0.17,0,66.67,0.5,0.08,0
134,,Ray Sandoval,0.43,0.1,48.28,1.48,0,2.38
135,,Rodrigo Cuba,0.14,0.1,100,0.43,0.05,0
136,,Nilson Loyola,0.11,0.04,45,0.67,0,0
137,,Diego Morales,0.08,0.04,48.81,1.19,0,0
138,,Jeremy Canela,0.13,0.03,58.82,1.4,0,0
139,,Jorge Palomino,0.09,0,37.5,0.18,0,0
140,,Fabrizio Roca,0.2,0,50,1,0,0
141,,José Miguel Manzaneda,0.16,0.1,63.46,1.23,0.03,0
142,,Cristian Bordacahar,0.03,0.17,41.67,1.3,0.03,0
143,,Carlos Caraza,0,0,34.48,0.44,0,0
144,,Jose Bolivar,0,0,65.12,0.27,0,0
145,,Johnny Vidales,0.13,0.08,48.89,1.42,0,0
