#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
101,,Christian Gonzalo Limousin,0.03,0.06,0,0.79,0.06,0.03
102,,Nelinho Quina,0.9,0.86,0,3.41,0,0.24
103,,Rafael Lutiger,1,0.9,0,2.33,0,0.33
104,,Jack Durán,0.72,0.32,0.04,0.2,0,0.36
105,,Matías Succar,1,0,0,0.21,0,0.29
106,,Andy Polo,0.52,0.59,0,0.56,0,0.56
107,,Frank Ysique,1.6,1.43,0,0.67,0,0.57
108,,Facundo Rodríguez,0.67,0.44,0,0.33,0,0.67
109,,Andy Vidal,0,0,0,1.11,0.04,0.04
110,,Alberto Quintero,0.91,0.28,0,0.22,0,0.16
111,,Miguel Vargas,0.03,0.03,0,0.59,0,0.07
112,,Alec Deneumostier,1.97,1.13,0,2.6,0.03,0.5
113,,Diego Saffadi,1.22,0.22,0,0.3,0,0.52
114,,Leandro Fleitas,0.79,2.03,0,4.17,0,0.21
115,,Jesús Castillo,1.66,0.9,0,0.59,0.03,0.62
116,,Sebastián Ramírez,1,1.6,0,3.5,0,0.1
117,,Gianfranco Chávez,1.11,1.96,0.04,3.07,0.04,0.18
118,,Leandro Sosa,0.69,0.29,0,0.46,0,0.49
119,,Jhon Marchán,0.95,0.37,0,0.11,0,0.58
120,,Hugo Ángeles,1.59,1.09,0.05,1.95,0,0.59
121,,Marcio Valverde,0.33,0.46,0,0.88,0,0.33
122,,Minzun Quina,1.3,1.57,0.03,3.63,0,0.4
123,,Lucas Rodríguez,3.69,1.31,0,1.23,0,1.38
124,,José Ataupillco,4.5,2,0,0,0,1
125,,Sergio Barboza,3.57,1.14,0,0.86,0,1
126,,Javier Núñez,0.76,0.71,0,0.29,0,0.62
127,,Brandon Palacios,1.13,0.81,0,0.31,0,0.5
128,,Victor Balta,1.03,1,0.03,4.03,0,0.17
129,,Luis Trujillo,0.65,1,0,0.68,0,0.26
130,,Joao Ortiz,1.67,1.78,0.04,1.41,0,0.89
131,,Diego Manicero,0.32,0.09,0,0.05,0,0.32
132,,Carlos Beltran,1.46,0.64,0,1.32,0,0.39
133,,Piero Guzman,0.58,1.08,0,3.5,0,0.25
134,,Ray Sandoval,0.76,0.19,0,0.43,0,0.57
135,,Rodrigo Cuba,1.38,1.33,0,2.62,0,0.67
136,,Nilson Loyola,1.48,1.33,0.04,1.52,0,0.48
137,,Diego Morales,1.38,0.27,0,0.08,0,0.65
138,,Jeremy Canela,1.07,0.47,0,0.47,0,0.43
139,,Jorge Palomino,2.27,1.09,0.09,0.91,0,0.55
140,,Fabrizio Roca,0.2,0.2,0,0.8,0,0.4
141,,José Miguel Manzaneda,1.19,0.35,0,0.58,0,0.68
142,,Cristian Bordacahar,1.03,0.43,0,0.67,0,0.83
143,,Carlos Caraza,1.76,2.24,0,1.52,0,1
144,,Jose Bolivar,2.3,2,0.07,2.03,0,0.77
145,,Johnny Vidales,0.33,0.25,0,0.58,0,0.38
146,,Ademar Robles,1.25,0.13,0,0,0,0.38
147,,Luciano Nieto,0.8,0.4,0,0.4,0,0.43
148,,Ángel Cayetano,1.63,0.81,0,1.38,0,0.44
149,,Beto Da Silva,1.1,0.43,0,0.53,0,0.33
150,,Ángel Ojeda,1.43,0.64,0,1,0,0.29
151,,Julio Landauri,1.17,0,0,0.17,0,0.42
152,,Joaquín Aguirre,1.65,1.52,0.03,2,0,0.71
153,,Herve Kambou,1.06,2,0,3,0,0.25
154,,Johan Madrid,1.26,1.06,0.03,1.61,0,0.29
155,,Othoniel Arce,0.18,0.27,0,0.09,0,0.45
156,,Yuriel Celi,1.1,0.5,0,0.87,0,0.63
157,,Jordan Guivin,1.87,0.53,0,0.67,0,0.47
158,,Emiliano Ciucci,1.67,1.3,0,2.33,0,0.53
159,,Cristian Florez,1.67,1.48,0,3.41,0,0.37
160,,Hideyoshi Arakaki,0.55,0.38,0,0.28,0,0.28
161,,Daniel Morales,0.68,0.23,0,0.36,0,0.23
162,,Ignacio Barrios,0.05,0,0.05,1.45,0,0.05
163,,Jesús Reyes,2,0.75,0.25,2,0,0
164,,Renato Solís,0,0,0.1,1,0,0
165,,Marco Saravia,1.24,1.14,0,3.69,0,0.28
166,,Iván Santillán,1.63,0.84,0.11,0.68,0,0.37
167,,Ronal Huaccha,0.21,0.12,0,0.18,0,0.12
168,,Hansell Riojas,1.78,1.56,0,2.22,0,0.89
169,,Matías Lazo,1.55,1.18,0,1.23,0,0.59
170,,Osnar Noronha,0.35,0.09,0,0.38,0,0.03
171,,Nicolás Royón,0.32,0.2,0,0.68,0,0.2
172,,Erinson Ramirez,0.38,0.13,0,0.19,0,0.19
173,,Alexis Rojas,0.9,0.68,0,0.35,0,0.45
174,,Adrián Ascues,1.03,0.29,0,0.29,0,0.55
175,,Daniel Franco,1.38,1.67,0.1,3.52,0,0.57
176,,Gabriel Leyes,0.67,0.07,0,0.93,0,0.2
177,,Luis Garro,2.42,1.77,0.08,1.81,0,0.77
178,,Jhilmar Lora,1.22,0.52,0,1.04,0,0.35
179,,Alexis Blanco,0.12,0.18,0,0.76,0,0.24
180,,Jair Céspedes,1.27,1.3,0.03,0.8,0,0.37
181,,Hoover Crespo,0.91,0.39,0,0,0,0.57
182,,Werner Schuler,0.81,1.65,0.06,4.52,0,0.19
183,,Carlos Diez,1.17,1.34,0.03,1.03,0,0.41
184,,Leonel Solís,2,1.1,0,0.86,0,0.81
185,,Alfonso Barco,1.29,0.75,0.04,0.83,0,0.71
186,,Yimy Gamero,1.43,0.83,0,0.63,0,0.9
