#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
92,,Carlos Cáceda,0,0,27.52,77.2,1.45,49.12
93,,Renzo Garces,0,0.04,49.75,85.28,2.79,57.66
94,,Nicolás Rinaldi,0.1,0.03,28.17,81.07,6.87,55.05
95,,Rodrigo Pastorini,0.16,0.03,20.84,68.97,5.97,47.73
96,,Diego Enríquez,0,0,20.42,66.47,0.73,47.87
97,,Danilo Carando,0,0,7.06,61.8,1.79,47.06
98,,Maximiliano Amondarain,0.04,0.08,29.38,68.59,2.77,47.37
99,,Alejandro Ramirez,0.1,0.1,13.1,80.15,4.95,60
100,,Aldo Corzo,0.08,0.08,32.85,79.74,7.08,40.35
101,,Christian Gonzalo Limousin,0,0,23.61,57.89,1.24,43.39
102,,Nelinho Quina,0,0.03,37.31,77.45,3.31,43.59
103,,Rafael Lutiger,0.05,0,25.76,80.96,2.86,51.11
104,,Jack Durán,0.24,0.16,27.56,80.7,9.64,59.09
105,,Matías Succar,0.07,0,15.57,70.18,4.79,80
106,,Andy Polo,0.11,0.07,27.44,82.46,7.37,59.57
107,,Frank Ysique,0.03,0.07,45.57,88.3,8.43,72.73
108,,Facundo Rodríguez,0.11,0.11,12.78,67.83,3.78,66.67
109,,Andy Vidal,0.04,0.04,21.78,54.93,2,36.59
110,,Alberto Quintero,0.16,0.09,29.53,80.63,9.22,63.49
111,,Miguel Vargas,0.03,0.03,22.03,74.65,1.34,51.68
112,,Alec Deneumostier,0,0.03,43.67,82.21,4,52.23
113,,Diego Saffadi,0.22,0.15,11.74,70.98,3.63,50
114,,Leandro Fleitas,0,0.03,42.24,79.1,3.03,56.81
115,,Jesús Castillo,0,0,39.97,83.26,10.97,68.32
116,,Sebastián Ramírez,0.1,0,27,72.59,4.1,51.92
117,,Gianfranco Chávez,0.04,0,38.89,84.57,2.5,43.03
118,,Leandro Sosa,0.06,0.11,23.2,82.64,7.86,59.68
119,,Jhon Marchán,0.26,0.11,13.42,74.51,4.95,58.62
120,,Hugo Ángeles,0.05,0,35.14,86.03,5.73,61.19
121,,Marcio Valverde,0.25,0.04,19.92,71.55,5,54.61
122,,Minzun Quina,0,0,35.17,76.59,5.07,49.28
123,,Lucas Rodríguez,0,0.08,30.38,74.18,6.46,47.92
124,,José Ataupillco,0,0,23,71.74,4,62.5
125,,Sergio Barboza,0,0,18.57,70.77,3.14,40
126,,Javier Núñez,0.1,0,17.9,71.01,5.29,57.78
127,,Brandon Palacios,0.13,0.06,16.13,71.32,3.13,48.28
128,,Victor Balta,0,0,38.53,85.12,1.77,48.88
129,,Luis Trujillo,0.06,0.06,22.1,73.72,5.42,50
130,,Joao Ortiz,0.19,0,30.7,67.19,5.7,42.41
131,,Diego Manicero,0.23,0.18,15.09,74.1,5.95,62.5
132,,Carlos Beltran,0.11,0.07,30.5,79.39,3.82,61.48
133,,Piero Guzman,0,0,34.08,80.93,3.83,52.04
134,,Ray Sandoval,0.14,0.1,19.86,76.74,6.67,65.22
135,,Rodrigo Cuba,0,0,30.81,76.82,2.9,44.9
136,,Nilson Loyola,0.04,0.07,33.15,82.79,7.44,50.56
137,,Diego Morales,0.19,0.15,35,77.14,12.54,58.62
138,,Jeremy Canela,0.13,0.13,11.13,74.85,3.37,37.93
139,,Jorge Palomino,0.09,0.09,12.64,81.29,2.45,62.5
140,,Fabrizio Roca,0,0,13.8,73.91,3.4,60
141,,José Miguel Manzaneda,0.13,0.13,22.13,80.9,8.39,60
142,,Cristian Bordacahar,0.33,0.07,28.27,68.87,8.07,31.33
143,,Carlos Caraza,0.12,0.08,33.56,78.67,7.28,54.69
144,,Jose Bolivar,0.1,0.03,33.27,74.45,5.8,45.45
145,,Johnny Vidales,0.21,0.08,17.46,76.37,6.58,80
146,,Ademar Robles,0.25,0.13,17.13,77.37,5.13,62.07
147,,Luciano Nieto,0.23,0.03,26.47,78.46,7.47,45
148,,Ángel Cayetano,0,0,35.19,69.45,4.94,43.4
149,,Beto Da Silva,0.1,0.07,20.63,77.71,5.77,63.41
150,,Ángel Ojeda,0.07,0.07,22.46,77.58,5.36,50
151,,Julio Landauri,0,0.25,22.75,75.09,7.83,36.36
152,,Joaquín Aguirre,0.1,0.1,29.65,72.58,6.23,43.23
153,,Herve Kambou,0,0,19.94,77.43,1.63,51.65
154,,Johan Madrid,0.1,0.13,36.9,82.52,8.35,58.68
155,,Othoniel Arce,0.09,0.09,20.91,66.09,5.82,55.56
156,,Yuriel Celi,0.13,0.07,22.8,75.44,6.27,58.18
157,,Jordan Guivin,0,0,43.73,87.65,10.4,68.33
158,,Emiliano Ciucci,0,0,38.7,77.95,4.3,48.66
159,,Cristian Florez,0,0,30.78,73.41,2.85,40.74
160,,Hideyoshi Arakaki,0,0.03,9.9,65.51,2.62,28.57
