#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
92,,Constantin Budescu,0.29,0.35,17,70.93,5.71,60
93,,Juan Bauza,0.28,0.21,39.14,83.08,15.93,63.64
94,,Kyriakos Papadopoulos,0,0,43.44,83.89,4.56,31.71
95,,Denis Ciobotariu,0.04,0,41.96,82.98,3.82,47.52
96,,Samuel Asamoah,0.14,0.04,51.43,88.4,10.86,59.29
97,,Bogdan Rusu,0.09,0.04,21,57.97,5.35,45
98,,Ștefan Baiaram,0.19,0.11,17.78,74.79,6.78,50
99,,Adrian Petre,0,0,10.33,83.87,2,50
100,,Guilherme Garutti,0,0,40.27,75.02,3.24,45
101,,Victor Dican,0.13,0.13,47.71,77.44,5,43.82
102,,Júnior Morais,0.06,0.03,40.64,74.91,8.42,38.83
103,,Alexandru Albu,0.09,0.06,39.72,80.88,6.59,51.46
104,,Danny,0,0,50.69,80.39,3.44,36.07
105,,Ovidiu Hoban,0.09,0.05,6.55,65.97,1.82,33.33
106,,Denis Ispas,0.04,0,41.96,75.83,3.46,48.58
107,,Joonas Tamm,0,0,40.86,81.75,1.69,47.28
108,,Alexi Pitu,0.25,0.25,22.85,82.93,7.65,60
109,,Bogdan Mitrea,0,0.04,64.5,85.01,5.5,58.3
110,,Adam Nemec,0.11,0.08,22,64.99,5.16,43.33
111,,Florin Iacob,0.05,0.05,30.27,65.77,2,47.09
112,,Paul Anton,0.04,0.04,37.41,77.03,7.07,47.49
113,,Charles Petro,0,0,38.78,60.46,6.56,23.53
114,,Daniel Popa,0.14,0.11,23.68,58.68,6.19,44.74
115,,William Baeten,0.13,0.03,20.9,74.54,5.84,56.6
116,,Ulrich Meleke,0.03,0,43.56,73.24,6.69,45.45
117,,Romário Pires,0.13,0.08,42.58,79.84,5.96,45.52
118,,Florin Ştefan,0.08,0.08,27.15,68.56,5.38,35.19
119,,Mike Cestor,0,0,41,83.69,4,47.87
120,,Gheorghe Grozav,0.05,0,22.71,69.87,6.34,45.45
121,,Mirko Pigliacelli,0,0,33,54.55,1,21.05
122,,Virgil Drăghia,0,0,25,64,0,25
123,,Dragoş Grigore,0,0,50.29,87.64,2.64,54.94
124,,Roger Junio Rodrigues Ferreira,0.1,0.16,19.87,72.73,4.94,36.84
125,,Cosmin Matei,0.2,0.11,30.94,80.24,11.2,53.06
126,,Gabriel Torje,0.13,0.19,15.31,59.18,4.25,44.44
127,,Cristian Săpunaru,0.08,0.05,48.82,83.98,4.23,49.28
128,,Sergiu Hanca,0.1,0.1,23.6,76.27,4.6,42.31
129,,Andrei Cordea,0.08,0.08,21.35,77.09,7.73,36.67
130,,Marius Briceag,0.05,0.05,31,72.84,4.53,41.03
131,,Andres Dumitrescu,0.1,0.03,32.37,71.58,5.7,30.94
132,,Jérémy Huyghebaert,0,0.03,39.2,77.81,7.57,42.86
133,,Adrian Scarlatache,0,0,43.32,79.97,3.04,57.4
134,,Mihai Bălașa,0.05,0,38.82,77.28,3.14,43.68
135,,Martin Remacle,0.17,0.03,33.34,82.83,7.34,41.46
136,,Esteban Orozco,0.07,0.04,31.81,74.04,2.89,36.76
137,,Valentin Țicu,0.18,0.05,28.84,63.5,5.71,31.6
138,,Yassine Bahassa,0.22,0.17,26.81,76.37,9.81,56.1
139,,Ely Fernandes,0.13,0,21.6,70.68,5.13,53.33
140,,Alexandru Țigănașu,0,0,34.66,70.96,6.63,36.75
141,,Roland Niczuly,0,0,34.25,73.97,1.25,43.81
142,,Mattias Käit,0.16,0.1,35.52,83.65,7.65,52.86
143,,Denis Kolinger,0,0,32.14,75.11,2.52,36.21
144,,Aurelian Chițu,0.06,0,17.18,73.37,5.82,66.67
145,,Kevin Luckassen,0.09,0.05,6.18,65.44,1.86,66.67
