#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
105,,Ovidiu Hoban,0,0,0,0,0.23,0.05
106,,Denis Ispas,0,0.21,0,0,1.11,0.07
107,,Joonas Tamm,0,0.23,0,0,0.94,0.11
108,,Alexi Pitu,0,0.05,0,0,0.75,0.05
109,,Bogdan Mitrea,0,0.33,0,0,0.75,0.17
110,,Adam Nemec,0,0.03,0,0,0.46,0.22
111,,Florin Iacob,2.91,0.23,0.41,0.05,1.32,0.09
112,,Paul Anton,0,0,0,0,0.74,0.11
113,,Charles Petro,0,0.56,0,0,0.56,0
114,,Daniel Popa,0,0.08,0,0,1.14,0.11
115,,William Baeten,0,0.1,0,0,0.58,0.13
116,,Ulrich Meleke,0,0.22,0,0,0.47,0.38
117,,Romário Pires,0,0.13,0,0,0.88,0.04
118,,Florin Ştefan,0,0.08,0,0,0.54,0.08
119,,Mike Cestor,0,0.31,0,0,1.25,0.06
120,,Gheorghe Grozav,0,0.05,0,0,0.89,0.11
121,,Mirko Pigliacelli,4,0,0,0,1,1
122,,Virgil Drăghia,1,0,0,0,1,0
123,,Dragoş Grigore,0,0.25,0,0,1.14,0.14
124,,Roger Junio Rodrigues Ferreira,0,0.1,0,0,0.42,0.16
125,,Cosmin Matei,0,0.09,0,0,0.69,0.11
126,,Gabriel Torje,0,0.06,0,0,0.44,0.06
127,,Cristian Săpunaru,0,0.31,0,0,1.03,0.13
128,,Sergiu Hanca,0,0,0,0,0.3,0.1
129,,Andrei Cordea,0,0.08,0,0,0.76,0.05
130,,Marius Briceag,0,0.26,0,0,0.74,0.11
131,,Andres Dumitrescu,0,0.2,0,0,0.73,0.1
132,,Jérémy Huyghebaert,0,0.17,0,0,0.87,0.17
133,,Adrian Scarlatache,0,0.18,0,0,1.18,0.21
134,,Mihai Bălașa,0,0.14,0,0,0.95,0.23
135,,Martin Remacle,0,0.03,0,0,0.66,0.1
136,,Esteban Orozco,0,0.15,0,0,0.96,0.11
137,,Valentin Țicu,0,0.34,0,0,1.18,0.18
138,,Yassine Bahassa,0,0.14,0,0,0.64,0.06
139,,Ely Fernandes,0,0.07,0,0,0.6,0.07
140,,Alexandru Țigănașu,0,0.28,0,0,0.94,0.09
141,,Roland Niczuly,2.61,0.31,0.17,0,0.92,0.14
142,,Mattias Käit,0,0.23,0,0,0.94,0.1
143,,Denis Kolinger,0,0.29,0,0,0.67,0.14
144,,Aurelian Chițu,0,0.06,0,0,0.61,0.15
145,,Kevin Luckassen,0,0,0,0,0.59,0
146,,Paolo Medina,0,0.18,0,0,0.64,0
147,,Andrei Ciobanu,0,0.08,0,0,0.31,0.08
148,,Baba Alhassan,0,0.03,0,0,0.57,0.07
149,,Cosmin Florin Achim,0,0,0,0,1,0.08
150,,Kévin Boli,0,0.16,0,0,0.8,0.08
151,,Joyskim Dawa,0,0.23,0,0,0.97,0.11
152,,Branislav Niňaj,0,0.26,0,0,0.79,0.18
153,,Desley Ubbink,0,0,0,0,0.79,0.09
