#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
178,,Bautista Cascini,1.88,0.88,0,0.66,0,1.16
179,,Emmanuel Yeboah,1.03,0.35,0,0.32,0,0.68
180,,Plamen Iliev,0,0,0,0.88,0,0
181,,Eduard Pap,0.03,0,0.03,0.77,0.03,0.03
182,,Lovro Cvek,1.33,0.53,0,0.83,0,0.87
183,,Daniel Marius Serbanica,1.31,0.85,0.08,1.77,0,0.54
184,,Marco Dulca,1.63,1.17,0,1.08,0,0.92
185,,Mihai Căpățînă,1.23,0.6,0,1.03,0,0.27
186,,Giedrius Arlauskis,0,0,0.14,1.14,0,0
187,,Andrei Chindriş,2.05,1.27,0.14,3.36,0,0.64
188,,Hervin Ongenda,0.25,0,0,0,0,0.5
189,,Răzvan Began,0,0,0,1.25,0,0.25
190,,Ștefan Vlădoiu,1.6,1.53,0.03,1.23,0,0.4
191,,Eduard Florescu,1.19,0.33,0,0.48,0,0.67
192,,Cephas Malele,0.5,0.06,0,0.56,0,0.17
193,,Răzvan Onea,1.82,0.61,0,1.94,0.03,0.76
194,,Andreas Leitner,0.09,0.09,0,0.45,0,0.09
195,,Marius Constantin,1.65,1.04,0,4.04,0.04,0.78
196,,Jefferson Junior,2,0.33,0,0,0,0.67
197,,Grigore Ioan Turda,0.7,1.25,0.05,3.5,0,0.45
198,,Cătălin Golofca,0.44,0.17,0,0.22,0,0.28
199,,Juan Pablo Passaglia,1.75,0.75,0.06,0.81,0,0.5
200,,Márk Tamás,1.11,0.5,0.11,3.11,0.06,0.22
201,,Iustin Popescu,0,0,0,0.65,0,0.06
202,,Silviu Balaure,0.9,0.44,0,0.28,0,0.54
203,,Pavol Šafranko,0.6,0.37,0,0.67,0,0.5
204,,Antonio Jakoliš,1,0.28,0,0.41,0.03,0.69
205,,Alexandru Ioniță,1.21,0.41,0,0.29,0,0.62
206,,Florentin Matei,0.67,0.25,0,0,0,0.17
207,,Virgiliu Postolachi,0.3,0.08,0,0.38,0.03,0.3
208,,Ștefan Pănoiu,0.57,0.22,0,0.24,0,0.54
209,,Ante Roguljić,0.33,0.07,0,0.11,0.04,0.19
210,,Radoslav Dimitrov,1.74,0.67,0.04,1.37,0,0.81
211,,Stefan Aškovski,1,1,0,0,0,0
212,,Ivan Mamut,0,0,0,0,0,0
213,,Alexandru Mățan,1,0.17,0,0.17,0,0.17
214,,Erjon Hoxhallari,1.42,1.65,0.12,3.23,0,0.62
215,,Blerim Krasniqi,0.39,0.17,0,0.17,0,0.35
216,,Amine Benchaib,1,0.13,0,0.27,0,0.53
217,,Claudiu Petrila,0.5,0.24,0,0.13,0,0.32
218,,Stefan Purtić,1.46,1,0,0.54,0,0.62
219,,Ioan Filip,1.41,0.76,0,0.86,0,0.46
220,,Mario Bratu,0.33,0.05,0,0.14,0,0.19
221,,Simone Scuffet,0,0,0.03,0.79,0,0.03
222,,Adrian Mazilu,0.21,0.05,0,0.21,0,0.53
223,,Paul Arnold Garita,0.33,0.11,0.03,0.25,0,0.11
224,,Ion Gheorghe,1.13,0.23,0,0.33,0,0.63
225,,Marquinhos Pedroso,1.5,1.5,0,1.83,0,0.33
