#,Team,Name,Saves,Clean sheets,Penalties faced,Goals conceded inside the box,Penalties saved,Goals conceded outside the box
480,,Rodrigo Battaglia,0,0.13,0,0.4,0,0.07
481,,Carles Aleñá,0,0.06,0,0.6,0,0.17
482,,Andrés Martín,0,0,0,0.11,0,0
483,,Sergio Arribas,0,0,0,0.5,0,0
484,,Loren Morón,0,0,0,0,0,0
485,,Beñat Turrientes,0,0,0,0.17,0,0.17
486,,Ángel Rodríguez,0,0,0,0.29,0,0
487,,Roger Martí,0,0,0,0.69,0,0.12
488,,Abdón Prats,0,0,0,0.23,0,0.04
489,,Ángel Algobia,0,0.04,0,0.5,0,0.08
490,,Robert Navarro,0,0,0,0.35,0,0
491,,Salvi Sánchez,0,0,0,0.58,0,0.04
492,,Josep Chavarría,0,0,0,0.38,0,0.06
493,,Iván Alejo,0,0,0,0.71,0,0.13
494,,Manu Trigueros,0,0.09,0,0.35,0,0
495,,Juan Cruz,0,0,0,0.17,0,0.17
496,,Pol Lirola,0,0,0,1.17,0,0.25
497,,Eden Hazard,0,0,0,0.17,0,0
498,,Ander Capa,0,0,0,0,0,0
499,,Diego Moreno,0,0.09,0,0.64,0,0.18
500,,Jesús Vázquez,0,0,0,0.4,0,0.1
501,,Aritz Elustondo,0,0.2,0,0.4,0,0.16
502,,Toni Villa,0,0,0,0.5,0,0
503,,Joel Roca Casals,0,0,0,0,0,0
504,,Omar El Hilali,0,0,0,0.4,0,0
505,,Shon Weissman,0,0,0,0.87,0,0
506,,Abdul Mumin,0,0.06,0,0.94,0,0.13
507,,Radamel Falcao,0,0,0,0.3,0,0.04
508,,Lautaro Blanco,0,0,0,0.82,0,0.12
509,,Augusto Solari,0,0,0,0.25,0,0
510,,Jesús Vallejo,0,0,0,0,0,0
511,,Mamady Diarra,0,0,0,0.5,0,0
512,,Roger Martínez,0,0,0,1,0,0
513,,Casemiro,0,0,0,0,0,0
514,,Nabil Touaizi,0,0,0,0,0,0
515,,Carlos Álvarez,0,0,0,1,0,0
516,,Iván Romero,0,0,0,0,0,0
517,,Diego Mariño,3,0,0,2,0,0
518,,Babatunde Akinsola,0,0,0,1,0,0
519,,Javi Llabrés,0,0,0,0,0,0
520,,Alberto del Moral,0,0,0,0,0,0
521,,Roberto Arroyo,0,0,0,1,0,0
522,,Fran Delgado,0,0,0,0,0,0
523,,Matt Doherty,0,0,0,0,0,0
524,,Pablo Durán,0,0,0,0.25,0,0
525,,Raúl Parra,0,0,0,0.5,0,0
526,,Kevin Vázquez,0,0.1,0,0.8,0,0
527,,Joseba Zaldúa,0,0,0,1.4,0,0.3
528,,Raúl Guti,0,0,0,0.75,0,0.14
529,,Diego González,0,0,0,1.19,0,0.25
530,,Tomás Alarcón,0,0,0,1.25,0,0.5
531,,Pol Lozano,0,0,0,0,0,0.25
532,,Amath Ndiaye,0,0.04,0,0.43,0,0.07
533,,Dani Gómez,0,0,0,0,0,0.13
534,,José Pozo,0,0,0,0.38,0,0
535,,Unai Vencedor,0,0,0,0.6,0,0.1
536,,Fernando Niño,0,0,0,0,0,0
537,,Mikel Balenziaga,0,0,0,1,0,0
538,,David Torres,0,0,0,1.14,0,0
539,,Kenedy,0,0,0,0.67,0,0.08
540,,Antonio Sánchez,0,0,0,0.53,0,0.06
541,,Juan Narváez,0,0,0,0.8,0,0
542,,Youba Diarra,0,0,0,1,0,0
543,,Maximiliano Gómez,0,0,0,0,0,0.33
544,,Ludwig Augustinsson,0,0,0,1,0,0
545,,John Nwankwo,0,0.21,0,0.86,0,0.14
546,,Awer Mabil,0,0,0,1.2,0,0
547,,Jordan Amavi,0,0,0,0.4,0,0
548,,Mickaël Malsa,0,0,0,0.4,0,0
549,,Abner Vinícius,0,0,0,0.69,0,0.08
550,,Sekou Gassama,0,0,0,0,0,2
551,,Fabrizio Angileri,0,0,0,0.73,0,0.27
552,,Ángel Alarcón,0,0,0,0,0,0
553,,Marko Milovanović,0,0,0,0.5,0,0
554,,Mamadou Fall,0,0,0,0,0,0
555,,Axel Werner,2.5,0,0,1.5,0,0.5
556,,Álvaro Giménez,0,0,0,0,0,0.5
557,,Gonzalo Verdú,0,0,0,0.63,0,0.13
558,,Wassim Keddari,0,0,0,0.71,0,0.14
559,,Domingos Quina,0,0,0,0.7,0,0.1
560,,Filip Jörgensen,1.5,0,0,1.5,0,0
561,,Mario Suárez,0,0,0,0.5,0,0
562,,Fran Pérez,0,0,0,0.43,0,0
563,,Javier Pastore,0,0,0,0,0,0
564,,Pablo Muñoz,0,0,0,0,0,0
565,,Santiago Arzamendia,0,0,0,1.17,0,0.08
566,,Pape Cheikh,0,0,0,0.5,0,0
567,,Houboulang Mendes,0,0,0,1.79,0,0.21
568,,Lamine Yamal,0,0,0,0,0,0
569,,Antonio Gomis,0,0,0,1,0,0
570,,Alejandro Alfaro,0,0,0,0,0,0
571,,Iñaki Peña,1,0,0,0.5,0,0.5
572,,Mario Hernández,0,0,0,1,0,0
573,,Diego Hormigo,0,0,0,0,0,1
574,,Joan García,1,0,1,3,0,0
575,,Diego López,0.5,0,0,2,0,0
576,,Jorge Herrando,0,0,0,0,0,0
577,,Chadi Riad,0,0,0,0,0,0
578,,Pedro Ortiz,0,0,0,0,0,0
579,,Esteban Saveljich,0,0,0,0,0,0
580,,Diego Mendez,0,0,0,0,0,0
581,,Ruben Quintanilla,0,0,0,0,0,0
582,,Álex Revuelta,0,0,0,0,0,0
