#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Was fouled,Fouls,Total duels won %
425,,Bryan Gil,0.24,0,30.77,1.24,1.06,47.48
426,,Dimitri Foulquier,0.13,0,47.22,0.47,0.93,49.39
427,,Brian Ocampo,0.11,0,35,1.5,1.78,40.57
428,,Asier Villalibre,0,0,50,0.2,0.6,33.33
429,,Brian Cufré,0,0,0,0.6,1,50
430,,Reinier,0.06,0.06,33.33,0.83,0.22,46.15
431,,José Mari,0.22,0,41.67,0.39,0.33,51.67
432,,Tanguy Nianzou,0.05,0.05,74.42,0.74,0.68,70.37
433,,Pablo Torre,0,0,50,0.38,0.5,40.91
434,,Gonzalo Villar,0.31,0,50,0.75,1.25,49.41
435,,Largie Ramazani,0.18,0,21.74,0.45,0.94,35.64
436,,Mamadou Mbaye,0.14,0,55.32,0.14,0.43,60.56
437,,Portu,0.15,0.03,36.36,0.74,0.74,43.43
438,,Carlos Fernández,0.25,0,52.08,0.63,0.71,45.38
439,,Hugo Duro,0.17,0,33.68,1.17,0.67,41.79
440,,Óscar Trejo,0.26,0,23.4,1.91,2.26,39.43
441,,Juanpe,0.16,0,64.29,0.11,0.58,58.82
442,,Mariano Díaz,0.22,0,62.5,0,0.33,37.5
443,,Oscar Ureña,0,0,0,0.33,0.67,52.94
444,,Lago Júnior,0,0,80,0.2,0.6,58.33
445,,Francisco Mwepu,0,0,0,0,0,100
446,,Alberto Perea,0,0,0,2,0,50
447,,Roberto Torres,0,0,0,0,0,33.33
448,,Diego Collado,0,0,0,0,0,0
449,,Josep Gayá,0,0,50,0,0,33.33
450,,Ander Martín,0,0,25,0,0.67,33.33
451,,Anthony Lozano,0.21,0,42.86,1.25,1.54,38.82
452,,Juanmi,0.14,0,36,1,0.68,41.3
453,,Nacho Vidal,0.2,0,69.05,0.85,1.4,51.5
454,,Sergio Akieme,0.17,0,48.28,0.62,0.69,50
455,,Luca De La Torre,0.21,0,17.86,0.43,1.18,37.25
456,,Samu Sáiz,0.13,0,40,0.5,0.38,41.38
457,,Jon Morcillo,0,0,50,0.1,0.1,54.55
458,,Adrià Pedrosa,0,0,50,0.57,0.43,40.74
459,,Jon Karrikaburu,0.17,0,50,0.67,0.5,47.37
460,,Martín Montoya,0.17,0,75,1,0.67,65.91
461,,Alberto Mari,0.2,0,40,0.4,0.6,29.41
462,,Pablo Ibáñez Lumbreras,0.04,0,39.34,0.64,0.88,43.02
463,,Ricard Artero,0,0,50,0.14,0.29,56.25
464,,Sergio Asenjo,0,0,0,0.4,0,100
465,,Juan Carlos,0,0,100,0,0,100
466,,Gonzalo Montiel,0.29,0.04,44.83,0.36,0.68,46.09
467,,Randy Nteka,0.04,0.04,35.71,0.92,1.04,41.81
468,,Denis Suárez,0.11,0,25,0.78,0.89,44.06
469,,Nicolás Melamed,0.13,0,31.71,1.03,0.75,40.89
470,,Óscar Gil,0.42,0,25,1.18,1.64,47.26
471,,Jaime Seoane,0.06,0,28.57,0.25,0.38,40.91
472,,Aleix Vidal,0.32,0.04,30,0.68,0.92,37.25
473,,Yunus Musah,0.3,0.03,43.08,1.27,1.27,50.35
474,,Bebé,0.25,0,0,0.5,0.5,29.41
475,,Antonio Blanco,0,0,100,0.33,0.67,55.56
476,,Ezequiel Ponce,0.06,0.03,43.75,0.26,0.94,32.4
477,,Nicolás Fernández,0.11,0,14.29,0.5,0.61,46.75
478,,Arnau Puigmal,0.18,0,27.27,0.68,0.45,51.02
479,,Chumi,0.24,0,47.83,0.14,0.48,51.02
480,,Rodrigo Battaglia,0.33,0,57.89,0.73,0.73,50.75
481,,Carles Aleñá,0.29,0.03,28.3,1.43,1.71,40.23
482,,Andrés Martín,0.11,0,71.43,0.22,0.56,51.85
483,,Sergio Arribas,0,0,0,0,0,0
484,,Loren Morón,0.5,0,0,0,1,33.33
485,,Beñat Turrientes,0,0,0,0.17,0.33,33.33
486,,Ángel Rodríguez,0.06,0,52.63,0.35,0.53,41.3
487,,Roger Martí,0.12,0,30.77,1,1.62,35.67
488,,Abdón Prats,0.04,0,26.92,0.23,0.19,27.91
489,,Ángel Algobia,0.12,0,25,0.38,1.19,36.09
490,,Robert Navarro,0.12,0,58.33,0.35,0.47,39.06
491,,Salvi Sánchez,0.08,0,26.67,0.42,0.33,45.45
492,,Josep Chavarría,0.06,0,75,0.25,0.69,45.45
493,,Iván Alejo,0.35,0.03,59.52,1.42,1.23,48.71
494,,Manu Trigueros,0.09,0.04,31.58,0.43,0.57,42.7
495,,Juan Cruz,0.17,0,33.33,0.33,0.67,35
496,,Pol Lirola,0.08,0,57.14,0.25,0.33,50.82
497,,Eden Hazard,0,0,100,1.5,0.33,63.16
498,,Ander Capa,0.14,0,100,0,0.57,38.89
499,,Diego Moreno,0.09,0,38.46,0.36,0.27,37.21
500,,Jesús Vázquez,0.1,0,33.33,0.5,0.4,49.02
501,,Aritz Elustondo,0.2,0.04,42.86,0.36,0.84,46.77
502,,Toni Villa,0.08,0,28.57,0.73,0.46,41.99
503,,Joel Roca Casals,0.2,0,0,1,0.4,44.44
504,,Omar El Hilali,0.2,0,66.67,0.4,0,70
505,,Shon Weissman,0,0,14.81,0.53,0.33,28.07
506,,Abdul Mumin,0.13,0,40.63,0.5,0.44,49.33
507,,Radamel Falcao,0.15,0,46.94,0.52,0.59,38.39
508,,Lautaro Blanco,0.12,0,0,0.12,0.41,36.84
509,,Augusto Solari,0.08,0,57.14,0.33,0.75,41.3
510,,Jesús Vallejo,0,0,0,0,0,0
511,,Mamady Diarra,0,0,0,0.5,0.5,44.44
512,,Roger Martínez,0,0,0,0,0,0
513,,Casemiro,0,0,0,0,1,0
514,,Nabil Touaizi,0,0,0,0,0,0
515,,Carlos Álvarez,1,0,0,0,1,50
516,,Iván Romero,1,0,100,1,1,50
517,,Diego Mariño,0,0,0,0,0,0
518,,Babatunde Akinsola,0,0,0,1,0,66.67
519,,Javi Llabrés,0,0,0,0,0,0
520,,Alberto del Moral,0,0,0,0,0,0
521,,Roberto Arroyo,0,0,0,0,0,50
522,,Fran Delgado,0,0,0,0,0,0
523,,Matt Doherty,0,0,0,0,0.5,0
524,,Pablo Durán,0,0,50,0,0.25,33.33
525,,Raúl Parra,0.17,0,75,0.5,1,43.48
526,,Kevin Vázquez,0.2,0,25,0.5,0.8,50
527,,Joseba Zaldúa,0.4,0,61.29,0.4,1.1,54.67
528,,Raúl Guti,0.04,0,37.5,0.79,0.29,49.04
529,,Diego González,0.31,0,70.37,0.31,1.06,52.11
530,,Tomás Alarcón,0,0.25,75,0.75,1,47.37
531,,Pol Lozano,0.25,0,50,0,0.25,33.33
532,,Amath Ndiaye,0.07,0.04,29.63,0.86,1.25,43.35
533,,Dani Gómez,0.13,0,100,0.25,0.38,42.86
534,,José Pozo,0,0,40,0.5,0.25,45.45
535,,Unai Vencedor,0.2,0,100,0.2,1.2,25
536,,Fernando Niño,0,0,0,0,0.33,0
537,,Mikel Balenziaga,0,0,0,0,1,55.56
538,,David Torres,0.14,0,50,0.29,0.43,52
539,,Kenedy,0.25,0,40,0.17,0.75,33.33
540,,Antonio Sánchez,0.16,0,30.43,0.47,0.81,34.87
541,,Juan Narváez,0,0,33.33,1.8,0.2,51.85
542,,Youba Diarra,0.4,0,0,0,0.6,18.75
543,,Maximiliano Gómez,0,0,22.22,1,1.33,27.78
544,,Ludwig Augustinsson,0,0,80,0.25,0.25,63.64
545,,John Nwankwo,0.21,0.07,62.22,0.57,1.64,53.98
546,,Awer Mabil,0,0,16.67,0.6,0,44.44
547,,Jordan Amavi,0.2,0.2,72.73,0.4,0.6,59.09
548,,Mickaël Malsa,0,0,50,0,0.4,33.33
549,,Abner Vinícius,0.15,0,33.33,0.15,0.62,36.23
550,,Sekou Gassama,0,0,50,0,1,40
551,,Fabrizio Angileri,0.13,0.07,62.96,0.07,0.47,50.75
552,,Ángel Alarcón,0,0,0,0.25,0.5,14.29
553,,Marko Milovanović,0.5,0,62.5,0,1,38.46
554,,Mamadou Fall,0,0,0,0,1,0
555,,Axel Werner,0,0,0,0,0,50
556,,Álvaro Giménez,0,0,0,0.5,0.5,33.33
557,,Gonzalo Verdú,0,0.13,63.64,0.31,0.63,59.72
558,,Wassim Keddari,0,0,33.33,0,0.29,35.71
559,,Domingos Quina,0.1,0.1,0,1.1,0.5,47.5
560,,Filip Jörgensen,0,0,0,0,0,0
561,,Mario Suárez,0,0.5,0,0,0,0
562,,Fran Pérez,0.29,0,0,0.43,0.57,31.03
563,,Javier Pastore,0,0,0,0,1,0
564,,Pablo Muñoz,0,0,0,0.5,1,16.67
565,,Santiago Arzamendia,0,0,50,0.17,0.33,36.54
566,,Pape Cheikh,0.5,0.5,0,0,1.5,0
567,,Houboulang Mendes,0.14,0,50,0.29,0.93,40.24
568,,Lamine Yamal,0,0,0,0,0,0
569,,Antonio Gomis,0,0,0,0,0,0
570,,Alejandro Alfaro,0,0,0,0,2,0
571,,Iñaki Peña,0,0,0,0,0,0
572,,Mario Hernández,0.33,0,0,0.33,0.33,30.77
573,,Diego Hormigo,1,0,50,1,2,37.5
574,,Joan García,0,0,0,0,0,0
575,,Diego López,0,0,0,0,0,0
576,,Jorge Herrando,0,1,100,0,1,75
577,,Chadi Riad,0,0,0,0,0,0
578,,Pedro Ortiz,0,0,0,0,0,0
579,,Esteban Saveljich,1,0,0,0,0,0
580,,Diego Mendez,0,0,100,0,0,100
581,,Ruben Quintanilla,0,0,0,0,0,0
582,,Álex Revuelta,0,0,0,0,0,0
