#,Team,Name,Tackles,Errors lead to goal,Interceptions,Penalty committed,Clearances,Dribbled past
102,,Fernando Martínez,0,0.03,0.03,0,0.65,0.05
103,,Eric García,1,0,0.79,0.08,1.42,0.46
104,,Ivo Grbić,0,0.08,0,0.08,1.5,0
105,,Alejandro Baena,0.86,0,0.2,0.03,0.37,0.86
106,,Alex Collado,1.73,0,0.13,0,0.27,0.33
107,,Omar Mascarell,1.89,0,1.61,0,1.86,1.18
108,,Samuel Chukwueze,0.38,0,0.32,0,0.38,0.43
109,,Unai Núñez,1.31,0.03,2,0,3.67,0.44
110,,José Gragera,2.11,0,0.78,0,1.89,0.56
111,,Eray Cömert,1.52,0,1.26,0,3.22,0.7
112,,Martín Zubimendi,1.64,0.03,1.03,0.03,1.44,0.58
113,,Monchu,1.52,0,0.55,0.03,0.55,0.82
114,,Álvaro Aguado,0.79,0,0.38,0.03,0.38,0.29
115,,Alejandro Catena,0.83,0,0.8,0,4.49,0.4
116,,Youssouf Sabaly,1.96,0,0.83,0,2.04,0.48
117,,Luis Hernández,0.94,0,0.89,0,4.06,0.4
118,,Fernando Medrano,2,0,1,0,1,0
119,,Paulo Gazzaniga,0,0.11,0.04,0,0.43,0.04
120,,Germán Pezzella,1.32,0,1.58,0,4.16,0.39
121,,Marcos Alonso,0.63,0,0.46,0.04,1.25,0.13
122,,Aridane Hernández,0.91,0,1.22,0,4.09,0.57
123,,Álex Berenguer,1.57,0,0.27,0,0.11,1
124,,Álvaro Morata,0.44,0,0,0,0.64,0.14
125,,Iñaki Williams,0.61,0,0.19,0,0.92,0.42
126,,Thierry Correia,2.63,0.04,0.89,0,1.7,0.85
127,,Mauro Arambarri,1.08,0,1.08,0,1.46,1.08
128,,Samuel Lino,1.74,0,0.47,0,0.24,1.21
129,,Oriol Romeu,2.12,0,1.12,0.03,1.45,0.76
130,,Cyle Larin,0.47,0,0,0.05,0.79,0.21
131,,Edu Expósito,1.21,0,0.43,0,0.68,0.36
132,,Alejandro Balde,1.27,0,0.36,0,0.36,0.52
133,,Martin Valjent,1.17,0,0.97,0.03,4.4,0.3
134,,Ante Budimir,0.61,0,0.16,0,0.61,0.26
135,,Lázaro,0.21,0,0.11,0,0.05,0.63
136,,Predrag Rajković,0,0.03,0,0.03,0.92,0.06
137,,Koke,1.67,0,0.61,0,0.58,1.33
138,,Yéremy Pino,1.72,0,0.42,0,0.69,0.97
139,,Gavi,1.31,0,0.5,0,0.61,0.94
140,,Nahuel Molina,2.09,0.03,0.55,0,1.36,1.58
