#,Team,Name,Tackles,Errors lead to goal,Interceptions,Penalty committed,Clearances,Dribbled past
439,,Hugo Duro,0.5,0,0.07,0,0.23,0.33
440,,Óscar Trejo,1.41,0.03,0.24,0,0.21,1.03
441,,Juanpe,1,0,0.53,0.05,3.05,0.32
442,,Mariano Díaz,0.11,0,0,0,0,0
443,,Oscar Ureña,1.33,0,0.33,0,0,0.33
444,,Lago Júnior,0.2,0,0,0,0,0
445,,Francisco Mwepu,1,0,0,0,0,0
446,,Alberto Perea,2,0,0,0,0,0
447,,Roberto Torres,0,0,0,0,0,0
448,,Diego Collado,0,0,0,0,0,0
449,,Josep Gayá,0,0,0.5,0,3,0
450,,Ander Martín,0.67,0,0,0,0.33,1
451,,Anthony Lozano,0.21,0,0.11,0,0.61,0.21
452,,Juanmi,0.64,0,0.18,0,0.14,1.09
453,,Nacho Vidal,1.35,0.05,0.95,0,1.35,0.75
454,,Sergio Akieme,0.93,0,0.48,0,1.28,0.34
455,,Luca De La Torre,1,0,0.32,0,0.18,0.71
456,,Samu Sáiz,0.25,0.13,0,0,0,0.13
457,,Jon Morcillo,0.1,0,0.1,0,0,0.1
458,,Adrià Pedrosa,0.71,0,0.71,0,0.29,0.43
459,,Jon Karrikaburu,0.17,0,0,0,0,0
460,,Martín Montoya,2.17,0,1.5,0,2.17,0.33
461,,Alberto Mari,0,0,0,0,0,0.4
462,,Pablo Ibáñez Lumbreras,1.16,0,0.32,0,0.84,0.92
463,,Ricard Artero,0.43,0,0.14,0,0.43,0
464,,Sergio Asenjo,0,0.2,0,0,1.1,0
465,,Juan Carlos,0,0.1,0.1,0,1.1,0
466,,Gonzalo Montiel,0.93,0,0.68,0,1.18,0.5
467,,Randy Nteka,0.79,0,0.25,0,0.5,0.38
468,,Denis Suárez,1.44,0,0.28,0,0.17,1.78
469,,Nicolás Melamed,0.56,0,0.16,0,0.03,0.59
470,,Óscar Gil,1.91,0.03,0.94,0.03,1.24,0.88
471,,Jaime Seoane,0.63,0,0.06,0,0.06,0.38
472,,Aleix Vidal,0.44,0,0.6,0,0.44,0.72
473,,Yunus Musah,1.45,0,0.33,0,0.48,0.3
474,,Bebé,0,0,0,0,0,0.5
475,,Antonio Blanco,2,0,0.33,0,1,0.67
476,,Ezequiel Ponce,0.26,0,0.03,0,0.38,0.21
477,,Nicolás Fernández,1.28,0.06,0.28,0,0.06,0.44
478,,Arnau Puigmal,1,0,0.5,0.05,0.23,0.23
479,,Chumi,1.38,0,0.71,0,2.24,0.43
480,,Rodrigo Battaglia,0.8,0,0.33,0.13,1.2,0.53
481,,Carles Aleñá,0.51,0,0.11,0.03,0.43,0.83
482,,Andrés Martín,0.44,0,0.11,0,0.22,0.22
483,,Sergio Arribas,0,0,0,0,0,0
484,,Loren Morón,1,0,0,0,0.5,0
485,,Beñat Turrientes,0.5,0,0,0,0.33,0.67
486,,Ángel Rodríguez,0.06,0,0.06,0,0.06,0.12
487,,Roger Martí,0.42,0,0.12,0,0.54,0.42
488,,Abdón Prats,0.04,0,0,0,0.08,0
489,,Ángel Algobia,1.04,0,0.12,0,0.35,1
490,,Robert Navarro,0.29,0,0.12,0,0.06,0.06
491,,Salvi Sánchez,0.54,0,0.08,0,0.04,0.25
492,,Josep Chavarría,0.38,0,0.13,0,0.44,0.25
493,,Iván Alejo,1.03,0,0.16,0.03,0.29,0.65
494,,Manu Trigueros,0.87,0,0.22,0,0.17,0.57
495,,Juan Cruz,0.17,0,0,0,0,0.33
496,,Pol Lirola,1.08,0,0.58,0,1.08,0.42
497,,Eden Hazard,0,0,0.17,0,0,0.33
498,,Ander Capa,0.14,0,0,0,0.29,0.57
499,,Diego Moreno,0.36,0,0.45,0,1.82,0.45
500,,Jesús Vázquez,1.3,0,0.1,0,0.8,0.5
501,,Aritz Elustondo,1.04,0,0.8,0,1.64,0.48
502,,Toni Villa,1.19,0,0.31,0,0.04,0.69
503,,Joel Roca Casals,0.4,0,0,0,0.2,0.6
504,,Omar El Hilali,0.6,0,0.2,0,1,0.2
505,,Shon Weissman,0.13,0,0.07,0,0.33,0.27
506,,Abdul Mumin,0.69,0,0.56,0,2.19,0.25
507,,Radamel Falcao,0.15,0,0.07,0,0.37,0.26
508,,Lautaro Blanco,0.94,0,0.12,0,0.47,1
509,,Augusto Solari,0.83,0,0.33,0,0.08,0.67
510,,Jesús Vallejo,0,0,0,0,0,0
511,,Mamady Diarra,1,0,0,0,0,0.5
512,,Roger Martínez,0,0,0,0,0,0
513,,Casemiro,0,0,0,0,1,0
514,,Nabil Touaizi,0,0,0,0,0,0
515,,Carlos Álvarez,1,0,0,0,0,0
516,,Iván Romero,0,0,0,0,0,0
517,,Diego Mariño,0,0,0,0,1,0
518,,Babatunde Akinsola,1,0,0,0,0,0
519,,Javi Llabrés,0,0,0,0,1,0
520,,Alberto del Moral,0,0,0,0,0,0
521,,Roberto Arroyo,1,0,0,0,0,0
522,,Fran Delgado,0,0,0,0,0,0
523,,Matt Doherty,0,0,0,0,0,0
524,,Pablo Durán,0,0,0.25,0,0.25,0
525,,Raúl Parra,0.67,0,0.17,0,1.33,0.83
526,,Kevin Vázquez,1.3,0,0.2,0,0.7,0.4
527,,Joseba Zaldúa,1.5,0,1.1,0,2.1,0.3
528,,Raúl Guti,0.64,0,0.29,0,0.18,0.36
529,,Diego González,0.75,0,0.44,0.06,3.06,0.25
530,,Tomás Alarcón,0.75,0,0.5,0,0.5,0.25
531,,Pol Lozano,0,0,0,0,0.25,0
532,,Amath Ndiaye,1.04,0,0.18,0,0.14,0.29
533,,Dani Gómez,0.25,0,0.13,0,0,0.13
534,,José Pozo,0.25,0,0.13,0,0.13,0
535,,Unai Vencedor,0.3,0,0.1,0,0.1,0.5
536,,Fernando Niño,0,0,0,0,0,0
537,,Mikel Balenziaga,1.33,0,0.33,0,0.67,0
538,,David Torres,0.14,0,0.43,0,1,0
539,,Kenedy,0.5,0,0.08,0,0,0.17
540,,Antonio Sánchez,0.59,0.03,0.69,0.03,0.22,0.75
541,,Juan Narváez,0.2,0,0,0,0,0
542,,Youba Diarra,0.6,0,0.4,0,0.6,0.8
543,,Maximiliano Gómez,0,0,0,0,0.67,0
544,,Ludwig Augustinsson,0.5,0,0.25,0,0.5,0.5
545,,John Nwankwo,1.43,0.07,1,0,1.5,0.5
546,,Awer Mabil,0.4,0,0,0,0.2,0.4
547,,Jordan Amavi,0.6,0,0.8,0,0.8,0.4
548,,Mickaël Malsa,0.4,0,0.4,0,0.4,0.6
549,,Abner Vinícius,0.92,0,0.62,0.08,1.46,0.69
550,,Sekou Gassama,0,0,0,0,0,0
551,,Fabrizio Angileri,0.8,0,0.47,0.07,0.6,0.47
552,,Ángel Alarcón,0,0,0,0,0,0.5
553,,Marko Milovanović,0,0,0,0,0,0
554,,Mamadou Fall,0,0,0,0,1,0
555,,Axel Werner,0,0,0,0,0,0.5
556,,Álvaro Giménez,0,0,0,0,0,0.5
557,,Gonzalo Verdú,0.63,0,0.63,0,1.94,0.25
558,,Wassim Keddari,0.43,0,0,0.14,0.43,0.14
559,,Domingos Quina,0.3,0,0.3,0,0,0.2
560,,Filip Jörgensen,0,0,0,0,1,0.5
561,,Mario Suárez,0,0,0,0,0,0
562,,Fran Pérez,0.14,0,0,0,0.14,0.43
563,,Javier Pastore,0,0,0,0,0,0
564,,Pablo Muñoz,0,0,0,0,0,0.5
565,,Santiago Arzamendia,0.75,0.08,0.17,0,1.17,1.25
566,,Pape Cheikh,0,0,0,0,0,0.5
567,,Houboulang Mendes,1.36,0.07,0.5,0.07,1.21,1.14
568,,Lamine Yamal,0,0,0,0,0,0
569,,Antonio Gomis,0,0,0,0,1,0
570,,Alejandro Alfaro,0,0,0,0,0,0
571,,Iñaki Peña,0,0,0,0,0,0
572,,Mario Hernández,1,0,0.67,0,0,1.33
573,,Diego Hormigo,1,0,0,0,1,2
574,,Joan García,0,0,0,0,0,0
575,,Diego López,0,0.5,0,0,0.5,0
576,,Jorge Herrando,0,0,0,0,3,0
577,,Chadi Riad,0,0,0,0,0,0
578,,Pedro Ortiz,0,0,0,0,0,0
579,,Esteban Saveljich,0,0,0,0,0,0
580,,Diego Mendez,0,0,1,0,0,0
581,,Ruben Quintanilla,0,0,0,0,0,0
582,,Álex Revuelta,0,0,0,0,0,0
