#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
102,,Boyd Lucassen,0.05,0,32,0.51,0,0
103,,Anass Ahannach,0.27,0,50,1.59,0,0
104,,Anass Najah,0,0,73.08,0.32,0,0
105,,Lewis Schouten,0.03,0,60,0.73,0,0.67
106,,Matteo Waem,0.03,0.06,92,0.26,0.03,0
107,,Xian Emmers,0,0,72.73,1.25,0,0
108,,Kristian Hlynsson,0.27,0.27,35.85,2,0.03,0.25
109,,Thomas Bruns,0.11,0.03,40.74,1.05,0.08,0
110,,Ryan Thomas,0,0.06,57.89,0.94,0,0
111,,Denzel Hall,0.03,0,64.29,0.19,0,0
112,,Samuel Armenteros,0.5,0.29,50.79,1.71,0.12,0
113,,Ruben Roosken,0.03,0,60.56,0.27,0,0
114,,Richard Ledezma,0,0,40,0.83,0,0
115,,Emmanuel van de Blaak,0,0,66.67,0,0,0
116,,Fabian De Keijzer,0,0,0,0,0,0
117,,Mawouna Amevor,0.14,0.08,45.45,0.78,0.06,0
118,,Zico Buurmeester,0.15,0.07,58.06,0.74,0,0
119,,Donny Warmerdam,0.14,0.06,70,0.5,0.06,0
120,,Simon Janssen,0.03,0.03,44.44,0.56,0,0
121,,Matthew Garbett,0.07,0,46.15,2.07,0,0
122,,Tom Overtoom,0.1,0,50,1.39,0,0
123,,Brian De Keersmaecker,0.04,0.04,45.24,1,0,0
124,,Cuco Martina,0.2,0,0,0.47,0,0
125,,Stije Resink,0.11,0.06,54.35,1.11,0.06,0
126,,Dhoraso Moreo Klas,0,0.11,54.55,1.53,0,0
127,,Jasper Dahlhaus,0.15,0.06,51.81,1.44,0,0.27
128,,Ki-Jana Hoever,0,0,75,1,0,0
129,,Bryan Van Hove,0.04,0,41.38,0.3,0,0
130,,Jearl Margaritha,0.43,0.18,47.67,2.18,0.04,0
131,,Dean Huiberts,0.17,0.21,41.94,1.14,0.07,0
132,,Wouter Van der Steen,0,0,80,0,0,0
133,,Silvano Vos,0.13,0,71.74,0.77,0,0
134,,Ricardo Kishna,0,0.05,40.91,0.57,0,0
135,,Toine Van Huizen,0,0.04,100,0.56,0,0
136,,Soulaïman Allouch,0.19,0.11,51.65,1.69,0,0
137,,Ringo Meerveld,0,0,64.71,1,0,0
138,,Rein Van Helden,0.06,0.03,80,0.39,0.03,0
139,,Erik Schouten,0.06,0.09,100,0.42,0.03,0
140,,Sven Sonnenberg,0.03,0,100,0.55,0.03,0
141,,Nils Röseler,0.03,0,100,0.43,0.03,0
142,,Leeroy Owusu,0.05,0.05,52.75,1.29,0,0
143,,Thijmen Nijhuis,0,0,0,0,0,0
144,,Theo Barbet,0,0.03,80,0.44,0,0
145,,Michael Brouwer,0,0,0,0,0,0
146,,Rome Jayden Owusu-Oduro,0,0,100,0,0,0
147,,Tyrese Asante,0.09,0,64,0.74,0.09,0
148,,Jarchinio Antonia,0.14,0,0,0.86,0,0
149,,Elmo Lieftink,0.1,0,36.36,1.39,0,0.65
150,,Jordy Tutuarima,0.05,0,66.67,0.79,0,0
151,,Damian van Bruggen,0.03,0,100,0.3,0.03,0
152,,Giovanni,0.2,0,25,0.6,0.2,0
153,,Kevin Gadellaa,0,0,0,0,0,0
154,,Thijs Jansen,0,0,100,0.03,0,0
155,,Bram van Polen,0.03,0.06,76.92,0.39,0,0
156,,Luuk Koopmans,0,0,0,0,0,0
157,,Boy Kemper,0.08,0,56.25,0.84,0.08,0
158,,Jochem Ritmeester van de Kamp,0.15,0,60,0.62,0,0
159,,Eliano Reijnders,0,0.09,47.92,1.29,0,0
160,,Gregor Breinburg,0,0,50,0.35,0,0
161,,Thomas Oude Kotte,0,0.03,66.67,0.61,0,0
162,,Max de Waal,0.11,0,40,0.78,0,0
163,,Rocco Robert Shein,0,0,51.43,0.82,0,0
164,,Joey Konings,0.29,0.18,15.38,1.79,0.12,0
165,,Isaac Babadi,0.17,0.03,59.55,1.1,0,0
166,,Giovanni Korte,0.1,0.14,47.27,2.34,0.07,0
167,,Daniel Crowley,0.06,0,64.86,1.24,0,0
168,,Myron Van Brederode,0,0,53.57,1.5,0,0
169,,Jarrad Branthwaite,0,0,0,0,0,0
170,,Oualid Agougil,0,0,0,0,0,0
171,,Jeremy Antonisse,0.17,0.11,55.26,1.83,0,0
172,,Aliou Balde,0.53,0.27,54.9,2.87,0,0
173,,Rick Meissen,0,0.05,80,0.37,0,0
174,,Jonathan Mulder,0.03,0.07,50,0.55,0,0
175,,Sem Dekkers,0.06,0.06,53.33,0.33,0,0
176,,Thijme Verheijen,0.12,0,46.67,0.88,0,0
177,,Tom de Graaff,0,0,100,0,0,0
178,,Kay Tejan,0.23,0.15,38.3,2.23,0,0
179,,Mohamed Nassoh,0.17,0.03,51.85,1.74,0,0
180,,Tomislav Mrkonjić,0.3,0.1,20,1.9,0,0
181,,Stef de Wijs,0,0,54.55,0.4,0,0
182,,Nick Doodeman,0.14,0.21,18.75,0.93,0,0
183,,Hugo Wentges,0,0,0,0,0,0
184,,Rigino Cicilia,0.3,0,50,0.85,0.05,0
185,,Lucas Woudenberg,0.06,0,31.25,0.58,0,0
186,,Dyon Dorenbosch,0.08,0,81.82,0.52,0,0
187,,Simon Colyn,0.17,0.06,41.86,1.61,0.03,0.56
188,,Alex Plat,0,0.05,84.62,0.43,0,0
189,,Pol Llonch,0.04,0,47.37,1,0,0
190,,Glynor Plet,0.31,0.14,41.3,1.28,0.03,0
191,,Ennio Van Der Gouw,0,0,100,0,0,0
192,,Luis Görlich,0.21,0,36.36,1.05,0,0
193,,Joey Jacobs,0.06,0,20,0.12,0.06,0
