#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
97,,Olivier Aertssen,0.06,0,53.03,60.09,0.47,0.5
98,,Malik Sellouki,0.09,0.09,60,57.32,1.09,0.45
99,,Kian Fitz-Jim,0.13,0,26.67,49.65,1.23,0.7
100,,Mathijs Tielemans,0.08,0,40.91,49.29,0.57,0.78
101,,Elton Kabangu,0.07,0,36.36,35.27,1,1.29
102,,Boyd Lucassen,0.14,0,45.16,54.07,1.62,1.19
103,,Anass Ahannach,0.05,0,45,44.17,0.36,0.64
104,,Anass Najah,0.22,0,48.72,55.93,1.38,1.73
105,,Lewis Schouten,0.07,0,50.88,52.99,1.27,0.77
106,,Matteo Waem,0.12,0,54.72,58.71,0.56,0.88
107,,Xian Emmers,0,0,0,48.84,1.25,1.5
108,,Kristian Hlynsson,0,0.03,42.55,47.22,1.05,0.38
109,,Thomas Bruns,0.22,0,32.43,44.33,1.11,1.89
110,,Ryan Thomas,0.06,0,50,58.33,1.39,0.61
111,,Denzel Hall,0.16,0,54.76,63.93,0.66,0.81
112,,Samuel Armenteros,0.06,0,42.98,44,1.5,1.12
113,,Ruben Roosken,0.24,0,75,60.55,0.92,0.84
114,,Richard Ledezma,0,0,75,54.29,1.17,0.33
115,,Emmanuel van de Blaak,0.08,0,38.24,55.42,0.25,0.5
116,,Fabian De Keijzer,0.09,0,75,80,0.09,0
117,,Mawouna Amevor,0.22,0.03,68.13,57.88,0.33,1.14
118,,Zico Buurmeester,0.07,0,55,50.48,0.85,0.93
119,,Donny Warmerdam,0.17,0,36.94,48.08,0.53,0.81
120,,Simon Janssen,0.19,0,56.82,59.7,1.22,0.72
121,,Matthew Garbett,0.14,0,50,52.17,1.71,0.86
122,,Tom Overtoom,0.1,0,41.94,52.23,2.32,1.1
123,,Brian De Keersmaecker,0.18,0,56.52,53.69,1.39,1.21
124,,Cuco Martina,0.27,0,52,50.77,0.2,0.47
125,,Stije Resink,0.03,0,53.85,52.45,0.81,1.17
126,,Dhoraso Moreo Klas,0.32,0,47.06,59.79,0.68,0.74
127,,Jasper Dahlhaus,0.03,0,57.14,52.6,0.97,0.85
128,,Ki-Jana Hoever,0,0,0,50,1,0.5
129,,Bryan Van Hove,0.15,0,48,63.75,1.3,0.96
130,,Jearl Margaritha,0.07,0.04,14.29,40.83,0.96,0.82
131,,Dean Huiberts,0.1,0,44.74,46.76,1.07,0.83
132,,Wouter Van der Steen,0,0,100,64.29,0.08,0
133,,Silvano Vos,0.19,0,65,55.1,0.61,1.13
134,,Ricardo Kishna,0.14,0,40,38.89,0.48,0.52
135,,Toine Van Huizen,0.26,0.04,56.86,58.39,0.59,0.89
136,,Soulaïman Allouch,0.11,0,44.44,46.69,1.31,0.89
137,,Ringo Meerveld,0,0,37.5,58.85,1.91,0.55
138,,Rein Van Helden,0.21,0.03,46.55,51.93,0.45,0.82
139,,Erik Schouten,0.15,0.03,52.68,55.56,0.42,0.64
140,,Sven Sonnenberg,0.12,0,53.85,55.83,0.27,0.52
141,,Nils Röseler,0.17,0.03,65.66,61.88,0.6,0.73
142,,Leeroy Owusu,0.05,0,47.17,50.7,0.58,0.26
143,,Thijmen Nijhuis,0.17,0,100,40,0.17,0.17
144,,Theo Barbet,0.24,0,57.58,56.35,0.97,1.06
145,,Michael Brouwer,0.03,0,100,94.12,0.11,0
146,,Rome Jayden Owusu-Oduro,0,0,100,100,0.14,0
147,,Tyrese Asante,0.21,0,60.18,57.93,0.82,1.15
148,,Jarchinio Antonia,0,0,0,42.86,0.71,0.14
149,,Elmo Lieftink,0.06,0,55.56,49.54,0.42,0.94
150,,Jordy Tutuarima,0,0,53.33,55.29,0.79,0.68
151,,Damian van Bruggen,0.05,0.03,51.16,51.53,0.38,0.95
152,,Giovanni,0,0,50,52.94,0.6,0.4
153,,Kevin Gadellaa,0,0,80,66.67,0,0
154,,Thijs Jansen,0.03,0,100,83.33,0.21,0
155,,Bram van Polen,0.11,0,53.54,53.24,0.39,1.03
156,,Luuk Koopmans,0,0,100,66.67,0.17,0
157,,Boy Kemper,0.28,0,51.72,52.58,1.2,1.16
158,,Jochem Ritmeester van de Kamp,0,0,56.52,56.88,0.92,0.77
159,,Eliano Reijnders,0.06,0,32.67,46.76,0.77,0.63
160,,Gregor Breinburg,0.17,0,57.14,66.29,1.39,1.13
161,,Thomas Oude Kotte,0.06,0,72.09,62.5,0.33,0.7
162,,Max de Waal,0,0,37.5,53.13,0.44,0.28
163,,Rocco Robert Shein,0.18,0,50,46.39,0.82,1.59
164,,Joey Konings,0.15,0,43.44,46.8,1.12,1.03
165,,Isaac Babadi,0.07,0,28.57,46,0.5,0.27
166,,Giovanni Korte,0.07,0,20,43.93,1.52,0.86
167,,Daniel Crowley,0.12,0,23.53,50.39,1.12,0.47
168,,Myron Van Brederode,0,0,33.33,46.75,2.17,0.5
169,,Jarrad Branthwaite,0,0,60,60,3,0
170,,Oualid Agougil,0,0,0,0,0,0
171,,Jeremy Antonisse,0.28,0,33.33,43.59,0.61,0.5
172,,Aliou Balde,0.13,0.07,25,42.47,0.87,0.73
173,,Rick Meissen,0.11,0,56.52,59.14,0.37,1.05
174,,Jonathan Mulder,0.1,0,54.55,51.91,0.48,0.52
175,,Sem Dekkers,0.22,0,44.44,52.76,0.39,1.28
176,,Thijme Verheijen,0.06,0,40,45.97,0.65,0.65
177,,Tom de Graaff,0.08,0,100,100,0.04,0
178,,Kay Tejan,0.23,0,40.7,33.74,1.38,2.54
179,,Mohamed Nassoh,0.17,0,36.84,46.15,0.97,0.69
180,,Tomislav Mrkonjić,0,0,35.71,40,0.9,0.9
181,,Stef de Wijs,0.2,0,16.67,60.42,0.8,0.6
182,,Nick Doodeman,0.07,0,20,37.23,1.14,0.43
183,,Hugo Wentges,0,0,66.67,72.73,0.11,0.11
184,,Rigino Cicilia,0.15,0,55.17,54.63,0.8,0.45
185,,Lucas Woudenberg,0.14,0,53.06,51.6,0.33,1.03
186,,Dyon Dorenbosch,0.12,0,50,55.69,0.68,0.8
187,,Simon Colyn,0.08,0,48.28,49.23,1.56,1.03
188,,Alex Plat,0.1,0,51.52,51.45,0.71,1
189,,Pol Llonch,0.19,0,42.86,52.04,1.15,1.44
190,,Glynor Plet,0.11,0,58.11,45.23,0.81,1.31
191,,Ennio Van Der Gouw,0.06,0,80,70,0.03,0.03
192,,Luis Görlich,0.11,0,56.25,47.47,0.79,1.37
193,,Joey Jacobs,0.12,0,47.06,56.79,0.29,0.65
194,,Koen Jansen,0,0,20,58.62,1,0.4
195,,Ismail Azzaoui,0,0,25,55.38,0.8,0.3
196,,Thibaut Lesquoy,0.11,0,71.43,65.71,0.11,0.22
197,,Naoufal Bannis,0.03,0,35.29,40.51,1.27,0.52
198,,Rick Dekker,0.22,0,55.17,56.33,0.22,1.09
199,,Tom Beugelsdijk,0.38,0,62.96,52.33,0.54,1.15
200,,Nick Venema,0.08,0,42.31,33.03,0.44,0.56
201,,Sontje Hansen,0.04,0.04,40.74,50,1.35,0.26
202,,Arno Van Keilegom,0.06,0.03,26,45.59,1.06,1
203,,Jarno Janssen,0,0,51.06,63.46,0.38,0.43
204,,Tidjany Touré,0.07,0.07,13.33,47.53,2.13,0.87
205,,Kornelius Hansen,0,0,24,41.82,0.78,0.33
206,,Anas Ouahim,0.1,0.03,19.44,41.84,1.76,1.72
207,,Roshon van Eijma,0.21,0,51.81,53.27,0.67,1.09
208,,Jasper Schendelaar,0,0.03,85.71,75,0.11,0.03
209,,Tristan Dekker,0.17,0,68,57.33,0.96,0.61
210,,Guus Joppen,0.03,0.03,57.39,54.31,0.13,0.74
211,,Daryl Werker,0,0.06,61.76,56.14,0.44,0.94
212,,Lion Kaak,0.15,0,69.23,60.68,0.75,0.7
213,,Ozan Kökçü,0.14,0,41.18,48.48,1.06,0.37
214,,Michael de Leeuw,0,0,42.31,46.79,0.45,0.48
215,,Anthony Descotte,0,0,28,38.24,1.17,1.17
216,,Teun van Grunsven,0.2,0,64.91,58.78,0.36,0.56
217,,Jorrit Smeets,0,0.06,32,38.55,0.28,0.67
218,,Djevencio van der Kust,0.33,0,40,50,2,1.33
219,,Cas Faber,0,0,0,64.71,0,0.67
220,,Philip Brittijn,0.22,0,62.07,47.31,0.32,1.46
221,,Amourricho van Axel-Dongen,0,0,50,50,0.86,0.71
222,,Bram Van Vlerken,0.25,0,53.03,48.97,0.63,1.41
223,,Evan Rottier,0,0.03,45.28,41.87,0.83,0.43
224,,Boyd Reith,0.17,0,62.5,54.42,0.91,1.26
225,,Yannick Leliendal,0.1,0,44.44,60.36,1.32,0.29
226,,Joël Zwarts,0,0,77.97,55.17,0.44,0.25
227,,Hakon Lorentzen,0.05,0,43.28,40.41,0.64,0.55
228,,Delvechio Blackson,0.08,0,57.58,59.03,0.4,0.52
229,,Thomas Poll,0.28,0,57.14,55.63,0.44,1.04
230,,David Min,0,0,43.28,41.1,1.03,0.75
231,,Anselmo Garcia McNulty,0.16,0,52.75,59.12,0.84,0.81
232,,Mathis Suray,0.08,0,33.33,42.54,0.58,1.31
233,,Jorrel Hato,0.08,0,50,51.72,0.23,0.62
234,,Lukáš Zima,0,0,100,100,0,0
235,,Ömer Gündüz,0.18,0,59.52,58.57,0.52,1.79
236,,Bryan Limbombe,0.11,0,14.29,43.16,1.89,1.03
237,,Hidde Jurjus,0,0,60,57.14,0.03,0
238,,Melayro Bogarde,0,0,78.57,56.52,1.1,0.7
239,,Tijs Velthuis,0.07,0,42.86,49.31,0.25,0.29
240,,Peter van Ooijen,0.13,0,30.77,48.65,0.58,0.58
241,,Fedde De Jong,0.08,0,12,40.94,0.5,0.73
242,,Ezechiel Banzuzi,0.1,0,58.21,52.87,0.97,1.13
243,,Nicky Souren,0.09,0,55,49.32,0.67,0.64
244,,Sabir Agougil,0.09,0.03,51.11,55.41,1.03,0.81
245,,Christopher Mamengi,0.21,0,54.35,59.38,0.64,0.79
246,,Orhan Dzepar,0.13,0,50,44.95,0.9,1.07
247,,Phil Sieben,0.08,0,33.33,57.63,1.48,0.6
248,,Youri Baas,0.1,0,60,51.56,0.4,0.6
249,,Kostas Lamprou,0.07,0,80,62.5,0,0.04
250,,Brian Brobbey,0,0,66.67,75,1,0
251,,Naci Ünüvar,0,0,0,36.36,1,1
252,,Joël Drommel,0,0,0,0,0,0
253,,Jeppe Kjaer,0,0,50,66.67,0,0
254,,Ramon Hendriks,0,0,88.89,84.62,0.5,0
255,,Jereno Van Gom,0.5,0,0,44.44,0,0.5
256,,Taylor Booth,0,0,60,51.85,2,1.33
257,,Valentino Vermeulen,0.33,0,0,20,0.33,0.33
258,,Gedion Zelalem,0.08,0,10,51.69,0.58,1
259,,Manel Royo,0.18,0,66.67,56.5,0.76,1
260,,Samuele Longo,0.19,0,38.29,35.39,1.08,1.61
261,,Samir Lagsir,0,0,42.86,35,0.58,0.58
262,,Xander Severina,0.06,0,40,41.83,1.11,0.74
263,,Boris van Schuppen,0,0,46.67,53.06,0.08,0.5
264,,Dylan Timber,0.3,0,38.46,66.67,0.4,0.6
265,,Pascu,0.05,0,21.74,34.87,0.54,0.54
266,,Mees Kaandorp,0.04,0,31.25,43.9,0.28,0.4
267,,Nick Twisk,0.2,0,46.88,54.71,1.04,0.76
268,,Mylian Jimenez,0.09,0,55.17,57.05,0.5,0.82
269,,Tommy St. Jago,0.14,0,52.17,50.94,0.43,0.86
270,,Marcelencio Esajas,0.36,0,50,57.94,1.21,1.36
271,,Daan Huisman,0,0,43.9,48.22,0.97,0.78
272,,Amar Ćatić,0.06,0,28.57,39.42,0.16,0.69
273,,Joey Houweling,0,0,0,0,0,0
274,,Devin Haen,0.03,0,37.08,37.5,0.55,0.59
