#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
91,,Zouhair Feddal,0,0,47.2,83.47,2.6,39.29
92,,Caner Erkin,0.37,0.37,35.79,74.71,6.84,46.49
93,,Victor Nelsson,0.03,0,58,85.68,4.06,49.17
94,,Sam Larsson,0.23,0.13,23.5,71.63,7.47,52.63
95,,Marlos Moreno,0.17,0.17,22.33,79.48,7.67,54.55
96,,Milson,0,0.1,13.3,70.68,5.5,16.67
97,,Muhammet Demir,0.14,0,16.29,73.68,4.57,50
98,,Cherif Ndiaye,0.08,0.08,14.42,82.08,5.08,77.78
99,,Ibrahim Drešević,0,0,62.88,89.26,3.84,64.07
100,,Serkan Kırıntılı,0,0,31.1,73.31,1,49.68
101,,Jure Balkovec,0.14,0.03,44,82.52,7.52,56.62
102,,Magomed Ozdoev,0.15,0.09,39.52,83.51,9.33,57.48
103,,Ivan Cavaleiro,0.36,0.23,19.55,83.95,7.27,68.18
104,,Maximiliano Gómez,0.15,0.12,18.73,73.31,6.27,65.38
105,,Jonas Svensson,0.14,0.1,40.62,84.21,9.24,43.75
106,,Campanharo,0.04,0.04,38.33,89.35,4.96,67.16
107,,Deniz Türüç,0.17,0.07,28.1,83.27,8.33,55.7
108,,Mustafa Erdilman,0.2,0.2,8,70,3,30
109,,Muhammet Taha Tepe,0,0,20.6,54.37,1.4,40.26
110,,Abdülkadir Ömür,0.1,0.1,32.28,87.61,10.03,65.96
111,,David Jensen,0,0,32.78,63.39,1,37.48
112,,Kévin Malcuit,0.3,0.1,37.25,75.17,7.05,26.67
113,,Jackson Muleka,0.21,0.03,9.9,71.08,2.76,40
114,,Mortadha Ben Ouanes,0.17,0.14,32.52,76.46,7.76,40.22
115,,Souza,0,0.1,37.4,87.7,4.9,56.25
116,,Marko Jevtović,0,0,41.71,82.08,5.57,41.67
117,,Arda Kızıldağ,0.07,0.07,28.73,81.67,1.53,45.71
118,,Yunus Akgün,0.2,0.08,17.64,81.86,6.32,18.18
119,,Zé Luís,0.14,0.07,11.86,71.08,2.71,66.67
120,,Joshua King,0.25,0.06,12.56,82.59,5.44,100
121,,Uroš Radaković,0,0,54.45,89.57,3.18,58.25
122,,Miguel Crespo,0.04,0.09,30.39,82.26,6.48,62.22
123,,Attila Szalai,0.06,0.06,63.5,84.5,4.91,50.34
124,,Nacer Chadli,0,0,27,74.07,9,0
125,,Christian Atsu,0,0,6.33,84.21,0.67,66.67
126,,Christian Luyindama,0,0.2,36.6,85.79,1.2,43.48
127,,Mario Balotelli,0,0,11.5,73.91,2,50
128,,Sokol Cikalleshi,0,0,7.5,66.67,1.5,0
129,,Mehmet Feyzi Yıldırım,0,0,14.5,79.31,1,50
130,,Kâzımcan Karataş,0.09,0,32.91,77.62,6.45,59.26
131,,Olivier Kemen,0.22,0.15,31.15,81.81,6.22,67.71
132,,Orkun Ozdemir,0,0,28.65,56.72,1.3,35.56
133,,Ibrahim Šehić,0,0,35.48,80.08,0.9,50.64
134,,Lucas Lima,0.1,0.07,40.97,79.12,8.93,46.26
135,,Alexander Merkel,0.14,0.07,26.14,84.43,4.86,41.94
136,,Erce Kardeşler,0,0,35.38,65.28,1.24,39.76
137,,Omar Colley,0.1,0,53.2,86.84,3.4,45.1
138,,Onur Bulut,0.14,0.14,42.66,82.13,7.24,56.2
139,,Charis Charisis,0.12,0.04,24.77,80.9,5.92,63.29
140,,Enis Bardhi,0,0,21.27,85.11,7.13,57.14
141,,Erdal Rakip,0,0,22.27,77.84,4.8,40
142,,Umut Bozok,0.07,0.04,13.19,77.53,4,53.85
143,,Adil Demirbağ,0.04,0,58.11,90.06,2.81,60.92
144,,Marlon,0.08,0.08,39.08,78.15,8.38,51.76
145,,Aytaç Kara,0,0.03,26.16,86.62,5.59,51.32
146,,Yonathan Del Valle,0.28,0.06,8.28,74.5,2.33,61.11
147,,Adnan Januzaj,0.27,0.27,19.09,76.67,5.82,60
148,,Ertuğrul Ersoy,0,0,31.57,81.82,1.48,34.71
149,,Patrick van Aanholt,0,0.2,41.5,81.93,7.1,45.24
150,,Papy Djilobodji,0.03,0.03,45.17,79.92,2.62,34.93
151,,Altay Bayındır,0,0,26.73,68.92,1.88,37.65
152,,Fredrik Ulvestad,0.11,0.11,27.25,79.95,6.68,54.55
153,,Kerim Alıcı,0.25,0.25,17.5,60,1.75,14.29
154,,Jovan Manev,0,0,31.13,88.35,2,58.82
155,,Haris Hajradinović,0.18,0.06,26.42,74.66,8.36,54
156,,Ali Sowe,0.13,0.13,20.13,75.47,5.44,72
157,,Lucas Biglia,0.08,0,44.72,89.45,8.4,70
158,,Okan Erdoğan,0,0.03,45.1,82.48,3.1,46.98
159,,Muammer Yıldırım,0,0,24.17,68.28,0.83,36.62
160,,Riad Bajić,0.09,0.06,16.26,69.8,4.62,71.43
161,,Volkan Babacan,0,0,37.95,76.29,0.86,46.73
162,,Vukan Savićević,0.23,0,23.31,72.77,6.04,55.71
163,,Benjamin Stambouli,0.1,0.13,40.73,78.89,6.77,49.39
164,,Bilal Bayazit,0,0,32.93,69.84,0.5,40.42
165,,Mame Thiam,0.11,0.07,22.41,75.37,4.07,45.45
166,,Muammer Sarıkaya,0.03,0.13,37.1,83.74,7.48,58.97
167,,Mame Biram Diouf,0.04,0.04,9.79,62.41,2.32,50
168,,Arif Kocaman,0,0,40.57,83.98,0.64,35.29
169,,Bruno Peres,0,0,50.43,88.1,8.43,70.37
170,,Mert Günok,0,0,30.57,66.29,1.3,41.65
171,,Onur Ergün,0,0,32.57,84.03,6.53,62.5
172,,Luan Peres,0,0,39.73,84.21,4.45,55.17
173,,Gökhan Inler,0.04,0.11,28.71,89.05,6.57,76.39
174,,Max Gradel,0.27,0.17,25.23,74.77,7.73,54.39
175,,Lionel Carole,0.04,0.04,49.43,81.79,6.43,59.63
176,,Fredy,0.19,0.08,21.62,73.13,4.69,39.22
177,,Léo Dubois,0.1,0.05,22.33,83.58,6.38,47.5
178,,Valon Ethemi,0.37,0.13,21.5,70.39,7.2,43.14
179,,Ömer Ali Şahiner,0.04,0.04,39.78,81.94,8.11,53.9
180,,Caner Osmanpaşa,0.04,0,33.13,79.53,0.65,31.76
