#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
98,,Cherif Ndiaye,0.58,0,0.08,0.75,0,0.42
99,,Ibrahim Drešević,1.78,1.31,0,2.97,0.03,0.78
100,,Serkan Kırıntılı,0,0,0,0.6,0.1,0
101,,Jure Balkovec,0.97,0.31,0,1.03,0,0.38
102,,Magomed Ozdoev,1.55,0.73,0.03,1.15,0.03,0.61
103,,Ivan Cavaleiro,0.5,0.36,0,0.14,0,0.73
104,,Maximiliano Gómez,0.15,0.35,0,0.38,0,0.35
105,,Jonas Svensson,2.48,1.03,0,1.9,0,0.9
106,,Campanharo,3.17,1.5,0,1,0,1.17
107,,Deniz Türüç,1.27,0.17,0.03,0.53,0,0.73
108,,Mustafa Erdilman,1,0.6,0,0.4,0,0.2
109,,Muhammet Taha Tepe,0,0,0,0.8,0,0
110,,Abdülkadir Ömür,1.24,0.59,0,0.28,0,0.76
111,,David Jensen,0,0.03,0.03,0.91,0.16,0.06
112,,Kévin Malcuit,2.45,1.25,0,2.75,0,0.35
113,,Jackson Muleka,0.69,0.31,0,0.21,0,0.34
114,,Mortadha Ben Ouanes,1.17,1.24,0.03,1.62,0,0.79
115,,Souza,2,1.1,0,2.1,0,0.8
116,,Marko Jevtović,1.57,2.05,0,1.67,0,0.9
117,,Arda Kızıldağ,1.07,0.73,0,3.27,0,0.47
118,,Yunus Akgün,0.36,0.16,0,0.04,0,0.48
119,,Zé Luís,0.29,0.36,0,0.79,0,0.07
120,,Joshua King,0.94,0.13,0,0,0,0.25
121,,Uroš Radaković,1,1.45,0,3.55,0,0.55
122,,Miguel Crespo,1.91,0.39,0,0.26,0,0.57
123,,Attila Szalai,1.06,1.09,0.03,2.72,0.03,0.38
124,,Nacer Chadli,1,0,0,0,0,2
125,,Christian Atsu,0,0.33,0,0.33,0,0
126,,Christian Luyindama,1.4,1.4,0,2.8,0,0.4
127,,Mario Balotelli,0,0,0,0.5,0,0.5
128,,Sokol Cikalleshi,3,0,0,0,0,0
129,,Mehmet Feyzi Yıldırım,2,1,0,1.5,0,0
130,,Kâzımcan Karataş,1.82,1.82,0,0.82,0,0.64
131,,Olivier Kemen,1.41,0.63,0,0.59,0,0.48
132,,Orkun Ozdemir,0.05,0,0.05,0.65,0,0.05
133,,Ibrahim Šehić,0,0.03,0.03,0.52,0.07,0.03
134,,Lucas Lima,1.21,0.62,0,1.55,0,0.66
135,,Alexander Merkel,1.43,0.21,0,1,0,0.71
136,,Erce Kardeşler,0,0,0,1.19,0.1,0.19
137,,Omar Colley,0.9,1.7,0,5,0.1,0.2
138,,Onur Bulut,1.66,1.03,0.07,1.93,0,0.86
139,,Charis Charisis,2.58,0.88,0,0.46,0,1.15
140,,Enis Bardhi,0.73,0.1,0,0.33,0,0.73
141,,Erdal Rakip,2.27,1,0,0.53,0,1.07
142,,Umut Bozok,0.56,0.07,0,0.11,0,0.3
143,,Adil Demirbağ,1.04,1.11,0.07,2.63,0,0.52
144,,Marlon,2.46,0.54,0,1.62,0,0.69
145,,Aytaç Kara,1.16,0.94,0.03,0.72,0,0.53
146,,Yonathan Del Valle,0.94,0.11,0,0.06,0,0.22
147,,Adnan Januzaj,0.55,0.18,0,0.18,0,1.09
148,,Ertuğrul Ersoy,1.65,0.7,0.04,4.09,0.04,0.35
149,,Patrick van Aanholt,1.4,0.8,0,1.6,0,0.3
150,,Papy Djilobodji,0.79,1.48,0.03,4.93,0,0.41
151,,Altay Bayındır,0.08,0,0.08,0.73,0.04,0.08
152,,Fredrik Ulvestad,1.43,0.79,0,0.5,0,0.43
153,,Kerim Alıcı,1.25,1.5,0,1,0,0.5
154,,Jovan Manev,1.13,0.88,0,3.38,0,0.13
155,,Haris Hajradinović,1.97,0.61,0,0.27,0,0.94
156,,Ali Sowe,0.75,0.09,0,0.63,0,0.53
157,,Lucas Biglia,2.12,1.12,0.04,1.12,0,1.56
158,,Okan Erdoğan,2.47,2.1,0.03,3.57,0,0.93
159,,Muammer Yıldırım,0,0,0,1,0,0
160,,Riad Bajić,0.44,0.12,0.03,0.29,0,0.09
161,,Volkan Babacan,0,0,0,0.67,0.14,0.05
162,,Vukan Savićević,1.31,0.23,0,0.08,0,0.73
163,,Benjamin Stambouli,1.33,0.73,0,1.73,0.03,0.93
164,,Bilal Bayazit,0.13,0.03,0.03,0.73,0.07,0
165,,Mame Thiam,0.7,0.56,0.04,0.7,0,0.33
166,,Muammer Sarıkaya,2.19,0.68,0,0.84,0,1.32
167,,Mame Biram Diouf,0.5,0.07,0,0.57,0,0.14
168,,Arif Kocaman,0.93,1.36,0.07,4.29,0,0.14
169,,Bruno Peres,2,1.71,0,1.14,0,0.57
170,,Mert Günok,0.13,0.04,0,0.61,0.09,0.04
171,,Onur Ergün,1.7,0.77,0,1.1,0,0.77
172,,Luan Peres,2.09,1.55,0.09,2.27,0,0.64
173,,Gökhan Inler,0.64,0.25,0,0.36,0,0.57
174,,Max Gradel,1.2,0.23,0,0.2,0,1.13
175,,Lionel Carole,0.96,1.78,0,2.39,0.04,0.35
176,,Fredy,1.85,0.58,0,0.54,0,0.92
177,,Léo Dubois,0.86,0.57,0,1.38,0,0.48
178,,Valon Ethemi,0.93,0.33,0,0.27,0,0.53
179,,Ömer Ali Şahiner,2.11,0.59,0,2.19,0.04,0.78
180,,Caner Osmanpaşa,1.48,2.3,0,3.04,0,0.26
181,,Juan Mata,0.19,0.06,0,0,0,0.19
182,,Wilson Eduardo,0.63,0.06,0,0.5,0,0.13
183,,Danijel Aleksić,0.6,0.07,0,0.67,0,0.87
184,,Bengali-Fodé Koita,0.29,0,0,0.5,0,0.07
185,,Oğuz Gürbulak,1.64,0.86,0.04,1,0,1
186,,Sofiane Feghouli,0,1,0,0.11,0,0.22
187,,Emrah Başsan,0.73,0.23,0.04,0.27,0,0.69
188,,Miguel Cardoso,0.94,0.39,0,0.55,0,0.84
189,,Ahmed Hassan,0.67,0.21,0,0.67,0,0.38
190,,João Figueiredo,0.32,0.21,0,0.56,0,0.79
191,,Furkan Bayır,1.53,1.56,0.06,4.22,0.06,0.47
192,,Mehmet Yeşil,1.06,1.58,0,5.42,0,0.33
193,,Florian Loshaj,0.88,0.13,0,0.38,0,0.25
194,,Ömer Toprak,0.96,0.83,0,3.17,0.04,0.26
195,,Furkan Soyalp,1.69,0.96,0,0.58,0,1.65
196,,Isaac Cofie,1.27,0.8,0,1.33,0,1.2
197,,Gökhan Töre,0.17,0.17,0,0,0,0
198,,Sam Adekugbe,1.17,1.04,0,1.42,0,0.13
199,,Bafetimbi Gomis,0.22,0,0,0.22,0,0.09
200,,Manolis Siopis,1.6,0.7,0,0.33,0,1.03
201,,Berkan Kutlu,1.46,0.79,0,0.54,0,0.33
202,,Jetmir Topalli,0.54,0.25,0.04,0.46,0,0.39
203,,Ghayas Zahid,0.54,0.25,0,0.21,0,0.32
204,,Ahmed Touba,1,1.29,0.08,3.04,0,0.33
205,,Rayyan Baniya,1.8,1,0,3.64,0,0.4
206,,Veysel Sarı,2.06,0.97,0.03,3.13,0.03,0.42
207,,Bernard Mensah,1.22,0.56,0,0.74,0.04,0.52
208,,Emre Taşdemir,0.6,0.4,0,1.8,0,0.2
209,,Bersant Celina,0.83,0.28,0,0.5,0,0.5
210,,Diego Rossi,0.42,0.36,0,0.18,0,0.48
211,,Mustapha Yatabaré,0.89,0.33,0,0.59,0,0.48
212,,Emeka Eze,0.93,0.27,0.07,1.2,0,0.6
213,,Allyson,1.27,1.67,0.07,3,0,0.27
214,,Atakan Çankaya,1.7,0.95,0.05,2.8,0,0.55
215,,Eduart Rroca,1.7,0.65,0,0.91,0,0.83
216,,Florent Hadergjonaj,1.44,1.36,0,1.48,0,0.72
217,,Fredrik Gulbrandsen,0.26,0.26,0,0.22,0,0.48
218,,Bertrand Traoré,0.67,0.42,0,0.17,0,0.17
219,,Emre Gökay,0.67,0.33,0,0,0,0.33
220,,Stefano Denswil,0.68,0.63,0.05,1.79,0,0.16
221,,Bruma,0,0,0,1,0,0
222,,Oguzhan Efe Yilmaz,1,1,0,0,0,0
223,,Francisco Montero,1.67,1,0,3,0,0
224,,Berkay Vardar,2,1.8,0,1.2,0,0
225,,Recep Burak Yılmaz,1.6,0.7,0,4.3,0,0.5
226,,Tarkan Serbest,0.64,0.91,0,2.36,0,0.36
227,,Mustafa Eser,1.18,1.27,0,2.91,0,0.45
228,,Eren Elmalı,1.61,1.36,0,1.48,0,0.27
229,,Soner Dikmen,1.34,1.06,0,0.63,0,0.94
230,,Aaron Appindangoyé,0.67,1.28,0,2.78,0,0.17
231,,Uğurcan Çakır,0.03,0,0,0.61,0.03,0
232,,Leke James,0.21,0.21,0,0.29,0,0.21
233,,Tayfur Bingöl,0.73,0.3,0,0.53,0,0.1
234,,Jimmy Durmaz,1,0.46,0,0.38,0,1
235,,Olarenwaju Kayode,0.55,0.09,0,0.27,0,0.73
236,,Erdoğan Yeşilyurt,0.8,0.43,0,0.7,0,0.73
