#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
328,,Luiz Adriano,0,0.11,0,0,1.05,0.11
329,,Ryan Donk,0,0.15,0,0,1.5,0.1
330,,Mario Gavranović,0,0,0,0,0.77,0.27
331,,Anastasios Chatzigiovanis,0,0,0,0,0.64,0
332,,Alexis Pérez,0,0.12,0,0,1.28,0.36
333,,Erencan Yardımcı,0,0,0,0,0.5,0.07
334,,Zinedine Ferhat,0,0.04,0,0,1.09,0.09
335,,İsmail Yüksek,0,0,0,0,0.68,0.11
336,,Niko Rak,0,0,0,0,0,0
337,,Umit Akdag,0,0,0,0,1,0
338,,Emirhan Zaman,0,0,0,0,1,1
339,,Salih Malkoçoglu,0,0,0,0,0,0
340,,Osman Bugra Erdogan,0,0,0,0,2,0
341,,Francis Nzaba,0,0,0,0,0.5,0
342,,Kaan Ayhan,0,0,0,0,0.2,0.2
343,,Bruno Rodrigues,0,0.2,0,0,1,0.2
344,,Joseph Attamah,0,0,0,0,1.22,0.67
345,,Abdulkadir Parmak,0,0,0,0,0.44,0
346,,Şener Özbayraklı,0,0.1,0,0,0.9,0
347,,Alper Uludağ,0,0.06,0,0,1.29,0.29
348,,Stefano Okaka,0,0,0,0,0.43,0.1
349,,Bünyamin Balcı,0,0.24,0,0,1.21,0.21
350,,İbrahim Yilmaz,0,0,0,0,1.53,0.18
351,,Robert Mejía,0,0.1,0,0,1.24,0.24
352,,Umut Güneş,0,0.11,0,0,1.15,0.26
353,,Serdar Aziz,0,0.29,0,0,0.93,0.07
354,,Mahmut Tekdemir,0,0.25,0,0,0.63,0.13
355,,Ali Yaşar,0,0.08,0,0,1,0.32
356,,Dimitris Kolovetsios,0,0.2,0,0,1.27,0.47
357,,İlhan Parlak,0,0,0,0,0.27,0.05
358,,Andrej Đokanović,0,0.07,0,0,0.86,0.07
359,,Emir Kaan Gültekin,0,0,0,0,0.59,0.15
360,,Gökdeniz Bayrakdar,0,0,0,0,0.77,0.15
361,,Nihad Mujakić,0,0.16,0,0,1.31,0.22
362,,Burak Bekaroğlu,0,0.2,0,0,2.6,0
