#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
95,,Marlos Moreno,0.25,0,35,57.83,2.5,1.08
96,,Milson,0.2,0,33.33,42.31,1.5,1.2
97,,Muhammet Demir,0.1,0,41.98,47.7,1.71,1
98,,Cherif Ndiaye,0.08,0,30,46.77,2.5,1.33
99,,Ibrahim Drešević,0.13,0,44,51.48,0.75,1.22
100,,Serkan Kırıntılı,0,0,100,100,0,0
101,,Jure Balkovec,0.14,0,63.64,62.5,0.76,0.38
102,,Magomed Ozdoev,0.21,0,41.86,49.76,0.73,0.91
103,,Ivan Cavaleiro,0.09,0,27.27,39.08,0.55,0.86
104,,Maximiliano Gómez,0.15,0,50,48.21,1.54,1.58
105,,Jonas Svensson,0.17,0,48.98,56.47,1.28,1.14
106,,Campanharo,0.04,0,55.88,55.84,1.13,1.63
107,,Deniz Türüç,0.2,0,30.23,40.41,0.97,1.43
108,,Mustafa Erdilman,0,0,50,65,0.4,0.6
109,,Muhammet Taha Tepe,0,0,0,0,0,0
110,,Abdülkadir Ömür,0,0,32.65,50,0.76,0.38
111,,David Jensen,0.13,0,92.31,80,0.13,0.03
112,,Kévin Malcuit,0.2,0,60.53,61.08,0.65,1
113,,Jackson Muleka,0.07,0,47.06,42.2,0.41,0.93
114,,Mortadha Ben Ouanes,0.24,0.03,44.64,52.07,1.55,0.97
115,,Souza,0.3,0.1,56.52,50.65,0.6,1.5
116,,Marko Jevtović,0.24,0,67.27,55.41,0.71,1.1
117,,Arda Kızıldağ,0.2,0,59.26,61.9,0.47,0.4
118,,Yunus Akgün,0.04,0,25,48.39,0.76,0.36
119,,Zé Luís,0.07,0,66.67,58.82,0.79,0.64
120,,Joshua King,0.06,0,47.06,42.06,0.5,1.19
121,,Uroš Radaković,0.05,0,64.89,58.55,0.23,0.73
122,,Miguel Crespo,0.17,0.04,56,55.93,2.35,1.78
123,,Attila Szalai,0.13,0,70.53,62.29,0.19,0.69
124,,Nacer Chadli,0,0,0,14.29,0,1
125,,Christian Atsu,0,0,100,66.67,0.33,0
126,,Christian Luyindama,0,0,53.85,58.62,0.2,0.6
127,,Mario Balotelli,0,0,50,40,0,0
128,,Sokol Cikalleshi,0,0,40,66.67,0.5,0.5
129,,Mehmet Feyzi Yıldırım,0.5,0,100,85.71,0.5,0.5
130,,Kâzımcan Karataş,0.09,0,53.33,48.62,0.55,1.82
131,,Olivier Kemen,0.22,0,35.9,51.29,1.41,1.56
132,,Orkun Ozdemir,0.2,0,100,85.71,0.3,0.05
133,,Ibrahim Šehić,0.1,0.03,100,80,0.14,0.03
134,,Lucas Lima,0.1,0,48.72,48.76,0.59,1.1
135,,Alexander Merkel,0.14,0,63.64,51.56,0.43,0.79
136,,Erce Kardeşler,0.14,0,88.89,73.68,0.33,0
137,,Omar Colley,0.4,0,60.47,61.25,1.4,1.1
138,,Onur Bulut,0.07,0,50,51.58,0.79,0.72
