#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
104,,In-kyun Kim,0,0,0,0,0.9,0.14
105,,Chul Hong,0,0.21,0,0,0.45,0.21
106,,Myung Joo Lee,0,0.16,0,0,0.8,0.16
107,,Ho-ik Jang,0,0.06,0,0,0.94,0.24
108,,Hernandes,0,0.09,0,0,0.76,0.12
109,,Jae-mun Ryu,0,0.21,0,0,0.57,0
110,,Hyun Kim,0,0,0,0,1.23,0.27
111,,Jun Amano,0,0.08,0,0,0.44,0.08
112,,Jo Seong-Kwon,0,0.5,0,0,0.5,0.5
113,,Luan,0,0,0,0,1.33,0.33
114,,Lee Seung-joon,0,0,0,0,0.5,0
115,,Tomáš Petrášek,0,0.14,0,0,0.86,0.14
116,,Dong-jun Kim,3.27,0.27,0.05,0,1,0.3
117,,Do-hyeok Kim,0,0.16,0,0,0.75,0.09
118,,Hyeon-beom Ahn,0,0.15,0,0,0.85,0.04
119,,Kim Bong-Soo,0,0.14,0,0,0.91,0.26
120,,Sang-Ho Na,0,0.13,0,0,0.95,0.05
121,,Min-kyu Song,0,0.03,0,0,0.6,0.07
122,,Min-hyeok Kim,0,0.1,0,0,0.61,0.19
123,,Choi Woo-jin,0,0.2,0,0,0.6,0
124,,Ji-sol Lee,0,0,0,0,0.83,0.17
125,,Jae Won Hwang,0,0.3,0,0,0.79,0.24
126,,Chung Woon,0,0.2,0,0,0.84,0.12
127,,Heui-kyun Lee,0,0.03,0,0,0.47,0.03
128,,Dave Bulthuis,0,0.06,0,0,1.17,0
129,,Ataru Esaka,0,0,0,0,0.55,0.2
130,,Jonathan Ring,0,0.09,0,0,0.18,0.09
131,,Vitor Gabriel,0,0.06,0,0,0.75,0.06
132,,Ricardo Lopes,0,0,0,0,1.06,0.31
133,,Han Hogang,0,0.26,0,0,0.91,0.13
134,,Kim Kang-San,0,0.16,0,0,0.56,0.12
135,,Chung-yong Lee,0,0.06,0,0,0.36,0.18
136,,Kyu-seong Lee,0,0.06,0,0,0.58,0.19
137,,Gerso Fernandes,0,0.06,0,0,0.56,0.18
138,,Kweon Hang-Jin,0,0.28,0,0,0.72,0.22
139,,Seung-beom Ko,0,0.13,0,0,1.16,0.13
140,,Won-sang Eom,0,0,0,0,0.75,0.14
141,,Chan Kim,0,0,0,0,0,0
142,,Jin-woo Jo,0,0.3,0,0,0.82,0.27
143,,Stanislav Iljutcenko,0,0,0,0,0.46,0.04
144,,Edgar Silva,0,0.15,0,0,0.76,0.24
145,,Uh-jae Jeong,0,0.19,0,0,0.65,0.12
146,,Willyan,0,0,0,0,0.82,0.06
147,,Tae-seok Lee,0,0.13,0,0,0.83,0.03
148,,Kwang-hyeok Lee,0,0,0,0,0.93,0.26
149,,Seong-jun Min,2,0.4,0,0,0.6,0.2
150,,Ja-ryong Koo,0,0.35,0,0,0.61,0.04
151,,Hwang Mun-ki,0,0.14,0,0,0.27,0.09
152,,Yeon-su Kim,0,0.27,0,0,0.64,0.14
153,,Yun-sang Hong,0,0.2,0,0,0.5,0.3
154,,Sung-joon Kim,0,0,0,0,0.5,0.17
155,,Hyeong-mo Yang,3.31,0.17,0.19,0,1.36,0.14
156,,Tae-hwan Kim,0,0.35,0,0,0.65,0.1
157,,Jong-seong Lee,0,0.05,0,0,1.24,0.1
158,,Seung-hun Oh,2.38,0.29,0.19,0.05,0.95,0.24
159,,In-jae Hwang,2.3,0.3,0.11,0,0.73,0.35
160,,Ung-heui Lee,0,0.09,0,0,0.82,0.18
161,,Thomás,0,0,0,0,0.43,0
162,,Dong-geon No,3.6,0.12,0.2,0.04,1.44,0.44
163,,Fejsal Mulić,0,0,0,0,0.73,0.05
164,,Geon-ung Kim,0,0.22,0,0,0.43,0.09
165,,Kim Shin-jin,0,0,0,0,1.07,0
166,,Shi-yeong Lee,0,0.07,0,0,0.53,0.07
167,,Moon-hwan Kim,0,0.18,0,0,0.91,0
168,,Ji-hwan Mun,0,0.04,0,0,0.37,0.15
169,,Gustavo,0,0.03,0,0,0.47,0.07
170,,Masatoshi Ishida,0,0,0,0,0.76,0.04
171,,Dong-Won Ji,0,0,0,0,0.4,0.2
172,,Seung-gyu Han,0,0,0,0,0.76,0.06
173,,Jeong-hwan Kim,0,0,0,0,1.5,0
174,,Sang-min Shim,0,0.29,0,0,0.71,0.24
175,,Young-sun Yun,0,0,0,0,0,0
176,,Wi-je Cho,0,0,0,0,0,1
177,,Lim Hyung-jin,0,1,0,0,0,0
178,,Hwang Do-yoon,0,0,0,0,1,0
179,,Ho-yeong Seong,0,0,0,0,0,0.5
180,,Song Jun-Seok,0,0.5,0,0,0.5,0.5
181,,Park Jin-hong,0,0,0,0,0,0
182,,Gang-han Lee,0,0,0,0,0,0
183,,Kim Seung Woo,0,0.2,0,0,0.8,0.2
184,,Jun Lee,2.23,0.23,0,0,0.85,0.15
185,,Jin-su Seo,0,0.06,0,0,0.82,0.29
186,,Jong-beom Baek,2.58,0.19,0.12,0.04,1.38,0.04
187,,Yeong-eun Choi,2.17,0.39,0.06,0,0.78,0.22
188,,Murilo,0,0.07,0,0,1.13,0.33
189,,Dong-jin Park,0,0,0,0,0.65,0.06
190,,Bo-seob Kim,0,0.06,0,0,0.64,0.12
191,,Jeong-hyeob Lee,0,0,0,0,0.5,0
192,,Bo-kyung Choi,0,0,0,0,0.62,0.15
193,,Park Cheol-woo,0,0.03,0,0,0.94,0.32
194,,Byong-jun An,0,0.1,0,0,0.86,0.1
195,,Lucas Barcellos,0,0.06,0,0,0.55,0.1
196,,Lim Jong Eun,0,0,0,0,0.5,0.25
197,,Oh-kyu Kim,0,0.23,0,0,1.03,0.2
198,,Park Jae-yong,0,0,0,0,0.25,0
199,,Hugo Gomes,0,0.12,0,0,1.47,0.35
200,,Seung-mo Lee,0,0,0,0,0.4,0.3
201,,Keita Suzuki,0,0.04,0,0,0.69,0.08
202,,Yago Cariello,0,0,0,0,0.55,0
203,,Mu-yeol Ko,0,0,0,0,0.5,0
204,,Seok-yeong Yun,0,0.22,0,0,0.75,0.25
205,,Lee Ho-jae,0,0,0,0,0.33,0.08
206,,Go Myeong Seok,0,0.05,0,0,1.18,0
207,,Soon-min Hwang,0,0,0,0,0.63,0.38
208,,Seon-min Moon,0,0.12,0,0,0.32,0.03
209,,Seung-dae Kim,0,0.15,0,0,0.5,0.26
210,,Seung-seob Kim,0,0.03,0,0,0.72,0.24
211,,Seon-min Kim,0,0.03,0,0,0.97,0.33
212,,Bae Jun-Ho,0,0.06,0,0,1.06,0.18
213,,Jeong-won Eo,0,0,0,0,2.5,0
214,,Ju-kong Kim,0,0.04,0,0,0.68,0.18
215,,In-su Yu,0,0.04,0,0,0.3,0.07
216,,Su-il Park,0,0.17,0,0,1.03,0.06
217,,Koo Ja-Cheol,0,0.06,0,0,0.69,0.25
218,,Dong-ho Jeong,0,0.13,0,0,1.37,0.37
219,,Hyeon-sik Lee,0,0.17,0,0,0.86,0.21
220,,Seung-un Ha,0,0,0,0,0.33,0.11
221,,Joo-won Kim,0,0.18,0,0,1,0.18
222,,Min-deok Kim,0,0.19,0,0,1.19,0.23
223,,Seong-ung Maeng,0,0,0,0,0.41,0.12
224,,Kwang-hun Shin,0,0.05,0,0,0.29,0.14
225,,Seong-Hoon Cheon,0,0.06,0,0,0.5,0.11
226,,Bae-jong Park,3.25,0.08,0,0,1.58,0.42
227,,Jackson Lachlan,0,0.08,0,0,1.56,0.32
228,,Kang Hyun Yu,0,0.04,0,0,0.35,0.08
229,,Anton Krivotsyuk,0,0.18,0,0,1.09,0.24
230,,Kyo-won Han,0,0,0,0,0.5,0.11
231,,Park Seung-ho,0,0.11,0,0,0.44,0
232,,Yoon Jae-woon,0,0,0,0,0.5,0
233,,Jo Hyun-tae,0,0,0,0,0,0
234,,Lee Kang-Hyeon,0,0.08,0,0,0.54,0.04
235,,Ju-yong Lee,0,0.12,0,0,0.73,0.27
236,,Jun-yeob Kim,0,0.25,0,0,0.71,0.11
237,,Soo-bin Lee,0,0.07,0,0,0.21,0.07
238,,Yeong-uk Kim,0,0,0,0,0.45,0.09
239,,Kyeong-min Kim,0,0,0,0,0.33,0
240,,Beka Mikeltadze,0,0,0,0,0.4,0.1
241,,Hyeon-uh Kim,0,0.12,0,0,1.04,0.15
242,,Park Sang-Hyeok,0,0,0,0,0.24,0.16
243,,Dong-jun Lee,0,0,0,0,0.57,0
244,,Tae-hwan Kim,0,0.13,0,0,1.08,0.08
245,,Si-hoo Hong,0,0,0,0,0.33,0
246,,Dino Islamović,0,0,0,0,0.75,0.13
247,,Jang Si-young,0,0,0,0,0.11,0
248,,Shin Sang-Eun,0,0,0,0,0.58,0.11
249,,Jin-yong Lee,0,0,0,0,0.71,0.19
250,,Gustav Ludwigson,0,0.08,0,0,0.62,0.15
251,,Galego,0,0.03,0,0,0.29,0.17
252,,Min-ho Yoon,0,0,0,0,0,0
253,,Seong-uk Jin,0,0,0,0,0,0
254,,Su-huk Jo,4,0,0,0,2,0
255,,Won-woo Lee,0,0,0,0,0.5,0
256,,Hosam Aiesh,0,0,0,0,0,0
257,,Lee Min-Hyeok,0,0.33,0,0,0.33,0
258,,Il-Lok Yun,0,0,0,0,0.29,0.14
259,,Son Ho-Jun,0,0,0,0,0.33,0.08
260,,Sang-hun Yu,2.6,0.05,0.1,0,0.9,0.3
261,,Kim Min-Seok,0,0,0,0,0.39,0.06
262,,Daewon Park,0,0.13,0,0,0.97,0.16
263,,Jae-hyeon Go,0,0.19,0,0,0.81,0.24
264,,Han-gil Kim,0,0.1,0,0,0.41,0.07
265,,Min-hyeon Kong,0,0,0,0,0.5,0
266,,Kyeong-hyeon Min,0,0.11,0,0,0.59,0.15
267,,Welinton Junior,0,0,0,0,0.44,0
268,,Jin-ho Kim,0,0,0,0,0.56,0.08
269,,Ji-hun Kang,0,0.06,0,0,0.88,0.13
270,,Shi-uh Song,0,0,0,0,0.57,0.29
271,,Lee Joon-Ho,0,0,0,0,0.38,0
272,,Uh-seok Kim,0,0.08,0,0,0.54,0.08
273,,Se-gye Sin,0,0.17,0,0,1.2,0.4
274,,Jin-woo Jeon,0,0,0,0,0.62,0.1
275,,Byeong-hyeon Park,0,0,0,0,1,0.33
276,,Byeon Jun-soo,0,0.07,0,0,0.47,0.07
277,,Sang-hyeob Lim,0,0.05,0,0,0.82,0
278,,Lim Yoo-seok,0,0.33,0,0,0.67,0
279,,Bo-kyung Kim,0,0,0,0,1,0.04
280,,Kim Joo-chan,0,0,0,0,0.64,0.04
281,,Jeong Jae Yong,0,0,0,0,1.36,0.07
282,,Tae-hyeon Ahn,0,0.13,0,0,0.63,0.29
283,,Yu Je-ho,0,0,0,0,0.45,0.09
284,,Seung-Yong Jeong,0,0.14,0,0,0.64,0.32
285,,Chul-soon Choi,0,0.05,0,0,0.47,0.05
286,,Min-ho Yun,0,0,0,0,0,0
287,,Kim Min-Ho,0,0,0,0,0.5,0
288,,Tae-han Kim,0,0.5,0,0,0.5,0.5
289,,Kim Lee-Seok,0,0.5,0,0,0,0.5
290,,Lee Jae-wook,0,0,0,0,0.5,0
291,,Lee Gyu-seok,0,0,0,0,0.8,0
292,,Seok-jong Han,0,0.17,0,0,0.67,0.17
293,,Ju-ho Park,0,0.07,0,0,0.93,0.36
294,,Yang Hyun-Jun,0,0.1,0,0,0.81,0.24
295,,Rafael Silva,0,0,0,0,0.48,0.04
296,,Deok-geun Lim,0,0,0,0,0.9,0.15
297,,Kazuki Kozuka,0,0.06,0,0,1.19,0.06
298,,Dong-yun Jeong,0,0.14,0,0,0.43,0.18
299,,Rodrigo Bassani,0,0.05,0,0,1.23,0
300,,Walterson Silva,0,0,0,0,0.45,0.09
301,,Kim Ji-hun,0,0,0,0,1,0.4
302,,Kang Yun-Gu,0,0,0,0,0.16,0
303,,Victor Bobsin,0,0.09,0,0,0.55,0.18
304,,Kun-hee Lee,0,0,0,0,0.38,0.08
305,,Vladislavs Gutkovskis,0,0,0,0,0.33,0
306,,Hyeon-cheol Jeong,0,0,0,0,0.33,0
307,,An Chi-Woo,0,0,0,0,0.33,0
308,,Yun-gu Kang,0,0,0,0,0.33,0
309,,Seong-won Jang,0,0.07,0,0,0.55,0.17
310,,Jeon Byung-kwan,0,0,0,0,0.7,0
311,,Jae-Hwan Hwang,0,0,0,0,0.45,0
312,,Park Han-Bin,0,0,0,0,0.42,0.08
313,,Ji-hyeon Kim,0,0,0,0,0.6,0
314,,Ryu Kwang-hyun,0,0,0,0,0.91,0
315,,Yool Heo,0,0.03,0,0,0.36,0.03
316,,Sandro Lima,0,0.08,0,0,0.92,0
317,,Dong-su Lee,0,0,0,0,0.17,0
318,,Young-Jae Seo,0,0.17,0,0,0.74,0.22
319,,Yong Rae Lee,0,0,0,0,0.45,0.14
320,,Keun-ho Lee,0,0,0,0,0.19,0.13
321,,Park Se-jin,0,0.03,0,0,0.45,0.09
322,,Björn Johnsen,0,0,0,0,0.33,0
323,,Seong-keun Choi,0,0,0,0,0,0
324,,Eu-ddeum Lee,0,0,0,0,0,0
325,,Ki-hun Yeom,0,0,0,0,0.67,0.33
326,,Jae-hyeok Oh,0,0,0,0,0,0
327,,Dong-hyeok Im,0,0,0,0,0.4,0
328,,Wan-kyu Kwon,0,0.13,0,0,0.75,0
329,,Seong-hun Park,0,0,0,0,2,0
330,,Park Hyeong-woo,0,0,0,0,0,0
331,,Jong-hoon Lee,0,0,0,0,0,0
332,,Geon-woo Park,0,0,0,0,0.5,0
333,,Se-jin Park,0,0,0,0,1,0.5
334,,Kyeong-jae Kim,0,0,0,0,0,0
335,,Jae-sung Lee,0,0.14,0,0,1.86,0.43
336,,Lee Dong-won,0,0,0,0,0.63,0.13
337,,Jung Ji-Hun,0,0,0,0,0.08,0
338,,Seung-Won Jeong,0,0,0,0,1.12,0.12
339,,Yong-hwan Kim,0,0,0,0,0.4,0.2
340,,Marcos Serrato,0,0,0,0,0.36,0
341,,Jae-hun Cho,0,0,0,0,0,0.08
342,,André Luís,0,0,0,0,0.54,0
343,,Hyun Hun Kim,0,0,0,0,1.2,0.5
344,,Seung Won Lee,0,0,0,0,0.29,0
345,,Chang-mu Shin,0,0,0,0,0.22,0
346,,Jin-ya Kim,0,0.07,0,0,0.9,0
347,,Jae Suk Oh,0,0.08,0,0,1.2,0.2
348,,Chan-gi Ahn,1.67,0,0,0,1,0
349,,Kwak Seung-min,0,0,0,0,0,0
350,,Kyeong-jung Kim,0,0,0,0,0.93,0
351,,Inpyo Oh,0,0,0,0,0.91,0.19
352,,Hyun-taek Cho,0,0,0,0,0.24,0.07
353,,Ju-yeob Kim,0,0,0,0,0.7,0.3
354,,Jae-won Lee,0,0,0,0,0.5,0
355,,Park Hee-jun,0,0,0,0,0.38,0
356,,Han-do Lee,0,0,0,0,2.5,0.5
