#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
117,,Marc Llinares,0,0.09,40,0.27,0,0
118,,Seid Korac,0.04,0.08,66.67,0.24,0,0
119,,Pilip Vaitsiakhovich,0,0,0,0,0,0
120,,Christoffer Nyman,0.31,0.15,50,1.96,0.12,0
121,,Edvin Kurtulus,0,0.04,52.94,0.41,0,0
122,,Mads Fenger,0,0,87.5,0.26,0,0
123,,Rasmus Wikström,0,0,33.33,0.88,0,0
124,,Joel Asoro,0.19,0.19,61.11,1.44,0,0
125,,Otto Rosengren,0.09,0.05,55.17,1.27,0,0
126,,Leo Walta,0.18,0,42.86,2.27,0,0
127,,Deniz Hümmet,0.3,0.17,52,1.73,0,0
128,,André Alsanati,0.15,0,47.37,1.4,0,0
129,,Sebastian Jørgensen,0.06,0.19,58.33,1.19,0,0
130,,Peter Abrahamsson,0,0,0,0,0,0
131,,Vito Hammershøj-Mistrati,0.19,0.19,47.06,1.44,0,0
132,,Jimmy Durmaz,0,0,50,0.42,0,0
133,,Buhari Ibrahim,0,0.06,66.67,0.44,0,0
134,,Romarinho,0,0.07,52.38,1.07,0,0
135,,Viktor Granath,0.31,0.21,46.15,1.17,0.07,0
136,,Christos Gravius,0.04,0,65.22,0.44,0,0
137,,Marcus Berg,0.33,0.24,62.5,1.57,0.14,0
138,,Pontus Dahbo,0.2,0,75,0.7,0,0
139,,Ajdin Zeljkovic,0.25,0.32,60.61,2.21,0,0
140,,Melker Heier,0.15,0.08,55.74,2.08,0,0
141,,Aboubakar Keita,0,0,70,0.29,0,0
142,,Rasmus Örqvist,0.16,0.04,54.72,1.2,0.04,0
143,,Victor Lind,0.21,0.24,51.02,2.69,0,0.38
144,,Erik Ahlstrand,0.1,0.03,48.09,1.72,0,0
145,,Bersant Celina,0,0.11,52.94,1.67,0,0
146,,Daniel Eid,0,0,56.52,0.44,0,0
147,,Colin Rösler,0.03,0.07,60,0.4,0.03,0
148,,David Löfquist,0.15,0.04,66.67,0.73,0.04,0
149,,Elyas Bouzaiene,0.07,0.21,51.67,1.07,0.04,0
150,,Ibrahim Sadiq,0.5,0.1,30.56,3.8,0.2,0
151,,David Olsson,0,0,0,0,0,0
152,,Herman Johansson,0.08,0.12,57.69,0.96,0.04,0
153,,Torbjörn Heggem,0.04,0.04,70.59,0.5,0,0
154,,Jens Jakob Thomasen,0,0,0,0,0,0
155,,Marco Lund,0.08,0.08,100,0.77,0.04,0
156,,Hugo Bolin,0.06,0.13,43.33,1.63,0,0
157,,Viktor Gustafson,0,0.07,76.47,0.57,0,0
158,,Fredrik Hammar,0.05,0,46.67,0.91,0.05,0
159,,Marko Johansson,0,0,0,0,0,0
160,,Piotr Johansson,0,0,50,0.3,0,0
161,,Loret Sadiku,0.04,0,53.33,0.5,0.04,0
162,,Andreas Johansson,0,0.11,88.89,0.14,0,0
163,,Emil Salomonsson,0.08,0.04,26.09,1.16,0,0
164,,Simon Sandberg,0.04,0.04,57.14,0.24,0.04,0
165,,Anton Eriksson,0,0,87.5,0.26,0,0
166,,Robin Tihi,0,0,88.89,0,0,0
167,,Phil Ofosu-Ayeh,0.04,0.11,54.17,0.56,0,0
168,,Moutaz Neffati,0.5,0,33.33,1,0,0
169,,Ivan Kričak,0.1,0,100,0.6,0.1,0
170,,Dino Beširović,0,0.17,46.15,1.5,0,0
171,,Kazper Karlsson,0.08,0.04,70.27,0.38,0,0
172,,Noah Eile,0.04,0.08,52.63,0.75,0,0
173,,Gustav Wikheim,0.14,0.14,56.25,1.86,0,0
174,,Aron Bjarnason,0.07,0,60,0.82,0,0
175,,Nathaniel Adjei,0.05,0.05,81.82,0.29,0,0
176,,Jetmir Haliti,0,0,81.48,0.62,0,0
177,,Albion Ademi,0.11,0,51.08,1.44,0,0
178,,Ísak Andri Sigurgeirsson,0.27,0.18,52.63,1.55,0,0
179,,Victor Larsson,0,0,50,0.55,0,0
180,,Sebastian Ohlsson,0,0,63.64,0.43,0,0
181,,Patrick Nwadike,0,0.11,80,0.56,0,0
182,,Pontus Dahlberg,0,0,0,0,0,0
183,,Jesper Lofgren,0.04,0.04,50,0.54,0.04,0
184,,Malkolm Nilsson,0,0,50,0,0,0
185,,Noel Tornqvist,0,0,0,0,0,0
186,,Assad Al-Hamlawi,0.13,0,75,1.13,0,0
187,,Sondre Rossbach,0,0,0,0,0,0
188,,Vincent Thill,0,0,50,1.88,0,0
189,,Albin Lohikangas,0.07,0,66.67,0.43,0,0
190,,Amane Romeo,0.13,0.17,57.63,1.17,0.04,0
191,,Joel Allansson,0,0,62.5,0.34,0,0
192,,Haris Radetinac,0.13,0.13,64.52,1.08,0,0
193,,Jacob Widell Zetterström,0,0,0,0,0,0
194,,Simon Hedlund,0.13,0.25,50,1.13,0,0
195,,Amadeus Sögaard,0,0,75,0.25,0,0
196,,Filip Sidklev,0,0,0,0,0,0
197,,Melker Hallberg,0.08,0.08,42.86,0.75,0,8.33
198,,Montader Madjed,0.06,0,64.1,1.56,0,0
199,,Markus Karlsson,0.05,0.11,55.56,0.47,0,0
200,,Jusef Erabi,0.3,0.26,57.58,1.52,0.09,0
201,,Tim Soderstrom,0.05,0.1,56.12,0.52,0,0
202,,Johan Martensson,0.11,0,50,0.33,0,0
203,,Jonathan Svedberg,0,0,46.15,0.71,0,0
204,,Theo Bergvall,0,0,0,0,0,0
205,,Davor Blažević,0,0,0,0,0,0
206,,Niklas Gunnarsson,0,0,0,0.18,0,0
207,,Rasmus Sjöstedt,0,0,100,0.17,0,0
208,,Naeem Mohammed,0.31,0.27,48.61,1.96,0.04,0
209,,Marijan Cosic,0.08,0.21,38.89,1.21,0.04,0
210,,Simon Thern,0.04,0.09,47.92,0.91,0.04,0
211,,Joeri de Kamps,0,0,40,0.23,0,0
212,,Jesper Gustavsson,0,0,69.23,0.38,0,0
213,,Wenderson,0,0.07,45.76,1.17,0,0
214,,Hampus Zackrisson,0.07,0.04,100,0.41,0.07,0
215,,Srđan Hrstić,0.2,0,0,1.1,0.1,0
216,,Tomas Totland,0.05,0,56.52,0.33,0,0
217,,Patriot Sejdiu,0.1,0,58.33,0.2,0,0
218,,Abdussalam Magashy,0.13,0.13,65.22,0.8,0,0
219,,Max Fenger,0.2,0.17,39.66,1.6,0.1,0
220,,Johan Dahlin,0,0,0,0,0,0
221,,Omar Faraj,0.13,0.17,53.66,2.21,0.04,0
222,,Besard Sabović,0.04,0.04,75,0.64,0,0
223,,Albin Mörfelt,0,0,83.33,0.25,0,0
224,,Johan Bångsbo,0,0.05,77.78,0.37,0,0
225,,Gustaf Norlin,0.07,0.21,40,0.9,0,0
226,,Moustafa Zeidan,0,0,46.15,0.88,0,0
227,,André Calisir,0,0,62.5,0.36,0,0
228,,Kristoffer Nordfeldt,0,0,0,0,0,0
229,,Jesper Ceesay,0,0,66.67,0.18,0,0
230,,Sveinn Aron Guðjohnsen,0.23,0.3,40.91,1.93,0.07,0
231,,Nikola Vasic,0.19,0.31,46.15,1.92,0.04,0
232,,Elliot Stroud,0,0,50,0.35,0,0
233,,Alexander Fesshaie,0.2,0.1,47.37,0.7,0,0
234,,Sebastian Hausner,0.04,0,33.33,0.54,0,0
235,,Simon Strand,0,0,68.57,0.58,0,0
236,,Jacob Bergström,0.14,0.14,80,0.52,0.05,0
237,,Magnus Kaastrup,0,0.3,52.38,2,0,0
238,,Per Frick,0.14,0.19,33.33,0.86,0.05,0
239,,Viktor Fischer,0,0.38,55.56,1,0,0
240,,Davíð Kristján Ólafsson,0,0.03,42.86,0.47,0,0
241,,Damjan Pavlović,0.06,0,80,0.71,0,0
242,,Dion Krasniqi,0.26,0.26,48.48,2.26,0,0
243,,Gudmundur Baldvin Nokkvason,0.14,0,0,0.29,0,0
244,,Vinicius Nogueira,0,0.05,40.38,0.75,0,0
245,,Leonard Žuta,0,0,0,0,0,0
246,,Argjend Miftari,0,0,0,0,0,0
247,,Marcus Olsson,0,0.04,37.5,0.57,0,0
248,,Peter Gwargis,0.04,0.04,55.88,1.38,0,0
249,,Maic Sema,0.12,0.18,80,0.41,0,0
250,,Jakob Tånnander,0,0,0,0,0,0
251,,Omur Pektas,0.2,0,100,0.6,0,0
252,,Bernardo Vilar,0,0,0,0.17,0,0
253,,Abdelkarim Chaouche,0.04,0,41.38,0.75,0,0
254,,Johan Karlsson,0,0.04,53.49,0.54,0,0
255,,Joakim Lindner,0.04,0.04,66.67,0.67,0,0
256,,Hampus Nasstrom,0.07,0.04,82.35,0.33,0,0
257,,Franklin Tebo,0,0,0,0,0,0
258,,Herman Sjögrell,0.06,0.13,66.67,0.44,0,0
259,,Lucas Bergvall,0.08,0.08,68.29,1,0,0
260,,Besfort Zeneli,0.07,0,44.44,0.93,0,0
261,,Kadir Hodžić,0,0,50,0.4,0,0
262,,Benjamin Hjertstrand,0,0,100,0.13,0,0
263,,Eman Marković,0,0.17,68.75,0.92,0,0
264,,Adi Nalić,0.15,0.12,53.66,1.27,0,0
265,,Jacob Une Larsson,0,0,0,0.64,0,0
266,,Alper Demirol,0,0.06,63.64,0.31,0,0
267,,Lucas Kåhed,0.05,0,48.57,0.79,0,0
268,,Samuel Kroon,0.08,0.08,62.5,0.5,0,0
269,,Hussein Carneil,0,0,66.67,1.5,0,0
270,,Oskar Fallenius,0.08,0.31,40.35,0.85,0,0
271,,Nahom Girmai,0.07,0.1,50,0.59,0,0
272,,Jalal Abdulai,0.2,0.1,66.67,0.6,0,0
273,,Abdelrahman Boudah,0,0.23,57.14,1.31,0,0
