#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
98,,Victor Eriksson,1.48,1.66,0,3.69,0,0.45
99,,Anton Tinnerholm,0.75,1,0,1,0,0
100,,Benjamin Hansen,0.6,1,0,1.8,0,0.2
101,,Gustav Henriksson,1,1,0,1.6,0,0
102,,Oliver Dovin,0,0,0,1.07,0.07,0
103,,Dennis Widgren,1.89,1,0,1.43,0,0.54
104,,Gustav Svensson,1.38,2.04,0,2.88,0.04,0.54
105,,Sebastian Ohlsson,2,0.47,0,0.47,0,0.87
106,,Timothy Ouma,1,0,0,0.25,0,0
107,,Valgeir Lunddal,1.14,1.41,0.05,2.5,0,0.45
108,,Gustav Granath,1.68,1.12,0.04,4.6,0,0.64
109,,Marco Bustos,0.33,0.17,0,0.28,0,0.28
110,,Ricardo Friedrich,0.04,0,0.11,1.7,0,0.04
111,,Hampus Finndell,1.29,0.92,0,0.92,0,1.25
112,,Mads Thychosen,1.06,0.88,0,1.13,0.06,0.94
113,,Michael Baidoo,1.11,0.64,0,0.5,0,1.11
114,,Mileta Rajović,0.45,0.05,0,1.15,0,0.3
115,,Luke Le Roux,3.06,1.53,0.06,1.88,0.06,1.53
116,,Niklas Hult,1.93,1.69,0,1.76,0,1.14
117,,Marc Llinares,1.27,1,0,1.27,0,0.18
118,,Seid Korac,1.88,1.48,0,3.56,0.04,0.64
119,,Pilip Vaitsiakhovich,0,0,0,1.5,0.25,0
120,,Christoffer Nyman,0.85,0.38,0,1.08,0,0.62
121,,Edvin Kurtulus,0.85,1.22,0,3.19,0,0.22
122,,Mads Fenger,0.57,1.22,0,3.04,0,0.22
123,,Rasmus Wikström,0.75,0.38,0,3.63,0,0.25
124,,Joel Asoro,0.81,0.38,0,0.63,0,0.38
125,,Otto Rosengren,1.23,0.73,0,0.36,0,1.14
126,,Leo Walta,1.27,0.91,0,0.73,0,1.45
127,,Deniz Hümmet,0.77,0.23,0,0.4,0,0.53
128,,André Alsanati,0.55,0.25,0,0.05,0,0.65
129,,Sebastian Jørgensen,0.69,0.31,0,0.25,0,0.38
130,,Peter Abrahamsson,0,0,0,0.97,0.03,0.03
131,,Vito Hammershøj-Mistrati,1.44,0.52,0,0.67,0,1.07
132,,Jimmy Durmaz,0.89,0.58,0,0.79,0,0.63
133,,Buhari Ibrahim,1.31,1.13,0.06,3.69,0,0.31
134,,Romarinho,1.7,1.13,0,1.57,0,0.73
135,,Viktor Granath,0.83,0.34,0,1.17,0,0.31
136,,Christos Gravius,1.24,1,0,0.96,0.04,0.56
137,,Marcus Berg,0.43,0.14,0,0.14,0,0.9
138,,Pontus Dahbo,0.45,0.05,0,0.05,0,0.3
139,,Ajdin Zeljkovic,0.54,0.07,0,0.39,0,0.07
140,,Melker Heier,0.77,0.65,0,0.5,0,0.58
141,,Aboubakar Keita,1.36,1.36,0.07,0.57,0,0.79
142,,Rasmus Örqvist,1.96,1.2,0,1.56,0,1.4
143,,Victor Lind,1.62,0.83,0,0.93,0,1.17
144,,Erik Ahlstrand,1,1.1,0,0.52,0,0.55
145,,Bersant Celina,1.67,0.67,0,0.89,0,1.44
146,,Daniel Eid,1.19,2.04,0,2.3,0,0.7
147,,Colin Rösler,0.83,1.33,0.03,4.4,0.07,0.13
148,,David Löfquist,0.27,0.12,0,0.23,0,0.38
149,,Elyas Bouzaiene,1.82,1.04,0,1.71,0,0.96
150,,Ibrahim Sadiq,1,0.3,0,0.2,0,0.4
151,,David Olsson,0.1,0,0.1,0.7,0.1,0.1
152,,Herman Johansson,1.62,0.62,0,2.12,0,0.65
153,,Torbjörn Heggem,1.57,1.21,0,3.36,0.04,0.29
154,,Jens Jakob Thomasen,0.83,1.17,0,0.33,0,0.33
155,,Marco Lund,1.15,1,0,4.58,0,0.46
156,,Hugo Bolin,1.5,0.69,0,0.69,0,0.75
157,,Viktor Gustafson,2.07,1.29,0,0.21,0,1.5
158,,Fredrik Hammar,2.45,1,0.09,0.86,0,1.27
159,,Marko Johansson,0,0,0,0.82,0,0.09
160,,Piotr Johansson,1.4,0.77,0,1.37,0,0.63
161,,Loret Sadiku,1.04,1.29,0,1.13,0,0.63
162,,Andreas Johansson,1,1.25,0,4.54,0,0.32
163,,Emil Salomonsson,1.44,1.64,0,1.48,0,0.84
164,,Simon Sandberg,0.8,0.88,0,2.36,0,0.4
165,,Anton Eriksson,1.04,1.96,0,3.85,0,0.22
166,,Robin Tihi,1.92,1.15,0,2.23,0,0.62
167,,Phil Ofosu-Ayeh,1.41,0.85,0,2.81,0,0.63
168,,Moutaz Neffati,2,1,0,0.5,0,0.5
169,,Ivan Kričak,0.8,0.9,0,1.5,0,0.2
170,,Dino Beširović,1.33,0.58,0,0.58,0,0.33
171,,Kazper Karlsson,3.08,0.92,0,0.71,0,1.67
172,,Noah Eile,0.96,1.75,0.04,2.25,0.04,0.33
173,,Gustav Wikheim,0.95,0.18,0,0.14,0,0.64
174,,Aron Bjarnason,1.14,0.36,0,0.43,0,0.96
175,,Nathaniel Adjei,1.05,0.71,0,2.71,0.05,0.24
176,,Jetmir Haliti,1.29,1,0,1.38,0,0.71
177,,Albion Ademi,0.56,0.48,0,0.15,0,0.44
178,,Ísak Andri Sigurgeirsson,0.64,0.55,0,0.36,0,0.91
179,,Victor Larsson,1.86,1.1,0.07,2.72,0.03,0.86
180,,Sebastian Ohlsson,1.9,1.29,0,2.38,0.05,0.95
181,,Patrick Nwadike,0.56,0.89,0.11,3.89,0,0.22
182,,Pontus Dahlberg,0,0,0,0.96,0.08,0.04
183,,Jesper Lofgren,1.08,1.35,0,2.62,0,0.15
184,,Malkolm Nilsson,0,0,0,0.75,0.06,0.13
185,,Noel Tornqvist,0.07,0.07,0.07,0.81,0.04,0
186,,Assad Al-Hamlawi,0,0.25,0,0.38,0,0.5
187,,Sondre Rossbach,0,0,0.04,0.75,0,0
188,,Vincent Thill,1.75,0.38,0,0,0,0.88
189,,Albin Lohikangas,1.14,0.93,0,0.86,0,0.29
190,,Amane Romeo,1.22,0.57,0,0.43,0,1.26
191,,Joel Allansson,1.41,0.83,0,1.31,0,1.1
192,,Haris Radetinac,0.63,0.54,0,0.67,0,0.33
193,,Jacob Widell Zetterström,0.04,0,0,0.7,0.04,0
194,,Simon Hedlund,1,0.5,0,0.38,0,1.13
195,,Amadeus Sögaard,1.18,1.71,0.04,5.14,0.04,0.36
196,,Filip Sidklev,0.05,0,0.05,1.55,0.1,0
197,,Melker Hallberg,0.75,0.42,0,0.67,0,0.75
198,,Montader Madjed,0.38,0.44,0,0.25,0,0.38
199,,Markus Karlsson,1.95,1.05,0,1.05,0,0.79
200,,Jusef Erabi,0.22,0.09,0,0.65,0,0.26
201,,Tim Soderstrom,1.62,1.76,0,1.57,0,1.24
202,,Johan Martensson,0.89,1.11,0,1.67,0,0.33
203,,Jonathan Svedberg,1.21,1,0,1.29,0,1.38
204,,Theo Bergvall,0,0,0,0,0,0
205,,Davor Blažević,0,0,0,0,0,0
206,,Niklas Gunnarsson,0.55,0.82,0,2.82,0,0.09
207,,Rasmus Sjöstedt,0.59,1.07,0,3.48,0,0.48
208,,Naeem Mohammed,1.08,0.46,0,0.31,0,0.81
209,,Marijan Cosic,0.75,0.33,0,0.21,0,0.54
210,,Simon Thern,0.74,0.35,0,0.35,0,1.04
211,,Joeri de Kamps,3,1.23,0,1,0,1.38
212,,Jesper Gustavsson,2.07,1.52,0.03,1.69,0,1.21
213,,Wenderson,2.14,1.34,0,1.86,0.03,0.97
214,,Hampus Zackrisson,1.04,1.15,0.04,4.22,0,0.78
215,,Srđan Hrstić,0.2,0.1,0,0.4,0,0.2
216,,Tomas Totland,0.52,1.14,0,1.38,0,0.19
217,,Patriot Sejdiu,0.6,0.3,0,0.2,0,0.1
218,,Abdussalam Magashy,1.33,0.67,0,0.47,0,0.27
219,,Max Fenger,0.7,0.3,0,0.33,0,0.53
220,,Johan Dahlin,0,0,0,0.59,0.07,0.07
221,,Omar Faraj,0.58,0.21,0,0.33,0,0.42
222,,Besard Sabović,1,0.56,0,0.44,0,0.36
223,,Albin Mörfelt,0.25,0,0,0.25,0,0.5
224,,Johan Bångsbo,0.84,1,0,3.68,0,0.32
225,,Gustaf Norlin,1.07,0.52,0,0.34,0,0.28
226,,Moustafa Zeidan,0.25,0.25,0,0.13,0,0.25
227,,André Calisir,1,1.36,0,1.71,0,0.07
228,,Kristoffer Nordfeldt,0.03,0.03,0,0.53,0.1,0.07
229,,Jesper Ceesay,1.45,1.41,0,1.86,0,0.68
230,,Sveinn Aron Guðjohnsen,0.33,0.13,0,0.7,0,0.33
231,,Nikola Vasic,0.46,0.12,0,0.5,0,0.46
232,,Elliot Stroud,1.35,0.55,0,0.75,0,0.65
233,,Alexander Fesshaie,0.7,0,0,0.2,0,0.5
234,,Sebastian Hausner,0.92,1.13,0.08,3.46,0,0.33
235,,Simon Strand,1.23,1.69,0,1.27,0,0.73
236,,Jacob Bergström,0.1,0.05,0,0.38,0,0
237,,Magnus Kaastrup,0.7,0,0,0.2,0,0.2
238,,Per Frick,0.43,0.1,0,0.43,0,0.24
239,,Viktor Fischer,0.25,0.5,0,0.13,0,0.25
240,,Davíð Kristján Ólafsson,1.17,0.9,0,2.17,0.07,0.3
241,,Damjan Pavlović,0.71,0.41,0.06,0.94,0,0.29
242,,Dion Krasniqi,0.7,0.26,0,0.43,0,0.91
243,,Gudmundur Baldvin Nokkvason,1.43,1.29,0,0.57,0,0.43
244,,Vinicius Nogueira,2.15,1.7,0.05,1.2,0,0.95
245,,Leonard Žuta,3,0,0,0.5,0,0
246,,Argjend Miftari,0,0.5,0,1,0,0
247,,Marcus Olsson,0.61,0.7,0,3.3,0,0.3
248,,Peter Gwargis,0.71,0.13,0,0.17,0,0.5
249,,Maic Sema,0.35,0.18,0,0.29,0,0.18
250,,Jakob Tånnander,0,0,0,1.05,0,0.05
251,,Omur Pektas,0,0.2,0,0.2,0,0.4
252,,Bernardo Vilar,0.33,0.67,0,2.83,0,0
253,,Abdelkarim Chaouche,1.18,1.11,0.04,2.82,0,0.5
254,,Johan Karlsson,1.46,0.77,0,1.04,0.04,0.81
255,,Joakim Lindner,2.25,1.33,0.17,3.88,0,1.08
256,,Hampus Nasstrom,1.3,0.52,0,1.63,0,0.74
257,,Franklin Tebo,0.43,0.71,0,2.43,0,0.29
258,,Herman Sjögrell,0.19,0.06,0,0,0,0.06
259,,Lucas Bergvall,0.56,0.36,0,0.16,0,0.52
260,,Besfort Zeneli,0.29,0,0,0,0,0.29
261,,Kadir Hodžić,0.8,0.4,0,0.4,0,0.2
262,,Benjamin Hjertstrand,1.63,1.25,0,2,0,0.25
263,,Eman Marković,1.42,0.5,0,0.25,0,0.75
264,,Adi Nalić,0.54,0.31,0,0.38,0,0.81
265,,Jacob Une Larsson,0.86,0.71,0,2.86,0.07,0.36
266,,Alper Demirol,1.75,0.63,0,0.69,0.06,0.56
267,,Lucas Kåhed,1.79,0.58,0,0.63,0,0.68
268,,Samuel Kroon,0.33,0.08,0,0.17,0,0.25
269,,Hussein Carneil,0.58,0.5,0,0.5,0,0.92
270,,Oskar Fallenius,0.73,0.5,0,0.31,0,0.69
271,,Nahom Girmai,1.1,0.9,0,1.03,0,1.07
272,,Jalal Abdulai,0.2,0,0,0.1,0,0.3
273,,Abdelrahman Boudah,0.31,0.31,0,0.23,0,0.08
274,,William Kenndal,0,0,0,0,0,0
275,,Diego Alfonsi,0.5,0,0,0.5,0,0.5
276,,Alexander Lindskog,0,1.5,0,3,0,0
277,,Silas Nwankwo,0,0.33,0,0.67,0,0
278,,Rebin Sulaka,0.5,0,0,0.25,0,0
279,,Andre Boman,0.14,0.71,0,0.57,0,0.14
280,,David Mitov Nilsson,0,0,0,1.25,0.08,0
281,,Yahya Kalley,1.37,0.59,0,0.81,0,0.07
282,,Joseph-Claude Gyau,1.27,0.73,0,1.04,0,0.5
283,,Adam Wikman,0.61,1.04,0,0.48,0,0.43
284,,Jacob Trenskow,0.69,0.44,0,0.31,0,0.5
285,,Abdihakin Ali,0.92,0.69,0,1,0,0.46
286,,Stojan Lukić,0.08,0,0,0.33,0,0
287,,Jack Cooper Love,0.37,0.33,0,0.07,0,0.15
