#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
94,,Emin Grozdanic,0.07,0.03,53.66,56.47,0.45,0.66
95,,Oscar Wendt,0.07,0,61.11,54.67,0.36,0.89
96,,Adam Carlén,0.32,0,55.26,52.6,1.14,2.04
97,,Kolbeinn Thordarson,0.5,0,46.43,51.69,1.8,2.5
98,,Victor Eriksson,0.17,0,59.44,57.56,0.52,1.31
99,,Anton Tinnerholm,0.25,0,33.33,39.13,0.25,1
100,,Benjamin Hansen,0,0,66.67,72,0.6,0.2
101,,Gustav Henriksson,0.4,0,64.29,66.67,0.6,0.8
102,,Oliver Dovin,0.03,0,100,100,0.17,0
103,,Dennis Widgren,0.11,0,40,59.28,0.54,0.54
104,,Gustav Svensson,0.19,0,51.65,54.84,0.54,0.77
105,,Sebastian Ohlsson,0.13,0,27.27,43.51,0.87,1.73
106,,Timothy Ouma,0.25,0,66.67,63.64,0,0.5
107,,Valgeir Lunddal,0.09,0,67.5,58.9,0.68,0.55
108,,Gustav Granath,0.16,0,50.6,57.35,0.8,0.72
109,,Marco Bustos,0.06,0,10,42.42,0.78,0.5
110,,Ricardo Friedrich,0.15,0.07,100,75,0.22,0.19
111,,Hampus Finndell,0.29,0,64.71,44.85,1.08,1.83
112,,Mads Thychosen,0.25,0,69.57,53.92,0.88,0.5
113,,Michael Baidoo,0.25,0,42.86,39.45,0.68,1.57
114,,Mileta Rajović,0.05,0,43.16,40.61,0.6,0.8
115,,Luke Le Roux,0.29,0,57.14,53.59,0.94,1.71
116,,Niklas Hult,0.17,0,50,53.87,1.34,1.1
117,,Marc Llinares,0,0,27.78,57.65,2,0.55
118,,Seid Korac,0.24,0,70.75,66.95,1.2,1
119,,Pilip Vaitsiakhovich,0,0,100,100,0.13,0
120,,Christoffer Nyman,0.12,0,47.06,46.65,1.42,1.19
121,,Edvin Kurtulus,0.19,0.04,67.27,56.08,0.56,0.85
122,,Mads Fenger,0.13,0,54.72,59.81,0.65,0.43
123,,Rasmus Wikström,0.25,0,72.22,57.5,0.38,1
124,,Joel Asoro,0.06,0,53.49,54.61,1.19,0.75
125,,Otto Rosengren,0.23,0,29.17,46.2,1.05,0.91
126,,Leo Walta,0.09,0,12.5,41.67,1.91,2
127,,Deniz Hümmet,0.13,0,54.55,50.28,0.8,0.7
128,,André Alsanati,0.1,0,0,42.37,0.25,0.15
129,,Sebastian Jørgensen,0,0,33.33,52.17,0.31,0.13
130,,Peter Abrahamsson,0.03,0,91.67,88.89,0.13,0
131,,Vito Hammershøj-Mistrati,0.07,0,36.36,46.52,0.74,0.59
132,,Jimmy Durmaz,0.05,0,63.64,49.35,0.26,0.47
133,,Buhari Ibrahim,0,0,62.3,65.42,0.56,0.44
134,,Romarinho,0.07,0,60.87,58.64,2.97,1.67
135,,Viktor Granath,0.03,0,44.5,44.65,0.69,0.72
136,,Christos Gravius,0.24,0.04,53.33,56.2,0.92,0.72
137,,Marcus Berg,0.05,0,32.04,34.43,1.24,1.86
138,,Pontus Dahbo,0.1,0,30,59.74,0.95,0.45
139,,Ajdin Zeljkovic,0.11,0,35,50.76,0.89,0.61
140,,Melker Heier,0.15,0,10.53,46.67,1.35,1.08
141,,Aboubakar Keita,0.21,0,60,54.64,0.64,0.93
142,,Rasmus Örqvist,0.24,0.04,41.35,39.25,1,2.76
143,,Victor Lind,0.07,0,36.36,46.23,1.34,1.1
144,,Erik Ahlstrand,0.14,0,41.67,45.61,2.76,1.14
