Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Luis Urruti,0,0,33.33,1.67,0,0,0.44,0.33,0,0.22,0,0,0.22,0.44,10.11,68.13,4.11,58.33,0,0,0,0,0.22,0,0.11,0,50,57.5,1.44,0.44,9
Cristian Techera,0.43,0.22,46.51,3.04,0.04,0.4,0.35,0.26,0,0.13,0,0.48,0.22,0.17,19.26,79.46,6.43,64.38,0,0,0,0,1.35,0.22,0.22,0,22.73,41.99,1.87,1.22,23
Donald Millán,0.23,0.04,71.43,1.5,0,0,1.46,0.27,0,0.81,0,0.77,0.15,0.23,40.38,77.71,11.77,51.7,0,0.08,0,0,1.27,0.12,0.27,0,50,55.65,1.62,1.08,26
Jorge Cabezudo,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,24.75,75.76,1.5,51.11,3.75,0.5,0,0,1,0.25,0,0,50,83.33,0.5,0,4
Hernán Barcos,0.55,0.24,46,2.82,0.09,0,0.73,0.18,0,1.61,0,0.52,0.27,0.15,23.73,63.22,6.82,53.85,0,0.36,0,0,0.58,0.12,0.27,0,51.08,43.92,1.27,1.42,33
Luis Haquín,0,0,0,1,0,0,1,0,0,7,0,0,0,0,27,81.48,3,72.73,0,0,0,0,1,0,0,0,100,100,0,0,1
Angel Azurin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,72.73,0,28.57,2,1,0,0,0,0,0,0,0,0,0,0,1
Roberto Ovelar,0.42,0.23,54.39,2.85,0,0,0.58,0.15,0,0.81,0.04,0.42,0.23,0.19,28,76.65,8.04,78.26,0,0.04,0,0,1.58,0.19,0.27,0.04,62.26,53.82,1.92,1,26
Carlos Ross,0.12,0.12,43.48,1.67,0,0.43,0.09,0.09,0,0.58,0,0.12,0.48,0.33,25.03,81.6,11.03,56.25,0,0.09,0,0,0.82,0.15,0.03,0,17.65,29.89,0.3,0.39,33
Alexis Arias,0.03,0.11,55.56,1.25,0,0,0.75,0.39,0,0.33,0,0.39,0.22,0.17,30.89,75.99,9.83,53.1,0,0.08,0,0,0.53,0.06,0.14,0,51.52,57.95,1.36,0.67,36
Jairo Vélez,0.32,0.11,44.78,2.75,0.11,0,1.54,0.5,0,0.21,0,0.75,0.21,0.25,32.43,71.92,10.11,51.9,0,0.11,0,0,0.71,0.11,0.32,0,42.86,40.55,1.86,1.89,28
Gino Peruzzi,0.06,0,14.29,0.35,0,0,2,1,0,2.53,0,0.53,0.24,0.24,29.71,82.38,5.18,51.61,0,0.53,0,0,0.41,0.12,0.24,0,56.25,58.14,1.82,1.47,17
Nelson Cabanillas,0,0,51.72,0.38,0,0,2,1.65,0,1.38,0,0.65,0.12,0.15,32.62,76.65,5.92,42.03,0,0.38,0,0,0.58,0.04,0.19,0,50,60.1,1.73,1.12,26
Joel Pinto,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,23.5,78.72,0.5,56.52,2.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,2
Matías Pérez García,0.06,0.06,64.29,0.84,0,0,2.63,0.66,0.03,0.63,0,0.53,0.13,0.06,33.06,82.42,8.06,59.5,0,0.09,0,0,1.09,0.13,0.22,0.03,39.13,62.66,2.44,1.28,32
Paolo Reyna,0.06,0.06,56.67,0.85,0.06,0,3.03,2.06,0,1.35,0,0.71,0.18,0.12,33.44,75.46,7.47,41.67,0,0.5,0,0,0.62,0.06,0.26,0,60.56,58.72,0.85,1.38,34
Sebastian Cavero,0,0,66.67,0.17,0,0,4.33,1.67,0,2,0,0.5,0,0,19.83,74.79,3,38.89,0,0.33,0,0,1.33,0,0.33,0,33.33,67.86,0.83,0.67,6
Ricardo Lagos,0.03,0,45,0.87,0,0,2.35,1.97,0,2.16,0,0.94,0.13,0.03,40.81,75.34,7.68,38.57,0,0.52,0,0,0.58,0.1,0.16,0,42.37,50,0.42,1.19,31
Horacio Calcaterra,0.03,0,57.14,1.06,0,0,2.06,1.13,0,0.47,0,1.25,0.38,0.22,47.94,83.64,13.03,76.11,0,0.25,0,0,1,0.13,0.34,0,51.52,54.48,1.97,1.53,32
Adrián Fernández,0.38,0.08,36.84,2.54,0.21,0,0.33,0.04,0,1.63,0,0.33,0.25,0.08,16.25,61.79,3.63,47.83,0,0.13,0,0,0.58,0.21,0.38,0,54.49,46.88,1.46,1.54,24
Yordi Vílchez,0.03,0,88.89,0.55,0.03,0,1.77,2.35,0,3,0,0.55,0.16,0.1,48.42,77.22,4.97,44.59,0,0.48,0,0,0.45,0.06,0.39,0,45.54,50,0.29,1.29,31
Manuel Heredia,0,0,0,0,0,0,0.04,0.04,0,1.48,0,0.04,0,0,21.33,51.39,0.96,40.09,3.67,0.22,0.3,0.15,1.19,0.22,0.07,0,80,84.62,0.3,0,27
Hernán Novick,0.15,0.1,63.64,1.15,0,0,0.15,0.3,0,0,0,0.2,0.3,0.15,21.5,79.07,5,49.09,0,0,0,0,0.25,0.05,0.15,0,22.22,62.5,1.4,0.15,20
Jesús Castillo,0.03,0.03,71.43,1.07,0,0,3.24,1.93,0,1.76,0,0.72,0.03,0,32.59,77.78,7.17,43.36,0,0.07,0,0,1.03,0.17,0.52,0.03,53.25,63.55,3.55,2.17,29
