#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
95,,Lars Lukas Mai,0.05,0,73.68,68.75,0.21,0.37
96,,Moussa Diallo,0.27,0,63.16,60.61,0.73,0.53
97,,Andi Zeqiri,0.1,0,39.13,36.62,1,1.2
98,,Darian Maleš,0.21,0,28.13,49.11,1.79,0.71
99,,Wouter Burger,0.27,0.07,59.55,51.49,0.9,1.1
100,,Amir Saipi,0.14,0,100,86.67,0.21,0.04
101,,Lawrence Ati,0.09,0.06,77.78,71.43,0.24,0.09
102,,Jeremy Frick,0.03,0,100,89.47,0.15,0.03
103,,Dan Ndoye,0.22,0,40.74,54.71,2.5,0.88
104,,Renat Dadaşov,0.32,0,41.53,44.9,1.76,1.74
105,,Albian Hajdari,0.39,0,61.36,56.48,0.72,0.61
106,,Bendegúz Bolla,0.24,0,36.11,49.44,0.55,1.3
107,,Marvin Keller,0,0,0,0,0,0
108,,Noah Katterbach,0,0,58.33,60.78,0.5,0.33
109,,Roko Šimić,0.31,0,51.52,43.75,0.44,0.75
110,,Adrian Gantenbein,0.13,0,48,59.21,0.96,0.78
111,,Meschack Elia,0.06,0.03,21.21,41.1,0.52,0.42
112,,Ylyas Chouaref,0.09,0,33.93,49.86,1.94,0.81
113,,Theo Valls,0.08,0,54.55,58.43,0.56,0.2
114,,Loris Benito,0.05,0,61.11,53.85,0.11,0.47
115,,Francis Momoh,0.18,0,59.26,47.3,0.55,0.73
116,,Julian Von Moos,0.14,0.05,32.14,45.4,0.38,0.71
117,,Lewin Blum,0.23,0,37.5,44.76,0.65,1.13
118,,Joaquín Ardaiz,0,0,54.74,48.12,0.45,0.81
119,,Giovanni Sio,0.19,0.04,40.85,43.53,0.81,0.96
120,,Quentin Maceiras,0.14,0,50,52.17,0.43,0.71
121,,Francisco Jose Rodriguez,0.17,0,53.33,45.03,0.43,0.91
122,,Kevin Mbabu,0.13,0,71.88,50.93,1.2,1.47
123,,Marwin Hitz,0.09,0,75,75,0.22,0.03
