#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
104,,Renat Dadaşov,0.24,0.15,48.75,1.56,0.06,0
105,,Albian Hajdari,0,0,50,0.33,0,0
106,,Bendegúz Bolla,0.06,0.06,60,1.12,0,0
107,,Marvin Keller,0,0,0,0,0,0
108,,Noah Katterbach,0,0,66.67,0.67,0,0
109,,Roko Šimić,0.25,0.13,50,0.94,0,0
110,,Adrian Gantenbein,0,0,52.94,0.43,0,0
111,,Meschack Elia,0.23,0.42,53.85,1.74,0.06,0
112,,Ylyas Chouaref,0.03,0.09,51.33,0.94,0,0
113,,Theo Valls,0.12,0,85.71,0.56,0,0
114,,Loris Benito,0,0,50,0,0,0
115,,Francis Momoh,0.09,0.09,55,0.73,0,0
116,,Julian Von Moos,0.19,0.19,57.58,2.29,0,0
117,,Lewin Blum,0.03,0,50,0.39,0,0
118,,Joaquín Ardaiz,0.16,0.19,50,1.19,0.03,0
119,,Giovanni Sio,0.33,0.15,57.14,1.78,0.04,0
120,,Quentin Maceiras,0,0,62.5,0,0,0
121,,Francisco Jose Rodriguez,0.09,0.04,50,1.17,0,0
122,,Kevin Mbabu,0,0,45.21,0.73,0,0
123,,Marwin Hitz,0,0,0,0.03,0,0
124,,Adrián Guerrero,0.04,0.07,48.39,0.71,0,0
125,,Christián Herc,0.16,0.03,42.86,0.94,0,0
126,,Ifeanyi Mathew,0.15,0,73.33,0.85,0,0
127,,Jhon Espinoza,0,0,40,0.31,0,0
128,,Nasser Djiga,0,0,0,2,0,0
129,,Gezim Pepsi,0,0,0,0,0,0
130,,Issa Kaloga,0,0,100,0,0,0
131,,Victor Ruiz,0,0,16.67,1.5,0,0
132,,Emmanuel Essiam,0,0,83.33,0.5,0,0
133,,Filip Stojilković,0.28,0.17,36.36,1.56,0.11,0
134,,Markus Kuster,0,0,0,0,0,0
135,,Musa Araz,0.06,0.1,63.64,0.65,0.03,0
136,,Enzo Crivelli,0.22,0.17,25,0.94,0,0
137,,Nathanaël Saintini,0,0,50,0.44,0,0
138,,Hussayn Touati,0.2,0.1,61.54,0.9,0,0
139,,Samba Diba,0,0,100,0.21,0,0
