#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
101,,Miloš Kratochvíl,2.17,0.89,0,1.78,0,0.67
102,,Theodor Gebre Selassie,1.13,1.63,0,3.69,0,0.25
103,,Ondřej Zmrzlý,1.15,0.56,0,1.53,0,0.18
104,,Christ Junior Tiehi,0.92,0.54,0,0.15,0,0.08
105,,Erik Jirka,0.36,0.21,0,0.32,0,0.07
106,,Matěj Polidar,1.4,1.07,0,1.37,0,0.47
107,,Michal Kadlec,0.67,1.06,0.06,2.94,0,0.24
108,,Vit Benes,0.63,0.9,0,3.97,0,0.13
109,,Antonín Růsek,0.42,0.33,0,0.25,0,0.13
110,,Dion Cools,1,1.25,0,0.88,0,0.38
111,,Matěj Ryneš,0.67,0.83,0.04,0.42,0,0.29
112,,Martin Pospisil,1.07,0.71,0,1.43,0,0.36
113,,Eduardo Santos,1.58,2.08,0.08,2.17,0,0.17
114,,Jaroslav Zelený,0.85,1.15,0.03,1.12,0,0.38
115,,Jan Laštůvka,0,0,0.04,1.13,0,0
116,,Olivier Vliegen,0,0.07,0.07,0.93,0.04,0.04
117,,Matěj Valenta,1.82,0.36,0,0.23,0,0.5
118,,Filip Balaj,0.25,0.06,0,0.38,0,0.19
119,,Milan Škoda,0.11,0.11,0,0.33,0,0
120,,Mohamed Doumbia,0.75,0.65,0,0.35,0,0.4
121,,Daniel Trubač,0.81,0.38,0,0.5,0,0.16
122,,Marek Icha,1.52,0.96,0,1.52,0,0.52
123,,Jiří Texl,1.41,1.15,0,0.79,0,0.38
124,,Lukáš Hůlka,0.94,1.86,0,3.69,0,0.09
125,,Vojtech Smrz,1.43,0.86,0,1.5,0,0.61
126,,Awer Mabil,0.14,0,0,0,0,0
127,,Ondřej Kolář,0,0,0,0.24,0,0
128,,Florent Poulolo,1.19,1.06,0,1.63,0,0.25
129,,Michal Hlavatý,1.16,0.44,0,0.72,0,0.41
130,,Vojtech Kubista,1.71,0.88,0,1.13,0,0.5
131,,Matěj Jurásek,0.43,0.14,0,0.14,0,0
132,,Petr Mikulec,0,0,0,0.29,0,0.14
133,,Libor Kozák,0.74,0.22,0,0.7,0,0.3
134,,Tomáš Vlček,1.06,1.29,0,3.84,0,0.19
135,,Jhon Mosquera,0.47,0.44,0,0.81,0,0.13
136,,Nemanja Kuzmanović,0.66,0.31,0,0.44,0,0.22
137,,Jakub Kolar,1.15,1.38,0,3.46,0,0.38
138,,Michal Tomič,1.57,0.9,0.05,1.19,0,0.43
139,,Vladislav Levin,0.78,0.44,0,0.33,0,0.33
140,,Qazim Laci,0.65,0.59,0,0.53,0,0.18
141,,Dominik Plechatý,1.44,1.41,0.03,3.22,0,0.13
142,,Jiři Fleisman,1.37,1,0,1.1,0,0.3
143,,Lamin Jawo,1.04,0.26,0.04,0.59,0,0.19
144,,Matěj Hybš,1.27,1.23,0,2.5,0,0.2
145,,Jan Sýkora,0.71,0.29,0,0.24,0,0.29
146,,Adam Gabriel,1.38,0.54,0,1.42,0,0.19
147,,Patrik Vydra,0.4,2.2,0,3.4,0,0.4
148,,Martin Minchev,0.34,0.07,0,0.17,0,0.03
149,,Michal Reichl,0,0,0,1.38,0,0.05
150,,Tomáš Břečka,0.33,0.5,0,1,0,0
151,,Filip Nguyen,0.03,0.03,0,0.97,0,0
152,,Matěj Vydra,0.25,0.06,0,0.06,0,0.13
153,,Milan Havel,1.07,0.76,0,1.34,0,0.14
154,,David Puskac,0.32,0.16,0,0.32,0,0.12
155,,Jakub Trefil,0,0.05,0,0.89,0,0
156,,Muhamed Tijani,0.29,0.03,0,0.42,0,0.06
157,,Vladimir Jovović,0.77,0.4,0,0.17,0,0.2
158,,Pavel Černý,0.39,0.15,0.03,0.3,0,0.12
159,,Jiří Spáčil,1.08,0.31,0,0.85,0,0.15
160,,Jan Kovařík,0.65,0.38,0,0.74,0,0.18
161,,Ondřej Ševčík,0.67,0.89,0,3.22,0,0.11
162,,Jiří Klíma,0.41,0.26,0,0.67,0,0.19
163,,Petr Reinberk,1.19,1.11,0,1.19,0,0.37
164,,Neđeljko Kovinić,0,0.05,0,0.16,0,0
165,,Lukáš Provod,0.5,0.09,0,0.09,0,0
166,,Denis Ventura,1.09,1.48,0,1.04,0,0.35
167,,Nemanja Mićević,1.29,1.53,0.06,4.35,0,0.18
168,,Roman Vales,0,0,0.06,1.24,0,0.12
169,,Jan Navratil,1.06,0.71,0,0.6,0,0.23
170,,Martin Vitík,0.86,1.41,0.05,3.41,0.09,0.05
171,,Filip Prebsl,0.96,0.69,0,3.12,0,0.19
172,,František Čech,1.08,1.23,0,3.38,0,0.19
173,,Filip Kubala,0.67,0.11,0,0.37,0,0.26
174,,Matej Kovar,0,0.11,0,0.39,0,0
175,,Daniel Mareček,0.77,0.77,0,0.57,0,0.1
176,,Lukáš Mareček,1.07,1.33,0,1.33,0,0.41
177,,Martin Hruby,0,0,0,1,0,0
178,,Radek Látal,1,0.5,0,0,0,0
179,,Jakub Pešek,1,0,0,0.33,0,0.33
180,,Michal Trávník,1,0.26,0,0.19,0,0.22
181,,David Houska,0.93,0.8,0,0.47,0,0.27
182,,Milan Petržela,0.67,0.27,0,0.17,0,0.1
183,,Robert Jukl,1.31,1.28,0,0.93,0,0.38
184,,Adam Fousek,0.35,0.13,0,0.22,0,0.04
185,,Dominik Simersky,1.03,0.97,0.03,4.79,0,0.09
186,,Filip Souček,1.1,0.65,0.05,2.2,0,0.3
187,,Radim Breite,1.24,0.85,0,0.52,0,0.52
188,,Martin Suchomel,1.77,0.62,0.08,1.38,0,0.23
189,,Matúš Macík,0.08,0.08,0.08,1.08,0.08,0
190,,Karel Pojezný,1.37,1.07,0,2.56,0,0.22
191,,Václav Sejk,0.33,0.17,0,0.3,0,0.07
192,,Martin Cedidla,1.63,1.17,0.04,2.13,0,0.5
193,,Lukáš Havel,0.77,2.1,0,3.83,0,0.33
194,,Pavel Šulc,1.13,1,0,1.38,0,0.28
195,,Libor Holík,0.77,0.58,0,0.88,0,0.15
196,,Jakub Šural,1.42,1.29,0,4.17,0,0.46
197,,Martin Janáček,0.05,0,0.05,1,0.05,0.05
198,,Petr Kodes,1.7,0.77,0.03,1.77,0,0.37
199,,Martin Jedlička,0.07,0,0,0.6,0,0
200,,Jakub Hora,1.33,1.5,0,1.5,0,0
201,,Tom Sloncik,1.36,0.14,0,0.14,0,0.79
202,,Václav Drchal,0.43,0.07,0,0.13,0,0.17
203,,Stepan Chaloupek,1.55,1.65,0.05,4.95,0,0.15
204,,Marios Pourzitidis,0.75,1.32,0,1.64,0,0.21
205,,Dominik Preisler,0.85,0.62,0,1.12,0,0.19
206,,Daniel Vasulin,0.23,0.12,0.04,0.46,0,0.12
207,,Youba Drame,0.43,0.25,0,0.32,0,0
208,,Jakub Pokorný,0.9,1.35,0.03,2.9,0,0.19
209,,Denis Višinský,0.8,0.33,0,0.4,0,0.27
210,,Filip Zorvan,0.78,0.3,0,0.3,0,0.44
211,,Seung-bin Kim,0.67,0.17,0,0.17,0,0.58
212,,Marek Suchý,1.1,1.32,0.03,3.32,0,0.16
213,,Jan Matoušek,0.58,0.19,0,0.19,0,0.5
214,,Šimon Falta,0.81,0.59,0,0.48,0,0.19
215,,Lukas Vrastil,0.76,1.05,0.05,3.52,0,0.24
216,,Robin Hranáč,0.54,1.29,0.07,4.86,0,0.18
217,,Joss Didiba,0.86,1.68,0.04,0.96,0,0.25
218,,Oscar Dorley,1.08,0.56,0.04,0.48,0,0.16
219,,Filip Kaloč,0.76,1.17,0,0.86,0.03,0.24
220,,Michal Rabušic,0.05,0.05,0,0.09,0,0.05
221,,Matej Rakovan,0.04,0,0,0.96,0,0.08
222,,Tomas Kucera,0.71,0.86,0,1.68,0,0.29
223,,Matej Trusa,0.86,0.07,0,0.07,0,0
224,,Václav Pilař,0.25,0.25,0,0.38,0,0.06
225,,Jakub Martinec,1.19,0.86,0,3.95,0,0.38
226,,Jakub Fulnek,1.07,0.79,0,0.86,0,0.31
227,,Wale Musa Alli,0.71,0.51,0,0.09,0,0.17
228,,Jan Knapík,0.9,1.25,0.05,3.55,0,0.15
229,,Dominik Mares,0.31,0.23,0,0.15,0,0
230,,Filip Žák,0.13,0.03,0,0.17,0,0.17
231,,Pavel Zifcak,0.36,0.29,0,0.5,0,0.14
232,,Martin Hála,0.48,0.08,0,0.44,0,0.28
233,,Jan Kalabiška,1.17,1.07,0.03,1.17,0,0.4
234,,Ondřej Mihálik,0.37,0.27,0,0.23,0,0.2
235,,David Buchta,0.56,0.22,0,0.19,0,0.07
236,,Martin Dostal,0.75,0.5,0.03,0.59,0,0.28
237,,David Heidenreich,1.1,1.25,0,3.6,0,0.05
238,,Vasil Kušej,0.38,0.5,0,0,0,0.13
239,,Adam Jánoš,1,1.03,0,0.65,0,0.32
240,,Róbert Matejov,0.75,0.5,0,0.33,0,0.08
241,,Lukáš Endl,1.6,1.15,0.1,4.35,0.05,0.45
242,,Vlasiy Sinyavskiy,0.88,0.27,0.04,0.27,0,0.19
243,,Martin Chlumecky,1.46,1.17,0,2.33,0,0.63
244,,Eldar Šehić,1.25,0.79,0,0.63,0,0.29
245,,Merchas Doski,1.23,0.65,0,0.73,0,0.38
246,,Laco Takacs,0.2,0.2,0,2.8,0,0
247,,Martin Berkovec,0.03,0.03,0,1.03,0.03,0
248,,Jan Vodhanel,0.43,0.17,0,0.17,0,0.3
249,,Jan Kopic,0.33,0.38,0,0.24,0,0.14
250,,David Šimek,0.86,1.14,0.04,3,0,0.25
251,,Vojtěch Sychra,1.21,0.31,0,0.17,0,0.28
252,,Adam Karabec,0.22,0.04,0,0.04,0,0
253,,Ladislav Krobot,0.27,0,0,0.09,0,0
254,,Filip Kaša,0.85,0.77,0,2,0.08,0
255,,Vlastimil Danicek,1.33,1.03,0,1.57,0,0.5
256,,Jakub Jankto,0.33,0.4,0,0.13,0,0.2
257,,Petr Jaroň,0.48,0.17,0,0.09,0,0
258,,Jan Vondra,1.06,1.47,0,3.65,0,0.29
259,,Matěj Koubek,0.13,0.03,0,0.07,0,0.03
260,,Tomas Vondrasek,1.11,1.32,0,2.63,0,0.26
261,,Petr Kurka,0,0.67,0,1.67,0,0
262,,Kristi Qose,0,0,0,0,0,0
263,,Vukadin Vukadinović,0.74,0.23,0,0.16,0,0.13
264,,Imad Rondić,0.43,0.11,0.04,0.07,0,0.14
265,,Jan Král,1.63,1.11,0,4.42,0.05,0.32
266,,Bartosz Pikul,0.38,0.06,0,0.25,0,0.19
267,,Roman Potočný,0.41,0.24,0,0.52,0,0.14
268,,Lukas Bartosak,0.88,0.92,0,1.2,0,0.36
269,,Daniel Tetour,0.6,1.1,0,0.1,0,0.3
270,,Aleš Mandous,0.1,0.1,0,0.3,0,0
271,,Jan Mikula,0.95,0.89,0,0.95,0,0.37
272,,Jan Shejbal,0.13,0.63,0,0.5,0,0
273,,Denis Darmovzal,0.59,0.29,0,0.59,0,0.24
274,,Josef Jindrisek,1.03,1.21,0,0.91,0,0.29
275,,Jan Hellebrand,0.86,0.14,0,0.14,0,0
276,,Babacar Sy,0.4,0.1,0,0.3,0,0
277,,Filip Vecheta,0.41,0.19,0,0.19,0,0.07
278,,Krystof Daněk,0.52,0.26,0,0.26,0,0.15
279,,Dele Israel,0.2,1,0,0.8,0,0.4
280,,Michal Sáček,0.2,0.4,0,0.2,0,0
281,,Michal Škoda,0.23,0.09,0,0.5,0,0.05
282,,Tomáš Hübschman,1.08,1,0,1.76,0,0.48
283,,Patrik Čavoš,0.68,0.75,0,0.39,0,0.39
284,,Jiri Boula,0.41,0.47,0,0.65,0,0.35
285,,Abubakar Ghali,1,0.81,0,0.69,0,0.13
286,,Martin Polaček,0,0,0,0.83,0.17,0
287,,Jan Mejdr,0.81,0.62,0,0.73,0,0.12
288,,David Pech,0.83,0.39,0,0.43,0,0.17
289,,Michal Fukala,0.79,0.63,0,1,0,0
290,,Antonin Fantis,0.5,0.7,0,0.55,0,0.1
291,,Jiří Skalák,0,0.05,0,0.14,0,0
292,,Fortune Akpan Bassey,0.25,0.08,0,0.33,0,0
293,,Kamil Vacek,1.27,0.53,0.03,0.83,0,0.33
294,,David Vaněček,0,0,0,0,0,0
295,,David Stepanek,1.43,0.29,0,1.43,0,0.43
296,,Michal Leibl,0.67,1.27,0.07,1.47,0,0.27
297,,Matěj Helešic,1.25,0.68,0,0.96,0,0.18
298,,Jakub Klíma,1.52,1,0,2.48,0.03,0.39
299,,Jan Hlavica,1.17,1,0.04,2.29,0,0.08
300,,Jakub Janetzky,0.46,0.54,0,0.42,0,0.19
301,,Matyáš Kozák,0.17,0.09,0,0.04,0,0.13
302,,Jan Fortelný,0.64,0.21,0,0.07,0,0.21
303,,Daniel Souček,1.71,0.5,0,1.96,0.04,0.58
304,,Jan Hladík,0.61,0.16,0,0.32,0,0.06
305,,Antonín Křapka,0.52,0.59,0.03,3.07,0,0.1
306,,Marek Hlinka,1.18,0.59,0,1.86,0,0.32
307,,Ubong Ekpai,0.67,0.33,0,0.33,0,0
308,,Tadeas Vachousek,0.19,0.25,0,0,0,0.13
309,,Mohamed Tijani,0.94,1,0,2.71,0,0.12
310,,Samuel Dancak,0.68,0.59,0,0.32,0,0.09
311,,Jakub Matoušek,0.36,0,0,0.36,0,0.07
312,,David Huf,0.13,0,0,0,0,0.13
313,,Jakub Urbanec,0.86,0.5,0.04,0.79,0,0.29
314,,Emil Tischler,0.6,0.15,0,0.6,0,0.15
315,,Joshua Akpudje,0.93,1.21,0.07,3.21,0,0.14
316,,Filip Mucha,0,0,0,0.73,0,0.07
317,,Václav Procházka,0.93,1.15,0,3.37,0.04,0.19
318,,Ivan Varfolomieiev,0.57,0.71,0,0.29,0,0
319,,Gigli Ndefe,1,1.14,0.09,1.82,0,0.14
320,,Daniel Holzer,0.36,0.32,0,0.36,0,0.24
321,,Robert Mišković,0.45,0.27,0,0.14,0,0.18
322,,Patrik Žitný,0.53,0.2,0,0.33,0,0.07
323,,Michal Kohút,0.88,0.18,0,0.35,0,0.06
324,,Martin Novy,0.33,0.2,0,0.2,0,0
325,,Dāvis Ikaunieks,0,0,0,0.05,0,0.05
326,,Patrik Šimko,0.71,0.36,0,1.21,0,0.07
327,,Denis Granečný,2.11,1.18,0.04,1.64,0.04,0.71
328,,Filip Blecha,0.18,0.41,0,0.14,0,0.09
329,,Daniel Smekal,0.44,0,0,0,0,0.11
330,,Matej Sin,0.55,0,0,0.27,0,0.09
331,,Michal Beran,0.67,0.33,0,0.21,0,0.21
332,,Pech Dominik,0,0,0,0,0,0
333,,Vlastimil Hruby,0,0,0,1,0,0
334,,Libor Bobcik,1,0,0,0,0,0
335,,Adam Goljan,0.5,0,0,0,0,0
336,,Adam Hloušek,0.5,0,0,0,0,0
337,,Martin Košťál,0,0,0,0,0,0
338,,Daniel Šmiga,0.5,0.5,0,0,0,0
339,,David Krch,0.5,0,0,0,0,0
340,,Tomáš Polyak,0.29,0.29,0,0,0,0.14
341,,Samuel Šimek,0.57,0.14,0,0.14,0,0
342,,Pavel Dvorak,0.06,0.06,0,0,0,0.06
343,,Martin Sladký,1.36,1.36,0,1.45,0,0.36
344,,Denis Donát,0.7,0.9,0,0.7,0,0.25
345,,Lukáš Greššák,0.37,0.53,0,0.53,0,0.11
346,,Vojtech Stransky,0.2,0.27,0,0.4,0,0.07
347,,Tomas Grigar,0.05,0,0.05,0.53,0,0.11
348,,Ondřej Šašinka,0.21,0,0,0.21,0,0.16
349,,Lukáš Juliš,0,0,0,0.13,0,0
350,,Ibrahim Traoré,0.92,0.33,0,0.25,0,0.25
351,,Ondrej Pachlopnik,0.21,0.29,0,0.14,0,0.21
352,,Stepan Harazim,0.94,0.61,0,0.83,0,0.17
353,,Jakub Kucera,1.15,0.48,0,0.63,0,0.19
354,,Rudolf Reiter,0.85,1,0,0.65,0,0.2
355,,Tomáš Zajíc,0.24,0.1,0,0.14,0,0.05
356,,Alois Hycka,1,1.04,0.04,0.96,0,0.11
357,,Patrik Brandner,0.11,0.22,0,0.17,0,0.22
358,,Tomáš Zahradníček,0.17,0,0,0,0,0.33
359,,Vojtech Patrak,0.22,0.06,0,0.22,0,0.06
360,,Denis Kramář,0.43,0.14,0,0.14,0,0
361,,Hugo Jan Bačkovský,0,0,0,1.22,0,0
362,,Daniel Hais,0.06,0.06,0,0.19,0,0
363,,Jakub Šiman,0,0,0,0.5,0,0
364,,Nicolas Penner,0.61,0.22,0,0.44,0,0.17
365,,Petr Pudhorocký,0.08,0.17,0,0.08,0,0.08
366,,David Broukal,0.24,0.71,0,2,0,0.14
367,,Tomáš Solil,1.29,0.43,0,0.71,0,0.14
368,,Ondrej Coudek,1.29,1.71,0.14,3.71,0,0.29
369,,Matěj Hrabina,1.17,0.8,0,1.77,0,0.37
370,,Matej Mršić,0.13,0.38,0,0,0,0.13
371,,Yira Collins Sor,0,0.33,0,0,0,0
372,,Viktor Budinský,0,0,0,1.33,0,0
373,,Patrik Vízek,0,0,0,0.67,0,0
