#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
92,,Cadu,0.15,0.11,21.74,72.23,6.89,46.05
93,,Adam Vlkanova,0.03,0.12,19.21,73.82,6.73,57.58
94,,Juraj Chvátal,0.08,0.12,30.12,68.07,5.35,37.67
95,,Patrik Hellebrand,0.03,0.03,35.48,82.91,8.94,72.88
96,,Ewerton,0,0.07,14.79,80.19,6.36,84
97,,Muhammed Sanneh,0,0.09,21.36,71.49,6.36,50
98,,Jan Bořil,0,0,9,66.67,3,0
99,,Milan Lexa,0,0,8,70.83,3.33,50
100,,Jan Krob,0.11,0,36.22,78.53,7.67,45.45
101,,Miloš Kratochvíl,0.11,0.11,38.72,75.61,8.56,47.69
102,,Theodor Gebre Selassie,0.06,0.06,34.94,76.74,4.81,51.28
103,,Ondřej Zmrzlý,0.15,0.12,25.62,64.75,4.97,38.95
104,,Christ Junior Tiehi,0.08,0,29.31,84.25,9.92,56.52
105,,Erik Jirka,0.11,0.11,8.5,65.55,2.64,37.5
106,,Matěj Polidar,0.07,0,29.23,71.72,6.93,34.57
107,,Michal Kadlec,0.03,0.12,48.21,76.49,7.88,41.94
108,,Vit Benes,0.03,0.03,38.3,73.54,2.23,39.47
109,,Antonín Růsek,0.08,0.25,19.42,64.81,5.75,59.26
110,,Dion Cools,0.38,0.13,39.25,74.84,8,46.51
111,,Matěj Ryneš,0.25,0.17,27.25,66.82,7.38,46.94
112,,Martin Pospisil,0.07,0.07,34.14,74.27,7.29,44.87
113,,Eduardo Santos,0,0,51,83.01,7.83,63.79
114,,Jaroslav Zelený,0.15,0.09,38.74,74.64,7.44,48.81
115,,Jan Laštůvka,0,0,29.83,71.09,1.63,49.25
116,,Olivier Vliegen,0.04,0,30.29,57.78,1.18,37.59
117,,Matěj Valenta,0.18,0.05,29.45,75,7.32,43.4
118,,Filip Balaj,0,0.06,12.06,56.99,3.13,40
119,,Milan Škoda,0,0.06,12.39,55.61,2.67,44.44
120,,Mohamed Doumbia,0.05,0.1,22.15,77.2,4.95,47.62
121,,Daniel Trubač,0.06,0.16,30,75.63,9.13,51.19
122,,Marek Icha,0.04,0.12,34.6,68.79,6.48,43.11
123,,Jiří Texl,0,0.06,42.32,77.55,9.44,52.29
124,,Lukáš Hůlka,0,0.03,33.69,62.77,4.66,36.86
125,,Vojtech Smrz,0.14,0.14,38.61,69.47,8.39,43.56
126,,Awer Mabil,0.14,0.14,10.36,73.1,3,25
127,,Ondřej Kolář,0,0,31.28,78.52,1.24,55.59
128,,Florent Poulolo,0,0,20.06,65.73,2.25,39.78
129,,Michal Hlavatý,0.09,0.06,31.97,72.73,8.38,54.07
130,,Vojtech Kubista,0.08,0.08,30.75,70.46,5.96,50.71
131,,Matěj Jurásek,0.1,0.19,11.62,72.95,5.05,53.85
132,,Petr Mikulec,0,0,28.43,57.79,2.14,35.77
133,,Libor Kozák,0.13,0,15.7,60.94,4.35,41.67
134,,Tomáš Vlček,0.03,0,45.13,74.91,4.26,45.65
135,,Jhon Mosquera,0.09,0.16,18.75,66,5.84,34.04
136,,Nemanja Kuzmanović,0.25,0.19,18.63,73.83,5.56,47.73
137,,Jakub Kolar,0,0,32.35,70.63,2.88,46.89
138,,Michal Tomič,0,0.05,19.81,58.17,4.33,29.17
139,,Vladislav Levin,0,0,28.11,76.28,7.22,61.29
140,,Qazim Laci,0.12,0.12,23.65,80.6,5.65,51.11
141,,Dominik Plechatý,0,0,40,79.38,4.25,52.48
142,,Jiři Fleisman,0.17,0.1,28.47,66.51,6.77,41.23
143,,Lamin Jawo,0.04,0,17.59,63.37,4.89,52.63
144,,Matěj Hybš,0,0,40.8,71.16,8.33,38.56
145,,Jan Sýkora,0.29,0.14,22.81,78.71,6.52,58.54
146,,Adam Gabriel,0.08,0.08,23.27,59.34,5.96,37.93
147,,Patrik Vydra,0.2,0,42.2,71.56,6.2,45
148,,Martin Minchev,0.07,0.14,6.17,74.86,2.14,50
149,,Michal Reichl,0,0,25.71,52.96,2.24,37.03
150,,Tomáš Břečka,0,0,25.5,81.05,1.83,73.53
151,,Filip Nguyen,0,0,35.82,61.17,2.29,41.47
152,,Matěj Vydra,0.13,0,9.56,75.16,3.75,77.78
153,,Milan Havel,0.07,0.03,32.76,76.95,7.62,46.32
154,,David Puskac,0,0.16,13.4,61.79,4.32,38.89
155,,Jakub Trefil,0,0,28.95,60.91,1.37,35.26
156,,Muhamed Tijani,0.03,0.03,8.61,61.42,1.94,44.44
157,,Vladimir Jovović,0.2,0.17,21.63,68.41,8.17,52.31
158,,Pavel Černý,0.06,0.09,17.18,61.55,4.24,61.54
159,,Jiří Spáčil,0,0,20.15,72.14,4.38,53.85
160,,Jan Kovařík,0.06,0.09,17.62,54.76,3.76,27.53
161,,Ondřej Ševčík,0,0,16,57.64,1.22,35.29
162,,Jiří Klíma,0.3,0.15,14.07,65.53,4.48,42.42
163,,Petr Reinberk,0.15,0,31.52,65.1,6.96,31.21
164,,Neđeljko Kovinić,0.05,0,3.32,63.49,0.95,66.67
165,,Lukáš Provod,0.05,0.09,23.41,81.55,9.32,46
166,,Denis Ventura,0.09,0.09,30.91,68.5,5.96,38.46
167,,Nemanja Mićević,0,0,33.29,68.9,2.59,40.74
168,,Roman Vales,0,0,30.35,52.91,2.65,38.38
169,,Jan Navratil,0.06,0.06,19.29,68.3,5.4,37.88
170,,Martin Vitík,0.05,0.05,47.27,79.71,5.86,46.21
171,,Filip Prebsl,0,0,28.88,82.56,1.65,51.22
172,,František Čech,0.04,0,31.5,76.31,3.19,49.06
173,,Filip Kubala,0.07,0.19,16.93,70.24,4.96,41.67
174,,Matej Kovar,0.04,0.04,29.82,65.75,1.93,41.56
175,,Daniel Mareček,0.1,0.07,21.9,62.71,5.33,33.33
176,,Lukáš Mareček,0,0,27.74,70.76,5.48,47.48
177,,Martin Hruby,0,0,21,71.43,0,14.29
178,,Radek Látal,0,0,4,50,1.5,0
179,,Jakub Pešek,0,0,14,54.76,3,50
180,,Michal Trávník,0.04,0.04,21.48,77.07,6.41,51.25
181,,David Houska,0.2,0.13,43.07,79.41,9.47,42.39
182,,Milan Petržela,0.2,0.17,19.03,70.05,7.27,58.93
183,,Robert Jukl,0.03,0.17,24.83,74.58,4.76,58.9
184,,Adam Fousek,0.13,0.09,9,64.25,2.26,37.84
185,,Dominik Simersky,0.03,0.06,32.24,72.74,3.45,43.85
186,,Filip Souček,0.05,0.1,28.85,73.66,3.8,50.4
187,,Radim Breite,0.06,0.09,31.24,75.56,6.61,47.41
188,,Martin Suchomel,0.08,0.08,24.38,60.57,6.69,31.65
189,,Matúš Macík,0,0,28.77,54.81,1.85,34.77
190,,Karel Pojezný,0,0,42.07,76.06,4.93,48.46
191,,Václav Sejk,0.13,0.03,15.43,69.33,4.6,57.14
192,,Martin Cedidla,0,0.04,30.67,64.81,7,39.29
193,,Lukáš Havel,0,0.03,44.3,75.92,3.47,48.94
194,,Pavel Šulc,0.06,0.13,23.88,69.63,6.44,34.72
195,,Libor Holík,0.19,0.08,22.73,68.7,4.35,37.5
196,,Jakub Šural,0.04,0,37.54,80.24,2.5,54.19
197,,Martin Janáček,0,0,34.45,60.81,2.7,38.14
198,,Petr Kodes,0,0.07,32.2,69.36,5.5,41.41
199,,Martin Jedlička,0,0,25.87,42.53,2.33,33.93
200,,Jakub Hora,0,0,17.75,56.34,3.33,30.36
201,,Tom Sloncik,0.07,0.14,21.14,74.66,6.29,56.67
202,,Václav Drchal,0.07,0.03,12.3,66.94,3.8,68.42
203,,Stepan Chaloupek,0,0,27.05,63.77,1.85,37.11
204,,Marios Pourzitidis,0,0,26.93,78.12,3.54,46.92
205,,Dominik Preisler,0.12,0.04,21.73,66.9,5.85,37.04
206,,Daniel Vasulin,0.12,0.12,16.15,59.05,5.12,33.33
207,,Youba Drame,0.07,0.11,9.46,67.55,2.79,38.46
208,,Jakub Pokorný,0,0.03,42.19,70.72,5.06,43.73
209,,Denis Višinský,0.13,0,16.33,75.92,4.67,37.5
210,,Filip Zorvan,0,0.11,20.67,70.97,6.33,48.28
211,,Seung-bin Kim,0.08,0.08,16.92,76.35,5.33,50
212,,Marek Suchý,0,0,44.9,76.22,4.32,45.14
213,,Jan Matoušek,0.08,0.08,9.31,64.88,2.92,55.56
214,,Šimon Falta,0,0.07,22.67,74.18,6.81,48.81
215,,Lukas Vrastil,0.1,0,29.9,69.11,3.38,40.99
216,,Robin Hranáč,0,0,42.29,76.35,2.82,48.51
217,,Joss Didiba,0.11,0,19.57,69.16,3.61,37.07
218,,Oscar Dorley,0.2,0.24,35.36,77.38,10.68,51.46
219,,Filip Kaloč,0.03,0.07,35.38,79.43,7.28,59.09
220,,Michal Rabušic,0.09,0,6.5,79.02,2.05,66.67
221,,Matej Rakovan,0,0,32.67,58.93,2.21,43.83
222,,Tomas Kucera,0,0,41.57,76.8,8.96,46.97
223,,Matej Trusa,0,0,10,67.86,3.29,50
224,,Václav Pilař,0.13,0.06,10.38,75.9,3.44,62.5
225,,Jakub Martinec,0,0,36.95,76.55,3.67,42.64
226,,Jakub Fulnek,0.1,0.1,22.86,60.94,6.1,42.74
227,,Wale Musa Alli,0.17,0.17,16.57,72.07,5.69,51.43
228,,Jan Knapík,0,0.05,32.35,77.28,1.15,52.21
229,,Dominik Mares,0,0,6.92,65.56,1.31,75
230,,Filip Žák,0.07,0.07,9.9,72.05,2.93,38.46
231,,Pavel Zifcak,0.07,0.04,12.11,71.68,3.21,56.41
232,,Martin Hála,0.08,0,12.44,58.52,3.92,19.51
233,,Jan Kalabiška,0.07,0.03,25.83,62.32,5.77,30.97
234,,Ondřej Mihálik,0.17,0.13,11.63,66.76,2.73,34.78
235,,David Buchta,0.11,0.15,10.96,72.64,3.37,50
236,,Martin Dostal,0.16,0.13,18.94,56.93,5.59,31.69
237,,David Heidenreich,0,0,35.7,78.01,2.15,50.38
238,,Vasil Kušej,0.06,0,20.81,64.56,8,38.89
239,,Adam Jánoš,0,0.03,21.35,61.33,5.13,45.45
240,,Róbert Matejov,0,0,19.75,73.42,3.75,54.17
241,,Lukáš Endl,0.05,0,38.95,74.84,3.3,48.44
242,,Vlasiy Sinyavskiy,0.15,0.12,12.08,70.38,3.15,47.22
243,,Martin Chlumecky,0,0,44.04,67.46,5.96,37.5
244,,Eldar Šehić,0,0.04,15.92,69.9,3.5,34.21
245,,Merchas Doski,0,0,16.69,67.05,3.92,54.05
246,,Laco Takacs,0.2,0,21,67.62,2.2,38.1
247,,Martin Berkovec,0,0,34.28,57.79,1.38,34.93
248,,Jan Vodhanel,0.04,0,9.83,72.57,2.61,61.11
249,,Jan Kopic,0.19,0.14,18.71,74.81,7.19,59.38
250,,David Šimek,0,0.04,30.89,71.91,2.57,35.19
251,,Vojtěch Sychra,0.07,0,10.69,67.1,3.28,54.84
252,,Adam Karabec,0.04,0,13.74,76.58,5.48,54.17
253,,Ladislav Krobot,0,0,5.41,63.03,1.45,33.33
254,,Filip Kaša,0,0,39.85,80.31,4,44.79
255,,Vlastimil Danicek,0.03,0,35.3,73.37,4.13,50.74
256,,Jakub Jankto,0,0,15.33,71.74,4.27,34.78
257,,Petr Jaroň,0.09,0.13,9.52,69.86,3.17,28
258,,Jan Vondra,0,0,27.47,59.53,4.94,36.72
259,,Matěj Koubek,0.03,0.03,9.03,59.78,2.37,50
260,,Tomas Vondrasek,0.05,0,39.32,70.82,5.53,41.34
261,,Petr Kurka,0.33,0.33,13,69.23,3.33,66.67
262,,Kristi Qose,0,0,19,94.74,5,100
263,,Vukadin Vukadinović,0.03,0.1,12.71,74.87,5.65,60
