#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
97,,Muhammed Sanneh,0.27,0,58.82,63.77,0.55,0.64
98,,Jan Bořil,0,0,0,100,0,0
99,,Milan Lexa,0,0,100,70,0.33,0
100,,Jan Krob,0.22,0.11,37.5,50,0.78,0.89
101,,Miloš Kratochvíl,0.33,0,42.86,50.75,2.44,2.22
102,,Theodor Gebre Selassie,0,0.06,67.74,68.06,0.63,0.56
103,,Ondřej Zmrzlý,0.09,0,50.98,56.86,0.59,0.53
104,,Christ Junior Tiehi,0.23,0,16.67,46.94,0.38,1
105,,Erik Jirka,0,0,25,51.47,0.57,0.36
106,,Matěj Polidar,0.13,0,59.65,51.17,0.57,0.9
107,,Michal Kadlec,0.12,0,59.26,65.75,1.09,0.61
108,,Vit Benes,0.1,0,69.3,63.74,0.6,0.6
109,,Antonín Růsek,0.08,0,45.65,50.3,1.79,0.75
110,,Dion Cools,0,0,36.36,50.94,1.75,1
111,,Matěj Ryneš,0.29,0,63.89,44.09,1.04,1.5
112,,Martin Pospisil,0,0,75,59.09,0.64,0.57
113,,Eduardo Santos,0.17,0.08,72.41,66.25,0.67,1.08
114,,Jaroslav Zelený,0.15,0,70.13,55.77,0.76,1.03
115,,Jan Laštůvka,0.13,0,100,66.67,0.08,0.04
116,,Olivier Vliegen,0.18,0,100,72.73,0.29,0.07
117,,Matěj Valenta,0.09,0.05,63.64,60.48,0.91,0.91
118,,Filip Balaj,0.19,0,59.68,59.09,1.5,0.69
119,,Milan Škoda,0.28,0,49.18,43.86,1,1.11
120,,Mohamed Doumbia,0.05,0,38.46,54.12,0.7,0.75
121,,Daniel Trubač,0.06,0,47.92,48.1,1.13,0.66
122,,Marek Icha,0,0,62.79,58.17,0.76,0.96
123,,Jiří Texl,0.12,0,33.33,51.81,0.62,0.82
124,,Lukáš Hůlka,0.09,0,64.29,63.01,0.89,0.89
125,,Vojtech Smrz,0.11,0.11,55.56,53.45,0.71,1
126,,Awer Mabil,0,0,0,63.64,0.36,0
127,,Ondřej Kolář,0.04,0,100,100,0.12,0
128,,Florent Poulolo,0.13,0,57.14,60.66,0.31,0.5
129,,Michal Hlavatý,0.22,0,37.5,48.87,2.38,1.5
130,,Vojtech Kubista,0.25,0,48.89,49.06,0.54,1.83
131,,Matěj Jurásek,0.1,0,44.44,41.49,0.71,0.67
132,,Petr Mikulec,0,0,100,75,0.29,0
133,,Libor Kozák,0.3,0.04,59.77,52.02,1.43,1.48
134,,Tomáš Vlček,0.19,0,66.67,61.9,1.13,1.03
135,,Jhon Mosquera,0.28,0,50.62,43.78,1.16,1.16
136,,Nemanja Kuzmanović,0.16,0,42.86,41.62,1.06,1.16
137,,Jakub Kolar,0.12,0.04,64.1,63.97,1.35,0.81
138,,Michal Tomič,0.14,0,85.19,62.88,1,1.05
139,,Vladislav Levin,0.11,0,0,55.17,1,0.89
