#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
105,,Erik Jirka,0.07,0,54.55,1.07,0,0
106,,Matěj Polidar,0.23,0.17,55.17,1.5,0,0.95
107,,Michal Kadlec,0.03,0.03,85.71,0.3,0.03,0
108,,Vit Benes,0.13,0.03,50,1.1,0.1,0
109,,Antonín Růsek,0.13,0.17,46.43,1.83,0,0
110,,Dion Cools,0,0.25,25,0.75,0,0
111,,Matěj Ryneš,0.13,0.04,61.29,1.67,0,0
112,,Martin Pospisil,0,0.07,77.78,1.14,0,0
113,,Eduardo Santos,0,0,100,0.5,0,0
114,,Jaroslav Zelený,0.03,0.09,35,1.09,0,0
115,,Jan Laštůvka,0,0,0,0,0,0
116,,Olivier Vliegen,0,0,0,0,0,0
117,,Matěj Valenta,0.09,0.05,64.29,0.82,0,0
118,,Filip Balaj,0.19,0,50,0.94,0.13,0
119,,Milan Škoda,0.22,0,20,1.44,0.17,0
120,,Mohamed Doumbia,0.15,0,100,0.7,0,0
121,,Daniel Trubač,0.06,0,54.84,1.34,0,0
122,,Marek Icha,0.04,0,50,0.84,0.04,0
123,,Jiří Texl,0.06,0,53.85,0.38,0.03,0
124,,Lukáš Hůlka,0.09,0.03,85.71,0.86,0.06,0
125,,Vojtech Smrz,0.07,0,75,0.93,0,0
126,,Awer Mabil,0.14,0.07,0,0.79,0,0
127,,Ondřej Kolář,0,0,0,0,0,0
128,,Florent Poulolo,0.06,0,50,0.38,0,0
129,,Michal Hlavatý,0.16,0.06,31.58,2.28,0.03,0
130,,Vojtech Kubista,0.13,0,50,1.29,0,0
131,,Matěj Jurásek,0.29,0.14,55,1.71,0,0
132,,Petr Mikulec,0,0,0,0,0,0
133,,Libor Kozák,0.22,0.17,50,1.91,0,0
134,,Tomáš Vlček,0.03,0,60,0.23,0,0
135,,Jhon Mosquera,0.22,0.06,32.14,1.72,0.03,0
