Name,Goals,Successful dribbles %,Total shots,Headed goals,Big chances missed,Set piece conversion %,Tackles,Errors lead to goal,Interceptions,Penalty committed,Clearances,Dribbled past,Big chances created,Total passes,Assists,Accurate final third passes,Accurate passes %,Accurate long balls %,Saves,Clean sheets,Penalties faced,Goals conceded inside the box,Penalties saved,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Was fouled,Fouls,Total duels won %,RangoEdad
Suso,0.08,65.79,0.96,0.0,0.04,0.0,0.64,0.0,0.08,0.0,0.08,0.48,0.16,19.08,0.16,8.84,87.42,79.59,0.0,0.04,0.0,0.48,0.0,0.12,0.04,0.0,30.0,0.76,0.52,49.61,2
William Carvalho,0.09,64.44,0.79,0.0,0.06,0.0,1.27,0.0,0.48,0.0,0.64,0.82,0.03,52.55,0.0,11.61,86.91,70.63,0.0,0.18,0.0,0.61,0.0,0.12,0.18,0.03,54.24,1.21,0.88,53.76,3
Jan Oblak,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.5,0.0,0.0,24.96,0.0,0.61,60.94,35.32,2.18,0.39,0.07,0.61,0.0,0.11,0.04,0.0,100.0,0.11,0.0,100.0,2
Robin Le Normand,0.0,100.0,0.36,0.0,0.0,0.0,1.09,0.0,1.0,0.0,2.76,0.39,0.0,52.55,0.0,3.52,88.24,58.1,0.0,0.39,0.0,0.73,0.0,0.03,0.18,0.0,73.65,0.88,1.33,63.18,2
Adrián Embarba,0.13,46.73,1.67,0.0,0.07,0.26,1.67,0.0,0.3,0.0,0.2,0.8,0.13,14.13,0.1,4.3,74.76,56.41,0.0,0.0,0.0,0.87,0.0,0.07,0.1,0.03,20.51,1.03,0.77,45.57,3
Fernando Martínez,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.65,0.05,0.0,29.65,0.0,0.86,65.09,39.94,3.59,0.11,0.16,1.51,0.03,0.14,0.08,0.0,66.67,0.16,0.0,75.0,3
Eric García,0.04,50.0,0.29,0.0,0.0,0.0,1.0,0.0,0.79,0.08,1.42,0.46,0.04,51.63,0.0,7.75,90.96,68.64,0.0,0.29,0.0,0.33,0.0,0.08,0.13,0.0,60.53,0.33,0.75,55.34,1
Ivo Grbić,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,1.5,0.0,0.0,23.25,0.0,0.5,61.65,35.0,3.0,0.08,0.25,0.92,0.0,0.08,0.25,0.0,80.0,0.08,0.08,71.43,2
Alejandro Baena,0.17,51.92,1.77,0.03,0.09,0.95,0.86,0.0,0.2,0.03,0.37,0.86,0.34,23.6,0.06,7.37,81.6,59.7,0.0,0.09,0.0,0.63,0.0,0.03,0.31,0.03,7.14,1.6,1.66,39.72,1
Alex Collado,0.07,50.0,1.13,0.0,0.07,0.0,1.73,0.0,0.13,0.0,0.27,0.33,0.2,20.93,0.07,7.0,84.39,68.18,0.0,0.0,0.0,1.07,0.0,0.07,0.07,0.0,38.46,0.67,0.6,54.46,1
Omar Mascarell,0.0,67.74,0.32,0.0,0.0,0.0,1.89,0.0,1.61,0.0,1.86,1.18,0.07,44.29,0.04,6.04,86.77,59.64,0.0,0.04,0.0,1.61,0.0,0.25,0.21,0.0,56.25,0.61,0.75,55.14,2
Samuel Chukwueze,0.16,53.09,1.62,0.0,0.14,0.0,0.38,0.0,0.32,0.0,0.38,0.43,0.16,23.24,0.14,8.35,78.26,53.85,0.0,0.05,0.0,0.86,0.0,0.03,0.03,0.0,41.18,0.92,0.51,48.68,1
Unai Núñez,0.0,84.62,0.42,0.0,0.0,0.0,1.31,0.03,2.0,0.0,3.67,0.44,0.0,55.92,0.0,4.75,86.39,51.57,0.0,0.25,0.0,1.08,0.0,0.25,0.22,0.0,57.26,0.86,0.69,61.87,2
José Gragera,0.11,0.0,0.44,0.0,0.0,0.0,2.11,0.0,0.78,0.0,1.89,0.56,0.0,23.0,0.0,2.0,85.51,72.73,0.0,0.11,0.0,0.67,0.0,0.0,0.22,0.0,57.14,0.67,1.56,56.92,1
Eray Cömert,0.04,100.0,0.43,0.0,0.0,0.0,1.52,0.0,1.26,0.0,3.22,0.7,0.0,40.96,0.0,2.78,86.52,54.4,0.0,0.09,0.0,0.87,0.0,0.09,0.22,0.04,57.89,0.48,0.96,57.5,2
Martín Zubimendi,0.03,47.37,0.36,0.0,0.06,0.0,1.64,0.03,1.03,0.03,1.44,0.58,0.14,50.03,0.08,8.97,85.62,59.03,0.0,0.33,0.0,0.78,0.0,0.17,0.33,0.0,63.74,0.86,1.39,54.9,1
Monchu,0.09,58.82,1.18,0.03,0.03,0.0,1.52,0.0,0.55,0.03,0.55,0.82,0.15,29.36,0.06,6.18,83.18,63.09,0.0,0.06,0.0,1.06,0.0,0.18,0.3,0.0,36.0,0.85,1.39,46.7,1
Álvaro Aguado,0.03,59.09,0.59,0.0,0.0,0.0,0.79,0.0,0.38,0.03,0.38,0.29,0.12,31.56,0.06,7.91,85.18,73.42,0.0,0.03,0.0,0.94,0.0,0.12,0.09,0.0,46.88,0.97,0.38,60.69,2
Alejandro Catena,0.03,100.0,0.4,0.03,0.0,0.0,0.83,0.0,0.8,0.0,4.49,0.4,0.06,51.77,0.03,4.49,82.89,57.01,0.0,0.23,0.0,1.23,0.0,0.14,0.34,0.03,68.38,0.43,0.91,58.6,2
Youssouf Sabaly,0.04,59.38,0.52,0.0,0.0,0.0,1.96,0.0,0.83,0.0,2.04,0.48,0.0,33.52,0.04,7.78,83.14,35.71,0.0,0.3,0.0,0.61,0.0,0.17,0.09,0.0,31.25,1.43,0.87,56.04,2
Luis Hernández,0.0,100.0,0.2,0.0,0.0,0.0,0.94,0.0,0.89,0.0,4.06,0.4,0.0,36.57,0.0,3.51,79.45,45.98,0.0,0.31,0.0,1.11,0.0,0.2,0.17,0.03,63.49,0.2,0.77,55.7,3
Fernando Medrano,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.67,1
Paulo Gazzaniga,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.11,0.04,0.0,0.43,0.04,0.0,32.96,0.0,1.43,69.88,39.78,3.32,0.14,0.21,1.21,0.04,0.11,0.14,0.0,100.0,0.21,0.0,78.57,3
Germán Pezzella,0.0,66.67,0.32,0.0,0.03,0.0,1.32,0.0,1.58,0.0,4.16,0.39,0.0,42.06,0.0,2.13,86.43,41.36,0.0,0.29,0.0,0.77,0.0,0.13,0.13,0.1,70.19,0.55,0.87,64.9,3
Marcos Alonso,0.04,100.0,0.25,0.04,0.04,0.0,0.63,0.0,0.46,0.04,1.25,0.13,0.0,40.17,0.0,4.42,90.87,62.96,0.0,0.17,0.0,0.42,0.0,0.04,0.13,0.0,72.22,0.33,0.42,68.0,3
Aridane Hernández,0.0,100.0,0.22,0.0,0.0,0.0,0.91,0.0,1.22,0.0,4.09,0.57,0.04,38.3,0.04,2.48,84.45,50.0,0.0,0.26,0.0,0.96,0.0,0.13,0.04,0.0,67.39,0.52,0.61,60.53,3
Álex Berenguer,0.11,45.68,1.51,0.0,0.11,0.0,1.57,0.0,0.27,0.0,0.11,1.0,0.22,20.7,0.03,7.81,74.8,44.68,0.0,0.0,0.0,0.84,0.0,0.05,0.05,0.0,44.87,0.68,1.3,42.7,2
Álvaro Morata,0.36,55.56,1.97,0.03,0.44,0.0,0.44,0.0,0.0,0.0,0.64,0.14,0.11,11.47,0.06,2.75,64.65,50.0,0.0,0.03,0.0,0.25,0.0,0.03,0.11,0.0,59.57,1.56,1.08,54.92,3
Iñaki Williams,0.28,49.47,2.36,0.06,0.39,0.0,0.61,0.0,0.19,0.0,0.92,0.42,0.28,19.72,0.08,6.31,71.13,53.85,0.0,0.06,0.0,0.92,0.0,0.06,0.06,0.0,45.71,0.86,0.86,43.56,2
Thierry Correia,0.0,46.43,0.22,0.0,0.0,0.0,2.63,0.04,0.89,0.0,1.7,0.85,0.04,39.89,0.0,9.59,79.39,46.49,0.0,0.11,0.0,0.85,0.0,0.11,0.22,0.0,54.55,1.63,1.44,58.69,1
Mauro Arambarri,0.0,100.0,0.62,0.0,0.0,0.0,1.08,0.0,1.08,0.0,1.46,1.08,0.15,29.15,0.08,4.92,82.32,64.18,0.0,0.23,0.0,1.08,0.0,0.31,0.23,0.08,55.56,0.85,1.62,46.81,2
Samuel Lino,0.16,51.46,2.53,0.0,0.18,0.0,1.74,0.0,0.47,0.0,0.24,1.21,0.05,27.74,0.03,10.18,80.36,48.98,0.0,0.08,0.0,0.87,0.0,0.13,0.11,0.0,29.31,1.58,0.92,46.56,1
Oriol Romeu,0.06,95.24,0.73,0.03,0.03,0.0,2.12,0.0,1.12,0.03,1.45,0.76,0.0,48.61,0.0,7.3,87.28,61.27,0.0,0.12,0.0,1.24,0.0,0.18,0.24,0.03,45.88,1.0,1.79,50.94,3
Cyle Larin,0.42,40.0,2.68,0.05,0.42,0.0,0.47,0.0,0.0,0.05,0.79,0.21,0.21,12.68,0.16,3.58,70.12,62.5,0.0,0.16,0.0,1.21,0.0,0.16,0.21,0.0,42.31,1.32,1.21,39.19,2
Edu Expósito,0.07,61.11,0.68,0.0,0.0,0.0,1.21,0.0,0.43,0.0,0.68,0.36,0.11,17.07,0.07,4.75,79.08,44.23,0.0,0.0,0.0,0.89,0.0,0.04,0.11,0.04,53.85,1.04,0.5,61.11,2
Alejandro Balde,0.03,58.14,0.58,0.0,0.06,0.0,1.27,0.0,0.36,0.0,0.36,0.52,0.21,42.7,0.18,11.3,91.06,62.07,0.0,0.42,0.0,0.39,0.0,0.06,0.12,0.0,51.35,0.88,0.82,53.85,1
Martin Valjent,0.0,0.0,0.2,0.0,0.0,0.0,1.17,0.0,0.97,0.03,4.4,0.3,0.03,35.7,0.0,2.9,80.39,45.21,0.0,0.37,0.0,0.97,0.0,0.13,0.27,0.0,54.69,0.37,1.1,52.63,2
Ante Budimir,0.26,54.84,1.87,0.13,0.13,0.0,0.61,0.0,0.16,0.0,0.61,0.26,0.03,10.0,0.0,3.06,61.94,33.33,0.0,0.06,0.0,0.55,0.0,0.06,0.16,0.0,48.28,0.74,1.55,44.57,3
Lázaro,0.32,53.57,1.32,0.0,0.16,0.0,0.21,0.0,0.11,0.0,0.05,0.63,0.05,10.95,0.0,4.32,80.29,66.67,0.0,0.05,0.0,0.63,0.0,0.05,0.05,0.0,30.0,0.63,0.37,39.36,1
Predrag Rajković,0.0,83.33,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.92,0.06,0.0,30.08,0.0,3.11,54.76,41.52,2.61,0.33,0.19,0.97,0.03,0.14,0.08,0.0,83.33,0.08,0.03,72.22,2
Koke,0.0,61.9,0.48,0.0,0.03,0.0,1.67,0.0,0.61,0.0,0.58,1.33,0.03,60.42,0.09,12.24,89.07,64.29,0.0,0.09,0.0,0.64,0.0,0.09,0.12,0.0,44.0,0.82,0.61,50.48,3
Yéremy Pino,0.11,58.54,1.39,0.0,0.31,0.0,1.72,0.0,0.42,0.0,0.69,0.97,0.28,22.47,0.14,8.17,79.48,58.82,0.0,0.08,0.0,0.81,0.0,0.06,0.19,0.0,39.34,1.47,1.81,47.58,1
Gavi,0.06,50.94,0.78,0.0,0.06,0.0,1.31,0.0,0.5,0.0,0.61,0.94,0.17,32.08,0.11,10.25,87.53,69.39,0.0,0.33,0.0,0.25,0.0,0.06,0.28,0.0,54.17,2.0,2.06,48.3,1
Nahuel Molina,0.12,46.67,0.64,0.0,0.09,0.0,2.09,0.03,0.55,0.0,1.36,1.58,0.12,45.67,0.06,10.0,79.36,45.6,0.0,0.27,0.0,0.73,0.0,0.12,0.21,0.03,40.74,0.48,0.67,47.76,2
Mouctar Diakhaby,0.1,55.56,0.72,0.07,0.07,0.0,1.03,0.03,0.69,0.0,3.62,0.24,0.0,40.72,0.0,3.66,82.13,47.19,0.0,0.14,0.0,0.83,0.0,0.17,0.17,0.03,54.02,0.45,0.79,56.21,2
Borja Iglesias,0.43,44.44,1.83,0.0,0.31,0.0,0.23,0.0,0.03,0.0,0.49,0.31,0.14,14.77,0.09,4.23,76.02,81.25,0.0,0.03,0.0,0.57,0.0,0.11,0.06,0.03,35.29,1.49,1.14,39.83,2
Santiago Bueno,0.0,100.0,0.38,0.0,0.0,0.0,1.85,0.06,0.91,0.03,3.0,0.35,0.03,52.88,0.03,5.03,86.6,49.12,0.0,0.12,0.0,1.24,0.0,0.18,0.15,0.03,63.79,1.0,1.09,65.53,2
Eduardo Camavinga,0.0,60.32,0.49,0.0,0.0,0.0,1.84,0.0,0.46,0.0,0.54,1.08,0.05,38.3,0.03,10.51,91.18,76.81,0.0,0.19,0.0,0.41,0.0,0.03,0.16,0.0,66.67,1.86,1.05,57.94,1
Igor Zubeldia,0.03,100.0,0.19,0.03,0.0,0.0,1.13,0.0,0.68,0.0,2.94,0.29,0.03,49.35,0.03,3.26,85.69,47.87,0.0,0.29,0.0,0.74,0.0,0.1,0.32,0.0,53.1,0.32,1.42,51.6,2
Aïssa Mandi,0.0,50.0,0.1,0.0,0.05,0.0,0.86,0.0,1.0,0.0,2.76,0.29,0.0,42.05,0.0,2.43,90.83,67.07,0.0,0.19,0.0,0.81,0.0,0.0,0.05,0.0,50.0,0.48,0.76,52.69,3
Diego Rico,0.0,59.09,0.45,0.0,0.0,0.0,1.75,0.0,1.0,0.0,1.95,0.75,0.15,37.25,0.0,7.5,79.19,48.24,0.0,0.25,0.0,0.65,0.0,0.05,0.15,0.0,52.78,1.3,1.35,54.12,2
Ivan Rakitić,0.03,50.0,1.0,0.0,0.06,0.0,1.19,0.0,0.87,0.0,0.61,0.68,0.06,37.16,0.1,10.06,83.59,63.2,0.0,0.1,0.0,0.65,0.0,0.16,0.1,0.03,50.0,0.87,0.52,55.0,3
Étienne Capoue,0.11,58.49,0.93,0.0,0.11,0.0,0.75,0.0,0.68,0.0,0.68,0.29,0.11,36.82,0.0,9.25,88.36,66.1,0.0,0.14,0.0,0.89,0.0,0.04,0.14,0.0,56.82,1.46,0.64,59.9,3
Stefan Savić,0.0,100.0,0.09,0.0,0.05,0.0,1.77,0.0,1.5,0.0,2.73,0.59,0.0,51.32,0.0,3.59,88.04,54.72,0.0,0.32,0.0,0.64,0.0,0.14,0.23,0.09,65.12,0.36,1.41,58.15,3
Chimy Ávila,0.28,54.84,2.31,0.14,0.21,0.0,0.28,0.0,0.28,0.0,0.48,0.59,0.14,14.9,0.07,3.62,60.42,53.57,0.0,0.03,0.0,0.55,0.0,0.03,0.21,0.03,41.18,1.21,0.86,43.98,2
David Alaba,0.04,75.0,0.61,0.0,0.04,0.87,0.65,0.0,0.61,0.04,1.57,0.26,0.04,48.17,0.13,7.91,89.26,37.5,0.0,0.17,0.0,0.78,0.0,0.0,0.13,0.0,57.89,0.13,0.39,53.33,3
Memphis Depay,0.5,43.75,1.7,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.1,14.6,0.0,5.8,80.82,80.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,22.22,0.8,0.4,35.19,2
Pepe Reina,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.0,0.41,0.05,0.0,33.73,0.0,0.41,77.36,40.0,2.77,0.23,0.18,1.23,0.0,0.0,0.09,0.0,100.0,0.05,0.0,83.33,3
Sergio Herrera,0.0,100.0,0.0,0.0,0.0,0.0,0.12,0.0,0.06,0.06,0.41,0.0,0.0,32.47,0.0,2.82,60.14,44.76,2.88,0.18,0.24,1.24,0.06,0.12,0.18,0.0,50.0,0.24,0.06,83.33,2
Mikel Vesga,0.08,55.56,0.78,0.0,0.08,0.0,1.58,0.03,1.0,0.0,1.03,1.19,0.03,41.36,0.08,10.69,84.22,72.14,0.0,0.22,0.0,0.81,0.0,0.03,0.14,0.0,57.52,0.58,1.22,49.35,2
Antonio Rüdiger,0.03,75.0,0.67,0.0,0.03,0.0,0.55,0.0,0.58,0.0,2.06,0.27,0.0,48.24,0.0,3.36,92.09,55.65,0.0,0.3,0.0,0.73,0.0,0.03,0.03,0.0,62.71,0.21,0.39,58.56,2
Chris Ramos,0.07,42.11,2.07,0.0,0.2,0.0,0.8,0.0,0.07,0.0,1.27,0.47,0.0,9.27,0.0,2.47,55.4,100.0,0.0,0.07,0.0,0.53,0.0,0.13,0.13,0.0,57.52,0.8,1.4,52.43,2
Iñigo Ruiz de Galarreta,0.0,59.38,0.33,0.0,0.0,0.0,1.8,0.0,1.0,0.03,0.57,1.07,0.07,39.37,0.03,7.27,85.01,63.48,0.0,0.2,0.0,0.67,0.0,0.17,0.4,0.0,45.45,1.53,2.0,49.29,2
Joseph Aidoo,0.09,80.0,0.4,0.09,0.0,0.0,1.46,0.0,0.89,0.03,4.06,0.34,0.0,50.03,0.0,2.8,86.64,49.39,0.0,0.26,0.0,1.09,0.0,0.29,0.11,0.03,50.0,0.51,0.51,57.85,2
Javi Galán,0.0,54.14,0.35,0.0,0.03,0.0,2.81,0.0,1.11,0.03,1.49,1.35,0.08,41.11,0.08,9.7,80.74,43.32,0.0,0.27,0.0,1.05,0.0,0.27,0.16,0.0,57.89,1.97,1.35,55.73,2
Brian Oliván,0.03,40.0,0.5,0.0,0.0,0.0,1.57,0.0,0.73,0.0,1.93,0.3,0.23,25.0,0.23,5.17,70.13,40.63,0.0,0.1,0.0,1.33,0.0,0.13,0.23,0.0,31.48,0.5,1.07,47.98,2
Hugo Mallo,0.0,35.71,0.73,0.0,0.12,0.0,2.04,0.0,0.92,0.04,2.46,0.54,0.12,44.38,0.04,9.5,79.29,38.93,0.0,0.19,0.0,1.04,0.0,0.27,0.19,0.04,53.06,0.88,1.69,53.2,3
Jose Antonio de la Rosa,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.5,3.0,88.89,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,77.78,1
Rober González,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,12.0,0.0,2.5,95.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,0.5,57.14,1
Sergio Camello,0.16,41.86,2.0,0.0,0.08,0.0,0.42,0.0,0.05,0.0,0.68,0.32,0.05,13.47,0.13,4.29,78.32,81.25,0.0,0.0,0.0,0.92,0.0,0.08,0.05,0.0,35.53,0.5,0.32,38.1,1
Daniel Vivian,0.03,40.0,0.45,0.03,0.0,0.0,1.97,0.03,0.83,0.0,3.0,0.31,0.07,49.14,0.0,4.66,81.47,48.77,0.0,0.28,0.0,0.76,0.0,0.07,0.28,0.03,42.71,0.72,1.31,50.21,1
Yannick Carrasco,0.2,54.05,1.91,0.0,0.17,0.0,1.0,0.0,0.34,0.0,0.46,0.89,0.17,26.06,0.09,9.14,84.76,61.54,0.0,0.0,0.0,0.69,0.0,0.03,0.06,0.0,35.71,0.6,0.69,44.81,2
Fernando,0.0,75.0,0.27,0.0,0.0,0.0,1.55,0.0,1.09,0.0,1.23,0.55,0.05,39.18,0.05,6.09,88.75,67.09,0.0,0.09,0.0,0.86,0.0,0.09,0.14,0.05,60.61,0.41,0.77,54.55,3
Víctor Ruiz,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.6,0.0,3.2,0.0,0.1,25.0,0.0,1.3,85.2,45.45,0.0,0.1,0.0,0.5,0.0,0.3,0.0,0.0,70.83,0.2,0.4,68.57,3
Óscar Rodríguez,0.06,45.83,1.3,0.0,0.06,0.0,0.97,0.0,0.73,0.03,0.39,0.45,0.06,29.36,0.0,7.88,84.31,55.29,0.0,0.03,0.0,0.67,0.0,0.27,0.18,0.0,35.48,0.79,0.67,48.78,2
Thomas Lemar,0.04,58.33,0.48,0.04,0.04,0.0,1.11,0.0,0.26,0.0,0.41,0.67,0.07,28.11,0.11,8.33,88.41,67.5,0.0,0.0,0.0,0.3,0.0,0.07,0.04,0.0,41.67,0.63,0.26,52.52,2
Marcão,0.0,100.0,0.0,0.0,0.0,0.0,0.4,0.0,1.2,0.0,2.6,0.0,0.0,43.0,0.0,3.8,86.98,33.33,0.0,0.2,0.0,0.6,0.0,0.4,0.4,0.0,66.67,1.2,1.0,65.38,2
Vinícius Souza,0.03,58.82,0.29,0.03,0.03,0.0,2.94,0.03,1.41,0.06,1.35,0.76,0.0,26.62,0.03,4.71,80.11,49.46,0.0,0.12,0.0,1.24,0.0,0.15,0.24,0.03,52.55,1.12,1.91,55.98,1
Nacho Fernández,0.04,73.33,0.33,0.0,0.04,0.0,0.89,0.0,0.67,0.0,1.22,0.63,0.04,40.56,0.04,6.63,92.97,71.79,0.0,0.26,0.0,0.48,0.0,0.04,0.26,0.0,63.16,0.52,0.59,55.92,3
Rodri Sánchez,0.07,48.33,0.5,0.0,0.0,0.0,0.53,0.0,0.43,0.0,0.03,0.3,0.17,26.53,0.1,9.73,89.95,67.44,0.0,0.03,0.0,0.37,0.0,0.13,0.0,0.0,14.29,1.3,0.2,52.76,1
Nabil Fekir,0.13,47.22,1.67,0.0,0.0,0.74,0.73,0.0,0.07,0.0,0.0,0.47,0.2,28.67,0.13,12.0,84.65,43.75,0.0,0.07,0.0,0.53,0.0,0.13,0.33,0.07,42.11,2.6,1.4,50.0,2
Jon Ander Olasagasti,0.0,0.0,1.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.33,0.33,0.0,16.0,0.0,2.33,81.25,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.33,0.33,83.33,1
Diego Lopez,0.3,52.94,1.2,0.0,0.3,0.0,0.2,0.0,0.3,0.0,0.2,1.3,0.3,13.8,0.1,4.2,69.57,44.44,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,46.67,0.7,0.6,38.46,1
Fernando Pacheco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,1.06,0.06,0.06,30.59,0.0,2.0,68.46,48.73,3.47,0.18,0.29,1.88,0.06,0.18,0.0,0.0,80.0,0.24,0.0,80.0,3
Valentin Castellanos,0.37,40.0,2.46,0.14,0.4,0.0,0.34,0.0,0.17,0.0,0.74,0.51,0.06,10.91,0.0,3.06,63.35,53.85,0.0,0.0,0.0,1.03,0.0,0.14,0.31,0.0,42.15,1.31,1.23,41.41,2
Alfonso Espino,0.0,52.08,0.56,0.0,0.06,0.0,2.42,0.06,1.33,0.08,2.44,1.33,0.17,31.81,0.11,6.03,67.16,33.33,0.0,0.33,0.0,0.97,0.0,0.22,0.19,0.0,43.42,1.0,1.36,50.0,3
Ansu Fati,0.19,52.27,1.69,0.03,0.19,0.0,0.44,0.0,0.14,0.0,0.14,0.36,0.06,16.44,0.08,6.97,84.8,73.33,0.0,0.03,0.0,0.11,0.0,0.03,0.08,0.0,31.82,0.36,0.5,38.82,1
Jawad El Yamiq,0.04,76.92,0.68,0.0,0.08,0.0,0.68,0.0,1.48,0.04,3.84,0.2,0.0,36.16,0.0,2.4,81.64,44.52,0.0,0.08,0.0,1.12,0.0,0.2,0.08,0.04,62.69,0.36,0.52,60.47,3
Giorgi Mamardashvili,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.03,0.63,0.0,0.0,24.74,0.0,1.11,59.89,35.17,2.76,0.18,0.13,1.05,0.0,0.13,0.08,0.0,90.0,0.08,0.03,78.57,1
Gorka Guruzeta,0.2,50.0,1.7,0.0,0.13,0.0,0.8,0.0,0.13,0.0,0.23,0.43,0.03,12.77,0.03,3.73,73.37,73.91,0.0,0.0,0.0,0.5,0.0,0.03,0.07,0.0,38.16,0.47,0.93,39.09,2
Raúl de Tomás,0.21,68.0,2.26,0.11,0.16,0.0,0.16,0.0,0.0,0.0,0.32,0.21,0.05,7.68,0.0,2.89,76.71,47.37,0.0,0.0,0.0,0.58,0.0,0.11,0.11,0.0,37.5,1.21,1.11,44.72,2
Papu Gómez,0.05,51.72,1.16,0.0,0.05,0.0,0.32,0.0,0.21,0.05,0.26,0.42,0.21,25.32,0.05,8.47,88.57,72.97,0.0,0.05,0.0,0.58,0.0,0.21,0.21,0.0,33.33,1.16,0.32,49.46,3
Rubén García,0.07,40.0,0.69,0.0,0.03,0.0,0.69,0.0,0.41,0.0,0.28,0.59,0.1,16.62,0.07,5.1,79.67,60.87,0.0,0.0,0.0,0.34,0.0,0.1,0.07,0.0,25.53,0.59,0.48,39.57,2
Santi Comesaña,0.09,66.04,0.71,0.03,0.06,0.0,2.03,0.0,0.91,0.0,0.43,1.26,0.0,34.77,0.06,9.74,83.81,70.73,0.0,0.06,0.0,0.86,0.0,0.09,0.17,0.0,42.11,0.8,1.4,47.03,2
Andrés Guardado,0.04,55.56,0.31,0.04,0.0,0.0,1.58,0.0,0.85,0.0,0.85,0.96,0.08,32.65,0.04,6.0,85.16,60.36,0.0,0.12,0.0,0.69,0.0,0.19,0.27,0.0,36.96,0.38,0.62,47.71,3
Álex Moreno,0.0,40.0,0.87,0.0,0.2,0.0,1.93,0.0,1.13,0.07,2.2,1.2,0.13,35.07,0.2,7.67,77.38,33.96,0.0,0.4,0.0,0.47,0.0,0.4,0.07,0.0,33.33,1.27,1.13,47.33,2
Franco Cervi,0.0,48.84,0.64,0.0,0.06,0.0,2.11,0.0,1.0,0.0,0.39,0.92,0.06,19.83,0.11,5.11,77.59,41.86,0.0,0.06,0.0,0.78,0.0,0.25,0.06,0.03,32.43,1.17,0.75,55.31,2
Samu Castillejo,0.16,41.07,1.48,0.0,0.12,0.0,0.84,0.0,0.36,0.0,0.0,1.28,0.2,20.96,0.0,8.76,84.73,74.19,0.0,0.0,0.0,0.48,0.0,0.12,0.28,0.0,26.92,1.6,1.28,38.72,2
Andriy Lunin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,27.29,0.0,0.29,88.48,48.78,1.71,0.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Oihan Sancet,0.28,64.79,1.61,0.0,0.19,0.0,0.75,0.0,0.11,0.0,0.25,0.72,0.25,26.28,0.06,9.56,82.98,65.71,0.0,0.03,0.0,0.78,0.0,0.03,0.17,0.03,53.19,1.5,1.14,47.63,1
Manu Morlanes,0.06,75.0,0.44,0.0,0.0,0.0,1.56,0.0,0.38,0.0,0.69,0.69,0.06,16.75,0.0,3.75,84.33,65.22,0.0,0.0,0.0,0.69,0.0,0.13,0.19,0.06,28.0,0.56,0.44,53.76,1
Sergio Escudero,0.04,46.67,1.17,0.04,0.09,0.0,1.43,0.0,1.13,0.0,1.7,0.87,0.17,23.22,0.0,3.39,72.28,33.33,0.0,0.13,0.0,0.87,0.0,0.04,0.13,0.0,50.0,0.87,0.83,51.85,3
Cenk Özkaçar,0.0,100.0,0.65,0.0,0.06,0.0,1.59,0.06,0.71,0.0,2.71,0.29,0.0,44.82,0.0,4.47,84.25,44.94,0.0,0.24,0.0,1.0,0.0,0.06,0.06,0.0,58.33,0.59,0.41,65.75,1
Julen Agirrezabala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,26.0,0.0,0.88,66.83,38.53,1.63,0.25,0.0,0.75,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1
El Bilal Touré,0.33,40.0,1.38,0.1,0.29,0.0,0.19,0.0,0.05,0.0,1.0,0.14,0.0,12.0,0.1,2.81,71.83,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,48.35,0.33,1.19,40.4,1
