Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Stanislav Agkatsev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,43.67,61.07,1.0,39.76,3.0,0.67,0.33,0.33,1.0,0.0,0.0,0.0,0.0,50.0,0.33,0.0,3,1,1,Rusia Premier Liga,4
Daniil Utkin,0.11,0.07,72.0,1.93,0.0,0.41,1.19,0.78,0.0,0.81,0.04,0.41,0.26,0.22,42.07,77.55,8.19,52.21,0.0,0.15,0.0,0.0,1.22,0.07,0.15,0.0,58.62,62.68,1.74,0.48,27,1,3,Rusia Premier Liga,4
Konstantin Kuchaev,0.14,0.07,53.85,0.71,0.07,0.0,1.29,1.36,0.0,0.71,0.0,0.5,0.5,0.29,26.29,81.79,6.57,61.76,0.0,0.07,0.0,0.0,0.36,0.07,0.14,0.0,43.75,51.85,0.71,0.71,14,2,3,Rusia Premier Liga,4
Nikolay Komlichenko,0.38,0.15,62.5,1.58,0.12,0.0,0.5,0.15,0.0,0.85,0.0,0.08,0.19,0.23,18.85,67.35,5.19,59.09,0.0,0.04,0.0,0.0,1.0,0.12,0.15,0.0,51.63,50.64,2.38,2.0,26,2,4,Rusia Premier Liga,4
Evgeni Frolov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33,0.0,0.0,21.0,68.25,1.0,47.37,3.0,0.33,0.33,0.33,0.67,0.0,0.33,0.0,0.0,0.0,0.0,0.0,3,3,1,Rusia Premier Liga,4
Jorge Carrascal,0.23,0.12,58.49,2.27,0.0,0.0,1.08,0.35,0.0,0.04,0.0,0.62,0.23,0.08,27.23,73.16,10.19,61.29,0.0,0.04,0.0,0.0,0.69,0.15,0.23,0.0,43.75,52.75,1.54,0.81,26,2,3,Rusia Premier Liga,4
Daler Kuzyaev,0.19,0.12,61.54,1.08,0.0,0.0,2.04,1.08,0.0,0.35,0.0,0.38,0.12,0.15,44.04,86.9,13.35,68.25,0.0,0.19,0.0,0.0,0.42,0.08,0.12,0.0,48.72,59.24,0.81,0.65,26,2,3,Rusia Premier Liga,4
Willyan Rocha,0.14,0.0,77.78,0.95,0.09,0.0,2.14,1.77,0.0,4.27,0.0,0.68,0.0,0.0,40.59,73.46,4.86,48.48,0.0,0.23,0.0,0.0,0.77,0.09,0.14,0.05,71.76,68.02,0.91,0.91,22,2,2,Rusia Premier Liga,4
Kady Borges,0.43,0.14,42.86,1.57,0.14,0.0,1.14,0.43,0.0,0.29,0.0,0.57,0.14,0.14,32.43,80.18,13.14,72.73,0.0,0.0,0.0,0.0,0.86,0.0,0.14,0.0,36.36,43.1,1.0,1.57,7,2,3,Rusia Premier Liga,4
Jhon Córdoba,0.61,0.3,41.67,2.91,0.09,0.0,0.26,0.17,0.0,0.65,0.0,0.04,0.22,0.22,15.39,78.25,4.65,69.23,0.0,0.04,0.0,0.0,1.26,0.22,0.3,0.0,45.68,43.58,2.35,1.57,23,2,4,Rusia Premier Liga,4
Renato Gojković,0.04,0.08,100.0,0.79,0.04,0.0,1.83,2.21,0.0,4.67,0.0,0.17,0.08,0.08,38.13,78.36,1.88,45.28,0.0,0.21,0.0,0.0,1.38,0.17,0.21,0.0,71.07,71.15,0.54,0.79,24,2,2,Rusia Premier Liga,4
Nikolay Kalinskiy,0.19,0.0,66.67,1.71,0.0,0.0,0.62,1.0,0.0,0.38,0.0,0.71,0.24,0.19,29.62,77.81,7.57,40.43,0.0,0.1,0.0,0.0,1.05,0.1,0.14,0.0,38.46,44.87,0.48,0.38,21,2,3,Rusia Premier Liga,4
Nikola Moro,0.0,0.17,55.56,1.17,0.0,0.0,1.33,1.83,0.0,1.5,0.0,0.5,0.17,0.33,43.83,80.61,6.83,69.09,0.0,0.33,0.0,0.0,0.67,0.0,0.0,0.17,57.14,55.0,0.83,0.5,6,2,3,Rusia Premier Liga,4
Vladislav Torop,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,63.64,0.0,27.27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,1,1,Rusia Premier Liga,4
Aleks Matsukatov,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,100.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,1,3,Rusia Premier Liga,4
Rizvan Tashaev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,3.0,55.56,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,Rusia Premier Liga,4
Alexis Beka Beka,0.0,0.0,87.5,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,82.46,7.5,33.33,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,68.18,0.0,2.0,2,1,3,Rusia Premier Liga,4
Maksim Glushenkov,0.34,0.31,49.06,2.79,0.0,0.0,0.66,0.31,0.0,0.55,0.0,0.31,0.34,0.31,22.86,73.76,7.66,54.9,0.0,0.0,0.0,0.0,0.86,0.03,0.21,0.0,33.33,41.75,1.14,0.97,29,1,3,Rusia Premier Liga,4
Ilya Lantratov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.85,0.04,0.07,0.04,0.0,32.7,59.91,2.26,40.52,4.22,0.26,0.3,0.07,1.33,0.04,0.04,0.0,50.0,62.5,0.15,0.0,27,2,1,Rusia Premier Liga,4
Wílmar Barrios,0.04,0.0,62.96,0.54,0.0,0.0,2.21,1.57,0.0,1.07,0.0,0.46,0.07,0.07,60.89,85.4,13.11,55.56,0.0,0.39,0.0,0.0,0.5,0.07,0.11,0.0,51.52,66.34,1.43,0.61,28,2,3,Rusia Premier Liga,4
Aleksandr Maksimenko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,25.33,73.68,0.33,40.63,4.67,0.0,0.0,0.0,1.0,0.33,0.33,0.0,0.0,100.0,0.0,0.0,3,2,1,Rusia Premier Liga,4
Ivan Oblyakov,0.29,0.11,48.57,1.54,0.0,0.0,0.89,0.43,0.04,0.86,0.0,0.5,0.29,0.14,28.82,72.37,8.43,52.94,0.0,0.21,0.0,0.0,0.43,0.04,0.07,0.04,46.88,46.63,0.93,0.96,28,2,3,Rusia Premier Liga,4
Aleksandr Sobolev,0.5,0.35,31.25,3.27,0.15,0.0,0.38,0.19,0.0,0.62,0.0,0.04,0.23,0.23,24.12,66.35,6.58,55.0,0.0,0.08,0.0,0.0,0.92,0.31,0.35,0.04,63.16,45.68,1.65,1.73,26,2,4,Rusia Premier Liga,4
Junior Alonso,0.08,0.0,100.0,0.33,0.08,0.0,1.42,1.25,0.0,4.33,0.0,0.42,0.0,0.0,75.67,86.12,11.58,58.87,0.0,0.25,0.0,0.0,1.17,0.25,0.0,0.0,66.67,64.71,0.17,0.67,12,2,2,Rusia Premier Liga,4
Brian Mansilla,0.18,0.14,50.0,2.77,0.05,0.0,1.59,0.77,0.0,0.36,0.0,0.64,0.36,0.23,17.0,74.33,5.55,64.71,0.0,0.05,0.0,0.0,0.82,0.09,0.23,0.05,34.29,42.33,0.91,1.55,22,2,4,Rusia Premier Liga,4
Sergey Bozhin,0.1,0.0,50.0,0.43,0.1,0.0,1.33,2.48,0.0,5.57,0.05,0.33,0.0,0.05,31.67,71.28,2.52,42.78,0.0,0.19,0.0,0.0,1.38,0.24,0.24,0.0,65.0,67.79,0.9,0.57,21,2,2,Rusia Premier Liga,4
Rodrigão Prado,0.05,0.0,100.0,0.45,0.0,0.0,1.45,0.91,0.05,1.95,0.0,0.32,0.0,0.0,62.18,83.85,6.95,44.0,0.0,0.5,0.0,0.0,0.41,0.09,0.14,0.0,63.16,63.85,0.41,0.55,22,2,2,Rusia Premier Liga,4
Guilherme Marinato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,37.0,61.26,0.33,41.67,3.67,0.33,0.67,0.0,1.0,0.33,0.0,0.0,0.0,100.0,0.67,0.0,3,3,1,Rusia Premier Liga,4
Bakhtiyar Zaynutdinov,0.05,0.14,80.0,0.86,0.0,0.0,1.62,1.71,0.05,2.67,0.0,0.19,0.1,0.1,39.71,79.74,5.95,40.0,0.0,0.24,0.0,0.0,0.62,0.24,0.14,0.0,79.45,69.44,1.0,1.19,21,2,3,Rusia Premier Liga,4
Egor Filipenko,0.08,0.0,100.0,0.46,0.08,0.0,1.62,2.0,0.15,4.15,0.0,0.31,0.08,0.08,41.15,82.43,2.92,52.38,0.0,0.15,0.0,0.0,1.08,0.08,0.15,0.0,63.64,66.32,0.46,0.69,13,3,2,Rusia Premier Liga,4
Fedor Smolov,0.42,0.17,45.0,2.5,0.0,0.0,0.75,0.08,0.0,0.75,0.0,0.25,0.08,0.08,25.33,72.37,8.21,63.16,0.0,0.21,0.0,0.0,1.08,0.04,0.13,0.0,35.38,42.03,0.79,1.13,24,3,4,Rusia Premier Liga,4
Lucas Vera,0.07,0.04,73.08,1.26,0.0,0.0,1.04,0.59,0.0,0.26,0.0,0.56,0.37,0.26,45.52,80.39,13.78,56.83,0.0,0.07,0.0,0.0,1.48,0.15,0.11,0.0,22.22,53.61,0.7,0.41,27,2,3,Rusia Premier Liga,4
Fernando Costanza,0.23,0.0,50.0,1.54,0.23,0.0,2.54,1.08,0.08,1.77,0.0,0.54,0.0,0.0,31.0,78.41,7.08,56.36,0.0,0.23,0.0,0.0,0.85,0.15,0.15,0.0,50.0,61.24,2.08,0.77,13,2,3,Rusia Premier Liga,4
