Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Stefan Šćepović,0.1,0.5,50.0,1.5,0.0,0.0,0.1,0.1,0.0,0.4,0.0,0.0,0.1,0.0,19.4,67.01,5.6,50.0,0.0,0.2,0.0,0.0,1.2,0.1,0.0,0.0,47.06,49.3,0.7,0.4,10,3,4
Eli Adams,0.0,0.0,85.71,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,64.71,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,100.0,83.33,0.2,0.2,5,1,4
Jordan Holmes,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.04,0.0,0.0,0.0,19.26,49.66,0.61,30.19,2.78,0.26,0.26,0.09,1.22,0.13,0.04,0.04,100.0,87.5,0.09,0.04,23,2,1
Zach Clough,0.16,0.16,55.56,1.74,0.0,0.0,1.37,0.16,0.0,0.26,0.0,0.47,0.21,0.16,19.79,84.57,6.47,50.0,0.0,0.0,0.0,0.0,1.21,0.26,0.16,0.0,16.67,44.36,0.58,0.95,19,2,3
Connor Pain,0.12,0.04,42.22,1.27,0.0,0.0,0.73,0.62,0.0,0.73,0.0,0.23,0.23,0.31,24.85,72.14,7.88,18.18,0.0,0.0,0.0,0.0,1.38,0.19,0.12,0.0,39.39,46.54,0.88,0.27,26,2,3
Giordano Colli,0.18,0.0,0.0,0.36,0.0,0.0,0.82,0.09,0.0,0.45,0.0,0.73,0.09,0.0,8.91,81.63,3.27,50.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,23.08,32.0,0.36,0.55,11,1,3
Moudi Najjar,0.29,0.0,0.0,0.71,0.0,0.0,0.14,0.0,0.0,0.43,0.0,0.43,0.14,0.14,5.14,80.56,2.0,0.0,0.0,0.0,0.0,0.0,0.71,0.43,0.0,0.0,44.44,33.33,0.29,0.57,7,1,3
Beka Dartsmelia,0.06,0.0,30.77,0.5,0.0,0.0,0.83,0.39,0.0,0.11,0.0,0.17,0.06,0.17,29.56,84.02,8.44,65.12,0.0,0.0,0.0,0.0,0.89,0.11,0.11,0.0,50.0,47.69,0.5,0.39,18,1,3
David Ball,0.04,0.25,39.39,1.17,0.0,0.0,0.71,0.42,0.0,0.42,0.0,0.46,0.21,0.08,20.92,80.48,7.13,46.67,0.0,0.21,0.0,0.0,1.33,0.17,0.25,0.0,28.81,43.65,1.67,0.67,24,3,4
Marcel Čanadi,0.0,0.0,50.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,93.33,1.25,100.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,75.0,0.0,0.0,4,2,3
Matthew Bozinovski,0.0,0.0,0.0,0.4,0.0,0.0,0.8,0.2,0.0,4.6,0.0,0.2,0.2,0.0,36.8,86.41,1.0,23.08,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,70.0,63.16,0.2,0.2,5,1,2
Rahmat Akbari,0.0,0.0,73.33,0.45,0.0,0.0,1.32,0.36,0.0,0.86,0.0,0.41,0.0,0.0,19.64,84.72,5.68,66.67,0.0,0.05,0.0,0.0,0.45,0.05,0.09,0.0,52.94,51.61,0.68,1.45,22,1,3
Alex Wilkinson,0.0,0.0,0.0,0.17,0.0,0.0,0.5,0.44,0.06,3.0,0.0,0.44,0.0,0.0,50.11,93.13,2.28,65.31,0.0,0.22,0.0,0.0,1.11,0.22,0.0,0.0,56.6,53.16,0.17,0.39,18,3,2
Tongo Doumbia,0.1,0.1,42.11,0.85,0.1,0.0,2.0,1.2,0.05,0.95,0.0,1.0,0.0,0.0,36.6,85.66,5.7,58.06,0.0,0.05,0.0,0.0,0.95,0.3,0.2,0.0,57.14,47.83,0.55,1.85,20,3,3
