#,Team,Name,Appearances
210,,Luka Đorđević,13
211,,Kirill Ushatov,7
212,,Kirill Suslov,23
213,,Mingiyan Beveev,25
214,,Víctor Felipe Méndez,26
215,,Daniil Khudyakov,14
216,,Ilya Agapov,15
217,,Aleksandr Ektov,25
218,,Evgeni Morozov,25
219,,Dmitri Zhivoglyadov,16
220,,Timofey Margasov,26
221,,Aleksandr Erokhin,20
222,,Batraz Gurtsiev,8
223,,Victorien Angban,7
224,,Mohamed Konate,24
225,,Ilya Pomazun,29
226,,Khyzyr Appaev,28
227,,Kevin Pina,15
228,,Ivan Lomaev,22
229,,Nemanja Glavčić,17
230,,Igor Kalinin,15
231,,Sergey Petrov,19
232,,Ilya Bykovskiy,7
233,,Mario Ćurić,17
234,,Artem Mamin,9
235,,Maksim Vityugov,28
236,,Rai Vloet,15
237,,Stanislav Magkeev,19
238,,Ilnur Alshin,23
239,,Denis Yakuba,10
240,,Ivan Temnikov,4
241,,Cristian Tassano,6
242,,Igor Konovalov,6
243,,Bogdan Ovsyannikov,6
244,,Aleksandr Kutitskiy,22
245,,Vladislav Sarveli,26
246,,Mohamed Amin Brahimi,13
247,,Vladislav Kamilov,20
248,,Bryan Idowu,16
249,,Khoren Bayramyan,23
250,,Nikita Kakkoev,21
251,,Mathias Normann,14
252,,Dmitriy Stotskiy,24
253,,Denis Adamov,17
254,,Dmitry Rybchinskiy,25
255,,Reziuan Mirzov,24
256,,Evgeny Goshev,9
257,,Oleg Kozhemyakin,25
258,,Mory Gbane,22
259,,Oleg Dmitriev,16
260,,Timur Ayupov,23
261,,Aleksandr Dolgov,25
262,,Andrey Langovich,22
263,,Ilya Kukharchuk,16
264,,Daniil Chernyakov,4
265,,Marat Bystrov,20
266,,Elmir Nabiullin,9
267,,Sergey Babkin,17
268,,Zaim Divanović,5
269,,Kirill Kravtsov,24
270,,Lucas Masoero,21
271,,Maksim Mukhin,17
272,,Zelimkhan Bakaev,17
273,,Kirill Nababkin,22
274,,Artur Nigmatullin,18
275,,Zakhar Volkov,10
276,,Evgeniy Chernov,23
277,,Denys Kulakov,19
278,,Aleksandr Rudenko,25
279,,Dmitri Tsypchenko,24
280,,Vyacheslav Krotov,22
281,,Stefan Šapić,5
282,,Pavel Meleshin,8
283,,Danila Kalin,1
284,,Matvey Lukin,2
285,,Aleksei Usanov,2
286,,Ivan Miladinović,9
287,,Aleksey Nikitin,9
288,,Edgar Sevikyan,10
289,,Andrey Egorychev,21
290,,Ravil Netfullin,20
291,,David Karaev,28
292,,Vasili Cherov,25
