#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
92,,Silvije Begić,0.07,0.07,44,81.67,2.2,55.17
93,,Anton Miranchuk,0.07,0.11,27.11,75.63,8.46,60.76
94,,Christopher Martins Pereira,0.06,0.17,25.83,82.8,6.78,60.61
95,,Aleksey Kashtanov,0.18,0.14,15.82,57.79,4.29,58.82
96,,Aslan Dashaev,0,0,29.83,79.89,2,53.85
97,,Anton Mitryushkin,0,0,28.11,38.74,1.33,29.49
98,,Sergey Pesyakov,0,0,40.4,77.64,1.37,49.17
99,,Olakunle Olusegun,0.08,0.08,19.46,82.44,5.83,62.96
100,,Joãozinho,0.13,0.09,16.74,79.74,6.83,78.95
101,,Dmitriy Vorobyev,0.09,0.05,17.68,71.98,5.5,56
102,,Matvey Safonov,0,0,39.81,74.23,0.93,49.32
103,,Roberto Fernández,0,0,44.11,81.74,3.79,55.71
104,,Kirill Kaplenko,0,0.05,38.35,84.49,7.35,50
105,,Sergey Borodin,0,0,47.8,84.31,2.6,38.57
106,,Matías Pérez,0,0.1,42.3,83.22,3.2,48.53
107,,Nikita Goylo,0,0,22.09,45.27,0.55,26.82
108,,Ivan Oleynikov,0.08,0.25,16.46,69.62,5.46,45.71
109,,Mihajlo Banjac,0.04,0.11,31.59,82.53,6.81,66.02
110,,Kirill Gotsuk,0,0,36.19,74.92,1.58,40.11
111,,Anton Zinkovskiy,0.29,0.11,19.21,78.25,7.64,48
112,,Saša Zdjelar,0.04,0,43.63,82.34,10.7,63.29
113,,Anton Shunin,0,0,25.46,63.67,0.79,37.98
114,,Benjamín Garré,0.23,0.08,24.77,79.81,8,55.88
115,,Keita Baldé,0,0,13.75,80,5.33,87.5
116,,Dzambolat Tsallagov,0.5,0,16.5,81.82,5,0
117,,Kirill Folmer,0.33,0,5.67,76.47,2.33,50
118,,Nail Umyarov,0,0,37.17,84.53,7.67,66
119,,Andrey Semenov,0,0,42.32,73.63,6.47,42.03
120,,Aleksey Ionov,0.22,0.04,22.96,85.65,8.93,64.71
121,,Robert Renan,0,0,57.11,86.38,7.11,54.12
122,,Aleksandr Selikhov,0.04,0,30.11,78.72,0.52,59.24
123,,Yuri Gorshkov,0.21,0.17,37.29,76.87,8.96,45.92
124,,Butta Magomedov,0.09,0,32.91,78.04,9.36,56.16
125,,Konstantin Tyukavin,0.04,0.07,7.61,69.01,2.29,44.44
126,,Gustavo Mantuan,0.18,0.18,10.77,88.61,3.91,85.71
127,,Glenn Bijl,0.04,0.04,44.61,79.5,9.71,45.14
128,,Bernard Berisha,0.1,0.1,17.65,66.29,6.1,38.64
129,,Ilya Stefanovich,0,0,11.42,69.34,2.58,50
130,,Vyacheslav Karavaev,0,0.04,45.88,83.83,11.17,34.02
131,,Igor Akinfeev,0.03,0.03,23.79,51.88,2.62,38.75
132,,Dmitri Skopintsev,0.07,0.1,31.86,82.25,6.52,45.36
133,,Ivan Bašić,0,0,18.73,84.34,4.47,61.29
134,,Daniil Denisov,0.21,0.07,39.9,77.96,7.76,41
135,,Sergey Parshivlyuk,0,0.05,28.42,81.85,6.11,53.62
136,,Danil Kapustyanskiy,0,0,1,83.33,0.33,100
137,,Aleksander Vasyutin,0,0,23.33,72.86,0.33,40
138,,Bruno Fuchs,0,0,22,78.41,2.75,68.42
139,,Dmitri Tikhiy,0,0,44.33,84.96,5.22,57.89
140,,Léo,0.08,0,42.33,75,4.75,48.03
141,,Dmitri Chistyakov,0,0,45.13,90.1,1.67,61.9
142,,Vladis-Emmerson Illoy-Ayyet,0.05,0,40.18,79.86,1.86,38.36
143,,Alexander Yushin,0.19,0.08,10.15,70.08,3.04,52.17
144,,Ilja Zhigulev,0,0,15.17,82.97,3.75,64.29
145,,Timur Suleymanov,0,0.04,14.52,63.01,3.33,35.71
146,,Danil Prutsev,0.07,0.19,35.52,84.98,9.3,60.24
147,,Georgiy Dzhikiya,0,0.05,52.73,84.91,5.55,46.04
148,,Nuraly Alip,0,0,54.13,89.15,2.75,51.35
149,,Anton Shvets,0.04,0.07,38.78,78.32,6.33,45.9
150,,Ibragim Tsallagov,0,0,39.22,79.32,6.5,47.67
151,,Arsen Adamov,0.11,0.22,16.67,85.33,4.22,60
152,,Egor Pogostnov,0,0,43.89,79.49,1.89,40
153,,Giorgi Shelia,0,0,27.52,50.75,2.52,42.64
154,,Daniil Zorin,0.5,0.5,6,75,1.5,0
155,,Vyacheslav Yakimov,0,0.06,27.59,70.79,5.65,42.31
156,,Nicolás Marichal,0,0,33,82.9,2.57,50.88
157,,Evgeniy Kharin,0.04,0.08,19.15,62.05,4.62,33.9
158,,Tomás Tavares,0.08,0,45.69,85.69,11.92,55.81
159,,Nair Tiknizyan,0.03,0.07,34.79,79.48,7.07,30.68
160,,Ivan Ignatiev,0.05,0.1,8.85,67.8,2.25,40
161,,João Batxi,0.07,0.14,19.14,86.19,6.79,50
162,,Ibrahima Cisse,0,0,36.59,85.21,5.47,67.21
163,,Aleksandar Ćirković,0.17,0,10.33,78.23,4,28.57
164,,Miroslav Bogosavac,0.16,0.16,35.04,66.44,7.32,45.45
165,,Aleksandr Kovalenko,0,0.09,33.26,80.92,10.13,56.82
166,,Artem Makarchuk,0.1,0.14,37.45,80.48,10.9,42.67
167,,Viktor Melekhin,0,0,47.58,77.06,3.04,43.95
168,,Denis Makarov,0.12,0.04,18.92,63.85,5.84,37.31
169,,Georgi Melkadze,0.08,0.04,16.21,75.32,4.96,63.64
170,,Mikhail Shchetinin,0,0,11.33,70.59,1.67,50
171,,Viktor Aleksandrov,0,0,27,70.37,2.06,34.07
172,,Mikhail Kerzhakov,0,0,19,69.96,0.33,42.04
173,,Anton Zabolotnyi,0,0.04,13.38,62.93,3.88,70
174,,Daniil Khlusevich,0.15,0.12,40.69,81.57,10.12,58.51
175,,Saba Sazonov,0.04,0,42.88,75.51,3.71,42.98
176,,Vitalii Botnar,0,0,19.5,48.72,1.25,35.48
177,,Aleksandr Silyanov,0,0.03,34.87,75.05,5.4,45.67
178,,Aleksandr Lomovitskiy,0.33,0.13,23.33,72.86,7.87,48.39
179,,Oleksandr Filin,0,0,56.27,76.58,7.64,45.97
180,,Kirill Shchetinin,0.13,0.13,18.4,71.38,4.07,41.54
181,,Aleksey Mironov,0,0.04,22.96,78.89,6.62,62.65
182,,Vyacheslav Podberezkin,0,0.08,32.85,81.5,8,77.78
183,,Mamadou Maiga,0,0,39.1,80.76,6,55
184,,Yuriy Zhuravlev,0,0.07,35.71,78.8,4.43,43.82
185,,Roman Evgenjev,0.03,0.03,41.45,77.79,2.79,47.12
186,,Mateo Barać,0,0,32.88,80.23,2.25,51.16
187,,Ivan Komarov,0.09,0.27,7.36,69.14,2.27,30.77
188,,Dmitri Poloz,0.08,0,15.28,74.87,5.08,47.37
189,,Eric Bicfalvi,0.08,0.04,18.31,67.65,5.58,64.71
190,,Amar Rahmanović,0.06,0,17.65,71,5.29,70
191,,Aleksandr Soldatenkov,0,0,45.64,81.95,3.88,51.46
192,,Milan Gajić,0.1,0.07,24.9,67.87,6.24,40.2
193,,Minkail Matsuev,0,0,0,0,0,0
194,,Sergey Bryzgalov,0,0,26,66.67,2.33,30.77
195,,Igor Leshchuk,0,0,24.5,70.07,0.17,36.23
196,,Milan Majstorović,0,0,28.78,82.63,1.56,59.09
