#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
95,,Aleksey Kashtanov,0.14,0,49.69,45.39,1.21,1.18
96,,Aslan Dashaev,0,0,64.71,55.88,0,0.83
97,,Anton Mitryushkin,0,0,100,100,0.11,0
98,,Sergey Pesyakov,0.1,0,100,71.43,0.03,0.03
99,,Olakunle Olusegun,0.08,0,50,47.37,0.54,1.08
100,,Joãozinho,0.04,0,24.14,38.37,0.43,0.17
101,,Dmitriy Vorobyev,0.18,0,38.64,30.73,0.68,1.05
102,,Matvey Safonov,0.07,0,100,83.33,0.22,0.04
103,,Roberto Fernández,0.21,0.11,61.45,56.74,0.16,1.05
104,,Kirill Kaplenko,0.1,0,65.38,63.21,0.3,0.5
105,,Sergey Borodin,0.2,0,68.57,59.32,0.3,1.2
106,,Matías Pérez,0.4,0,62.5,56.41,0.7,1.4
107,,Nikita Goylo,0,0,100,66.67,0,0
108,,Ivan Oleynikov,0.08,0,28,47.06,1.17,0.71
109,,Mihajlo Banjac,0.15,0,40,57.14,0.81,0.56
110,,Kirill Gotsuk,0.12,0.04,71.17,65.92,0.62,0.81
111,,Anton Zinkovskiy,0.11,0,41.18,40.91,0.61,0.36
112,,Saša Zdjelar,0.22,0,51.85,55.37,1.07,1.37
113,,Anton Shunin,0.04,0,100,92.86,0.17,0
114,,Benjamín Garré,0.15,0,35.71,49.31,1.62,0.77
115,,Keita Baldé,0.17,0,40,43.75,0.58,0.92
116,,Dzambolat Tsallagov,0,0,100,69.23,0.5,1
117,,Kirill Folmer,0.33,0,33.33,40,0,0.33
118,,Nail Umyarov,0,0,50,54.84,0.42,0.92
119,,Andrey Semenov,0.26,0,64.71,57.52,0.63,1.16
120,,Aleksey Ionov,0.15,0,35.29,36.84,0.22,0.37
121,,Robert Renan,0,0,44.44,54.35,0.33,0.44
122,,Aleksandr Selikhov,0.11,0,100,85.71,0.07,0.04
123,,Yuri Gorshkov,0.04,0,66.67,57.01,0.54,0.42
124,,Butta Magomedov,0.14,0,41.67,48.62,0.73,0.5
125,,Konstantin Tyukavin,0,0,29.85,36.51,0.54,0.39
126,,Gustavo Mantuan,0.09,0,44.44,49.4,0.64,0.14
127,,Glenn Bijl,0.14,0.07,65.38,52.53,0.71,1.32
128,,Bernard Berisha,0.3,0,26.09,48.4,1.5,1.4
129,,Ilya Stefanovich,0,0,24.24,38.57,0.42,0.67
130,,Vyacheslav Karavaev,0.04,0,51.72,54.65,0.08,0.46
131,,Igor Akinfeev,0.07,0,100,100,0.07,0
132,,Dmitri Skopintsev,0.21,0,41.67,57.14,0.62,0.76
133,,Ivan Bašić,0.07,0,63.64,53.85,1,1.2
134,,Daniil Denisov,0.14,0.03,58.97,57.07,0.28,0.83
135,,Sergey Parshivlyuk,0.11,0,44.44,57.75,0.58,0.11
136,,Danil Kapustyanskiy,0,0,0,60,0.17,0
137,,Aleksander Vasyutin,0,0,0,100,0.33,0
138,,Bruno Fuchs,0.25,0,0,54.55,0.5,0.25
139,,Dmitri Tikhiy,0.22,0,73.68,68.52,1,1
140,,Léo,0.17,0,57.78,63.21,0.58,1
141,,Dmitri Chistyakov,0.13,0,81.58,71.23,0.2,0.6
142,,Vladis-Emmerson Illoy-Ayyet,0.09,0,70.77,74.22,0.68,0.32
143,,Alexander Yushin,0.08,0,18.18,29.63,0.08,0.35
144,,Ilja Zhigulev,0.08,0,50,63.83,1.17,0.58
145,,Timur Suleymanov,0.19,0.04,34.85,39.08,1.07,1.22
146,,Danil Prutsev,0.15,0,22.73,46.21,0.59,0.7
147,,Georgiy Dzhikiya,0.27,0.05,73.17,67.86,0.64,0.41
148,,Nuraly Alip,0.13,0,63.16,58.33,0.5,0.63
149,,Anton Shvets,0.41,0,54.88,48.66,0.44,1.59
150,,Ibragim Tsallagov,0.17,0,66.67,66.3,1,0.44
151,,Arsen Adamov,0,0,0,64,0.78,0.22
152,,Egor Pogostnov,0.44,0,52.63,47.37,0.33,1.33
153,,Giorgi Shelia,0.14,0,100,100,0.28,0
154,,Daniil Zorin,0,0,0,0,0,0.5
155,,Vyacheslav Yakimov,0.24,0,47.62,54.6,0.59,1.47
156,,Nicolás Marichal,0.14,0,65,69.66,0.29,0.36
157,,Evgeniy Kharin,0.12,0,58.06,49.3,0.58,1.46
158,,Tomás Tavares,0,0,73.91,61.86,0.92,0.46
159,,Nair Tiknizyan,0.24,0,50,56.32,0.55,0.38
160,,Ivan Ignatiev,0.15,0,32.43,34.15,0.5,0.6
161,,João Batxi,0.14,0,25,38.46,0.79,0.36
162,,Ibrahima Cisse,0.18,0,54.84,57.27,1.12,0.71
163,,Aleksandar Ćirković,0.08,0,25,58.62,0.67,0.25
164,,Miroslav Bogosavac,0.04,0,32,54.76,1.36,0.36
165,,Aleksandr Kovalenko,0.09,0,29.63,51.09,1.22,0.61
166,,Artem Makarchuk,0.14,0,39.53,46.37,0.31,0.66
167,,Viktor Melekhin,0.17,0.04,68.57,61.88,0.58,0.96
168,,Denis Makarov,0.24,0,33.33,40.19,0.88,1.36
169,,Georgi Melkadze,0.29,0.04,38.1,38.96,0.71,1.21
170,,Mikhail Shchetinin,0.33,0,0,80,0.33,0.67
171,,Viktor Aleksandrov,0.24,0,63.64,60.38,0.41,1.12
172,,Mikhail Kerzhakov,0.08,0,100,88.89,0.17,0.04
173,,Anton Zabolotnyi,0.04,0,51.19,50,0.96,0.67
174,,Daniil Khlusevich,0.27,0,56.41,47.86,0.69,0.88
175,,Saba Sazonov,0.38,0,67.86,60.87,0.92,1.21
176,,Vitalii Botnar,0,0,0,100,0.25,0
177,,Aleksandr Silyanov,0.1,0,64.29,64.61,1.03,0.43
178,,Aleksandr Lomovitskiy,0.27,0,41.67,42.31,1.47,1.73
179,,Oleksandr Filin,0.18,0,58.82,65.38,1.36,1.09
180,,Kirill Shchetinin,0.07,0,32.26,55.7,1.53,0.83
181,,Aleksey Mironov,0.35,0,27.27,47.06,0.65,0.69
182,,Vyacheslav Podberezkin,0.08,0,50,52.94,0.46,0.46
183,,Mamadou Maiga,0.33,0.05,53.13,54.1,0.95,1.48
184,,Yuriy Zhuravlev,0,0,56.25,59.74,0.43,0.64
185,,Roman Evgenjev,0.14,0,66.17,61.7,0.17,0.34
186,,Mateo Barać,0.13,0,77.78,71.43,0.63,0.63
187,,Ivan Komarov,0.09,0,12.5,29.27,0.36,0.36
188,,Dmitri Poloz,0.16,0,53.85,36.52,0.32,0.28
189,,Eric Bicfalvi,0.08,0,36.61,38.71,1.23,0.69
190,,Amar Rahmanović,0.24,0,41.18,49.16,1.59,1.29
191,,Aleksandr Soldatenkov,0.24,0,66.67,63.76,0.52,0.6
192,,Milan Gajić,0.14,0,39.02,42,0.34,0.79
193,,Minkail Matsuev,0,0,0,100,0,0
194,,Sergey Bryzgalov,0,0,42.86,57.89,1,0.67
195,,Igor Leshchuk,0,0,0,50,0.17,0
196,,Milan Majstorović,0.22,0,65.22,65.96,0.33,0.67
197,,Yaroslav Mikhailov,0.19,0,38.89,48.89,0.67,0.62
198,,Nikita Chernov,0.17,0,61.11,53.23,0.54,0.92
199,,Danil Krugovoy,0.05,0,80,57.97,0.47,0.42
200,,Ilzat Akhmetov,0.07,0,25,45.37,0.22,0.37
201,,Tin Jedvaj,0.21,0,68,62.62,0.57,0.93
202,,Andrey Mendel,0.23,0,65.31,58.05,0.88,1.31
203,,Aleksey Sutormin,0.14,0,28.57,45.45,0.36,0.43
204,,Irakli Kvekveskiri,0.3,0,50.85,54.81,1.81,1.7
205,,Yaroslav Gladyshev,0.12,0.04,20,32,0.23,0.54
206,,Artem Sokolov,0,0,16.67,48.57,0.89,0.33
207,,Irakliy Chezhia,0.25,0,60,60.53,0.25,0.88
208,,Roman Ezhov,0.14,0,28.57,48.62,1.64,0.45
209,,Yuri Gazinskiy,0.07,0,61.11,50.77,0.43,0.5
210,,Luka Đorđević,0.08,0,36.84,35.42,0.38,0.31
211,,Kirill Ushatov,0,0,16.67,53.85,0.43,0.14
212,,Kirill Suslov,0.22,0,64.52,59.41,0.3,1.22
213,,Mingiyan Beveev,0.24,0.04,44.44,51.61,1.36,1.08
214,,Víctor Felipe Méndez,0.04,0,41.38,46.22,0.62,0.5
215,,Daniil Khudyakov,0,0,100,87.5,0.07,0.07
216,,Ilya Agapov,0.27,0,42.11,51.67,0.27,0.73
217,,Aleksandr Ektov,0.12,0,21.43,46.7,1.04,1.04
218,,Evgeni Morozov,0.12,0,46.43,51.22,0.4,1.2
219,,Dmitri Zhivoglyadov,0.06,0,31.58,51.96,1.31,0.88
220,,Timofey Margasov,0.08,0,53.85,51.69,0.54,0.92
221,,Aleksandr Erokhin,0,0,42.86,53.33,0.15,0.15
222,,Batraz Gurtsiev,0,0,25,37.14,0.5,0.38
223,,Victorien Angban,0.14,0,80,53.66,1.14,1.29
224,,Mohamed Konate,0.08,0.04,39.86,32.95,0.25,1.04
225,,Ilya Pomazun,0.1,0,50,40,0.03,0.07
226,,Khyzyr Appaev,0.18,0,27.98,33.44,1.04,0.93
227,,Kevin Pina,0.27,0,45.95,50,0.73,1.4
228,,Ivan Lomaev,0.14,0,100,75,0.18,0.05
229,,Nemanja Glavčić,0.18,0,44.44,50.42,1.12,0.53
230,,Igor Kalinin,0.33,0,61.02,58.73,1.33,1.07
231,,Sergey Petrov,0.11,0,52.63,61.4,0.26,0.37
232,,Ilya Bykovskiy,0,0,60,64,0,0.43
233,,Mario Ćurić,0.18,0,40.91,48.63,1.53,0.82
234,,Artem Mamin,0.22,0,66.67,60,0.11,0.44
235,,Maksim Vityugov,0.11,0,56,60.68,1.07,0.5
236,,Rai Vloet,0.07,0,56.25,45.56,1,0.47
237,,Stanislav Magkeev,0.26,0.05,52.38,56.69,0.63,1.11
238,,Ilnur Alshin,0.09,0,38.71,50.33,0.7,0.78
239,,Denis Yakuba,0,0,50,56.41,0.3,0.4
240,,Ivan Temnikov,0.25,0,33.33,55,0.75,0.5
241,,Cristian Tassano,0.33,0,62.5,68,0.5,0.17
242,,Igor Konovalov,0.5,0,75,44.83,0.5,1
243,,Bogdan Ovsyannikov,0,0,66.67,75,0.33,0
244,,Aleksandr Kutitskiy,0,0,53.13,58.7,0.23,0.23
245,,Vladislav Sarveli,0.08,0,16.13,38.24,0.88,0.58
246,,Mohamed Amin Brahimi,0.15,0,53.85,56.25,1.69,1.15
247,,Vladislav Kamilov,0.25,0,68.29,50.97,0.45,1.25
248,,Bryan Idowu,0.19,0,48.48,56.9,0.44,0.75
249,,Khoren Bayramyan,0.22,0,26.83,40.56,1.3,1.13
250,,Nikita Kakkoev,0.1,0.05,52.63,56.29,1.14,1
251,,Mathias Normann,0.21,0,69.57,50.49,0.93,1.5
252,,Dmitriy Stotskiy,0.13,0,50.98,48.65,0.88,0.83
253,,Denis Adamov,0,0,75,90.91,0.35,0
254,,Dmitry Rybchinskiy,0.2,0,31.25,44.97,0.48,0.76
255,,Reziuan Mirzov,0.17,0,16.67,44.16,1.42,0.38
256,,Evgeny Goshev,0.11,0,0,33.33,0.11,0
257,,Oleg Kozhemyakin,0.04,0,50,55.23,0.64,0.6
258,,Mory Gbane,0.18,0.05,65.15,54.24,0.41,1.23
259,,Oleg Dmitriev,0.19,0.06,50,38.6,0.31,1.06
260,,Timur Ayupov,0.35,0,66.67,48.32,0.48,1.39
261,,Aleksandr Dolgov,0.16,0,41.84,40.73,1.08,1.6
262,,Andrey Langovich,0.18,0,44.12,50.76,0.82,0.77
263,,Ilya Kukharchuk,0,0,38.1,38.89,0.44,0.44
264,,Daniil Chernyakov,0.25,0,100,57.89,0.75,1
265,,Marat Bystrov,0.15,0,41.51,52.63,0.35,0.5
266,,Elmir Nabiullin,0.11,0,42.86,58.82,0.44,0.56
267,,Sergey Babkin,0.06,0,83.33,58.62,0.53,0.53
268,,Zaim Divanović,0,0,60,53.85,0.4,0.6
269,,Kirill Kravtsov,0.13,0,54.55,50.99,0.58,0.83
270,,Lucas Masoero,0.24,0,54.17,60.15,0.29,0.67
271,,Maksim Mukhin,0.29,0,30,39.44,0.18,0.94
272,,Zelimkhan Bakaev,0,0,37.5,31.82,0.24,0.18
273,,Kirill Nababkin,0.09,0,50,50.91,0.23,0.77
274,,Artur Nigmatullin,0.06,0,75,60,0,0
275,,Zakhar Volkov,0.4,0,70.37,58.44,0.7,1.2
276,,Evgeniy Chernov,0.17,0,48.78,56.2,1.04,0.57
277,,Denys Kulakov,0.26,0,72,56.73,0.53,1.11
278,,Aleksandr Rudenko,0.16,0,32.73,38.79,1.64,1.16
279,,Dmitri Tsypchenko,0.08,0,50,43.93,0.46,0.5
280,,Vyacheslav Krotov,0.18,0.05,42.22,38.97,0.41,0.73
281,,Stefan Šapić,0,0.2,60,47.83,0.2,1.4
282,,Pavel Meleshin,0.13,0,40,25,0,0.25
283,,Danila Kalin,0,0,0,80,2,0
284,,Matvey Lukin,0,0,0,75,1,0
285,,Aleksei Usanov,0,0,33.33,46.67,1,1
286,,Ivan Miladinović,0.11,0,29.41,46.15,0.44,0.33
287,,Aleksey Nikitin,0.11,0,44.44,54.84,0.67,0.22
288,,Edgar Sevikyan,0.1,0,41.67,57.41,0.8,0.1
289,,Andrey Egorychev,0.19,0.05,42.86,34.97,0.67,1.52
290,,Ravil Netfullin,0.1,0.05,45.45,54.2,0.45,1.1
291,,David Karaev,0.11,0,32.76,41,1.25,0.82
292,,Vasili Cherov,0.08,0,66.67,55,0.2,0.32
293,,Petar Golubović,0.25,0,57.58,56.25,0.33,1.25
294,,Vladislav Karapuzov,0.36,0,25,40.2,0.41,0.45
295,,Stepan Oganesyan,0.05,0,46.15,47.78,0.45,0.75
296,,Danila Prokhin,0.11,0.05,53.57,52.29,0.21,0.95
297,,Vyacheslav Grulev,0.08,0,45.95,45.04,0.62,0.54
298,,Ilya Kutepov,0.5,0.13,66.67,58.33,0.63,1.13
299,,Danil Kazantsev,0.14,0.14,50,65.22,0.86,0.14
300,,Yuri Kovalev,0,0,33.33,41.67,0.45,0.3
301,,Kirill Pechenin,0.05,0,33.33,43.9,0.58,1.21
302,,Luka Gagnidze,0.15,0,34.78,40.43,0.35,0.8
303,,Zoran Nižić,0.18,0,68.18,53.7,0.27,1
304,,Pavel Maslov,0.11,0,76.92,53.66,0.11,0.42
305,,Victor Moses,0.1,0,0,45.28,1.1,0.4
306,,Kirill Zaika,0.2,0,42.86,47.62,0.6,0.47
307,,Egor Golenkov,0.17,0,46.74,40.41,0.24,0.52
308,,Aleksandr Troshechkin,0.16,0,41.03,45.26,0.89,1
309,,Gamid Agalarov,0.14,0,36.99,39.01,0.68,0.73
310,,François Kamano,0.11,0,18.18,38.54,1.04,1.07
311,,André,0.2,0,57.14,43.33,0.8,1.2
312,,Adolfo Gaich,0.13,0,42.86,40,0,0.25
313,,Daniil Penchikov,0,0.25,66.67,54.05,1.25,1.5
314,,Igor Yurganov,0.2,0,42.11,52.25,0.45,0.75
315,,Sergey Terekhov,0.3,0,61.11,46.02,0.78,1.3
316,,Nicolas Moumie Ngamaleu,0.05,0.05,37.5,42.02,1.37,1.16
317,,Alexis Duarte,0.14,0.14,54.55,57.14,0.29,1
318,,Leon Klassen,0,0,33.33,67.86,0.55,0.18
319,,Mark Mampasi,0.14,0.14,72.73,67.74,0.57,0.71
320,,Fanil Sungatulin,0.08,0.04,47.06,45.57,0.25,0.71
321,,Maksim Maksimov,0.13,0,37.29,37.74,0.42,0.29
322,,Denis Glushakov,0.1,0,35.48,43.16,0.45,0.5
323,,Vladimir Iljin,0.07,0,36.92,42.35,0.78,0.52
324,,Mihail Caimacov,0.1,0,42.86,42.65,0.8,0.5
325,,Moses David Cobnan,0.4,0,15.38,39.47,0.8,1.3
326,,Sergey Volkov,0.19,0,60,45.7,0.33,0.78
327,,Aleksandr Koksharov,0,0,33.33,34.62,0.43,0.57
328,,Vadim Rakov,0,0,100,52.63,0.44,0.11
329,,Marcos Guilherme,0,0,12.5,43.33,0.2,0.1
330,,Diego Laxalt,0.44,0,70,57.89,1.56,1.11
331,,Rifat Zhemaletdinov,0.09,0,14.29,28.81,0.55,1
332,,Nikolay Sysuev,0.18,0,100,75,0.09,0.09
333,,Ilya Svinov,0.08,0,100,84.62,0.29,0.04
334,,Mikhail Ignatov,0.1,0,47.62,38.1,0.57,1.43
335,,Aleksey Pomerko,0.25,0,80,38.89,0.38,1.13
336,,Aleksandr Ryazantsev,0,0,42.11,39.68,0.56,0.56
337,,Ruslan Apekov,0,0,0,54.55,1.5,2
338,,Mikhail Sivakov,0.29,0.04,59.57,54.62,0.29,1.08
