#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
103,,Roberto Fernández,0.11,0.05,100,0.58,0.11,0
104,,Kirill Kaplenko,0.1,0,89.47,0.4,0.05,0
105,,Sergey Borodin,0.1,0,0,0.3,0.1,0
106,,Matías Pérez,0,0,33.33,0.9,0,0
107,,Nikita Goylo,0,0,0,0,0,0
108,,Ivan Oleynikov,0.08,0.04,31.82,1.75,0,0
109,,Mihajlo Banjac,0.11,0.04,50,1.04,0,0
110,,Kirill Gotsuk,0.08,0.15,100,1.15,0.04,0
111,,Anton Zinkovskiy,0.11,0,46.94,1.07,0,0
112,,Saša Zdjelar,0,0,100,0.26,0,0
113,,Anton Shunin,0,0,0,0,0,0
114,,Benjamín Garré,0.23,0.08,59.62,1.31,0,0
115,,Keita Baldé,0.25,0.17,50,1.75,0,0
116,,Dzambolat Tsallagov,0,0,60,0.5,0,0
117,,Kirill Folmer,0,0,0,1,0,0
118,,Nail Umyarov,0,0,50,1,0,0
119,,Andrey Semenov,0,0.05,100,0.47,0,0
120,,Aleksey Ionov,0.26,0,47.37,0.89,0,0
121,,Robert Renan,0,0,71.43,0.22,0,0
122,,Aleksandr Selikhov,0,0,0,0,0,0
123,,Yuri Gorshkov,0,0.04,50,0.67,0,0
124,,Butta Magomedov,0.23,0.05,44.44,1.95,0.05,0
125,,Konstantin Tyukavin,0.29,0.18,43.75,1.79,0.04,0
126,,Gustavo Mantuan,0.27,0.14,53.33,1.41,0.05,4.55
127,,Glenn Bijl,0.07,0,30,1.21,0,0
128,,Bernard Berisha,0.25,0.15,72,1.95,0,0
129,,Ilya Stefanovich,0.42,0.08,62.5,1.42,0.17,0
130,,Vyacheslav Karavaev,0,0,22.22,0.63,0,0
131,,Igor Akinfeev,0,0,0,0,0,0
132,,Dmitri Skopintsev,0.03,0.03,63.93,1,0,0
133,,Ivan Bašić,0.13,0,70,1.4,0,0
134,,Daniil Denisov,0.03,0,45.83,0.66,0,0
135,,Sergey Parshivlyuk,0.05,0,50,0.21,0,0
136,,Danil Kapustyanskiy,0.17,0,0,0.17,0,0
137,,Aleksander Vasyutin,0,0,0,0,0,0
138,,Bruno Fuchs,0,0.25,0,1,0,0
139,,Dmitri Tikhiy,0,0.11,75,1,0,0
140,,Léo,0,0.17,100,0.42,0,0
141,,Dmitri Chistyakov,0,0,100,0.33,0,0
142,,Vladis-Emmerson Illoy-Ayyet,0.05,0,75,0.27,0.05,0
143,,Alexander Yushin,0.19,0.08,37.93,1.65,0.04,0
144,,Ilja Zhigulev,0,0,100,0.42,0,0
145,,Timur Suleymanov,0.37,0.04,61.11,1.7,0.07,0
146,,Danil Prutsev,0.04,0.04,62.5,0.44,0,0
147,,Georgiy Dzhikiya,0,0,50,0.5,0,0
148,,Nuraly Alip,0,0,40,0.13,0,0
149,,Anton Shvets,0.07,0,14.29,1.04,0.04,0
150,,Ibragim Tsallagov,0.06,0,0,0.89,0,0
151,,Arsen Adamov,0,0,0,0.11,0,0
152,,Egor Pogostnov,0,0,0,0,0,0
153,,Giorgi Shelia,0,0,100,0,0,0
154,,Daniil Zorin,0,0,0,1.5,0,0
155,,Vyacheslav Yakimov,0,0,83.33,0.29,0,0
156,,Nicolás Marichal,0,0,50,0.29,0,0
157,,Evgeniy Kharin,0.19,0,45.83,1.04,0,0
158,,Tomás Tavares,0,0,58.82,0.62,0,0
159,,Nair Tiknizyan,0.14,0.07,58.7,0.79,0.03,0
160,,Ivan Ignatiev,0.25,0.15,25,1.35,0.05,0
161,,João Batxi,0.21,0,44.44,1.29,0,0
162,,Ibrahima Cisse,0,0,50,0.47,0,0
163,,Aleksandar Ćirković,0.08,0,50,1,0,0
164,,Miroslav Bogosavac,0,0,51.72,0.48,0,0
165,,Aleksandr Kovalenko,0.04,0.09,58.7,1.26,0,0
166,,Artem Makarchuk,0.03,0.03,45.45,0.52,0.03,0
167,,Viktor Melekhin,0,0,83.33,0.33,0,0
168,,Denis Makarov,0.16,0,46.81,1.56,0.04,0
169,,Georgi Melkadze,0.21,0.21,53.66,2.08,0,0
170,,Mikhail Shchetinin,0,0,100,0,0,0
171,,Viktor Aleksandrov,0.12,0,100,0.41,0.06,0
172,,Mikhail Kerzhakov,0,0,0,0,0,0
173,,Anton Zabolotnyi,0.13,0.25,50,1.29,0.04,0
174,,Daniil Khlusevich,0,0,41.46,0.96,0,0
175,,Saba Sazonov,0.04,0,0,0.58,0.04,0
176,,Vitalii Botnar,0,0,0,0,0,0
177,,Aleksandr Silyanov,0.07,0,59.09,0.37,0.03,0
178,,Aleksandr Lomovitskiy,0.07,0.07,44.19,1.13,0,0
179,,Oleksandr Filin,0,0.18,100,0.27,0,0
180,,Kirill Shchetinin,0.03,0.03,54.55,0.77,0,0
181,,Aleksey Mironov,0.04,0,73.33,1.27,0,0
182,,Vyacheslav Podberezkin,0,0,83.33,0.54,0,0
183,,Mamadou Maiga,0.05,0,69.57,0.52,0,0
184,,Yuriy Zhuravlev,0.07,0,66.67,0.36,0,0
185,,Roman Evgenjev,0.03,0.03,71.43,0.66,0,0
186,,Mateo Barać,0,0.13,100,0.63,0,0
187,,Ivan Komarov,0,0,50,0.82,0,0
188,,Dmitri Poloz,0.32,0.16,26.32,1.32,0,0
189,,Eric Bicfalvi,0.15,0.08,25,2.42,0.08,0
190,,Amar Rahmanović,0.06,0.12,54.17,1.41,0,0
191,,Aleksandr Soldatenkov,0,0,100,0.32,0,0
192,,Milan Gajić,0,0.1,34.48,1.14,0,0
193,,Minkail Matsuev,0,0,0,0,0,0
194,,Sergey Bryzgalov,0,0,0,0,0,0
195,,Igor Leshchuk,0,0,0,0,0,0
196,,Milan Majstorović,0,0,0,0,0,0
197,,Yaroslav Mikhailov,0.05,0,71.43,0.38,0,0
198,,Nikita Chernov,0,0.04,50,0.38,0,0
199,,Danil Krugovoy,0,0,40,0.37,0,0
200,,Ilzat Akhmetov,0.07,0,47.17,0.59,0,0
201,,Tin Jedvaj,0,0,40,0.43,0,0
202,,Andrey Mendel,0.04,0,33.33,0.31,0,0
203,,Aleksey Sutormin,0,0,22.22,0.21,0,0
204,,Irakli Kvekveskiri,0.11,0,72.73,1.41,0,0
205,,Yaroslav Gladyshev,0.19,0.04,14.29,0.88,0,0
206,,Artem Sokolov,0,0.06,63.33,0.78,0,0
207,,Irakliy Chezhia,0,0,0,0.25,0,0
208,,Roman Ezhov,0.14,0.05,35,1.09,0,0
209,,Yuri Gazinskiy,0.21,0.21,66.67,0.71,0.07,0
