Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Marios Pourzitidis,0.04,0.04,100,0.39,0,0,0.75,1.32,0,1.64,0,0.21,0,0,26.93,78.12,3.54,46.92,0,0.11,0,0,1.07,0.04,0.07,0,69.44,61.68,0.64,0.61,28
Dominik Preisler,0,0.12,16.67,1,0,0,0.85,0.62,0,1.12,0,0.19,0.12,0.04,21.73,66.9,5.85,37.04,0,0,0,0,1.04,0.15,0.08,0.04,60,48.28,0.58,0.81,26
Daniel Vasulin,0.23,0.19,25,2.08,0.04,0,0.23,0.12,0.04,0.46,0,0.12,0.12,0.12,16.15,59.05,5.12,33.33,0,0.12,0,0,1,0.08,0.19,0,55,35.81,1.12,1.65,26
Youba Drame,0.07,0.07,38.89,1.25,0.04,0,0.43,0.25,0,0.32,0,0,0.07,0.11,9.46,67.55,2.79,38.46,0,0,0,0,0.54,0.04,0,0,42.86,37.62,0.36,0.46,28
Jakub Pokorný,0.06,0.06,0,0.71,0.03,0,0.9,1.35,0.03,2.9,0,0.19,0,0.03,42.19,70.72,5.06,43.73,0,0.19,0,0,1.16,0.23,0.19,0,57.47,57.06,0.61,0.87,31
Denis Višinský,0.07,0,46.15,1.07,0,0,0.8,0.33,0,0.4,0,0.27,0.13,0,16.33,75.92,4.67,37.5,0,0,0,0,0.47,0.2,0.07,0,50,51.65,1.8,0.93,15
Filip Zorvan,0.04,0,33.33,0.56,0,0,0.78,0.3,0,0.3,0,0.44,0,0.11,20.67,70.97,6.33,48.28,0,0.04,0,0,0.56,0.22,0.11,0,14.29,45.99,1.44,1.04,27
Seung-bin Kim,0.17,0,33.33,0.75,0,0,0.67,0.17,0,0.17,0,0.58,0.08,0.08,16.92,76.35,5.33,50,0,0,0,0,0.58,0,0.33,0,31.25,43.48,1.17,0.42,12
Marek Suchý,0,0.03,0,0.32,0,0,1.1,1.32,0.03,3.32,0,0.16,0,0,44.9,76.22,4.32,45.14,0,0.29,0,0,1.26,0.13,0.16,0,61.54,56.29,0.94,1.48,31
Jan Matoušek,0.23,0.08,31.58,1.5,0,0,0.58,0.19,0,0.19,0,0.5,0.08,0.08,9.31,64.88,2.92,55.56,0,0,0,0,0.73,0,0.15,0,35,32.73,0.77,0.77,26
Šimon Falta,0,0,37.5,0.81,0,0,0.81,0.59,0,0.48,0,0.19,0,0.07,22.67,74.18,6.81,48.81,0,0.04,0,0,0.85,0.15,0.04,0,61.54,54.72,0.81,0.48,27
Lukas Vrastil,0.05,0,0,0.24,0.05,0,0.76,1.05,0.05,3.52,0,0.24,0.1,0,29.9,69.11,3.38,40.99,0,0.24,0,0,0.71,0.24,0.19,0.05,63.89,52.87,0.33,1,21
Robin Hranáč,0.04,0,100,0.61,0,0,0.54,1.29,0.07,4.86,0,0.18,0,0,42.29,76.35,2.82,48.51,0,0.18,0,0,1.36,0.21,0.07,0.04,53.06,50,0.29,0.75,28
Joss Didiba,0.04,0,75,0.64,0,0,0.86,1.68,0.04,0.96,0,0.25,0.11,0,19.57,69.16,3.61,37.07,0,0.07,0,0,1.07,0.18,0.18,0.04,51.85,58.96,1.39,0.89,28
