#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
169,,Yehia Yasser,0,0,50,0.5,0,0
170,,Mohamed Rizk,0,0.07,66.67,0.53,0,0
171,,Yaw Annor,0.25,0.25,55.36,1.71,0,0
172,,Shokry Naguib,0.08,0.08,66.67,1.92,0,0
173,,Saif Thierry,0.21,0,53.33,0.5,0.07,0
174,,Mostafa Saad,0.1,0.05,57.14,1,0,0
175,,Allan Kyambadde,0.08,0,68,0.46,0.04,0
176,,Emad Hamdi,0.04,0.04,63.64,0.31,0,0
177,,Ahmed Ramadan,0.03,0.03,42.31,0.41,0.03,0
178,,Marwan Hamdy,0.24,0.24,49.06,2.8,0.08,0
179,,Amr Kalawa,0.11,0,50,0.63,0.05,0
180,,Ahmed Meteb,0.06,0.03,40,0.41,0,0
181,,Mohamed Morsi,0.06,0,26.67,0.56,0,0
182,,Karim Eldbees,0,0,75,0.25,0,0
183,,Naser Mansi,0.21,0.05,30.77,1.84,0.05,0
184,,Joseph Ochaya,0.23,0,37.5,1.39,0.1,0
185,,Mohamed Camacho,0.03,0.09,66.67,0.34,0.03,0
186,,Mostafa Khawaga,0.05,0.05,63.64,0.91,0,0
187,,Saleh Gomaa,0,0,50,0.69,0,0
188,,Mahmoud Gad,0,0,0,0,0,0
189,,Ahmed Castelo,0,0,20,0.23,0,0
190,,Mohamed Essam Emara,0.11,0,62.86,0.56,0.04,0
191,,Ahmed Tawfik,0,0,36.36,0.41,0,0
192,,Emad El-Sayed,0,0,0,0,0,0
193,,Ghanam Mohamed,0.04,0,47.37,0.75,0,0
194,,Ali Baheeg,0.1,0,50,0.4,0,0
195,,Mahmoud Shaaban,0,0,50,0,0,0
196,,Ahmed Khaled,0.03,0.03,55.56,0.94,0,0
197,,Seifeddine Jaziri,0.26,0.07,24.39,1.81,0.11,0
198,,Mohamed Makhlouf,0.06,0,77.78,0.5,0,0
199,,Ahmed El Bahrawy,0,0,68.75,0.23,0,0
200,,Khaled Sami,0,0,0,0.27,0,0
201,,Issahaku Yakubu,0,0,38.64,0.15,0,0
202,,Mohamed Ashraf Roqa,0,0,37.5,0.77,0,0
203,,Ahmed El Armouty,0.05,0,52.94,0.95,0,0
204,,Mahmoud Rizk,0,0,0,0.09,0,0
205,,Mahmoud Abdul Aati Dunga,0,0,50,0.24,0,0
206,,Mido Gaber,0.06,0.16,46.15,2.06,0.03,0
207,,Mahmoud El Hadary,0,0,0,0,0,0
208,,Mamadou Niass,0.06,0,34.62,0.97,0.03,0
209,,Ahmed Abdelaziz Mody,0.13,0,50,0.2,0,0
210,,Ahmed Abdel Rahman Zola,0.03,0,70.27,0.29,0.03,0
