#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
93,,Nabil Donga,0,0,47.92,85.91,9.63,71.63
94,,Mostafa Shalaby,0.05,0.14,30.73,77.66,9.82,45.16
95,,Himid Mao Mkami,0.04,0,47.96,81.88,6.31,61.05
96,,Islam Abou-Salima,0,0,35.69,79.74,2.73,54.4
97,,Mahmoud Shabana,0,0,30,58.57,1.79,21.95
98,,Mahmoud Wadi,0.06,0.11,14.06,60.47,3.06,40
99,,Mohamed Sobhi,0,0,28.17,70.61,1.56,47.58
100,,Marwan Mohsen,0.13,0.08,12.92,68.39,3.96,50
101,,Hamza Mathlouthi,0.04,0,44.81,80.6,6.08,47.16
102,,Sherif Reda,0.14,0.07,26,68.82,5.36,39.5
103,,Mohamed Hassan,0.21,0.13,29.38,75.89,6.13,57.39
104,,Mohamed Helal,0.11,0.07,27.14,71.84,6.71,42.11
105,,Sabri Raheel,0.29,0.07,38.96,77.45,7.32,38.57
106,,Mohamed Hamdi,0.06,0,45.34,81.6,7.81,45.38
107,,Mohamed Fawzi,0,0,31.05,45.1,2.23,34.99
108,,Mahmoud Ben Wali,0.03,0.03,25.69,72.35,1.45,38.46
109,,Hisham Salah,0.04,0.04,40.96,72.42,6.22,34.03
110,,Ahmed Shedid Kenawi,0.04,0.04,37.07,74.08,9.61,34.48
111,,Ahmed Samy,0,0,63,88.2,4.65,59.04
112,,Khaled Abdelfattah,0.04,0.04,29.46,73.55,4.92,31.58
113,,Ahmed Atef,0.12,0.08,20.46,70.49,5.46,37.5
114,,Ahmed Adel,0,0,17.13,61.31,1.38,39.53
115,,Ahmed Yasser Rayan,0.14,0.03,15.62,66.23,5.28,38.24
116,,Karim Hafez,0.16,0.05,23.58,85.49,4.47,50
117,,Ahmed Samir,0.1,0.21,23.83,77.86,6.24,42.59
118,,Rami Sabri,0,0,30.4,75.49,2.2,42.96
119,,Ahmed Alaa Eldin,0.03,0.06,36.25,64.83,4.28,36.31
120,,Rezki Hamroune,0.1,0.06,14.23,77.1,3.71,41.67
121,,Seif Teka,0,0,44.8,81.25,3.33,43.64
122,,Omar Fathy,1,1,3,66.67,2,0
123,,Ahmed Fathi,0.15,0.08,37.77,81.67,4.08,46.75
124,,Abdallah El Saeed,0,0,8,75,1,0
125,,Salah Yehia,0,0,2,50,0,0
126,,Mostafa Fares,0,0,18.5,78.38,4.5,50
127,,Ahmed Sobhi,0,0,19.5,71.79,0.5,37.74
128,,Ahmed Hany,0.13,0,33.87,78.15,6.87,51.35
129,,Raphael Ayagwa,0.04,0,45.32,75.2,5.32,46.63
130,,Mido Mostafa,0.03,0.06,36.21,70.88,6.48,37.16
131,,Baher El Mohamady,0,0,38.28,78.11,2.83,52.09
132,,Abdel Rahman Magdi,0.4,0.2,26.4,72.92,8.45,56.25
133,,Ali Fawzi,0.17,0.03,26.52,67.62,6.24,39.86
134,,Imadeddine Boubekeur,0.04,0.04,29.32,76.37,1.61,43.7
135,,Kahraba,0.14,0,10.43,62.33,3.14,30
136,,Ahmed El Agouz,0.04,0.04,24.12,78.31,4.04,57.47
137,,Abdallah Nasib,0,0,27,80.91,0.77,35.29
138,,Abdelrahman Khaled Gebna,0.11,0.04,18.85,73.67,5.33,54.84
139,,Khaled El Ghandour,0.16,0,34.56,83.1,8.88,52.38
140,,Ibrahima Ndiaye,0,0,19.38,77.1,5.06,81.82
141,,Mahmoud El-Gazzar,0,0,43.74,82.01,2.26,48.42
142,,Mahmoud Kaoud,0.14,0.04,27.36,74.54,6.54,52.05
143,,Mostafa El Zenary,0,0,36.69,83.48,2.06,56.96
144,,Ahmed Refaat,0,0,21.43,75.33,5.71,72.22
145,,Marouane Sahraoui,0,0,28.29,79.29,2.14,58.33
146,,Mahmoud Hamada,0.07,0.1,43.43,77.74,8.8,65
147,,Amr Moussa,0.06,0,41.74,79.52,4.06,44.17
148,,Omar Kamal,0.05,0.05,27.11,76.7,5.21,55.38
149,,Taher Mohamed,0.05,0,20.37,79.84,6.32,40
150,,Ahmed Sebiha,0.05,0.05,28.23,63.29,2.18,34.43
151,,Mohamed Sherif,0.11,0,13.39,74.4,4.64,22.22
152,,Islam Abdallah,0,0,21.5,76.74,1.86,38.78
153,,Mohamed Nasr,0,0,31.25,78.93,1.67,43.48
154,,Mohamed Fathi,0,0,44.92,78.68,5.35,53.37
