#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
94,,Jani Atanasov,0.13,0.07,57.14,47.92,0.47,1.07
95,,Kamil Kruk,0.35,0,55.81,55.4,1.1,1.1
96,,Radosław Murawski,0.19,0.03,50,55.38,1.23,1.65
97,,Dušan Kuciak,0.1,0,100,60,0.07,0.03
98,,Martin Kreuzriegler,0.07,0,60.22,57.29,0.27,0.8
99,,Benedikt Zech,0.17,0,65.26,64.43,0.67,0.67
100,,Aleksander Paluszek,0.35,0,64.18,52.68,0.18,1.53
101,,Chuca,0.07,0,50,46.86,0.67,0.87
102,,Bartosz Salamon,0.2,0,76.47,65.52,0.1,0.3
103,,Sokratis Dioudis,0.07,0,100,100,0.14,0
104,,Mikael Ishak,0.17,0,33.33,41.61,1.17,0.65
105,,Patrick Olsen,0.41,0,51.43,52.51,1.33,0.89
106,,Maxime Dominguez,0.31,0,10.34,46.76,1.97,1.59
107,,Marcin Flis,0.27,0,71.72,62.19,1,1.15
108,,Mateusz Żyro,0.17,0,61.8,59.71,0.57,1.27
109,,Pontus Almqvist,0.04,0,47.17,50.92,0.59,0.44
110,,Krzysztof Kubica,0,0,57.14,52.63,0.5,0.25
111,,Antonio Milić,0.09,0,49.35,50.71,0.61,0.7
112,,Fran Tudor,0.23,0.03,48.57,50.79,1.39,1.03
113,,Jarosław Kubicki,0.23,0,46,52.08,1.3,1.13
114,,Jarosław Jach,0.16,0,61.24,55.96,0.32,1
115,,Israel Puerto,0.38,0.04,76,60.7,0.46,1.58
116,,Jean Carlos,0.13,0,39.47,51.92,1.29,0.71
117,,Yevhen Konoplyanka,0.08,0,42.86,62.16,1.54,0.35
118,,Serafin Szota,0.15,0,43.56,48.04,0.26,0.63
119,,Filip Majchrowicz,0,0,0,0,0,0
120,,Rafał Augustyniak,0.16,0,67.86,57.63,0.68,1.08
121,,Piotr Malarczyk,0.12,0,67.21,59.62,0.41,0.76
122,,Damjan Bohar,0,0,11.11,46.67,0.71,0.38
123,,Marko Poletanović,0.21,0,67.86,48.06,0.5,1.13
124,,Dimitrios Stavropoulos,0.23,0,65.65,58.54,0.61,1.26
125,,Mateusz Szwoch,0.29,0,38.64,48.25,1.5,1.25
126,,Kamil Wilczek,0.07,0,45.19,45.62,1.59,1.26
127,,Constantin Reiner,0.33,0,69.44,58.33,0.5,0.92
128,,Milan Rundić,0,0,68.25,61.95,0.61,0.78
129,,Dawid Szymonowicz,0.12,0,62.83,61.44,1,1.03
130,,Adrian Lis,0.07,0,78.57,82.35,0.14,0
131,,Krzysztof Kamiński,0,0,100,92.86,0.25,0.05
132,,Marius Briceag,0.18,0,68.42,52.94,0.47,0.76
133,,Igor Drapinski,0.14,0,55.56,72.22,0.57,0.57
134,,Giannis Papanikolaou,0.26,0,52.5,51.93,1.32,1.81
135,,Jakub Czerwiński,0.22,0,58.54,57.14,0.41,0.94
136,,Miłosz Szczepański,0.07,0,26.32,48.44,1.22,0.41
137,,Miłosz Trojak,0.21,0,52.58,57.38,1.03,1.03
138,,Petr Schwarz,0.24,0,55.1,52.05,1.28,1.36
139,,Bartosz Śpiączka,0.13,0,55.77,48.28,0.53,1.5
140,,Marek Hanousek,0.13,0,52.56,54.26,0.67,1.47
141,,Karol Niemczycki,0.06,0,100,72.73,0.06,0.03
142,,Maciej Domański,0.03,0,21.21,42.27,1.5,0.44
143,,Tom Hateley,0.1,0,56,52.87,0.29,0.68
144,,Piotr Tomasik,0.26,0,32.5,49.71,1.07,0.96
145,,Rafał Pietrzak,0.03,0,41.82,50.9,0.55,0.61
146,,Vahan Bichakhchyan,0.19,0,40,42.86,0.68,0.97
147,,Alexandros Katranis,0.28,0,43.48,53.57,1.07,1.17
148,,Kacper Tobiasz,0.04,0,83.33,78.57,0.19,0
