#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
103,,Sokratis Dioudis,2.79,0.36,0.07,0.07,0.86,0.07
104,,Mikael Ishak,0,0.13,0,0,0.65,0.17
105,,Patrick Olsen,0,0.22,0,0,0.93,0.19
106,,Maxime Dominguez,0,0.03,0,0,1.14,0.24
107,,Marcin Flis,0,0.38,0,0,1,0.08
108,,Mateusz Żyro,0,0.23,0,0,0.83,0.27
109,,Pontus Almqvist,0,0,0,0,0.74,0.11
110,,Krzysztof Kubica,0.25,0,0,0,0.5,0
111,,Antonio Milić,0,0.35,0,0,0.7,0.13
112,,Fran Tudor,0,0.39,0,0,0.48,0.1
113,,Jarosław Kubicki,0,0.2,0,0,1.3,0.1
114,,Jarosław Jach,0,0.24,0,0,1.04,0.24
115,,Israel Puerto,0,0.15,0,0,1.08,0.15
116,,Jean Carlos,0,0.13,0,0,0.29,0.1
117,,Yevhen Konoplyanka,0,0,0,0,0.54,0.12
118,,Serafin Szota,0,0.33,0,0,1.04,0.22
119,,Filip Majchrowicz,2.67,0.33,0.33,0,1,0
120,,Rafał Augustyniak,0,0.28,0,0,0.68,0.12
121,,Piotr Malarczyk,0,0.24,0,0,1.06,0.18
122,,Damjan Bohar,0,0,0,0,0.75,0.17
123,,Marko Poletanović,0,0.08,0,0,0.71,0.13
124,,Dimitrios Stavropoulos,0,0.29,0,0,0.87,0.1
125,,Mateusz Szwoch,0,0.07,0,0,0.89,0.18
126,,Kamil Wilczek,0,0.15,0,0,0.56,0.22
127,,Constantin Reiner,0,0.17,0,0,0.83,0.25
128,,Milan Rundić,0,0.44,0,0,0.44,0.22
129,,Dawid Szymonowicz,0,0.36,0,0,0.88,0.09
130,,Adrian Lis,2.62,0.31,0.03,0,0.93,0.14
131,,Krzysztof Kamiński,3.65,0.2,0.2,0,1.3,0.3
132,,Marius Briceag,0,0.35,0,0,1.18,0.12
133,,Igor Drapinski,0,0,0,0,0.57,0
134,,Giannis Papanikolaou,0,0.45,0,0,0.39,0.13
135,,Jakub Czerwiński,0,0.28,0,0,0.69,0.25
136,,Miłosz Szczepański,0,0,0,0,0.52,0.07
137,,Miłosz Trojak,0,0.24,0,0,1.27,0.15
138,,Petr Schwarz,0,0.2,0,0,1,0.32
139,,Bartosz Śpiączka,0,0.03,0,0,0.93,0.23
140,,Marek Hanousek,0,0.33,0,0,0.93,0.3
141,,Karol Niemczycki,2.58,0.35,0.26,0.03,0.9,0.16
142,,Maciej Domański,0,0.15,0,0,0.85,0.06
143,,Tom Hateley,0,0.1,0,0,0.58,0.16
144,,Piotr Tomasik,0,0.15,0,0,0.81,0.44
145,,Rafał Pietrzak,0,0.27,0,0,1.24,0.12
146,,Vahan Bichakhchyan,0,0,0,0,0.45,0.1
147,,Alexandros Katranis,0,0.28,0,0,0.52,0.24
148,,Kacper Tobiasz,2.41,0.33,0.07,0,0.93,0.19
149,,Ernest Muçi,0,0,0,0,0.44,0.13
150,,Damian Rasak,0,0.17,0,0,0.55,0.24
151,,Szymon Matuszek,0,0.14,0,0,0.71,0.21
152,,Jakub Jugas,0,0.31,0,0,0.85,0.15
153,,Alexander Gorgon,0,0,0,0,0.59,0.12
154,,Lindsay Rose,0,0.06,0,0,0.65,0.06
155,,Jakub Łukowski,0,0.06,0,0,1.12,0.15
