Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Mohamed Magli,0,0,66.67,0.26,0,0,2.52,0.52,0.04,0.56,0,0.81,0,0,24,77.78,4.63,51.25,0,0.11,0,0,0.7,0.04,0.04,0,35,50,0.44,1.41,27
Mahmoud Abdel-Aziz,0,0,42.86,0.53,0,0,1.71,0.65,0,1.06,0,0.41,0,0.06,25.24,78.55,3.41,45.1,0,0,0,0,0.65,0.06,0.12,0,50,57.89,0.76,0.94,17
Amr Gamal,0.13,0.04,48,1.74,0.04,0,0.48,0.04,0,0.35,0,0.22,0.04,0,18.35,65.4,4.43,56.25,0,0.09,0,0,0.7,0.09,0.04,0,37.06,36.73,0.96,1.35,23
Islam Mohareb,0.14,0.04,50,0.75,0.07,0,1.61,0.64,0,0.21,0,1.18,0,0.04,24.36,74.78,4.96,48.48,0,0,0,0,0.68,0.11,0.11,0,40,45.16,0.75,1.04,28
Ahmed Nabil Koka,0,0,37.5,0.33,0,0,1.56,0.44,0,0.44,0,0.89,0.11,0.11,34.89,87.58,4.56,67.86,0,0.11,0,0,0.22,0,0,0,50,46.15,0.33,0.67,9
Percy Tau,0.14,0.43,47.22,1.71,0,0,0.62,0.62,0,0,0,0.48,0.29,0.1,25.33,87.03,8.33,60,0,0.14,0,0,0.1,0,0.05,0,35.71,38.39,0.38,0.62,21
Ahmed El Aash,0,0,75,0.3,0,0,1.2,2,0.1,3.3,0.1,0.4,0,0,48.6,73.46,3.5,45.74,0,0.3,0,0,0.9,0.4,0.1,0,71.15,68.24,0.6,0.5,10
Fakhreddine Ben Youssef,0.18,0.18,28.57,1.36,0.05,0,0.23,0.14,0,0.05,0,0.09,0.09,0.09,13.36,75.17,4.32,50,0,0,0,0,0.27,0,0.05,0,55.56,51.06,0.73,0.55,22
Ibrahim Hassan,0.1,0.07,22.92,1.4,0.03,0,1.27,0.57,0,0.33,0,0.47,0.33,0.1,24.6,73.71,7.27,41.79,0,0,0,0,0.9,0.07,0,0,52.54,43.91,0.7,0.67,30
Ahmed Youssef,0.04,0,83.33,0.59,0.04,0,2.04,0.81,0.04,0.85,0,0.59,0.07,0.07,26.04,77.38,3.89,42.86,0,0.15,0,0,0.74,0.07,0.33,0.04,54.35,52.09,1.04,2.22,27
Louay Wael,0.13,0,0,0.13,0.13,0,0.63,0.13,0,0.75,0,0.13,0,0,5.88,57.45,0.13,16.67,0,0,0,0,0.38,0.13,0,0,66.67,61.11,0.25,0.5,8
Jefferson Encada,0,0,53.85,0.33,0,0,1.04,1.17,0,1.54,0,0.29,0,0.08,27.42,79.79,4.25,38.36,0,0.29,0,0,0.75,0.17,0.17,0,43.59,51.45,1.08,0.92,24
Sobhy Soliman,0,0,0,0,0,0,0.33,0,0,0.67,0,1,0,0,23,46.38,0.67,27.45,3,0.67,0,0,1,0.33,0,0,0,20,0,0,3
Mohamed Ibrahim,0.09,0.03,44.44,0.53,0,0,1.03,0.31,0,0.16,0,0.78,0.16,0.13,41.13,77.36,14.28,52.94,0,0.13,0,0,0.72,0.13,0.13,0,42.86,44.13,1.59,0.91,32
Shady Hussein,0.07,0.14,35.71,1.36,0,0,0.43,0.14,0,0.14,0,0.43,0,0.07,11.21,78.98,3,63.64,0,0,0,0,0.21,0,0.07,0,36.36,38,0.29,0.43,14
Ammar Hamdy,0.09,0,45.45,0.55,0,0,3.36,0.73,0.09,0.36,0,1.91,0,0,19.18,79.62,4.27,15.38,0,0.09,0,0,0.55,0.09,0.09,0,27.27,56.03,1.82,0.82,11
Karim Bambo,0.32,0.43,44.19,1.89,0.04,0,0.5,0.32,0,0.11,0,0.32,0.11,0.07,12,69.64,3.25,45,0,0.07,0,0,0.61,0.14,0.11,0,20,42.66,0.86,0.39,28
Ahmed Awad,0,0,50,0.29,0,0,0.71,0.43,0,4.29,0,0.36,0,0,35.29,73.68,2.07,38.69,0,0.57,0,0,0.64,0.07,0.14,0,49.02,50.65,0.21,0.36,14
Mohamed Salem,0.13,0.13,50,1.07,0,0,0.07,0,0,0.33,0,0.07,0,0.07,6.93,52.88,1.73,40,0,0,0,0,0.53,0.07,0.07,0,51.79,53.01,0.8,0.4,15
