#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
100,,Nikola Jojić,1.08,0.46,0,0.32,0,1
101,,Dejan Zukić,1,0.47,0,0.56,0,0.81
102,,Mihailo Oreščanin,1.84,1.53,0.03,2.44,0,0.59
103,,Mamadou Traoré,1.06,1.39,0,4.42,0.03,0.55
104,,Matija Stojanović,0,0,0,1,0,1
105,,Vladan Vidaković,1.5,1,0,0.5,0,0.5
106,,Almin Kahrimanović,0,0,0,1,0,0
107,,Nikola Vujanac,0,0,0,0.67,0,0
108,,Dragan Rosić,0.05,0.05,0.05,0.84,0,0.05
109,,Uroš Drezgić,0.93,0.96,0,2.89,0,0.41
110,,Stefan Čolović,1.27,0.69,0,0.19,0,0.58
111,,Marko Bjeković,2.95,0.95,0.05,1.11,0,0.42
112,,Irakli Azarovi,1.25,0.55,0,0.5,0,0.45
113,,Milan Lazarević,1.76,1.76,0.03,1.86,0,0.72
114,,Hamidou Traoré,2.21,0.64,0,0.21,0,0.93
115,,Marko Mijailović,1.52,1.36,0,2.06,0,0.61
116,,Nemanja Nikolić,0.48,0.1,0,0.35,0,0.23
117,,Nemanja Miletić,1.07,0.73,0,2.47,0,0.73
118,,Andres Colorado,2.07,1.43,0,0.93,0,1.14
119,,Marko Knežević,0,0,0,0.33,0,0
120,,Boubacari Doucoure,2.86,1.1,0,1.52,0,1.31
121,,Miloš Vidović,1.45,0.69,0,1.69,0,0.9
122,,Andrej Todoroski,0.72,0.07,0,0.17,0,0.28
123,,Miloš Ostojić,0,0,0,1,0,0
124,,Petar Stanić,1.23,0.5,0,0.37,0,0.63
125,,Miloš Milović,0.56,1,0,4.44,0.06,0.31
126,,Stefan Hajdin,1.37,1.63,0.05,1.89,0,0.68
127,,Veljko Nikolić,0.89,0.33,0,0,0,0.89
128,,Aranđel Stojković,1.41,0.93,0.07,1.38,0,0.93
129,,Nemanja Milić,0.76,0.06,0,0.47,0,0.47
130,,Fousseni Diabaté,0.88,0.34,0,0.28,0,0.5
131,,Vasilije Đurić,0.64,0.36,0.07,0.07,0,0.43
132,,Lazar Nikolić,1.58,1.31,0,1.62,0,0.5
133,,Veljko Simić,1.18,0.44,0,0.29,0,0.44
134,,Nemanja Đeković,1.04,1.54,0.04,4.04,0.04,0.5
135,,Balsa Popovic,0.13,0,0,0.5,0,0.13
136,,Stefan Lončar,1.5,0.89,0,1.17,0,1.17
137,,Nemanja Belaković,0.88,0.38,0,0.38,0,0.38
138,,Nikola Stanković,1.52,1.29,0.05,0.76,0,0.71
139,,Miloš Milisavljević,0.67,0.33,0,1,0,0.33
140,,Nenad Krstičić,1.5,0,0,0,0,0
141,,Dejan Stanivuković,0.03,0,0.1,0.87,0.03,0.07
142,,Noboru Shimura,1.45,0.84,0.03,1.13,0,0.48
143,,Ibrahima Mame Ndiaye,1.24,0.41,0,0.35,0,0.29
144,,Zeljko Samčović,0,0,0.05,1.1,0.05,0
145,,Samuel Owusu,0.79,0.45,0,0.07,0,0.21
146,,Filip Manojlović,0,0,0,0.33,0,0
147,,Taras Bondarenko,0.88,1,0.12,3.88,0,0.59
148,,Stefan Ranđelović,0,0.03,0,0.84,0.03,0.06
149,,Janko Tumbasević,1.25,0.56,0.03,0.56,0,0.53
150,,Stefan Jovanović,2.61,1.45,0.03,2,0,1.29
151,,Saša Marković,1.44,0.19,0,0.69,0,0.5
152,,Stefan Tomović,0.32,0.12,0,0,0,0.16
153,,Nikola Kuveljić,1.25,0.61,0,0.57,0,0.57
154,,Igor Jeličić,1.18,1.43,0.07,3.57,0,0.21
155,,Aleksandar Busnić,1.41,0.91,0,1.09,0,0.41
156,,Miljan Škrbić,0.33,0,0,0.56,0,0.11
157,,Siniša Saničanin,1.06,0.76,0.06,3.41,0,0.29
158,,Igor Maksimović,0.4,0,0,0.2,0,0.4
159,,Emmanuel Hackman,1.93,1.73,0,5.53,0,0.73
160,,Miljan Momčilović,2.07,1.48,0.04,0.78,0,0.48
161,,Uroš Đuranović,0.6,0.27,0,0.67,0,0.87
162,,Petar Mićin,1.09,0.72,0,0.31,0,0.59
163,,Aleksandar Tanasin,2.37,1,0,1.23,0,0.53
164,,Đorđe Ivanović,0.66,0.51,0,0.34,0,0.49
165,,Andrija Radulović,0.69,0.69,0,0.29,0,0.46
166,,Bojan Kovačević,0.71,0.76,0.12,4.18,0,0.18
167,,Numan Kurdić,1.59,1.29,0,3.88,0,0.88
168,,Nemanja Milojević,1.21,0.56,0,0.76,0,0.59
169,,Lazar Jovanović,0,0,0,0.2,0,0
170,,Nikola Vasiljević,0.53,0.93,0,5.2,0,0.13
171,,Patrick Andrade,1.31,0.63,0,0,0,0.63
172,,Stefan Leković,0.83,0.42,0,0.42,0,0
173,,Andrija Pavlović,0.39,0,0,0.33,0,0.06
174,,Slobodan Simović,1.33,0.78,0,1.33,0,0.78
175,,Milan Ilić,2.79,1.43,0,2.21,0,0.57
176,,Nikola Terzić,0.63,0.63,0,0.25,0,0.25
177,,Milan Marčić,2,0.88,0,0.88,0.04,0.92
178,,Luka Bijelović,0.68,0.29,0,0.55,0,0.19
179,,Damjan Krajišnik,1.39,0.52,0,0.24,0,0.88
180,,Uroš Vitas,0.61,1.06,0.11,3.89,0,0.5
181,,Novica Maksimović,1.42,0.94,0,1.71,0,0.9
182,,Ognjen Lukić,0,0,0,1,0,0
183,,David Bjelica,0,0,0,2,0,0
184,,Evandro,0.57,0.29,0,0.38,0,0.48
185,,Srđan Dimitrov,1.47,0.53,0,0.29,0,0.82
186,,Queensy Menig,0.64,0.18,0,0.18,0,0.39
187,,Nemanja Žunić,1.33,1.6,0,5.8,0.07,0.53
188,,Bojica Nikčević,1.11,0.37,0,0.41,0,0.22
189,,Milan Đurić,0.5,0.42,0,0.5,0,0.25
190,,Filip Malbašić,0.45,0.31,0.03,0.41,0,0.66
191,,Luka Milunović,0.25,0.25,0,0.75,0,0.13
192,,Bojan Matić,0.34,0.21,0,0.28,0,0.28
193,,Aleksandar Popović,0.04,0.04,0,0.32,0,0.04
194,,Emir Azemović,1.67,1.17,0,6,0,0.5
195,,Periša Pešukić,2.35,2.13,0.03,2.61,0.03,0.45
196,,Norman Campbell,0.97,0.37,0,0.4,0,0.77
197,,Petar Gigić,0.14,0.14,0,0.51,0,0.11
198,,Boris Kopitović,0.75,1.4,0.05,4.4,0,0.25
199,,Ognjen Mršić,1,1,0,4.4,0,0.4
200,,Sékou Sanogo,0.33,0.42,0,0.08,0,0.08
201,,Vukašin Krstić,0.33,1.17,0,0.5,0,0.33
202,,Nikola Stajić,0.89,1.11,0,3.78,0.11,0.33
203,,Darko Puškarić,1.29,0.71,0,3.86,0,0.29
204,,Jovan Milošević,0.28,0,0,0.11,0,0.28
205,,Stefan Vukić,0.19,0.07,0,0.15,0,0.11
206,,Bojan Roganović,0.67,0.17,0,1.17,0,0.33
207,,Matija Mitrović,0.25,0.25,0,0.75,0,0.5
208,,Vladimir Vitorović,1.11,1.32,0,1.75,0,0.32
209,,Samed Baždar,0.56,0.15,0,0.15,0,0.56
210,,Thierry Etongou,2.5,2.06,0.19,3.88,0,0.31
211,,Uroš Stojanović,1.91,1,0,2.39,0,0.36
212,,Slavoljub Srnić,0.6,0.47,0,0.33,0,0.27
213,,Miloš Pantović,0.45,0.42,0,0.19,0,0.35
214,,Aleksa Matić,2.47,2.2,0,0.93,0,1.27
215,,Ivan Milošević,1.57,1.39,0,4.57,0,0.83
216,,Miljan Ilić,1.94,0.68,0.03,1.52,0,0.74
217,,Uroš Lazić,1.12,0.94,0,2.12,0,0.82
218,,Đorđe Denić,2.72,0.76,0,0.56,0,1.8
219,,Milan Radin,2,0.9,0,0.6,0,1.6
220,,Luka Zorić,1.47,0.53,0,0.7,0,0.63
221,,Miloš Tošeski,0.81,0.44,0.06,0.44,0,0.63
222,,Luka Luković,1.94,0.35,0,0.47,0,0.82
223,,Miloš Adamović,1.65,1.24,0,1.76,0,1.29
224,,Dušan Stevanović,1.58,1.25,0,4.21,0,0.79
225,,Srđan Hrstić,0.44,0.15,0,0.37,0,0.26
226,,Zlatan Šehović,0.89,0.56,0,0.56,0,0.56
227,,Kristijan Tojcić,1.25,1.38,0.03,2.53,0,0.56
228,,Srđan Grabež,2.08,1.85,0,3,0,0.46
229,,Nikola Petković,0.71,0.71,0,0.64,0,0.07
230,,Stefan Filipović,0.86,1.14,0.07,4.71,0,0.5
231,,Luka Adžić,0.48,0.22,0,0.09,0,0.22
232,,Klemen Bolha,0.83,0.79,0,2.46,0,0.38
233,,Ljubomir Fejsa,1.48,0.57,0.04,0.39,0,0.61
234,,Vladimir Kovačević,1,1.94,0,3.56,0,0.22
235,,Dejan Dražić,1.14,0.43,0.07,0.29,0,0.43
236,,Nikola Ćirković,2.31,1.44,0.03,3.03,0,0.78
237,,Vanja Ilić,1.28,0.34,0.03,0.41,0,0.76
238,,Sead Islamović,1.71,0.76,0,0.47,0,0.59
239,,Cristian,1.07,0.5,0,0.14,0,1.07
240,,Miloš Đokić,1.45,0.48,0,0.87,0,0.52
241,,Filip Ivanović,1.68,2.06,0.06,3.55,0,0.26
242,,Aleksa Đurasović,1,0.8,0.03,0.53,0.03,0.3
243,,Aleksa Janković,0.86,0.29,0,0.14,0,0
244,,Marko Đurišić,0.95,0.52,0,0.38,0,0.19
245,,Vuk Mitošević,1,0.67,0,0.33,0,0.33
246,,Nikolaos Baxevanos,1,1.5,0,2.5,0,0.5
247,,Nikola Leković,1.65,1.32,0,2.29,0,0.55
248,,Ante Vukušić,0.19,0.07,0,0.04,0,0.22
249,,Sambou Sissoko,1.67,1.21,0,0.63,0,0.96
250,,Žarko Udovičić,0.48,0.94,0.03,0.76,0,0.48
251,,Mbouri Yamkam,1.76,1,0.03,2.18,0,0.52
252,,Edmund Addo,1.5,1.56,0.06,1.13,0,1.38
253,,Andrija Milić,1.13,0.63,0,0.63,0,0.25
254,,Borisav Burmaz,0.39,0.03,0,0.29,0,0.26
255,,Novak Mićović,0,0,0,0.5,0.07,0.07
256,,Slobodan Stanojlović,0.17,0.23,0,0.13,0,0.3
257,,Veljko Trifunović,0.15,0.31,0,0,0,0.15
258,,Almir Aganspahić,0.36,0.09,0,0.09,0,0
259,,Aleksandar Mesarović,1.16,0.68,0,0.29,0,0.71
260,,Stefan Stanisavljević,0.09,0,0,0,0,0.18
