#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
92,,Vasilije Bakić,0,0,34.86,79.13,1.66,37.97
93,,Nikola Vujadinović,0,0,42.67,77.01,4.38,45.14
94,,Marko Putinčanin,0.07,0,51.48,75.54,9.56,43.5
95,,Nikola Srećković,0.06,0.12,18.12,69.64,6.24,44.26
96,,Filip Kljajić,0,0,25.08,47.55,0.88,32.19
97,,Andrija Majdevac,0.07,0,14.47,71.89,5.33,81.25
98,,Milan Mirosavljev,0.1,0.1,25.6,66.02,4.7,87.5
99,,Stojan Leković,0,0,25.05,58.62,0.64,31.37
100,,Nikola Jojić,0.16,0.22,18.59,70.06,5.59,33.87
101,,Dejan Zukić,0.06,0.03,22.59,79.53,6.19,68.13
102,,Mihailo Oreščanin,0,0,31.72,71.23,4.19,43.35
103,,Mamadou Traoré,0,0,49.13,77.61,3.48,38.1
104,,Matija Stojanović,0,0,13,84.62,7,50
105,,Vladan Vidaković,0,0,32.5,83.08,13,83.33
106,,Almin Kahrimanović,0,0,23.5,40.43,0.5,32.5
107,,Nikola Vujanac,0,0,27.83,47.9,2.33,35.56
108,,Dragan Rosić,0,0,21.21,48.64,0.11,27.72
109,,Uroš Drezgić,0,0,46.85,82.13,5.67,47.91
110,,Stefan Čolović,0.35,0.15,21.54,71.43,6.46,30.61
111,,Marko Bjeković,0.11,0.16,24.68,70.79,5,45.61
112,,Irakli Azarovi,0.1,0.05,34.55,85.82,10.05,46.84
113,,Milan Lazarević,0.1,0.07,34.79,71.95,6.66,32.37
114,,Hamidou Traoré,0.07,0,47.29,83.38,9.43,61.19
115,,Marko Mijailović,0.12,0.12,29.03,65.24,4.91,38.59
116,,Nemanja Nikolić,0.23,0.19,23.61,70.22,6.16,58.57
117,,Nemanja Miletić,0.13,0.07,31.93,67.01,7,42.86
118,,Andres Colorado,0.14,0.07,37.29,84.29,7.86,38.46
119,,Marko Knežević,0,0,22.58,51.66,0.92,36.95
