#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
105,,Vladan Vidaković,0,0,0,0,0.5,0
106,,Almin Kahrimanović,3.5,0,0,0,0.5,0.5
107,,Nikola Vujanac,2.83,0.17,0,0,1,0.17
108,,Dragan Rosić,3.37,0.32,0.26,0,1.32,0.05
109,,Uroš Drezgić,0,0.37,0,0,0.96,0.07
110,,Stefan Čolović,0,0.08,0,0,0.81,0.23
111,,Marko Bjeković,0,0.11,0,0,0.84,0.05
112,,Irakli Azarovi,0,0.15,0,0,0.4,0.05
113,,Milan Lazarević,0,0.17,0,0,0.66,0.07
114,,Hamidou Traoré,0,0.14,0,0,0.21,0.29
115,,Marko Mijailović,0,0.27,0,0,1.06,0.09
116,,Nemanja Nikolić,0,0.13,0,0,0.61,0.1
117,,Nemanja Miletić,0,0.47,0,0,0.67,0.2
118,,Andres Colorado,0,0.14,0,0,0.71,0.07
119,,Marko Knežević,2,0.58,0.08,0,0.83,0
120,,Boubacari Doucoure,0,0.28,0,0,0.97,0.21
121,,Miloš Vidović,0,0.28,0,0,0.83,0.21
122,,Andrej Todoroski,0,0.03,0,0,0.72,0.07
123,,Miloš Ostojić,3.75,0,0,0,1.25,0.5
124,,Petar Stanić,0,0.07,0,0,0.9,0.03
125,,Miloš Milović,0,0.5,0,0,1.13,0.13
126,,Stefan Hajdin,0,0.47,0,0,1.05,0.11
127,,Veljko Nikolić,0,0,0,0,0.22,0
128,,Aranđel Stojković,0,0.34,0,0,0.55,0.1
129,,Nemanja Milić,0,0,0,0,0.76,0.06
130,,Fousseni Diabaté,0,0.16,0,0,0.53,0.16
131,,Vasilije Đurić,0,0.07,0,0,0.64,0.29
132,,Lazar Nikolić,0,0.12,0,0,1.31,0.23
133,,Veljko Simić,0,0.12,0,0,0.62,0.09
134,,Nemanja Đeković,0,0.32,0,0,0.96,0.04
135,,Balsa Popovic,2.88,0,0.75,0.25,2.13,0.13
136,,Stefan Lončar,0,0.22,0,0,0.94,0.06
137,,Nemanja Belaković,0,0,0,0,1.06,0
138,,Nikola Stanković,0,0.14,0,0,0.43,0.05
139,,Miloš Milisavljević,0,0,0,0,0.67,0
140,,Nenad Krstičić,0,0,0,0,0.25,0
141,,Dejan Stanivuković,3.33,0.33,0.27,0.07,1.13,0.17
142,,Noboru Shimura,0,0.16,0,0,1.1,0.1
143,,Ibrahima Mame Ndiaye,0,0.12,0,0,0.41,0.06
144,,Zeljko Samčović,3.65,0.1,0.4,0.05,1.5,0.25
145,,Samuel Owusu,0,0.03,0,0,0.55,0.07
146,,Filip Manojlović,2.78,0.3,0.3,0,1.11,0.11
147,,Taras Bondarenko,0,0.41,0,0,0.59,0.12
148,,Stefan Ranđelović,2.87,0.32,0.35,0.06,1.23,0.16
149,,Janko Tumbasević,0,0.09,0,0,0.69,0.09
150,,Stefan Jovanović,0,0.45,0,0,0.81,0.1
151,,Saša Marković,0,0,0,0,0.44,0
152,,Stefan Tomović,0,0,0,0,0.44,0.04
153,,Nikola Kuveljić,0,0.21,0,0,0.39,0.04
154,,Igor Jeličić,0,0.39,0,0,0.64,0.07
155,,Aleksandar Busnić,0,0.09,0,0,0.45,0.05
156,,Miljan Škrbić,0,0,0,0,0.83,0
157,,Siniša Saničanin,0,0.47,0,0,0.71,0.06
158,,Igor Maksimović,0,0,0,0,0.8,0
159,,Emmanuel Hackman,0,0.53,0,0,0.67,0.07
160,,Miljan Momčilović,0,0.15,0,0,1.07,0.07
161,,Uroš Đuranović,0,0.07,0,0,1.13,0.07
162,,Petar Mićin,0,0.06,0,0,0.81,0
163,,Aleksandar Tanasin,0,0.13,0,0,1.1,0.13
